ID,LimitBal,Sex,Education,Age,Default
910,200000,Male,University,45,0
911,300000,Female,University,33,0
912,200000,Male,High School,50,0
913,200000,Male,Graduate School,37,0
914,10000,Female,University,24,1
915,500000,Male,University,32,0
916,300000,Female,University,37,0
917,10000,Female,University,35,1
918,100000,Female,Graduate School,30,0
919,10000,Female,University,42,0
920,100000,Female,University,24,1
921,100000,Male,Others,58,0
922,50000,Female,Graduate School,36,0
923,100000,Male,Graduate School,22,1
924,200000,Male,University,40,0
925,10000,Male,University,61,1
926,10000,Male,University,55,1
927,100000,Female,University,27,0
928,200000,Male,University,48,0
929,300000,Male,University,30,0
930,50000,Male,Graduate School,47,0
931,10000,Female,University,56,0
932,10000,Female,High School,53,1
933,500000,Male,High School,36,0
934,300000,Male,High School,59,0
935,200000,Female,Graduate School,63,1
936,300000,Female,Others,41,0
937,50000,Female,Graduate School,41,0
938,100000,Male,Graduate School,59,1
939,10000,Female,Graduate School,56,1
940,300000,Male,University,40,0
941,100000,Male,University,32,0
942,200000,Male,University,58,0
943,200000,Female,University,28,0
944,100000,Male,Graduate School,27,0
945,50000,Male,University,24,1
946,300000,Male,University,58,0
947,100000,Female,University,23,0
948,300000,Female,University,49,0
949,100000,Female,University,49,0
950,50000,Female,University,28,1
951,50000,Female,Graduate School,23,0
952,50000,Male,University,32,1
953,200000,Male,Others,47,1
954,50000,Male,University,39,1
955,50000,Female,University,37,0
956,100000,Female,Graduate School,56,1
957,300000,Female,Graduate School,23,0
958,100000,Female,University,57,0
959,300000,Male,University,63,0
960,200000,Female,Graduate School,27,0
961,100000,Male,High School,52,1
962,10000,Male,University,62,1
963,10000,Female,High School,21,0
964,10000,Female,University,52,1
965,200000,Female,High School,40,0
966,100000,Male,University,22,1
967,50000,Female,University,56,1
968,500000,Female,Graduate School,49,0
969,200000,Female,Graduate School,61,0
970,50000,Female,Graduate School,31,1
971,100000,Female,University,45,1
972,100000,Female,University,27,1
973,50000,Female,Graduate School,42,1
974,200000,Female,University,54,0
975,300000,Female,University,21,1
976,50000,Female,University,55,0
977,300000,Female,Graduate School,39,0
978,50000,Female,University,49,1
979,100000,Male,University,27,1
980,100000,Male,High School,56,1
981,100000,Male,University,41,1
982,10000,Female,Graduate School,28,0
983,50000,Male,Graduate School,30,1
984,50000,Male,Graduate School,47,1
985,100000,Female,High School,29,0
986,300000,Female,University,32,0
987,10000,Male,High School,48,1
988,200000,Female,Graduate School,30,0
989,50000,Female,Graduate School,51,0
990,300000,Female,Others,30,0
991,500000,Male,University,62,0
992,50000,Female,High School,36,1
993,100000,Male,University,60,0
994,300000,Female,High School,48,0
995,200000,Male,High School,54,0
996,300000,Female,High School,51,0
997,100000,Male,University,61,0
998,300000,Male,University,24,0
999,10000,Male,Graduate School,45,1
1000,100000,Male,Graduate School,35,0
