SessionID,SessionDuration,DeviceType,BounceRate,PagesViewed,Converted
640692,219.0,Desktop,15.4,9,No
640693,491.7,Desktop,5.0,15,No
640694,134.5,Mobile,57.6,5,No
640695,126.4,Mobile,50.0,6,No
640696,79.2,Mobile,48.6,5,No
640697,17.9,Mobile,84.3,1,No
640698,216.6,Mobile,43.4,7,No
640699,172.1,Mobile,34.2,8,No
640700,250.7,Mobile,15.1,10,No
640701,197.6,Desktop,47.3,6,No
640702,126.0,Desktop,54.0,4,No
640703,94.7,Desktop,43.1,6,No
640704,11.4,Mobile,78.0,1,No
640705,218.7,Desktop,25.4,8,Yes
640706,61.9,Desktop,50.2,5,No
640707,281.3,Desktop,17.4,9,No
640708,133.3,Tablet,58.8,4,No
640709,13.9,Tablet,66.5,4,No
640710,69.7,Desktop,47.7,5,No
640711,256.5,Mobile,19.5,10,No
640712,13.3,Desktop,83.7,2,No
640713,86.7,Desktop,49.3,6,No
640714,54.0,Tablet,70.7,2,No
640715,343.8,Desktop,25.3,9,Yes
640716,18.2,Desktop,78.1,1,No
640717,257.2,Mobile,18.3,10,No
640718,64.3,Tablet,67.5,3,No
640719,71.0,Desktop,60.9,4,No
640720,52.9,Mobile,74.1,3,No
640721,88.6,Desktop,64.0,4,No
640722,156.7,Mobile,31.1,7,No
640723,186.0,Desktop,54.6,5,No
640724,90.6,Mobile,67.9,3,No
640725,77.1,Mobile,73.9,3,No
640726,74.5,Desktop,53.8,4,Yes
640727,5.0,Mobile,73.5,2,No
640728,117.4,Desktop,50.3,6,No
640729,226.9,Tablet,47.2,6,No
640730,57.2,Mobile,53.9,5,No
640731,23.0,Mobile,55.4,4,No
640732,132.9,Mobile,30.9,7,Yes
640733,318.5,Mobile,9.6,10,Yes
640734,39.8,Mobile,79.3,1,No
640735,78.3,Mobile,66.1,3,No
640736,49.7,Tablet,82.2,2,No
640737,236.9,Tablet,44.1,6,No
640738,5.0,Mobile,90.4,1,No
640739,139.6,Mobile,29.4,7,No
640740,405.2,Desktop,5.0,14,No
640741,61.6,Mobile,73.2,2,No
640742,24.5,Mobile,65.6,4,No
640743,50.9,Mobile,75.1,2,No
640744,195.1,Desktop,45.7,6,No
640745,64.5,Desktop,59.6,4,No
640746,88.1,Mobile,71.9,3,No
640747,67.6,Desktop,83.5,2,No
640748,128.9,Mobile,53.9,5,No
640749,142.3,Desktop,40.8,6,No
640750,28.8,Mobile,68.9,3,No
640751,118.5,Desktop,59.8,4,No
640752,108.0,Desktop,65.2,3,Yes
640753,177.1,Mobile,48.9,5,No
640754,56.5,Mobile,45.4,5,No
640755,36.5,Mobile,80.4,1,No
640756,114.7,Desktop,72.7,3,No
640757,164.6,Desktop,37.1,6,No
640758,66.6,Mobile,64.4,4,No
640759,77.7,Mobile,73.5,2,No
640760,353.3,Tablet,18.6,10,Yes
640761,133.2,Mobile,53.7,5,No
640762,53.4,Mobile,47.0,5,No
640763,675.6,Mobile,5.0,19,Yes
640764,184.3,Mobile,46.3,5,No
640765,20.2,Tablet,61.8,3,No
640766,7.0,Mobile,68.5,3,No
640767,106.7,Mobile,70.9,3,No
640768,21.9,Tablet,53.3,4,No
640769,28.3,Mobile,82.2,1,No
640770,5.7,Desktop,84.3,1,No
640771,25.2,Tablet,66.4,3,No
640772,28.5,Mobile,72.7,2,No
640773,61.8,Desktop,70.9,3,Yes
640774,10.4,Mobile,67.7,4,No
640775,68.2,Desktop,68.8,3,No
640776,51.7,Mobile,47.7,5,No
640777,67.4,Mobile,56.7,4,No
640778,20.3,Mobile,73.5,2,No
640779,89.5,Desktop,56.7,4,No
640780,206.2,Desktop,25.7,9,No
640781,120.7,Mobile,29.2,7,Yes
640782,10.8,Mobile,60.6,4,Yes
640783,295.4,Tablet,9.4,10,No
640784,65.2,Mobile,54.2,4,Yes
640785,387.9,Desktop,8.2,10,Yes
640786,115.9,Desktop,60.1,4,No
640787,5.0,Desktop,70.1,3,No
640788,5.4,Tablet,78.1,2,No
640789,67.8,Mobile,74.4,2,No
640790,5.0,Mobile,65.5,3,No
640791,39.1,Mobile,75.0,3,No
640792,18.4,Desktop,63.5,3,No
640793,37.1,Desktop,89.0,1,No
640794,33.4,Mobile,62.1,4,No
640795,53.6,Mobile,51.5,5,No
640796,332.4,Mobile,10.7,10,No
640797,230.3,Mobile,27.8,8,No
640798,43.9,Mobile,54.1,5,No
640799,16.6,Mobile,83.7,1,No
640800,220.9,Mobile,34.8,8,No
640801,44.5,Mobile,75.0,2,No
640802,130.1,Mobile,50.9,5,No
640803,119.1,Mobile,69.8,3,No
640804,119.7,Desktop,38.4,6,No
640805,7.5,Mobile,72.0,3,No
640806,142.3,Desktop,62.0,4,No
640807,266.4,Mobile,33.1,8,No
640808,144.1,Desktop,30.5,7,Yes
640809,281.0,Mobile,10.9,10,No
640810,63.3,Mobile,62.7,3,No
640811,19.1,Tablet,62.1,3,No
640812,34.5,Tablet,55.9,4,No
640813,81.1,Mobile,44.2,6,No
640814,78.6,Mobile,71.4,2,No
640815,72.1,Mobile,70.2,2,No
640816,221.9,Mobile,28.5,8,No
640817,5.6,Mobile,80.3,2,No
640818,86.1,Tablet,62.4,3,No
640819,112.1,Mobile,,3,No
640820,90.2,Mobile,51.7,6,No
640821,8.1,Mobile,72.0,2,No
640822,242.9,Desktop,23.2,9,Yes
640823,62.6,Desktop,73.7,2,No
640824,199.7,Mobile,29.2,8,Yes
640825,133.6,Desktop,56.9,5,Yes
640826,13.1,Mobile,68.5,3,No
640827,170.6,Mobile,57.5,5,No
640828,103.2,Mobile,66.5,3,No
640829,195.1,Desktop,46.8,6,No
640830,27.0,Mobile,90.9,1,No
640831,31.7,Mobile,75.0,3,No
640832,289.9,Mobile,13.2,9,Yes
640833,79.9,Mobile,74.2,2,Yes
640834,184.6,Mobile,29.7,8,No
640835,42.4,Desktop,55.3,5,No
640836,469.2,Desktop,5.0,13,No
640837,201.3,Desktop,20.3,9,No
640838,410.8,Desktop,5.0,11,No
640839,5.0,Tablet,81.1,1,No
640840,128.6,Desktop,45.7,6,No
640841,61.5,Desktop,74.1,2,No
640842,134.8,Mobile,52.8,5,No
640843,18.8,Mobile,53.0,4,No
640844,28.8,Mobile,75.9,3,No
640845,88.3,Mobile,48.4,6,No
640846,8.2,Desktop,66.5,3,No
640847,23.3,Mobile,58.1,4,No
640848,5.0,Tablet,76.8,2,No
640849,202.7,Tablet,30.3,7,No
640850,56.6,Mobile,61.1,3,No
640851,256.5,Mobile,28.3,8,No
640852,296.9,Desktop,6.6,11,No
640853,194.9,Mobile,,7,No
640854,284.6,Tablet,7.8,10,No
640855,171.8,Tablet,51.4,6,Yes
640856,5.0,Desktop,83.3,1,No
640857,41.3,Mobile,74.2,2,No
640858,5.0,Mobile,80.1,1,No
640859,6.7,Tablet,70.6,2,No
640860,74.1,Desktop,67.7,4,No
640861,63.9,Desktop,58.0,5,No
640862,139.8,Mobile,58.2,4,No
640863,17.7,Mobile,88.2,1,No
640864,36.1,Mobile,87.1,1,No
640865,102.3,Mobile,62.9,4,No
640866,132.7,Desktop,41.4,6,No
640867,121.2,Desktop,59.6,5,No
640868,107.5,Mobile,64.0,4,No
640869,186.8,Mobile,39.8,7,No
640870,40.0,Desktop,61.1,3,No
640871,127.6,Mobile,57.6,4,Yes
640872,58.2,Mobile,49.4,5,No
640873,132.4,Desktop,64.5,4,No
640874,51.2,Mobile,81.7,2,No
640875,138.3,Mobile,59.1,5,Yes
640876,13.3,Desktop,74.4,3,No
640877,133.7,Tablet,46.1,5,No
640878,90.0,Mobile,45.9,5,No
640879,59.9,Mobile,75.8,3,No
640880,35.4,Tablet,68.5,3,No
640881,600.4,Desktop,5.0,19,No
640882,320.6,Desktop,7.7,10,No
640883,233.6,Desktop,47.5,6,No
640884,93.5,Desktop,56.4,4,No
640885,335.8,Tablet,5.0,12,No
640886,95.1,Desktop,72.4,3,No
640887,37.1,Mobile,74.6,2,No
640888,267.1,Desktop,14.0,10,No
640889,63.6,Tablet,72.3,2,No
640890,9.6,Desktop,73.3,3,No
640891,46.9,Mobile,64.6,3,No
640892,66.3,Mobile,65.8,4,No
640893,5.0,Desktop,71.7,3,No
640894,21.8,Mobile,73.0,2,No
640895,7.5,Tablet,55.7,4,No
640896,87.6,Mobile,64.3,4,No
640897,104.9,Mobile,63.1,3,Yes
640898,5.3,Desktop,68.6,3,No
640899,16.2,Mobile,61.8,4,No
640900,159.5,Mobile,42.3,6,No
640901,97.5,Mobile,44.7,6,No
640902,61.4,Mobile,79.2,2,No
640903,200.9,Desktop,39.7,7,No
640904,50.6,Mobile,58.9,4,No
640905,46.8,Mobile,73.0,2,No
640906,54.1,Tablet,71.5,2,No
640907,210.7,Desktop,35.9,8,No
640908,9.8,Mobile,75.7,3,No
640909,35.5,Desktop,53.3,4,No
640910,108.1,Desktop,40.7,6,No
640911,39.4,Mobile,70.1,3,No
640912,45.0,Mobile,57.2,4,No
640913,5.0,Tablet,78.4,1,No
640914,437.5,Mobile,5.0,12,No
640915,387.5,Tablet,16.9,10,Yes
640916,87.5,Mobile,67.5,3,No
640917,113.9,Desktop,56.0,4,No
640918,95.9,Mobile,61.6,3,Yes
640919,19.3,Mobile,67.5,4,No
640920,47.4,Desktop,49.4,5,No
640921,228.0,Desktop,44.8,6,No
640922,30.5,Mobile,63.2,4,No
640923,43.4,Desktop,69.8,3,No
640924,43.7,Mobile,75.8,2,No
640925,164.4,Desktop,42.3,6,No
640926,188.3,Tablet,24.5,8,No
640927,66.7,Mobile,63.0,3,No
640928,137.4,Mobile,46.1,5,No
640929,447.2,Desktop,5.0,14,Yes
640930,278.5,Desktop,35.3,8,No
640931,201.8,Desktop,43.7,6,No
640932,28.9,Desktop,63.0,4,No
640933,168.5,Mobile,43.0,6,No
640934,58.9,Desktop,59.5,5,No
640935,188.1,Mobile,37.4,6,Yes
640936,63.6,Desktop,55.9,5,No
640937,520.8,Mobile,5.0,17,Yes
640938,33.6,Mobile,79.6,1,No
640939,111.8,Mobile,45.8,5,No
640940,154.2,Desktop,57.1,4,No
640941,52.1,Mobile,62.4,4,No
640942,36.1,Mobile,89.0,1,No
640943,77.4,Mobile,77.5,2,No
640944,136.2,Desktop,63.9,4,No
640945,81.8,Desktop,65.7,4,No
640946,196.9,Mobile,22.8,8,No
640947,276.6,Mobile,17.0,10,No
640948,109.6,Mobile,50.4,6,No
640949,47.5,Mobile,62.7,4,No
640950,192.7,Tablet,32.8,7,No
640951,34.3,Desktop,56.9,4,No
640952,275.7,Mobile,32.7,8,No
640953,62.3,Desktop,83.9,2,No
640954,129.8,Mobile,56.9,5,No
640955,33.7,Mobile,69.5,2,No
640956,164.3,Mobile,43.6,7,No
640957,84.0,Mobile,74.6,3,No
640958,690.5,Mobile,5.0,20,No
640959,30.4,Tablet,55.0,4,No
640960,117.7,Tablet,55.5,4,No
640961,16.0,Mobile,81.0,1,No
640962,360.8,Mobile,8.6,11,No
640963,111.0,Desktop,52.0,5,No
640964,22.0,Mobile,53.8,4,No
640965,43.2,Mobile,58.7,4,No
640966,187.3,Mobile,42.9,7,No
640967,36.1,Mobile,56.3,4,No
640968,52.8,Mobile,45.2,5,No
640969,63.5,Mobile,49.4,5,No
640970,27.0,Mobile,76.7,2,No
640971,9.9,Mobile,70.1,3,No
640972,590.0,Mobile,5.0,17,Yes
640973,396.3,Mobile,5.0,11,No
640974,12.3,Tablet,67.9,3,No
640975,8.3,Mobile,79.2,1,No
640976,28.5,Mobile,61.7,3,No
640977,244.0,Desktop,43.1,7,No
640978,54.9,Mobile,54.9,5,No
640979,5.0,Mobile,74.1,2,No
640980,137.7,Mobile,45.7,6,No
640981,35.1,Mobile,54.9,4,No
640982,56.5,Mobile,65.7,3,No
640983,61.1,Mobile,74.5,3,No
640984,13.9,Mobile,77.3,2,No
640985,47.9,Mobile,50.8,5,No
640986,73.8,Mobile,74.9,2,No
640987,11.0,Mobile,70.5,3,No
640988,209.4,Tablet,36.2,7,No
640989,255.1,Mobile,15.9,10,Yes
640990,114.0,Mobile,48.1,6,No
640991,78.9,Mobile,78.8,2,Yes
640992,192.3,Mobile,23.8,8,No
640993,33.6,Mobile,70.6,2,No
640994,125.4,Desktop,33.7,7,No
640995,39.3,Tablet,65.1,3,No
640996,6.4,Mobile,77.5,1,No
640997,23.6,Mobile,71.5,2,No
640998,77.4,Tablet,61.1,4,No
640999,57.0,Mobile,56.0,5,No
641000,179.2,Mobile,56.8,5,No
