EmployeeID,Department,TrainingHours,PreScore,PostScore,PerformanceRating
670823,Engineering,34,59,81.0,3
670824,Marketing,39,70,100.0,3
670825,Support,39,76,100.0,3
670826,HR,23,55,74.9,3
670827,Marketing,19,84,91.8,4
670828,HR,31,82,100.0,3
670829,Engineering,18,65,83.1,3
670830,Sales,2,46,49.9,2
670831,Support,13,66,75.9,4
670832,Engineering,25,84,100.0,3
670833,Support,28,79,100.0,4
670834,Sales,29,69,97.7,4
670835,HR,38,76,100.0,4
670836,Marketing,39,69,100.0,3
670837,Marketing,10,83,85.4,5
670838,HR,37,67,92.1,2
670839,Sales,14,66,78.1,4
670840,HR,18,78,94.6,3
670841,Sales,12,50,59.8,3
670842,Marketing,9,52,62.9,5
670843,Sales,11,49,58.3,3
670844,Support,25,60,80.5,3
670845,HR,8,75,82.9,3
670846,Support,31,66,94.5,4
670847,Engineering,18,46,58.2,3
670848,HR,24,51,70.0,1
670849,Support,30,66,92.0,3
670850,Marketing,6,64,70.2,5
670851,HR,4,61,66.7,3
670852,Engineering,24,60,82.2,4
670853,Marketing,7,61,66.4,5
670854,Support,11,58,65.8,4
670855,Sales,30,82,100.0,2
670856,Marketing,23,48,61.8,4
670857,Marketing,35,56,79.2,2
670858,Engineering,22,49,68.9,2
670859,Engineering,8,69,81.5,2
670860,Sales,33,77,100.0,5
670861,HR,22,83,97.2,3
670862,Engineering,21,50,69.9,4
670863,Support,31,79,98.6,3
670864,HR,35,83,100.0,3
670865,Support,3,72,79.6,3
670866,Engineering,13,52,60.6,4
670867,Engineering,27,80,100.0,4
670868,Marketing,34,45,75.7,5
670869,Engineering,33,46,62.4,5
670870,Marketing,25,84,100.0,1
670871,Engineering,16,84,96.7,4
670872,Engineering,34,83,100.0,2
670873,Marketing,15,76,79.4,3
670874,Support,17,69,82.7,3
670875,Sales,39,84,100.0,1
670876,Support,8,66,72.2,4
670877,Sales,21,52,71.2,5
670878,Sales,19,64,85.9,1
670879,HR,16,64,70.6,2
670880,HR,34,66,94.8,4
670881,Marketing,19,46,57.9,2
670882,Engineering,21,75,94.9,4
670883,Marketing,2,62,61.5,3
670884,Sales,34,46,76.8,3
670885,Engineering,33,71,93.8,5
670886,Support,39,72,100.0,3
670887,Support,7,55,57.3,3
670888,Marketing,38,51,89.3,3
670889,Sales,10,53,59.7,3
670890,Marketing,29,46,68.1,5
670891,HR,28,49,68.9,4
670892,Marketing,16,74,84.6,4
670893,Marketing,22,71,89.2,4
670894,Support,34,75,100.0,5
670895,Sales,3,75,70.7,3
670896,Marketing,15,59,67.2,3
670897,HR,14,68,78.2,2
670898,Engineering,39,73,100.0,5
670899,Engineering,32,48,80.2,2
670900,Support,30,62,91.8,4
670901,HR,31,80,100.0,5
670902,Support,39,73,100.0,3
670903,Sales,37,58,87.9,3
670904,Support,39,65,98.7,3
670905,Marketing,5,47,47.2,3
670906,HR,21,57,67.6,5
670907,Sales,11,54,59.4,3
670908,Marketing,32,60,89.0,4
670909,Marketing,2,84,81.3,5
670910,HR,5,77,85.5,4
670911,Engineering,25,52,73.9,5
670912,HR,28,74,97.2,5
670913,Support,34,57,85.1,3
670914,Sales,13,50,59.0,4
670915,Support,17,45,61.0,5
670916,Support,25,65,87.6,3
670917,Support,30,73,100.0,3
670918,Marketing,10,50,57.0,4
670919,HR,6,84,93.9,3
670920,Support,7,69,67.9,3
670921,HR,5,77,78.8,1
670922,Sales,16,64,81.9,3
670923,Sales,30,52,72.5,3
670924,Marketing,3,81,84.6,3
670925,HR,10,77,88.2,5
670926,HR,13,62,72.6,3
670927,Engineering,25,64,90.6,4
670928,Engineering,27,77,100.0,3
670929,HR,2,83,86.8,2
670930,HR,38,78,100.0,3
670931,HR,7,68,74.6,3
670932,Marketing,35,78,100.0,3
670933,Marketing,24,67,83.9,4
670934,Support,21,63,83.1,1
670935,Marketing,8,58,67.7,4
670936,Marketing,2,64,65.7,2
670937,Marketing,13,51,56.3,3
670938,Engineering,39,56,93.8,4
670939,Engineering,36,76,100.0,3
670940,HR,3,82,84.3,3
670941,Marketing,25,76,94.9,3
670942,Engineering,6,61,63.4,4
670943,Engineering,29,73,95.2,4
670944,Support,32,81,100.0,3
670945,Marketing,7,75,85.4,2
670946,Engineering,7,79,88.1,2
670947,HR,18,71,78.9,3
670948,HR,11,54,57.7,3
670949,Marketing,37,79,100.0,3
670950,HR,9,76,,4
670951,Support,9,83,94.9,4
670952,Support,14,72,80.1,3
670953,HR,23,65,80.2,3
670954,Marketing,33,60,81.4,4
670955,Support,21,50,60.1,4
670956,Sales,5,55,56.1,4
670957,Sales,28,57,79.5,4
670958,HR,37,82,100.0,2
670959,Sales,26,65,81.0,3
670960,Support,18,52,67.1,4
670961,Marketing,15,72,87.5,4
670962,Sales,23,64,84.9,1
670963,HR,26,76,93.1,4
670964,Support,19,51,68.4,5
670965,Support,9,67,68.9,3
670966,Marketing,4,46,55.5,4
670967,Marketing,21,81,100.0,4
670968,Marketing,26,46,73.6,5
670969,Engineering,8,60,,4
670970,Marketing,29,51,76.4,3
670971,Sales,2,64,60.8,4
670972,Engineering,35,83,100.0,4
670973,Sales,30,58,85.5,2
670974,Support,24,49,67.5,4
670975,HR,14,58,80.3,4
670976,Engineering,25,47,60.7,4
670977,Marketing,32,62,88.9,3
670978,HR,15,73,90.6,3
670979,Sales,37,78,100.0,4
670980,HR,18,79,89.5,3
670981,Engineering,12,63,71.3,5
670982,HR,21,67,96.3,4
670983,Sales,4,78,79.1,4
670984,Marketing,29,71,87.7,4
670985,HR,33,58,85.7,4
670986,Engineering,33,75,95.6,1
670987,Marketing,29,49,73.9,4
670988,Marketing,25,55,72.6,4
670989,Engineering,22,50,62.3,3
670990,Engineering,32,78,99.9,4
670991,Engineering,38,72,99.1,4
670992,Engineering,20,81,92.2,4
670993,Engineering,32,62,82.0,4
670994,Marketing,11,59,63.0,3
670995,Marketing,20,66,90.4,3
670996,Sales,35,60,,3
670997,Engineering,19,49,66.0,3
670998,HR,35,77,100.0,4
670999,Sales,23,73,95.5,4
671000,Engineering,15,80,83.8,3
