country,points,price,province,variety
US,94,132.0,Province 658,Merlot
US,90,70.0,Province 659,Pinot Noir
Argentina,95,172.0,Province 660,Merlot
France,84,25.0,Province 661,Chardonnay
US,90,85.0,Province 662,Merlot
France,85,16.0,Province 663,Cabernet Sauvignon
France,80,8.0,Province 664,Chardonnay
Italy,91,94.0,Province 665,Pinot Noir
Italy,98,256.0,Province 666,Chardonnay
Italy,94,135.0,Province 667,Cabernet Sauvignon
Italy,88,41.0,Province 668,Cabernet Sauvignon
Spain,91,87.0,Province 669,Cabernet Sauvignon
US,80,8.0,Province 670,Pinot Noir
France,99,269.0,Province 671,Cabernet Sauvignon
US,94,139.0,Province 672,Pinot Noir
France,87,43.0,Province 673,Chardonnay
Italy,95,180.0,Province 674,Cabernet Sauvignon
Chile,95,164.0,Province 675,Chardonnay
France,97,197.0,Province 676,Chardonnay
US,100,318.0,Province 677,Pinot Noir
Argentina,91,83.0,Province 678,Syrah
US,91,85.0,Province 679,Cabernet Sauvignon
US,99,253.0,Province 680,Syrah
US,97,208.0,Province 681,Cabernet Sauvignon
France,94,155.0,Province 682,Chardonnay
US,90,94.0,Province 683,Pinot Noir
Spain,100,309.0,Province 684,Chardonnay
US,99,275.0,Province 685,Cabernet Sauvignon
France,83,15.0,Province 686,Syrah
Italy,82,21.0,Province 687,Cabernet Sauvignon
US,90,72.0,Province 688,Cabernet Sauvignon
US,87,38.0,Province 689,Merlot
Chile,87,43.0,Province 690,Syrah
Italy,80,20.0,Province 691,Merlot
Spain,85,43.0,Province 692,Chardonnay
Spain,95,190.0,Province 693,Pinot Noir
US,82,14.0,Province 694,Pinot Noir
Argentina,90,73.0,Province 695,Chardonnay
Spain,93,129.0,Province 696,Chardonnay
France,96,180.0,Province 697,Chardonnay
France,87,60.0,Province 698,Syrah
US,85,27.0,Province 699,Pinot Noir
US,99,262.0,Province 700,Syrah
Spain,98,261.0,Province 701,Pinot Noir
France,81,12.0,Province 702,Merlot
US,97,203.0,Province 703,Merlot
Chile,98,272.0,Province 704,Cabernet Sauvignon
France,84,22.0,Province 705,Syrah
US,94,147.0,Province 706,Chardonnay
France,95,172.0,Province 707,Merlot
France,97,225.0,Province 708,Syrah
Italy,85,32.0,Province 709,Pinot Noir
Spain,98,247.0,Province 710,Cabernet Sauvignon
France,86,44.0,Province 711,Merlot
US,83,23.0,Province 712,Cabernet Sauvignon
US,90,69.0,Province 713,Pinot Noir
Chile,80,25.0,Province 714,Cabernet Sauvignon
US,83,12.0,Province 715,Cabernet Sauvignon
Spain,83,26.0,Province 716,Pinot Noir
Italy,82,19.0,Province 717,Chardonnay
US,98,254.0,Province 718,Merlot
US,90,72.0,Province 719,Merlot
US,85,21.0,Province 720,Chardonnay
France,82,27.0,Province 721,Syrah
Italy,88,38.0,Province 722,Pinot Noir
US,100,297.0,Province 723,Chardonnay
Chile,82,19.0,Province 724,Cabernet Sauvignon
US,92,98.0,Province 725,Cabernet Sauvignon
France,95,173.0,Province 726,Syrah
Italy,86,24.0,Province 727,Pinot Noir
Chile,90,80.0,Province 728,Pinot Noir
US,84,20.0,Province 729,Merlot
US,100,318.0,Province 730,Merlot
US,83,19.0,Province 731,Pinot Noir
US,81,8.0,Province 732,Chardonnay
US,84,17.0,Province 733,Syrah
Spain,97,213.0,Province 734,Cabernet Sauvignon
Spain,91,92.0,Province 735,Cabernet Sauvignon
France,90,73.0,Province 736,Cabernet Sauvignon
France,90,91.0,Province 737,Pinot Noir
France,87,34.0,Province 738,Chardonnay
France,95,167.0,Province 739,Merlot
Italy,92,113.0,Province 740,Chardonnay
France,84,22.0,Province 741,Cabernet Sauvignon
France,97,220.0,Province 742,Syrah
France,87,49.0,Province 743,Pinot Noir
US,89,84.0,Province 744,Merlot
US,85,24.0,Province 745,Syrah
US,88,69.0,Province 746,Pinot Noir
Argentina,97,216.0,Province 747,Cabernet Sauvignon
Italy,97,229.0,Province 748,Merlot
France,90,88.0,Province 749,Cabernet Sauvignon
Spain,83,24.0,Province 750,Chardonnay
US,81,24.0,Province 751,Syrah
US,83,8.0,Province 752,Chardonnay
Spain,88,60.0,Province 753,Syrah
Chile,88,37.0,Province 754,Syrah
US,92,111.0,Province 755,Merlot
US,100,321.0,Province 756,Pinot Noir
US,85,25.0,Province 757,Syrah
US,97,232.0,Province 758,Syrah
Argentina,86,22.0,Province 759,Cabernet Sauvignon
Italy,86,36.0,Province 760,Chardonnay
Italy,95,173.0,Province 761,Merlot
US,81,27.0,Province 762,Syrah
Italy,98,260.0,Province 763,Cabernet Sauvignon
Spain,80,8.0,Province 764,Chardonnay
US,85,22.0,Province 765,Cabernet Sauvignon
US,96,194.0,Province 766,Syrah
US,87,38.0,Province 767,Merlot
Italy,90,79.0,Province 768,Syrah
US,98,232.0,Province 769,Cabernet Sauvignon
France,95,175.0,Province 770,Chardonnay
France,96,196.0,Province 771,Merlot
France,87,41.0,Province 772,Chardonnay
France,83,26.0,Province 773,Pinot Noir
France,93,131.0,Province 774,Pinot Noir
Spain,90,95.0,Province 775,Syrah
Spain,93,137.0,Province 776,Cabernet Sauvignon
US,93,141.0,Province 777,Cabernet Sauvignon
France,84,26.0,Province 778,Cabernet Sauvignon
US,91,109.0,Province 779,Syrah
France,90,62.0,Province 780,Cabernet Sauvignon
France,94,148.0,Province 781,Syrah
US,82,13.0,Province 782,Merlot
US,91,90.0,Province 783,Pinot Noir
US,97,221.0,Province 784,Chardonnay
Italy,95,,Province 785,Pinot Noir
France,85,39.0,Province 786,Syrah
US,92,106.0,Province 787,Merlot
Argentina,94,155.0,Province 788,Merlot
US,86,45.0,Province 789,Merlot
Italy,92,96.0,Province 790,Syrah
Chile,91,84.0,Province 791,Cabernet Sauvignon
France,93,120.0,Province 792,Merlot
Italy,87,29.0,Province 793,Chardonnay
US,87,44.0,Province 794,Merlot
Argentina,90,67.0,Province 795,Pinot Noir
Argentina,82,18.0,Province 796,Cabernet Sauvignon
US,87,40.0,Province 797,Syrah
US,82,23.0,Province 798,Cabernet Sauvignon
Argentina,92,117.0,Province 799,Cabernet Sauvignon
Spain,98,236.0,Province 800,Syrah
France,92,98.0,Province 801,Cabernet Sauvignon
Chile,94,148.0,Province 802,Chardonnay
France,81,14.0,Province 803,Pinot Noir
Chile,96,199.0,Province 804,Cabernet Sauvignon
Italy,86,28.0,Province 805,Merlot
Italy,83,32.0,Province 806,Pinot Noir
US,97,217.0,Province 807,Merlot
France,91,95.0,Province 808,Pinot Noir
US,93,139.0,Province 809,Cabernet Sauvignon
US,86,43.0,Province 810,Pinot Noir
Spain,99,265.0,Province 811,Chardonnay
France,91,103.0,Province 812,Syrah
France,97,215.0,Province 813,Chardonnay
Chile,96,178.0,Province 814,Cabernet Sauvignon
US,100,316.0,Province 815,Chardonnay
US,82,19.0,Province 816,Chardonnay
Argentina,87,56.0,Province 817,Cabernet Sauvignon
Italy,91,94.0,Province 818,Syrah
US,96,207.0,Province 819,Cabernet Sauvignon
US,93,130.0,Province 820,Chardonnay
Chile,82,28.0,Province 821,Syrah
Argentina,90,78.0,Province 822,Merlot
US,87,50.0,Province 823,Merlot
France,84,14.0,Province 824,Chardonnay
US,90,79.0,Province 825,Pinot Noir
Italy,81,15.0,Province 826,Cabernet Sauvignon
US,98,244.0,Province 827,Pinot Noir
US,90,78.0,Province 828,Chardonnay
France,82,31.0,Province 829,Cabernet Sauvignon
France,84,14.0,Province 830,Cabernet Sauvignon
Chile,89,59.0,Province 831,Syrah
Spain,98,254.0,Province 832,Chardonnay
US,100,301.0,Province 833,Pinot Noir
Spain,95,152.0,Province 834,Chardonnay
Chile,96,198.0,Province 835,Merlot
France,86,33.0,Province 836,Merlot
Spain,99,277.0,Province 837,Cabernet Sauvignon
US,95,173.0,Province 838,Syrah
Argentina,91,71.0,Province 839,Merlot
Argentina,82,9.0,Province 840,Chardonnay
Italy,84,36.0,Province 841,Syrah
Spain,80,8.0,Province 842,Merlot
US,85,37.0,Province 843,Chardonnay
Spain,97,209.0,Province 844,Cabernet Sauvignon
France,93,138.0,Province 845,Cabernet Sauvignon
France,100,279.0,Province 846,Merlot
US,97,208.0,Province 847,Merlot
US,87,42.0,Province 848,Pinot Noir
Argentina,92,121.0,Province 849,Merlot
US,84,29.0,Province 850,Pinot Noir
US,100,302.0,Province 851,Merlot
Argentina,84,23.0,Province 852,Merlot
France,99,266.0,Province 853,Chardonnay
Spain,91,124.0,Province 854,Cabernet Sauvignon
France,91,86.0,Province 855,Chardonnay
France,86,36.0,Province 856,Chardonnay
Italy,87,28.0,Province 857,Merlot
Argentina,96,193.0,Province 858,Syrah
Italy,97,221.0,Province 859,Chardonnay
US,93,146.0,Province 860,Syrah
Italy,80,8.0,Province 861,Syrah
US,90,68.0,Province 862,Syrah
Italy,91,81.0,Province 863,Chardonnay
Argentina,88,33.0,Province 864,Merlot
Italy,82,20.0,Province 865,Merlot
Argentina,83,29.0,Province 866,Pinot Noir
Chile,86,39.0,Province 867,Syrah
US,81,15.0,Province 868,Merlot
US,100,310.0,Province 869,Cabernet Sauvignon
France,85,19.0,Province 870,Syrah
US,87,44.0,Province 871,Syrah
US,94,145.0,Province 872,Chardonnay
Argentina,97,224.0,Province 873,Syrah
Argentina,85,24.0,Province 874,Pinot Noir
US,99,280.0,Province 875,Syrah
France,83,16.0,Province 876,Syrah
France,98,235.0,Province 877,Chardonnay
Italy,93,135.0,Province 878,Cabernet Sauvignon
US,90,,Province 879,Pinot Noir
US,84,28.0,Province 880,Pinot Noir
Chile,98,246.0,Province 881,Chardonnay
France,92,108.0,Province 882,Merlot
US,80,19.0,Province 883,Pinot Noir
France,84,21.0,Province 884,Syrah
US,83,14.0,Province 885,Chardonnay
Spain,94,144.0,Province 886,Cabernet Sauvignon
Italy,81,19.0,Province 887,Chardonnay
Italy,90,76.0,Province 888,Cabernet Sauvignon
US,90,61.0,Province 889,Cabernet Sauvignon
France,88,48.0,Province 890,Cabernet Sauvignon
US,83,22.0,Province 891,Syrah
Chile,99,263.0,Province 892,Syrah
Italy,85,31.0,Province 893,Chardonnay
US,100,297.0,Province 894,Merlot
Italy,83,8.0,Province 895,Cabernet Sauvignon
Spain,80,36.0,Province 896,Syrah
US,100,296.0,Province 897,Syrah
France,99,262.0,Province 898,Merlot
US,93,118.0,Province 899,Chardonnay
Italy,92,85.0,Province 900,Merlot
France,88,53.0,Province 901,Pinot Noir
US,94,147.0,Province 902,Cabernet Sauvignon
US,87,43.0,Province 903,Pinot Noir
US,90,67.0,Province 904,Cabernet Sauvignon
France,100,306.0,Province 905,Cabernet Sauvignon
France,95,170.0,Province 906,Syrah
US,83,16.0,Province 907,Chardonnay
US,90,64.0,Province 908,Pinot Noir
US,100,317.0,Province 909,Chardonnay
US,94,156.0,Province 910,Pinot Noir
US,88,69.0,Province 911,Syrah
US,90,,Province 912,Chardonnay
France,84,26.0,Province 913,Chardonnay
France,80,12.0,Province 914,Pinot Noir
US,90,79.0,Province 915,Pinot Noir
US,91,84.0,Province 916,Chardonnay
France,94,151.0,Province 917,Pinot Noir
Italy,89,70.0,Province 918,Chardonnay
Italy,83,37.0,Province 919,Chardonnay
Spain,88,35.0,Province 920,Merlot
France,90,83.0,Province 921,Syrah
France,96,195.0,Province 922,Merlot
Spain,99,272.0,Province 923,Cabernet Sauvignon
US,96,191.0,Province 924,Pinot Noir
France,89,76.0,Province 925,Cabernet Sauvignon
France,80,13.0,Province 926,Chardonnay
Chile,92,115.0,Province 927,Cabernet Sauvignon
US,83,33.0,Province 928,Cabernet Sauvignon
US,84,25.0,Province 929,Cabernet Sauvignon
US,95,179.0,Province 930,Merlot
US,100,306.0,Province 931,Syrah
US,100,318.0,Province 932,Merlot
France,88,57.0,Province 933,Pinot Noir
US,91,96.0,Province 934,Syrah
Argentina,87,32.0,Province 935,Chardonnay
Spain,80,18.0,Province 936,Syrah
US,85,37.0,Province 937,Chardonnay
US,83,35.0,Province 938,Syrah
US,90,88.0,Province 939,Pinot Noir
France,87,28.0,Province 940,Merlot
US,80,8.0,Province 941,Chardonnay
US,89,80.0,Province 942,Cabernet Sauvignon
Chile,88,61.0,Province 943,Chardonnay
Italy,98,230.0,Province 944,Syrah
Chile,87,54.0,Province 945,Chardonnay
Spain,85,36.0,Province 946,Merlot
US,80,24.0,Province 947,Merlot
Chile,86,37.0,Province 948,Syrah
France,95,166.0,Province 949,Chardonnay
Spain,99,282.0,Province 950,Chardonnay
France,86,46.0,Province 951,Pinot Noir
US,85,16.0,Province 952,Syrah
US,89,44.0,Province 953,Chardonnay
US,89,44.0,Province 954,Cabernet Sauvignon
Italy,95,169.0,Province 955,Pinot Noir
US,94,149.0,Province 956,Merlot
Spain,82,,Province 957,Chardonnay
Italy,85,35.0,Province 958,Pinot Noir
Chile,88,59.0,Province 959,Merlot
US,93,134.0,Province 960,Syrah
Chile,82,8.0,Province 961,Merlot
US,85,22.0,Province 962,Chardonnay
US,100,315.0,Province 963,Pinot Noir
France,83,8.0,Province 964,Pinot Noir
France,89,49.0,Province 965,Merlot
France,86,23.0,Province 966,Syrah
Italy,97,243.0,Province 967,Merlot
US,80,30.0,Province 968,Chardonnay
Italy,91,97.0,Province 969,Cabernet Sauvignon
Spain,83,30.0,Province 970,Chardonnay
US,97,231.0,Province 971,Chardonnay
France,96,195.0,Province 972,Pinot Noir
France,100,325.0,Province 973,Pinot Noir
Italy,91,99.0,Province 974,Merlot
France,83,16.0,Province 975,Cabernet Sauvignon
US,98,232.0,Province 976,Pinot Noir
US,87,52.0,Province 977,Pinot Noir
Italy,94,147.0,Province 978,Cabernet Sauvignon
France,88,50.0,Province 979,Merlot
Spain,81,20.0,Province 980,Pinot Noir
US,84,35.0,Province 981,Chardonnay
France,81,13.0,Province 982,Syrah
Italy,88,45.0,Province 983,Cabernet Sauvignon
US,83,35.0,Province 984,Syrah
US,87,40.0,Province 985,Merlot
Chile,100,316.0,Province 986,Merlot
Italy,98,251.0,Province 987,Chardonnay
France,94,140.0,Province 988,Chardonnay
US,94,147.0,Province 989,Chardonnay
US,85,32.0,Province 990,Merlot
US,96,199.0,Province 991,Cabernet Sauvignon
US,87,37.0,Province 992,Merlot
France,85,34.0,Province 993,Chardonnay
US,83,16.0,Province 994,Syrah
Italy,88,55.0,Province 995,Merlot
US,80,9.0,Province 996,Syrah
US,100,290.0,Province 997,Chardonnay
Italy,86,43.0,Province 998,Merlot
US,83,8.0,Province 999,Syrah
