MemberID,MonthlyVisits,MembershipDuration_Months,ClassParticipation,Renewed
990958,20.0,22,0,Yes
990959,23.0,5,1,Yes
990960,20.0,3,1,Yes
990961,19.0,32,0,Yes
990962,1.0,33,0,No
990963,22.0,6,1,Yes
990964,8.0,13,1,Yes
990965,23.0,5,0,Yes
990966,23.0,3,1,Yes
990967,17.0,19,0,Yes
990968,18.0,7,1,Yes
990969,0.0,13,0,No
990970,16.0,8,1,Yes
990971,9.0,9,1,Yes
990972,18.0,20,0,Yes
990973,19.0,16,0,Yes
990974,18.0,1,0,Yes
990975,23.0,13,1,Yes
990976,14.0,1,1,Yes
990977,8.0,21,0,No
990978,11.0,14,0,Yes
990979,6.0,33,1,Yes
990980,11.0,20,1,Yes
990981,7.0,11,1,Yes
990982,18.0,4,0,Yes
990983,20.0,20,0,Yes
990984,12.0,6,1,Yes
990985,20.0,9,0,Yes
990986,5.0,17,0,No
990987,20.0,30,1,Yes
990988,8.0,32,0,Yes
990989,12.0,13,0,Yes
990990,23.0,27,1,Yes
990991,14.0,20,0,Yes
990992,16.0,26,0,Yes
990993,9.0,10,1,Yes
990994,12.0,27,1,No
990995,0.0,12,1,No
990996,10.0,23,1,Yes
990997,0.0,24,0,No
990998,4.0,26,0,Yes
990999,4.0,12,0,No
991000,9.0,3,1,No
