NewHireID,MentoringHours,MentorFeedbackScore,Department,JobSatisfaction,OneYearRetention
1460643,8.6,7.3,Support,122.4,0
1460644,44.1,8.0,Sales,62.3,1
1460645,37.1,8.1,Sales,115.0,1
1460646,15.8,8.6,Support,103.9,1
1460647,25.4,8.6,HR,118.1,0
1460648,14.1,7.0,Sales,152.3,0
1460649,5.9,6.9,Support,115.0,0
1460650,39.1,6.6,Sales,135.3,0
1460651,10.8,8.6,Support,116.9,0
1460652,21.3,5.7,Sales,77.5,0
1460653,6.2,5.9,Support,100.2,0
1460654,5.8,6.7,Engineering,108.0,0
1460655,34.2,6.9,Support,70.0,1
1460656,36.0,5.9,Sales,70.0,1
1460657,19.5,,Sales,74.0,0
1460658,14.6,5.9,HR,88.4,0
1460659,20.5,6.0,Engineering,147.7,0
1460660,5.4,7.8,Engineering,89.4,1
1460661,33.6,8.2,Engineering,85.4,1
1460662,24.3,7.1,Support,81.0,1
1460663,40.9,9.9,Support,89.4,1
1460664,32.9,5.6,Engineering,59.8,1
1460665,35.6,6.4,Engineering,106.6,1
1460666,34.8,8.1,Engineering,55.9,1
1460667,25.8,7.2,HR,163.1,0
1460668,34.0,7.2,Sales,78.0,1
1460669,8.5,9.7,Sales,117.8,1
1460670,24.9,5.9,Sales,54.1,0
1460671,28.1,7.1,Sales,122.8,0
1460672,6.9,7.7,Engineering,121.4,0
1460673,6.9,9.1,HR,68.7,0
1460674,26.1,6.9,Engineering,129.7,1
1460675,19.4,6.1,Sales,104.3,0
1460676,9.1,6.3,Support,99.9,1
1460677,42.8,7.8,HR,93.7,1
1460678,13.7,7.7,Engineering,75.0,1
1460679,39.0,7.3,Engineering,132.4,0
1460680,43.0,10.0,HR,43.9,0
1460681,7.3,6.6,Sales,132.5,0
1460682,20.5,7.3,HR,114.3,0
1460683,40.2,5.6,HR,118.5,0
1460684,41.1,6.5,Sales,79.9,1
1460685,32.4,10.0,Support,192.6,0
1460686,16.8,7.1,Engineering,108.3,0
1460687,22.3,6.7,Support,99.9,0
1460688,10.1,8.1,HR,80.2,1
1460689,18.6,5.9,Support,75.1,1
1460690,15.5,,Sales,111.5,1
1460691,28.4,6.9,Engineering,99.6,0
1460692,33.1,4.6,HR,109.1,0
1460693,36.7,8.6,Engineering,129.0,0
1460694,11.2,7.2,Sales,84.5,1
1460695,43.6,8.2,Engineering,100.2,0
1460696,11.3,7.1,Engineering,108.5,0
1460697,21.1,7.8,Sales,125.9,0
1460698,28.4,8.3,HR,83.9,1
1460699,30.5,7.7,Engineering,121.4,0
1460700,14.2,6.1,Sales,134.3,0
1460701,24.0,9.7,Engineering,108.8,0
1460702,43.2,7.6,Engineering,114.9,1
1460703,29.2,7.5,HR,100.2,0
1460704,31.3,8.2,Engineering,109.7,0
1460705,26.5,8.0,HR,123.1,0
1460706,8.0,7.0,Engineering,99.3,0
1460707,30.8,6.3,HR,81.9,1
1460708,30.7,5.6,Support,126.6,0
1460709,11.4,6.4,Sales,124.1,0
1460710,12.7,9.0,HR,86.9,1
1460711,10.3,5.4,HR,122.4,0
1460712,32.3,6.7,Support,81.0,1
1460713,20.7,6.0,Engineering,129.4,1
1460714,6.4,8.0,Sales,54.9,1
1460715,43.1,7.0,HR,93.9,1
1460716,32.1,8.7,Sales,63.0,1
1460717,26.4,7.8,Sales,122.8,0
1460718,39.6,3.3,Support,115.6,0
1460719,22.5,6.2,Support,87.7,1
1460720,16.9,7.0,Engineering,136.6,0
1460721,9.2,7.6,Sales,130.1,0
1460722,37.5,7.0,Engineering,62.3,1
1460723,43.7,6.1,Support,148.8,0
1460724,26.7,7.5,Sales,135.0,0
1460725,5.7,5.6,Support,98.1,0
1460726,25.8,6.2,Sales,137.5,0
1460727,29.3,7.4,Sales,79.9,1
1460728,30.4,5.8,Engineering,142.0,0
1460729,33.3,6.6,HR,125.5,0
1460730,17.2,8.6,Sales,112.5,0
1460731,7.4,5.9,HR,67.0,1
1460732,16.6,7.1,Support,86.7,1
1460733,17.9,6.9,HR,83.1,0
1460734,33.6,6.2,Engineering,97.3,0
1460735,26.3,5.8,Engineering,62.8,1
1460736,33.8,8.9,Engineering,59.9,1
1460737,21.7,6.0,HR,92.7,1
1460738,15.2,6.6,Engineering,115.0,1
1460739,36.1,9.1,HR,76.2,1
1460740,12.2,6.1,Engineering,107.6,1
1460741,42.6,6.4,Engineering,96.7,1
1460742,25.2,7.7,Engineering,99.0,0
1460743,37.8,6.2,HR,107.4,0
1460744,7.8,3.9,Support,113.4,0
1460745,44.3,6.7,Engineering,22.9,0
1460746,42.0,6.6,Sales,96.2,1
1460747,33.6,10.0,Sales,89.7,1
1460748,33.4,7.2,Sales,72.6,1
1460749,34.1,8.7,Engineering,121.2,0
1460750,41.6,5.6,HR,92.9,0
1460751,25.1,6.2,Engineering,126.6,1
1460752,35.7,7.9,Sales,82.9,1
1460753,32.7,7.8,HR,133.6,0
1460754,12.0,6.1,HR,148.0,0
1460755,30.7,6.9,HR,76.0,1
1460756,23.7,7.1,Engineering,74.2,1
1460757,10.2,4.7,Support,83.5,1
1460758,37.3,7.4,Support,71.6,1
1460759,26.7,7.4,Sales,117.4,0
1460760,29.0,6.0,Support,134.6,0
1460761,23.4,5.6,Support,101.4,1
1460762,39.1,8.9,Support,82.5,1
1460763,29.4,7.9,Support,114.5,0
1460764,27.0,9.2,HR,104.0,0
1460765,40.7,7.0,HR,123.7,0
1460766,33.9,10.0,HR,89.0,1
1460767,8.1,10.0,Engineering,64.1,1
1460768,17.1,7.6,Support,100.3,1
1460769,33.2,7.0,HR,81.1,1
1460770,23.2,8.8,HR,51.6,1
1460771,8.9,6.2,Engineering,121.7,0
1460772,36.4,7.1,HR,100.9,1
1460773,11.5,10.0,HR,71.3,1
1460774,9.4,9.4,HR,124.5,0
1460775,17.1,4.7,Engineering,114.0,0
1460776,30.7,8.3,Sales,107.6,0
1460777,25.2,8.3,Engineering,99.6,1
1460778,8.9,8.3,HR,105.6,0
1460779,41.3,8.0,Support,113.1,0
1460780,29.9,10.0,Sales,54.4,0
1460781,26.9,4.9,Support,85.2,1
1460782,6.2,7.4,Engineering,78.5,1
1460783,40.8,6.5,Engineering,105.7,1
1460784,36.1,7.4,HR,114.7,1
1460785,13.4,7.3,Sales,77.1,0
1460786,42.5,10.0,Support,112.9,0
1460787,43.8,7.6,Sales,91.9,1
1460788,30.9,6.6,Support,100.2,1
1460789,32.3,5.7,Support,123.1,1
1460790,40.4,6.9,Support,111.3,0
1460791,33.7,3.9,Engineering,71.8,1
1460792,36.5,7.8,Sales,94.4,1
1460793,10.6,7.9,Support,58.9,0
1460794,5.0,5.0,Engineering,62.3,1
1460795,11.9,7.4,Support,36.4,1
1460796,26.3,7.1,Sales,129.9,1
1460797,17.6,9.4,HR,90.9,1
1460798,30.0,5.8,Support,54.0,1
1460799,7.8,7.2,Sales,41.9,1
1460800,31.5,9.7,Engineering,64.0,1
1460801,39.0,8.0,Support,114.4,0
1460802,36.3,5.4,Engineering,75.7,1
1460803,14.0,,Sales,79.6,1
1460804,28.1,6.5,HR,45.6,1
1460805,16.7,6.5,Support,82.8,1
1460806,30.6,5.7,HR,78.7,1
1460807,37.0,6.1,Support,96.6,1
1460808,44.6,6.6,HR,99.7,0
1460809,45.0,6.3,Sales,73.5,1
1460810,27.0,7.7,Sales,104.3,1
1460811,11.6,7.4,Support,104.9,0
1460812,26.5,8.4,Sales,90.6,0
1460813,23.4,6.3,Sales,126.1,0
1460814,38.9,6.8,Sales,87.0,1
1460815,43.6,7.0,HR,121.4,0
1460816,21.3,6.5,Engineering,76.3,1
1460817,11.4,7.6,Engineering,78.3,1
1460818,26.1,7.6,HR,78.9,1
1460819,11.8,5.6,Engineering,106.1,0
1460820,13.2,8.3,Sales,77.3,0
1460821,19.3,8.6,HR,85.8,1
1460822,13.1,5.9,Engineering,155.4,0
1460823,6.3,8.2,Engineering,139.2,0
1460824,6.6,6.4,Sales,103.5,0
1460825,19.4,6.3,Engineering,150.9,0
1460826,7.0,8.4,Engineering,121.1,0
1460827,12.6,7.4,Sales,105.2,0
1460828,20.1,4.7,HR,65.1,1
1460829,26.4,8.3,HR,143.1,0
1460830,35.1,10.0,HR,64.1,0
1460831,6.8,9.2,Engineering,99.8,1
1460832,5.6,8.4,HR,99.7,1
1460833,33.0,7.0,HR,52.0,1
1460834,5.1,9.9,Support,108.1,1
1460835,40.0,6.0,Engineering,119.2,0
1460836,15.7,8.5,HR,106.2,1
1460837,7.4,6.0,Engineering,122.1,0
1460838,29.0,5.8,HR,112.3,0
1460839,10.8,6.0,HR,125.9,1
1460840,19.1,6.6,Support,84.5,0
1460841,40.0,6.2,HR,138.7,0
1460842,19.9,7.0,Sales,114.1,0
1460843,13.2,7.2,Sales,83.8,0
1460844,15.9,6.9,Support,69.9,1
1460845,35.3,6.9,Support,126.4,0
1460846,26.3,10.0,Sales,120.1,0
1460847,37.7,6.7,HR,85.4,1
1460848,33.1,6.8,Support,65.3,1
1460849,23.9,5.2,HR,80.0,1
1460850,43.0,9.5,Engineering,60.1,1
1460851,24.0,8.3,Engineering,94.9,0
1460852,5.6,8.4,Sales,57.3,1
1460853,8.1,7.1,Engineering,62.6,1
1460854,39.3,7.6,Support,52.3,1
1460855,21.0,10.0,Sales,149.9,0
1460856,19.1,8.6,Sales,126.6,0
1460857,32.3,6.1,Support,103.9,1
1460858,16.1,7.9,HR,92.6,0
1460859,25.9,7.4,HR,90.2,0
1460860,11.8,4.5,Engineering,108.3,0
1460861,10.2,4.4,HR,101.1,1
1460862,38.0,6.9,Sales,157.3,0
1460863,13.8,5.6,HR,91.8,1
1460864,19.7,6.8,Sales,37.1,1
1460865,41.7,7.1,HR,88.5,0
1460866,16.9,7.1,Support,117.3,1
1460867,8.2,7.0,Engineering,107.8,1
1460868,23.1,6.4,Support,144.4,0
1460869,20.0,6.0,HR,80.8,1
1460870,45.0,9.4,HR,46.6,0
1460871,34.5,6.9,Sales,90.2,1
1460872,24.6,8.7,HR,106.5,0
1460873,6.3,9.0,Engineering,103.1,0
1460874,10.1,6.3,Engineering,124.8,0
1460875,36.1,8.1,Support,68.9,1
1460876,39.2,6.8,Support,87.7,0
1460877,24.5,5.8,Engineering,145.1,0
1460878,37.0,6.4,HR,112.3,0
1460879,35.7,8.5,Support,93.8,1
1460880,18.7,6.7,HR,120.7,0
1460881,31.4,8.6,HR,87.5,1
1460882,33.0,7.6,Engineering,138.0,0
1460883,34.5,7.7,Engineering,108.2,0
1460884,20.4,9.2,Sales,129.1,1
1460885,26.4,,Engineering,90.5,1
1460886,27.2,10.0,HR,49.5,0
1460887,20.5,7.1,HR,70.9,0
1460888,39.5,7.8,Support,94.2,1
1460889,36.5,8.4,Sales,88.4,1
1460890,36.9,5.7,Sales,84.8,1
1460891,25.9,7.7,Support,85.6,0
1460892,43.7,8.3,HR,92.1,1
1460893,17.2,5.9,Support,118.3,0
1460894,13.4,8.0,HR,100.8,0
1460895,41.2,5.8,Engineering,116.0,0
1460896,38.8,7.3,Support,84.4,0
1460897,23.0,10.0,Sales,125.0,0
1460898,13.9,7.0,Sales,87.8,0
1460899,32.0,5.4,HR,123.1,0
1460900,38.5,7.9,Support,143.4,0
1460901,38.6,10.0,Support,56.5,0
1460902,20.8,7.4,Sales,54.9,1
1460903,39.4,8.1,Sales,82.1,1
1460904,19.0,3.7,Support,126.2,0
1460905,34.5,7.0,HR,73.4,1
1460906,43.4,6.8,Engineering,147.4,0
1460907,18.7,5.2,Sales,138.0,1
1460908,29.7,7.9,Sales,90.0,1
1460909,12.3,6.4,Support,66.1,1
1460910,30.9,6.9,Support,112.0,0
1460911,26.9,8.0,HR,94.2,1
1460912,29.9,6.2,Sales,151.8,0
1460913,32.9,6.1,HR,94.7,1
1460914,12.9,7.8,Support,109.1,0
1460915,40.5,7.5,Sales,94.2,0
1460916,32.2,7.2,Support,74.2,0
1460917,38.8,7.0,Support,93.3,0
1460918,24.6,9.1,Sales,92.9,0
1460919,29.6,,Support,121.7,0
1460920,11.8,3.0,Sales,86.4,1
1460921,10.6,8.4,Engineering,113.2,1
1460922,15.6,6.9,Sales,70.7,1
1460923,39.6,7.6,Support,105.4,1
1460924,44.3,6.7,HR,101.4,0
1460925,36.8,8.2,Support,60.9,1
1460926,13.2,8.6,Engineering,94.5,0
1460927,14.1,5.1,Engineering,116.5,0
1460928,7.6,7.3,Support,135.7,0
1460929,25.6,4.8,Engineering,119.3,0
1460930,12.9,9.0,Sales,112.2,1
1460931,30.7,4.8,Sales,67.6,1
1460932,14.7,10.0,HR,88.9,0
1460933,37.1,8.1,HR,120.7,0
1460934,25.1,9.5,Engineering,132.7,0
1460935,27.0,4.2,Support,73.6,1
1460936,16.7,5.8,Engineering,134.4,0
1460937,41.5,8.5,Sales,75.1,1
1460938,20.2,8.0,HR,64.1,1
1460939,14.3,3.8,HR,81.8,0
1460940,40.6,8.9,HR,95.5,1
1460941,28.3,6.7,Support,119.4,0
1460942,29.0,7.6,Engineering,85.5,0
1460943,34.8,6.5,HR,84.4,1
1460944,14.2,6.4,Support,109.1,0
1460945,27.3,7.8,HR,109.1,1
1460946,8.8,9.0,HR,89.1,1
1460947,11.8,7.4,HR,77.9,1
1460948,14.7,8.8,HR,129.1,0
1460949,10.1,5.2,Sales,90.1,1
1460950,17.3,6.4,Sales,115.3,0
1460951,6.4,4.8,Support,96.7,1
1460952,36.8,3.3,HR,152.8,0
1460953,39.3,7.0,HR,110.2,0
1460954,25.4,5.5,Sales,91.9,1
1460955,13.4,8.4,Support,95.1,0
1460956,16.5,6.3,HR,121.1,0
1460957,37.5,8.1,Engineering,121.0,0
1460958,42.1,8.7,Sales,113.2,1
1460959,26.4,5.6,Support,106.8,0
1460960,26.9,6.9,Support,92.9,0
1460961,32.0,4.9,Engineering,64.4,0
1460962,31.2,5.7,HR,87.4,0
1460963,29.1,6.6,HR,113.5,0
1460964,9.3,8.6,Sales,77.5,1
1460965,5.2,6.9,Engineering,64.0,1
1460966,31.3,8.4,Engineering,85.6,0
1460967,42.6,6.8,HR,108.2,0
1460968,14.5,7.2,HR,133.2,0
1460969,33.6,5.5,Support,163.7,0
1460970,22.4,7.6,Support,92.1,1
1460971,20.1,7.2,Sales,110.7,1
1460972,18.4,4.7,Support,105.6,0
1460973,33.2,6.3,HR,113.7,1
1460974,25.2,7.2,Sales,115.8,1
1460975,43.8,6.1,HR,70.0,1
1460976,36.7,4.9,Support,96.7,1
1460977,23.4,4.4,HR,75.1,1
1460978,26.9,5.9,Support,136.4,0
1460979,32.8,7.9,Engineering,115.8,0
1460980,31.0,6.5,HR,115.9,0
1460981,11.5,8.7,Support,68.9,1
1460982,44.5,7.3,Support,128.6,1
1460983,38.1,8.7,HR,106.1,0
1460984,42.2,9.5,Engineering,106.4,1
1460985,26.2,7.9,HR,106.6,0
1460986,33.9,7.1,Engineering,114.5,0
1460987,14.9,7.9,Engineering,89.2,0
1460988,7.3,8.4,Support,91.7,0
1460989,39.0,7.5,HR,94.6,1
1460990,13.7,4.9,HR,147.8,0
1460991,36.7,7.2,Support,133.5,0
1460992,8.1,7.3,Support,79.5,0
1460993,39.9,5.0,Engineering,101.3,1
1460994,41.1,6.6,Support,138.7,0
1460995,25.4,6.7,Engineering,103.4,1
1460996,13.9,8.9,HR,78.3,1
1460997,16.5,8.6,HR,99.6,0
1460998,43.8,8.3,Sales,89.8,1
1460999,6.4,5.4,Sales,89.2,0
1461000,41.6,4.8,Support,99.9,0
