CustomerID,Contract,MonthlyCharges,Tenure_Months,InternetService,Churn
80704,One year,65,22,Fiber optic,No
80705,Two year,101,48,Fiber optic,No
80706,Month-to-month,56,72,DSL,No
80707,Two year,81,46,No,No
80708,Two year,115,61,No,No
80709,One year,109,67,No,No
80710,Month-to-month,89,50,DSL,No
80711,Month-to-month,59,38,DSL,No
80712,Month-to-month,56,69,Fiber optic,No
80713,Month-to-month,96,65,No,No
80714,Month-to-month,107,19,Fiber optic,Yes
80715,Month-to-month,86,65,No,No
80716,Month-to-month,62,62,Fiber optic,No
80717,Two year,72,17,DSL,Yes
80718,Two year,56,9,Fiber optic,Yes
80719,Two year,57,12,Fiber optic,Yes
80720,Two year,111,33,DSL,No
80721,Month-to-month,103,60,No,No
80722,Month-to-month,103,42,Fiber optic,No
80723,Two year,80,59,Fiber optic,No
80724,Two year,94,67,Fiber optic,No
80725,Two year,69,33,DSL,No
80726,Month-to-month,74,63,No,Yes
80727,Month-to-month,104,23,No,Yes
80728,One year,55,58,Fiber optic,No
80729,Month-to-month,69,43,Fiber optic,No
80730,Two year,105,62,Fiber optic,No
80731,Two year,83,71,Fiber optic,No
80732,Two year,103,9,No,Yes
80733,One year,123,32,DSL,No
80734,Two year,89,68,Fiber optic,No
80735,One year,101,19,No,Yes
80736,One year,120,51,Fiber optic,Yes
80737,Month-to-month,99,66,DSL,No
80738,Month-to-month,59,28,Fiber optic,No
80739,Month-to-month,77,6,Fiber optic,No
80740,Two year,72,63,DSL,No
80741,Month-to-month,51,17,Fiber optic,Yes
80742,One year,85,18,Fiber optic,No
80743,Month-to-month,107,39,Fiber optic,No
80744,Two year,118,22,DSL,Yes
80745,Month-to-month,62,64,DSL,No
80746,Two year,104,49,Fiber optic,No
80747,Two year,74,61,Fiber optic,No
80748,Month-to-month,94,19,Fiber optic,Yes
80749,Month-to-month,68,16,No,No
80750,Month-to-month,103,22,Fiber optic,No
80751,Month-to-month,59,47,Fiber optic,No
80752,Month-to-month,42,67,DSL,No
80753,Two year,74,53,DSL,No
80754,Month-to-month,76,62,DSL,No
80755,Month-to-month,100,11,DSL,No
80756,Two year,112,49,DSL,No
80757,One year,108,25,No,Yes
80758,One year,124,51,DSL,No
80759,Month-to-month,96,26,DSL,Yes
80760,Month-to-month,45,44,No,No
80761,One year,57,60,Fiber optic,No
80762,Month-to-month,81,48,DSL,No
80763,Month-to-month,62,25,DSL,Yes
80764,Two year,116,3,Fiber optic,Yes
80765,Two year,56,68,Fiber optic,No
80766,Month-to-month,93,28,Fiber optic,No
80767,Month-to-month,103,66,DSL,No
80768,Two year,85,22,Fiber optic,Yes
80769,One year,65,47,DSL,No
80770,Month-to-month,50,35,Fiber optic,No
80771,Two year,64,52,Fiber optic,No
80772,Month-to-month,78,58,No,No
80773,One year,101,35,DSL,No
80774,Month-to-month,62,1,No,Yes
80775,Month-to-month,102,25,Fiber optic,Yes
80776,One year,108,65,DSL,No
80777,Two year,124,6,DSL,No
80778,Month-to-month,95,32,Fiber optic,Yes
80779,Month-to-month,41,21,No,No
80780,Month-to-month,109,56,Fiber optic,No
80781,Month-to-month,92,47,Fiber optic,No
80782,Month-to-month,99,57,Fiber optic,Yes
80783,One year,84,21,DSL,No
80784,One year,59,25,DSL,No
80785,Two year,105,17,Fiber optic,Yes
80786,Month-to-month,58,8,Fiber optic,Yes
80787,One year,80,53,No,No
80788,Month-to-month,109,41,No,Yes
80789,One year,92,30,No,No
80790,One year,107,56,Fiber optic,No
80791,Month-to-month,61,65,Fiber optic,No
80792,Month-to-month,80,38,Fiber optic,Yes
80793,Month-to-month,70,30,DSL,No
80794,Month-to-month,81,59,Fiber optic,No
80795,Month-to-month,109,69,Fiber optic,No
80796,Two year,79,41,DSL,No
80797,Month-to-month,62,47,DSL,No
80798,One year,72,34,DSL,No
80799,One year,56,27,DSL,No
80800,Month-to-month,74,10,DSL,Yes
80801,Month-to-month,89,34,DSL,Yes
80802,One year,90,70,Fiber optic,No
80803,One year,75,43,DSL,No
80804,One year,71,60,No,No
80805,Month-to-month,41,29,Fiber optic,No
80806,Month-to-month,68,68,Fiber optic,No
80807,Two year,72,35,DSL,No
80808,Month-to-month,102,44,DSL,No
80809,One year,56,24,Fiber optic,No
80810,Two year,122,45,Fiber optic,Yes
80811,Month-to-month,69,20,Fiber optic,Yes
80812,Month-to-month,64,51,DSL,No
80813,One year,90,45,Fiber optic,No
80814,Two year,102,16,Fiber optic,Yes
80815,One year,114,66,Fiber optic,No
80816,One year,98,51,No,No
80817,Month-to-month,63,1,DSL,Yes
80818,One year,77,2,No,No
80819,One year,102,47,Fiber optic,No
80820,Month-to-month,93,49,Fiber optic,No
80821,Month-to-month,65,70,DSL,No
80822,Two year,85,62,DSL,No
80823,Two year,90,70,Fiber optic,No
80824,Two year,101,8,DSL,No
80825,Month-to-month,89,34,No,Yes
80826,Month-to-month,51,71,DSL,No
80827,Two year,71,45,DSL,No
80828,Month-to-month,92,64,DSL,No
80829,Month-to-month,47,3,DSL,Yes
80830,Month-to-month,101,18,Fiber optic,Yes
80831,Month-to-month,42,37,Fiber optic,No
80832,Month-to-month,58,7,No,Yes
80833,Month-to-month,51,31,DSL,Yes
80834,Two year,90,63,No,No
80835,Month-to-month,79,63,No,Yes
80836,Month-to-month,59,70,Fiber optic,No
80837,Two year,93,46,Fiber optic,Yes
80838,One year,60,67,Fiber optic,No
80839,One year,92,20,DSL,No
80840,Month-to-month,99,51,DSL,No
80841,Month-to-month,63,37,Fiber optic,No
80842,Month-to-month,47,62,DSL,No
80843,One year,104,30,Fiber optic,No
80844,One year,109,66,Fiber optic,No
80845,Month-to-month,96,15,DSL,Yes
80846,One year,88,55,Fiber optic,No
80847,Two year,92,19,Fiber optic,Yes
80848,Month-to-month,89,3,DSL,Yes
80849,Month-to-month,93,68,DSL,No
80850,One year,101,3,DSL,No
80851,Month-to-month,76,45,DSL,No
80852,Month-to-month,59,8,DSL,No
80853,Month-to-month,66,46,Fiber optic,No
80854,Month-to-month,108,71,No,No
80855,Month-to-month,85,25,Fiber optic,Yes
80856,Month-to-month,63,13,Fiber optic,Yes
80857,One year,88,30,Fiber optic,No
80858,Month-to-month,90,42,Fiber optic,No
80859,Month-to-month,99,44,Fiber optic,No
80860,Month-to-month,90,18,Fiber optic,No
80861,One year,79,36,No,No
80862,Month-to-month,63,44,Fiber optic,No
80863,One year,123,62,No,No
80864,Month-to-month,61,4,DSL,No
80865,Month-to-month,42,71,DSL,No
80866,Two year,101,44,No,Yes
80867,Month-to-month,89,44,Fiber optic,No
80868,Month-to-month,49,45,No,Yes
80869,One year,117,39,Fiber optic,No
80870,Month-to-month,68,9,DSL,Yes
80871,Month-to-month,103,18,Fiber optic,No
80872,One year,89,67,Fiber optic,No
80873,One year,58,42,Fiber optic,No
80874,Two year,89,3,DSL,No
80875,Month-to-month,49,22,DSL,No
80876,One year,86,35,Fiber optic,No
80877,Two year,57,71,Fiber optic,No
80878,One year,109,3,Fiber optic,Yes
80879,Two year,100,67,Fiber optic,No
80880,Month-to-month,48,24,DSL,Yes
80881,Month-to-month,93,30,DSL,No
80882,Month-to-month,94,16,No,No
80883,Month-to-month,48,45,DSL,No
80884,Two year,112,32,Fiber optic,Yes
80885,Month-to-month,60,12,DSL,Yes
80886,Two year,68,51,DSL,No
80887,One year,65,35,Fiber optic,No
80888,One year,62,45,No,No
80889,Month-to-month,46,67,Fiber optic,No
80890,Month-to-month,54,17,DSL,Yes
80891,Two year,100,12,No,No
80892,One year,84,68,No,No
80893,Two year,58,2,DSL,Yes
80894,One year,112,61,DSL,No
80895,Month-to-month,93,62,Fiber optic,No
80896,Two year,119,47,DSL,No
80897,Month-to-month,100,49,DSL,No
80898,One year,79,62,DSL,No
80899,Two year,103,34,DSL,No
80900,One year,115,6,Fiber optic,Yes
80901,Two year,77,24,DSL,Yes
80902,Month-to-month,73,71,Fiber optic,No
80903,Two year,122,54,Fiber optic,No
80904,One year,91,53,No,No
80905,One year,86,64,Fiber optic,No
80906,Month-to-month,59,18,Fiber optic,No
80907,One year,104,42,DSL,No
80908,Month-to-month,68,48,DSL,No
80909,Two year,59,23,DSL,No
80910,Two year,84,37,No,No
80911,Month-to-month,47,70,DSL,No
80912,One year,61,15,Fiber optic,No
80913,Two year,102,20,DSL,No
80914,Two year,102,25,No,No
80915,One year,62,23,Fiber optic,Yes
80916,Two year,68,9,Fiber optic,No
80917,Month-to-month,67,36,DSL,No
80918,Two year,70,10,DSL,No
80919,One year,62,26,DSL,No
80920,One year,110,46,DSL,No
80921,One year,117,41,DSL,No
80922,Month-to-month,53,21,Fiber optic,No
80923,Month-to-month,71,38,DSL,No
80924,Two year,98,25,DSL,No
80925,One year,123,15,DSL,No
80926,Month-to-month,105,27,Fiber optic,No
80927,Two year,84,8,DSL,No
80928,Month-to-month,48,52,Fiber optic,No
80929,Month-to-month,60,8,No,No
80930,Month-to-month,79,71,Fiber optic,No
80931,Month-to-month,85,37,No,No
80932,Month-to-month,47,40,Fiber optic,Yes
80933,Month-to-month,71,5,Fiber optic,No
80934,Month-to-month,43,14,Fiber optic,Yes
80935,Month-to-month,40,14,No,No
80936,Month-to-month,63,34,Fiber optic,No
80937,One year,73,31,Fiber optic,No
80938,One year,114,46,DSL,No
80939,Month-to-month,49,12,Fiber optic,Yes
80940,Month-to-month,87,35,DSL,No
80941,Two year,60,66,Fiber optic,No
80942,Two year,104,65,Fiber optic,No
80943,One year,96,42,DSL,No
80944,One year,98,53,DSL,No
80945,Month-to-month,61,63,Fiber optic,No
80946,Month-to-month,85,23,No,Yes
80947,Month-to-month,105,46,Fiber optic,No
80948,Month-to-month,108,28,Fiber optic,No
80949,One year,93,19,Fiber optic,No
80950,One year,62,39,Fiber optic,No
80951,One year,60,43,DSL,No
80952,Month-to-month,63,48,Fiber optic,Yes
80953,Month-to-month,84,70,Fiber optic,No
80954,Two year,96,27,Fiber optic,No
80955,Month-to-month,99,32,Fiber optic,No
80956,Two year,106,4,DSL,No
80957,One year,70,31,DSL,No
80958,One year,122,4,DSL,Yes
80959,One year,80,62,Fiber optic,No
80960,One year,98,40,DSL,No
80961,Month-to-month,73,29,Fiber optic,No
80962,Month-to-month,60,3,Fiber optic,Yes
80963,One year,71,40,DSL,Yes
80964,One year,114,6,DSL,Yes
80965,One year,118,49,No,No
80966,Two year,68,14,DSL,No
80967,Month-to-month,78,63,DSL,No
80968,Month-to-month,44,5,Fiber optic,Yes
80969,Month-to-month,72,16,Fiber optic,Yes
80970,One year,123,39,No,No
80971,Month-to-month,69,65,Fiber optic,No
80972,Month-to-month,68,69,No,No
80973,One year,89,8,DSL,Yes
80974,One year,66,58,Fiber optic,No
80975,One year,83,54,DSL,No
80976,One year,123,3,Fiber optic,Yes
80977,Month-to-month,99,52,DSL,Yes
80978,Month-to-month,60,14,No,No
80979,Two year,107,48,DSL,No
80980,Month-to-month,43,45,Fiber optic,Yes
80981,Month-to-month,101,51,Fiber optic,No
80982,Month-to-month,65,25,Fiber optic,Yes
80983,Two year,62,56,DSL,No
80984,Month-to-month,92,32,DSL,Yes
80985,Month-to-month,46,9,No,Yes
80986,One year,89,43,Fiber optic,No
80987,Month-to-month,60,63,DSL,No
80988,Month-to-month,104,27,DSL,No
80989,Month-to-month,65,24,DSL,No
80990,Two year,71,13,No,No
80991,Month-to-month,106,49,Fiber optic,No
80992,Two year,97,5,DSL,No
80993,Month-to-month,101,66,Fiber optic,No
80994,Month-to-month,84,17,No,Yes
80995,Month-to-month,85,33,DSL,No
80996,One year,92,46,Fiber optic,No
80997,Two year,104,4,DSL,Yes
80998,Month-to-month,78,11,DSL,Yes
80999,One year,57,71,DSL,No
81000,Two year,121,37,Fiber optic,No
