UserID,Age,HoursWatched_Weekly,MonthlyCost,PlanType,Churned
750697,48,36.5,18.0,Premium,No
750698,56,21.4,8.0,Basic,No
750699,42,16.3,18.0,Premium,Yes
750700,38,10.6,13.0,Standard,Yes
750701,18,16.0,13.0,Standard,No
750702,28,23.1,8.0,Basic,Yes
750703,62,14.5,18.0,Premium,No
750704,57,0.7,8.0,Basic,Yes
750705,44,10.5,8.0,Basic,Yes
750706,17,4.4,13.0,Standard,Yes
750707,58,2.7,8.0,Basic,Yes
750708,73,25.7,8.0,Basic,Yes
750709,71,6.0,8.0,Basic,Yes
750710,37,8.5,18.0,Premium,Yes
750711,15,6.7,13.0,Standard,Yes
750712,29,33.9,18.0,Premium,No
750713,35,10.6,18.0,Premium,No
750714,30,14.8,8.0,Basic,Yes
750715,60,40.0,13.0,Standard,Yes
750716,74,40.1,13.0,Standard,No
750717,27,21.8,13.0,Standard,No
750718,66,32.6,8.0,Basic,Yes
750719,70,37.7,18.0,Premium,Yes
750720,31,1.3,8.0,Basic,Yes
750721,29,17.9,8.0,Basic,Yes
750722,39,1.7,8.0,Basic,Yes
750723,54,5.3,18.0,Premium,Yes
750724,42,7.3,18.0,Premium,Yes
750725,30,9.7,13.0,Standard,No
750726,56,19.9,13.0,Standard,Yes
750727,37,36.0,18.0,Premium,Yes
750728,38,40.4,13.0,Standard,Yes
750729,70,1.1,8.0,Basic,Yes
750730,69,38.7,13.0,Standard,No
750731,53,30.6,8.0,Basic,No
750732,51,36.0,8.0,Basic,No
750733,22,22.0,13.0,Standard,No
750734,40,31.0,8.0,Basic,No
750735,15,40.0,13.0,Standard,No
750736,67,23.7,8.0,Basic,Yes
750737,48,22.0,8.0,Basic,No
750738,47,7.6,8.0,Basic,No
750739,63,3.2,8.0,Basic,Yes
750740,59,11.3,18.0,Premium,Yes
750741,22,7.5,13.0,Standard,Yes
750742,32,11.0,8.0,Basic,Yes
750743,45,10.5,8.0,Basic,Yes
750744,21,11.8,18.0,Premium,Yes
750745,25,29.2,13.0,Standard,No
750746,25,36.1,18.0,Premium,No
750747,34,35.0,18.0,Premium,Yes
750748,65,16.9,18.0,Premium,No
750749,37,41.6,18.0,Premium,No
750750,70,23.3,8.0,Basic,Yes
750751,18,3.0,18.0,Premium,Yes
750752,35,4.2,13.0,Standard,Yes
750753,59,11.1,13.0,Standard,Yes
750754,41,22.2,13.0,Standard,Yes
750755,36,30.3,18.0,Premium,Yes
750756,60,40.4,8.0,Basic,No
750757,70,23.1,8.0,Basic,No
750758,47,13.4,13.0,Standard,Yes
750759,50,31.6,8.0,Basic,No
750760,61,11.6,8.0,Basic,Yes
750761,66,26.7,18.0,Premium,Yes
750762,69,10.4,8.0,Basic,Yes
750763,22,10.7,8.0,Basic,Yes
750764,51,1.4,8.0,Basic,Yes
750765,74,1.5,8.0,Basic,Yes
750766,51,24.8,18.0,Premium,Yes
750767,67,33.5,13.0,Standard,No
750768,50,11.9,18.0,Premium,No
750769,43,17.7,18.0,Premium,No
750770,57,0.9,18.0,Premium,Yes
750771,48,40.6,13.0,Standard,No
750772,25,2.4,13.0,Standard,Yes
750773,42,38.9,8.0,Basic,No
750774,26,36.0,13.0,Standard,Yes
750775,15,1.7,8.0,Basic,Yes
750776,69,8.9,8.0,Basic,Yes
750777,45,8.4,13.0,Standard,Yes
750778,27,17.6,8.0,Basic,Yes
750779,47,18.0,13.0,Standard,Yes
750780,56,13.3,8.0,Basic,No
750781,47,13.6,13.0,Standard,Yes
750782,53,39.9,8.0,Basic,No
750783,52,26.2,8.0,Basic,No
750784,50,0.9,13.0,Standard,Yes
750785,52,36.3,13.0,Standard,No
750786,62,,18.0,Premium,No
750787,42,21.9,8.0,Basic,Yes
750788,37,40.0,13.0,Standard,Yes
750789,58,1.3,18.0,Premium,Yes
750790,39,19.2,8.0,Basic,No
750791,19,37.7,13.0,Standard,No
750792,28,25.8,8.0,Basic,No
750793,67,31.1,13.0,Standard,No
750794,50,22.9,13.0,Standard,Yes
750795,20,24.0,8.0,Basic,No
750796,67,11.2,8.0,Basic,Yes
750797,66,41.1,8.0,Basic,No
750798,19,15.7,8.0,Basic,Yes
750799,51,25.4,18.0,Premium,No
750800,71,35.4,8.0,Basic,No
750801,44,16.0,8.0,Basic,No
750802,55,10.3,8.0,Basic,No
750803,50,7.2,13.0,Standard,Yes
750804,58,12.5,18.0,Premium,Yes
750805,32,25.7,18.0,Premium,Yes
750806,25,8.9,8.0,Basic,Yes
750807,18,8.9,8.0,Basic,Yes
750808,46,15.8,13.0,Standard,No
750809,33,21.1,8.0,Basic,Yes
750810,41,41.7,18.0,Premium,No
750811,36,7.2,13.0,Standard,No
750812,56,14.0,13.0,Standard,Yes
750813,22,5.9,8.0,Basic,Yes
750814,33,14.7,13.0,Standard,Yes
750815,15,5.8,13.0,Standard,Yes
750816,21,6.7,8.0,Basic,Yes
750817,59,15.3,13.0,Standard,No
750818,61,5.8,18.0,Premium,Yes
750819,45,11.1,18.0,Premium,Yes
750820,54,13.4,8.0,Basic,Yes
750821,37,31.5,13.0,Standard,Yes
750822,57,16.9,8.0,Basic,Yes
750823,19,20.9,18.0,Premium,No
750824,40,26.4,13.0,Standard,No
750825,57,31.2,13.0,Standard,No
750826,66,20.3,18.0,Premium,Yes
750827,35,17.0,13.0,Standard,Yes
750828,52,19.7,13.0,Standard,Yes
750829,24,,8.0,Basic,No
750830,30,13.0,8.0,Basic,No
750831,27,12.1,18.0,Premium,No
750832,28,37.0,18.0,Premium,No
750833,46,19.5,18.0,Premium,No
750834,47,41.0,8.0,Basic,No
750835,74,14.9,8.0,Basic,Yes
750836,33,10.2,8.0,Basic,Yes
750837,32,27.0,13.0,Standard,No
750838,53,38.9,8.0,Basic,No
750839,27,13.6,8.0,Basic,No
750840,30,7.4,18.0,Premium,Yes
750841,57,20.7,8.0,Basic,Yes
750842,57,41.6,8.0,Basic,Yes
750843,58,16.5,18.0,Premium,Yes
750844,73,20.6,13.0,Standard,No
750845,58,20.4,13.0,Standard,Yes
750846,44,3.0,13.0,Standard,Yes
750847,37,2.1,13.0,Standard,Yes
750848,64,8.2,13.0,Standard,Yes
750849,15,28.1,18.0,Premium,No
750850,43,31.6,8.0,Basic,No
750851,16,37.6,18.0,Premium,No
750852,60,14.0,13.0,Standard,Yes
750853,18,30.3,18.0,Premium,Yes
750854,27,34.8,8.0,Basic,No
750855,35,23.7,13.0,Standard,No
750856,23,3.2,13.0,Standard,Yes
750857,70,7.6,8.0,Basic,Yes
750858,59,27.8,8.0,Basic,No
750859,40,16.7,13.0,Standard,Yes
750860,18,19.9,13.0,Standard,Yes
750861,42,38.5,18.0,Premium,No
750862,16,35.9,8.0,Basic,No
750863,68,11.5,8.0,Basic,Yes
750864,56,38.5,18.0,Premium,Yes
750865,46,24.6,18.0,Premium,Yes
750866,73,19.5,13.0,Standard,Yes
750867,25,4.0,8.0,Basic,Yes
750868,68,26.3,8.0,Basic,No
750869,15,37.7,13.0,Standard,No
750870,59,22.3,18.0,Premium,No
750871,35,23.6,8.0,Basic,No
750872,16,5.4,8.0,Basic,Yes
750873,31,8.8,8.0,Basic,Yes
750874,32,,8.0,Basic,No
750875,25,25.2,18.0,Premium,Yes
750876,37,6.9,8.0,Basic,No
750877,16,40.0,8.0,Basic,No
750878,72,24.1,8.0,Basic,Yes
750879,57,25.6,8.0,Basic,No
750880,28,7.0,18.0,Premium,Yes
750881,38,15.4,13.0,Standard,No
750882,54,24.7,8.0,Basic,Yes
750883,26,3.4,8.0,Basic,Yes
750884,70,11.8,13.0,Standard,No
750885,63,16.6,8.0,Basic,No
750886,58,25.2,8.0,Basic,No
750887,29,40.8,8.0,Basic,No
750888,72,0.9,18.0,Premium,Yes
750889,63,26.5,18.0,Premium,Yes
750890,61,9.2,8.0,Basic,No
750891,63,39.9,13.0,Standard,No
750892,34,13.8,13.0,Standard,Yes
750893,66,33.7,13.0,Standard,No
750894,62,3.8,13.0,Standard,Yes
750895,38,8.5,8.0,Basic,No
750896,45,25.5,13.0,Standard,Yes
750897,71,34.7,13.0,Standard,No
750898,19,26.7,18.0,Premium,Yes
750899,58,40.4,8.0,Basic,No
750900,34,28.5,8.0,Basic,No
750901,20,0.8,13.0,Standard,Yes
750902,47,2.9,18.0,Premium,Yes
750903,23,14.4,8.0,Basic,No
750904,55,40.8,18.0,Premium,No
750905,27,1.3,8.0,Basic,Yes
750906,38,13.2,18.0,Premium,Yes
750907,50,41.6,13.0,Standard,No
750908,27,26.2,8.0,Basic,No
750909,61,30.7,13.0,Standard,No
750910,24,32.7,8.0,Basic,No
750911,26,10.1,13.0,Standard,Yes
750912,53,33.4,8.0,Basic,No
750913,62,41.5,8.0,Basic,No
750914,36,8.3,13.0,Standard,Yes
750915,36,31.3,8.0,Basic,No
750916,53,8.7,18.0,Premium,Yes
750917,56,6.7,8.0,Basic,Yes
750918,74,2.2,13.0,Standard,Yes
750919,65,39.3,18.0,Premium,No
750920,62,15.5,8.0,Basic,No
750921,73,0.5,18.0,Premium,Yes
750922,57,7.2,8.0,Basic,No
750923,43,41.3,8.0,Basic,No
750924,50,15.4,8.0,Basic,Yes
750925,30,32.0,13.0,Standard,Yes
750926,33,7.9,18.0,Premium,Yes
750927,64,21.0,13.0,Standard,Yes
750928,21,1.0,8.0,Basic,Yes
750929,30,23.8,18.0,Premium,Yes
750930,56,4.3,13.0,Standard,Yes
750931,27,10.9,8.0,Basic,Yes
750932,18,41.9,8.0,Basic,No
750933,64,1.4,8.0,Basic,Yes
750934,51,18.0,18.0,Premium,Yes
750935,52,35.1,8.0,Basic,No
750936,31,8.0,13.0,Standard,Yes
750937,38,36.9,8.0,Basic,No
750938,18,7.5,8.0,Basic,No
750939,38,26.8,8.0,Basic,Yes
750940,70,30.9,8.0,Basic,No
750941,62,12.5,13.0,Standard,Yes
750942,16,31.4,13.0,Standard,No
750943,65,6.7,18.0,Premium,Yes
750944,19,2.9,8.0,Basic,Yes
750945,24,39.7,8.0,Basic,No
750946,41,17.5,8.0,Basic,Yes
750947,36,3.3,18.0,Premium,Yes
750948,58,17.2,18.0,Premium,Yes
750949,23,14.2,8.0,Basic,Yes
750950,31,13.4,18.0,Premium,Yes
750951,15,36.4,18.0,Premium,Yes
750952,65,27.5,8.0,Basic,No
750953,73,12.5,13.0,Standard,Yes
750954,37,41.0,8.0,Basic,No
750955,32,41.5,13.0,Standard,Yes
750956,22,15.1,8.0,Basic,Yes
750957,72,38.7,8.0,Basic,No
750958,60,26.3,13.0,Standard,No
750959,51,31.9,18.0,Premium,No
750960,63,3.8,18.0,Premium,Yes
750961,67,41.9,13.0,Standard,No
750962,70,2.4,8.0,Basic,Yes
750963,60,21.8,13.0,Standard,Yes
750964,39,20.8,13.0,Standard,Yes
750965,28,28.2,13.0,Standard,No
750966,24,21.1,8.0,Basic,No
750967,43,26.8,13.0,Standard,No
750968,60,32.5,8.0,Basic,No
750969,21,7.7,18.0,Premium,Yes
750970,17,1.1,8.0,Basic,Yes
750971,49,13.6,13.0,Standard,Yes
750972,58,11.0,13.0,Standard,No
750973,39,28.0,18.0,Premium,Yes
750974,18,33.6,18.0,Premium,Yes
750975,19,10.7,18.0,Premium,Yes
750976,36,31.0,18.0,Premium,Yes
750977,44,16.1,13.0,Standard,Yes
750978,19,21.0,13.0,Standard,No
750979,39,10.5,8.0,Basic,Yes
750980,38,11.8,13.0,Standard,Yes
750981,55,14.9,8.0,Basic,Yes
750982,51,4.4,8.0,Basic,Yes
750983,20,33.3,13.0,Standard,No
750984,45,24.0,18.0,Premium,Yes
750985,26,12.2,13.0,Standard,Yes
750986,28,9.6,8.0,Basic,Yes
750987,55,22.8,8.0,Basic,No
750988,71,1.1,13.0,Standard,Yes
750989,58,6.4,8.0,Basic,Yes
750990,27,2.2,8.0,Basic,Yes
750991,43,14.6,13.0,Standard,Yes
750992,41,18.8,13.0,Standard,Yes
750993,58,5.1,18.0,Premium,Yes
750994,63,41.6,8.0,Basic,No
750995,42,36.0,18.0,Premium,No
750996,65,13.0,18.0,Premium,No
750997,20,29.0,13.0,Standard,Yes
750998,45,15.4,18.0,Premium,Yes
750999,17,23.5,8.0,Basic,No
751000,34,32.4,13.0,Standard,No
