ReitID,VacancyRate_Percent,AverageRent_K,DividendYield_Percent,AssetValue_M,RiskRating
1100581,,38.0,60.3,12.0,116.0
1100582,68.5,61.0,29.4,7.6,120.8
1100583,54.8,35.0,69.4,10.9,104.3
1100584,40.2,48.0,64.2,7.5,146.1
1100585,62.7,44.0,51.7,6.8,103.7
1100586,30.2,47.0,38.7,7.5,121.5
1100587,35.8,55.0,45.9,8.8,105.0
1100588,33.6,40.0,47.9,10.7,59.8
1100589,41.6,26.0,34.0,13.2,55.2
1100590,35.1,37.0,49.4,3.3,118.6
1100591,48.1,14.0,37.1,9.2,128.0
1100592,36.1,25.0,52.5,7.9,74.9
1100593,80.3,34.0,62.6,10.3,84.5
1100594,51.7,53.0,38.7,3.0,95.2
1100595,63.8,43.0,31.4,1.8,88.8
1100596,21.2,46.0,23.4,11.8,81.5
1100597,56.4,44.0,45.2,8.6,91.6
1100598,33.0,23.0,40.4,10.4,125.7
1100599,63.6,46.0,67.6,12.7,55.4
1100600,38.9,37.0,24.7,10.3,94.1
1100601,62.3,48.0,56.5,2.4,128.8
1100602,46.8,57.0,45.1,4.1,79.7
1100603,45.2,57.0,27.2,12.6,120.3
1100604,51.0,42.0,37.5,12.4,78.6
1100605,24.7,14.0,64.3,7.0,125.2
1100606,11.7,50.0,58.2,3.9,66.8
1100607,19.9,27.0,67.6,7.2,83.8
1100608,52.5,58.0,56.6,11.8,85.1
1100609,35.7,68.0,13.5,9.3,136.1
1100610,,59.0,35.1,6.6,107.4
1100611,67.0,42.0,65.6,5.6,52.5
1100612,45.8,26.0,52.5,3.1,92.0
1100613,48.1,48.0,35.6,8.0,40.4
1100614,32.4,36.0,65.9,8.1,68.0
1100615,31.1,42.0,62.4,3.0,131.2
1100616,48.5,24.0,46.9,13.5,105.4
1100617,38.0,30.0,36.1,11.2,51.5
1100618,67.2,21.0,73.0,4.3,110.1
1100619,59.1,21.0,48.8,9.7,59.4
1100620,35.7,54.0,26.8,10.3,135.0
1100621,36.4,47.0,45.9,5.3,112.1
1100622,69.0,22.0,58.8,5.8,89.8
1100623,40.5,26.0,72.9,9.0,126.2
1100624,42.1,42.0,46.4,4.8,93.3
1100625,42.3,39.0,51.7,5.9,78.9
1100626,50.3,58.0,66.2,6.8,88.6
1100627,12.1,35.0,59.3,2.8,111.4
1100628,37.8,55.0,57.9,6.6,73.2
1100629,35.5,51.0,56.2,6.6,75.5
1100630,44.7,40.0,62.0,7.0,65.8
1100631,40.9,69.0,31.3,14.2,80.8
1100632,40.0,53.0,47.1,7.5,117.7
1100633,56.2,25.0,24.8,2.8,96.0
1100634,34.0,68.0,54.0,3.1,110.6
1100635,47.2,42.0,63.5,8.1,110.9
1100636,18.2,45.0,31.1,11.3,81.8
1100637,41.6,38.0,41.3,12.0,105.8
1100638,49.9,50.0,45.4,8.8,129.4
1100639,77.2,31.0,53.2,10.0,131.5
1100640,29.2,44.0,37.8,4.5,104.9
1100641,22.5,51.0,48.1,11.9,140.6
1100642,29.0,44.0,33.8,6.2,101.6
1100643,30.8,38.0,61.8,4.2,39.4
1100644,61.1,58.0,23.3,9.7,74.3
1100645,9.8,33.0,31.6,8.1,49.3
1100646,41.5,63.0,15.2,6.3,112.9
1100647,36.0,46.0,38.1,11.9,95.0
1100648,41.8,23.0,32.3,5.8,137.2
1100649,40.2,25.0,39.7,3.0,88.2
1100650,68.1,65.0,46.4,10.7,97.7
1100651,49.4,48.0,44.0,9.4,69.6
1100652,55.6,32.0,37.0,2.7,81.0
1100653,37.5,36.0,42.8,8.0,88.6
1100654,53.7,46.0,50.5,5.8,34.8
1100655,34.5,39.0,35.0,7.5,117.1
1100656,61.2,42.0,43.0,11.0,132.6
1100657,41.8,54.0,49.0,8.2,69.9
1100658,45.5,67.0,57.2,7.5,117.2
1100659,38.6,50.0,47.5,8.2,70.2
1100660,47.5,59.0,42.3,8.3,120.8
1100661,46.8,37.0,50.1,12.1,111.3
1100662,60.7,44.0,42.0,6.4,122.6
1100663,33.2,51.0,45.7,4.8,127.2
1100664,60.7,41.0,44.7,7.6,109.2
1100665,39.0,15.0,45.0,4.8,135.9
1100666,53.1,63.0,19.1,12.4,82.6
1100667,46.0,21.0,60.6,6.6,97.8
1100668,32.6,48.0,31.0,7.3,84.3
1100669,48.8,30.0,44.5,4.0,129.1
1100670,43.8,36.0,34.4,7.4,134.0
1100671,56.7,52.0,36.7,6.9,79.4
1100672,54.0,34.0,63.5,5.4,104.1
1100673,50.6,13.0,44.4,7.3,100.8
1100674,50.5,34.0,42.0,10.1,100.6
1100675,51.2,43.0,24.6,8.0,82.8
1100676,56.0,38.0,16.2,6.3,135.9
1100677,62.8,67.0,43.7,10.4,130.2
1100678,45.6,36.0,22.6,12.2,88.1
1100679,65.0,25.0,60.4,8.4,114.1
1100680,73.8,74.0,41.9,9.2,46.4
1100681,67.0,58.0,47.4,13.5,109.7
1100682,51.7,49.0,51.3,13.7,103.7
1100683,63.5,25.0,31.6,4.9,163.6
1100684,47.7,58.0,56.0,8.5,79.5
1100685,50.9,45.0,54.9,2.5,63.2
1100686,37.4,52.0,41.7,6.2,119.7
1100687,35.3,37.0,15.4,6.0,105.5
1100688,10.2,37.0,36.3,9.9,130.4
1100689,57.9,59.0,27.7,10.1,109.4
1100690,26.7,25.0,29.8,6.0,140.0
1100691,58.0,67.0,75.2,13.5,106.0
1100692,43.6,36.0,49.5,15.6,106.9
1100693,48.5,31.0,72.4,5.8,98.0
1100694,27.5,24.0,45.3,7.7,110.5
1100695,43.1,28.0,48.0,5.0,80.1
1100696,70.4,62.0,53.6,8.6,141.4
1100697,49.2,39.0,80.5,6.2,117.1
1100698,12.6,31.0,55.0,7.6,73.5
1100699,90.7,63.0,40.8,10.2,107.9
1100700,43.0,42.0,15.3,4.7,76.1
1100701,59.1,42.0,31.9,10.9,55.9
1100702,56.3,45.0,30.6,11.2,28.2
1100703,3.9,22.0,63.0,6.5,100.0
1100704,38.7,59.0,36.5,9.7,90.0
1100705,45.5,32.0,45.9,7.4,133.3
1100706,32.5,42.0,58.2,7.6,11.3
1100707,61.0,52.0,47.6,6.6,142.2
1100708,83.8,38.0,52.8,7.3,73.1
1100709,17.6,36.0,24.8,5.0,87.6
1100710,27.5,45.0,32.4,7.5,91.4
1100711,58.0,70.0,18.3,5.4,111.4
1100712,71.8,54.0,61.8,4.9,86.7
1100713,35.9,39.0,30.0,10.1,63.4
1100714,37.4,33.0,61.6,8.8,106.7
1100715,23.9,41.0,31.1,1.0,89.0
1100716,47.7,34.0,30.5,5.3,139.7
1100717,6.7,46.0,57.2,10.1,136.1
1100718,51.9,29.0,34.2,10.0,84.9
1100719,38.7,51.0,80.1,10.1,85.7
1100720,37.8,13.0,27.2,5.8,78.9
1100721,13.9,42.0,38.0,8.8,111.5
1100722,40.7,26.0,24.4,8.9,100.4
1100723,39.4,20.0,58.4,8.0,83.5
1100724,22.3,51.0,43.2,11.5,116.1
1100725,63.8,31.0,48.6,10.3,50.4
1100726,40.2,38.0,50.8,7.7,104.9
1100727,51.4,21.0,25.9,10.7,66.2
1100728,64.0,19.0,63.4,10.4,64.5
1100729,38.0,65.0,29.8,5.1,128.3
1100730,37.9,32.0,38.9,8.7,110.9
1100731,29.4,60.0,48.2,9.9,86.9
1100732,30.9,35.0,55.3,4.9,163.3
1100733,52.0,34.0,22.8,6.6,76.5
1100734,48.2,51.0,27.1,10.5,68.5
1100735,63.6,55.0,28.4,3.2,131.3
1100736,,48.0,47.6,5.9,130.9
1100737,49.9,17.0,48.6,8.4,87.2
1100738,50.6,61.0,46.1,8.9,75.2
1100739,79.1,27.0,52.5,7.8,99.2
1100740,,50.0,55.5,4.3,49.8
1100741,19.0,67.0,53.8,13.0,73.2
1100742,43.5,40.0,32.6,10.0,65.9
1100743,56.9,31.0,60.1,6.5,111.3
1100744,38.8,30.0,37.2,6.9,78.5
1100745,48.8,49.0,42.7,3.7,77.0
1100746,45.3,24.0,27.3,2.7,107.2
1100747,40.0,45.0,48.8,9.2,136.1
1100748,54.6,41.0,47.4,14.0,95.4
1100749,33.1,12.0,41.1,11.3,130.4
1100750,38.0,37.0,29.7,12.4,111.0
1100751,46.7,37.0,41.7,4.8,129.2
1100752,46.1,48.0,27.6,6.2,87.0
1100753,47.2,61.0,49.6,6.0,77.2
1100754,64.0,61.0,36.2,6.4,90.1
1100755,58.0,29.0,41.1,7.2,68.7
1100756,38.3,52.0,38.8,4.9,120.6
1100757,53.5,61.0,53.9,7.5,89.3
1100758,19.0,47.0,48.9,11.3,36.5
1100759,42.3,38.0,41.0,8.6,100.5
1100760,60.2,40.0,38.0,10.0,88.4
1100761,37.8,37.0,39.8,9.9,108.9
1100762,30.9,58.0,63.4,11.0,89.9
1100763,44.4,49.0,25.5,11.8,109.6
1100764,55.0,41.0,24.3,10.7,37.6
1100765,57.4,22.0,63.5,8.4,122.3
1100766,54.9,28.0,48.1,5.1,106.0
1100767,49.8,37.0,51.9,5.4,86.7
1100768,56.9,50.0,57.9,11.9,62.1
1100769,17.8,51.0,63.5,2.9,110.6
1100770,72.5,48.0,47.5,6.4,70.6
1100771,21.9,51.0,54.6,9.0,140.9
1100772,26.7,31.0,39.7,6.6,88.0
1100773,41.9,12.0,58.5,4.5,156.9
1100774,70.9,37.0,42.9,8.2,120.9
1100775,48.1,23.0,55.8,8.1,82.8
1100776,58.7,43.0,48.4,7.6,87.0
1100777,54.4,40.0,50.2,7.8,122.0
1100778,28.1,34.0,64.8,2.8,122.4
1100779,54.5,36.0,53.4,12.1,59.8
1100780,56.3,43.0,26.7,1.9,115.6
1100781,54.2,23.0,36.9,6.2,102.7
1100782,71.0,31.0,45.4,5.2,87.6
1100783,50.8,26.0,34.7,1.7,83.9
1100784,39.3,45.0,43.0,3.9,116.3
1100785,,63.0,34.2,6.6,76.0
1100786,34.7,49.0,21.0,6.4,101.1
1100787,9.7,31.0,48.2,5.1,87.3
1100788,49.0,42.0,30.0,5.9,82.3
1100789,27.3,55.0,26.9,10.7,92.5
1100790,54.3,51.0,49.7,9.5,111.6
1100791,25.3,21.0,34.4,7.7,98.6
1100792,49.8,23.0,5.4,10.3,47.8
1100793,12.1,65.0,28.5,11.3,98.5
1100794,66.6,42.0,49.4,8.3,126.2
1100795,49.4,33.0,57.9,7.3,106.6
1100796,48.1,68.0,62.9,10.7,144.0
1100797,55.1,67.0,33.8,5.0,98.7
1100798,,48.0,36.5,13.5,53.1
1100799,22.6,40.0,63.4,7.5,83.3
1100800,36.8,24.0,42.9,7.5,103.1
1100801,57.3,28.0,44.5,4.2,79.1
1100802,10.9,52.0,47.8,15.1,47.6
1100803,42.4,45.0,57.8,9.4,129.6
1100804,51.1,36.0,30.9,5.2,109.6
1100805,53.5,44.0,50.2,3.9,122.2
1100806,70.1,26.0,50.1,8.4,74.9
1100807,60.7,35.0,40.5,3.4,106.0
1100808,32.8,71.0,62.1,7.3,139.6
1100809,44.8,51.0,50.4,7.2,126.3
1100810,65.2,60.0,27.9,10.8,119.3
1100811,50.5,38.0,44.6,12.9,150.3
1100812,48.8,47.0,55.2,6.2,128.9
1100813,72.5,55.0,35.7,3.0,115.6
1100814,50.7,65.0,13.6,15.0,99.6
1100815,50.7,69.0,58.8,12.6,46.3
1100816,34.2,53.0,16.3,10.0,104.2
1100817,61.1,40.0,74.5,9.1,140.8
1100818,22.4,61.0,37.4,8.7,106.9
1100819,31.4,36.0,71.0,8.9,89.8
1100820,52.5,12.0,41.6,11.0,120.9
1100821,18.2,46.0,25.0,3.9,120.8
1100822,31.3,59.0,37.5,8.9,124.0
1100823,41.4,88.0,69.7,5.4,121.6
1100824,48.5,37.0,45.6,7.0,93.0
1100825,32.4,39.0,79.0,6.6,75.6
1100826,57.7,32.0,56.4,7.7,59.7
1100827,21.5,25.0,43.5,5.2,55.2
1100828,46.4,29.0,68.6,12.3,111.9
1100829,53.0,54.0,56.6,7.7,79.1
1100830,21.9,30.0,49.4,7.0,93.4
1100831,52.4,67.0,42.9,11.7,112.0
1100832,37.1,23.0,27.6,8.4,89.6
1100833,47.1,50.0,40.5,5.4,73.8
1100834,47.8,24.0,35.6,5.2,76.7
1100835,50.6,10.0,50.0,8.4,112.4
1100836,54.8,31.0,45.3,9.9,117.6
1100837,39.1,34.0,39.4,7.1,92.6
1100838,45.2,32.0,28.8,7.9,83.6
1100839,28.8,50.0,41.3,5.8,120.9
1100840,25.0,53.0,24.0,7.7,117.2
1100841,51.9,49.0,31.4,7.4,89.1
1100842,44.2,36.0,42.9,6.6,74.3
1100843,43.9,33.0,52.5,8.9,87.1
1100844,56.6,33.0,49.7,7.8,136.1
1100845,31.6,45.0,42.6,8.1,124.8
1100846,38.4,38.0,53.4,6.3,103.2
1100847,35.5,39.0,46.7,8.1,150.7
1100848,30.4,70.0,69.9,7.5,101.1
1100849,50.4,38.0,89.8,5.6,126.1
1100850,53.4,33.0,47.7,11.8,111.6
1100851,55.8,17.0,56.5,9.1,86.2
1100852,60.3,17.0,29.6,4.9,97.9
1100853,42.2,24.0,27.8,7.0,133.1
1100854,27.4,21.0,45.7,10.0,133.0
1100855,40.6,12.0,36.4,3.7,112.9
1100856,50.6,37.0,39.4,8.9,100.1
1100857,37.6,39.0,50.7,9.0,98.0
1100858,53.3,25.0,71.3,8.9,87.9
1100859,63.0,56.0,40.6,4.5,105.6
1100860,43.5,36.0,29.1,7.2,119.4
1100861,32.7,30.0,62.8,11.2,93.8
1100862,12.1,53.0,60.6,1.0,98.2
1100863,49.8,37.0,34.8,11.2,123.8
1100864,54.5,55.0,56.4,8.6,132.2
1100865,47.4,33.0,35.4,6.2,95.9
1100866,32.7,34.0,39.5,8.9,105.0
1100867,35.2,35.0,58.6,7.9,97.0
1100868,52.5,63.0,1.7,6.8,82.6
1100869,53.8,48.0,46.3,12.1,94.5
1100870,62.3,55.0,49.5,8.5,93.3
1100871,59.2,45.0,64.5,8.1,136.6
1100872,59.6,42.0,48.2,13.7,98.7
1100873,43.6,57.0,60.5,8.7,94.2
1100874,22.4,41.0,59.1,13.8,125.8
1100875,33.3,33.0,33.4,12.6,76.4
1100876,23.6,52.0,33.8,10.6,86.8
1100877,60.7,30.0,54.8,8.0,110.4
1100878,41.5,56.0,45.0,8.4,81.2
1100879,28.7,33.0,24.0,6.4,82.6
1100880,54.9,50.0,50.3,8.1,106.6
1100881,38.4,30.0,42.5,6.9,128.0
1100882,20.0,40.0,50.3,4.4,105.0
1100883,60.2,18.0,33.9,9.9,111.5
1100884,26.7,62.0,37.0,11.9,143.4
1100885,45.0,39.0,41.8,9.7,91.8
1100886,50.2,39.0,49.2,11.6,108.4
1100887,28.7,36.0,30.8,8.1,122.7
1100888,48.4,32.0,36.4,4.6,100.8
1100889,39.9,57.0,78.5,8.1,111.5
1100890,74.6,36.0,61.4,5.1,69.2
1100891,,46.0,83.8,8.5,78.9
1100892,30.0,51.0,32.3,7.5,117.9
1100893,48.4,29.0,8.4,7.2,78.3
1100894,32.2,43.0,55.9,11.9,89.2
1100895,53.3,41.0,28.4,6.8,84.9
1100896,45.5,63.0,42.1,4.5,71.0
1100897,65.4,56.0,48.1,4.5,113.3
1100898,38.6,53.0,27.4,8.4,96.1
1100899,40.5,59.0,65.0,8.8,111.1
1100900,55.0,67.0,51.0,7.1,122.7
1100901,48.2,53.0,39.6,9.4,72.1
1100902,40.9,40.0,50.8,15.6,92.1
1100903,26.0,31.0,36.0,9.5,108.0
1100904,30.8,31.0,39.7,10.9,91.2
1100905,54.9,37.0,16.7,8.7,71.0
1100906,29.4,74.0,58.2,7.9,134.1
1100907,38.5,39.0,49.4,9.6,58.1
1100908,51.4,41.0,48.4,6.0,129.3
1100909,60.3,50.0,21.8,10.6,116.6
1100910,65.3,49.0,45.8,7.0,76.7
1100911,40.3,28.0,67.0,10.3,128.9
1100912,39.4,50.0,47.7,6.9,109.1
1100913,42.0,45.0,44.2,3.1,137.0
1100914,47.1,54.0,42.7,6.5,115.1
1100915,61.1,31.0,23.4,7.6,86.6
1100916,27.9,52.0,48.3,8.1,61.8
1100917,24.0,62.0,35.1,4.9,92.3
1100918,57.1,37.0,35.6,9.9,99.1
1100919,40.2,45.0,44.7,7.7,119.6
1100920,50.8,46.0,69.8,11.4,83.6
1100921,54.8,49.0,38.7,7.0,92.0
1100922,48.1,37.0,27.2,3.5,100.9
1100923,39.4,45.0,45.8,9.1,125.4
1100924,40.8,15.0,42.3,6.2,89.2
1100925,54.0,64.0,55.9,9.9,114.9
1100926,65.1,29.0,44.0,7.7,124.5
1100927,43.3,58.0,54.1,5.3,44.2
1100928,44.3,39.0,37.3,5.1,155.5
1100929,39.6,39.0,34.3,6.0,127.5
1100930,41.0,37.0,56.7,2.4,122.6
1100931,65.0,66.0,34.3,5.8,93.2
1100932,55.8,49.0,45.0,11.0,89.7
1100933,33.4,47.0,62.6,3.0,71.3
1100934,27.0,60.0,69.2,7.0,89.9
1100935,49.8,11.0,73.3,7.6,108.9
1100936,43.6,59.0,26.0,11.6,160.9
1100937,40.3,50.0,28.0,15.0,85.2
1100938,44.6,56.0,43.8,7.1,110.8
1100939,44.7,42.0,43.0,8.9,105.2
1100940,55.0,34.0,26.2,10.1,141.9
1100941,100.0,35.0,48.6,7.3,116.6
1100942,30.0,30.0,56.9,9.7,75.1
1100943,50.6,43.0,63.2,8.3,119.5
1100944,56.5,38.0,40.0,3.9,102.9
1100945,28.4,18.0,30.4,10.1,113.6
1100946,33.4,35.0,55.8,9.4,129.2
1100947,69.4,49.0,65.6,8.8,146.1
1100948,56.5,40.0,28.3,5.8,134.2
1100949,49.8,24.0,45.7,6.4,91.7
1100950,82.5,40.0,56.9,9.2,138.8
1100951,52.2,39.0,59.8,13.0,121.0
1100952,63.2,41.0,28.7,7.7,94.2
1100953,49.9,36.0,59.2,11.3,91.8
1100954,62.3,58.0,19.5,6.3,70.9
1100955,43.8,59.0,17.4,8.6,134.5
1100956,49.7,33.0,56.5,5.5,141.1
1100957,28.1,30.0,43.5,10.7,48.6
1100958,58.2,29.0,42.8,9.0,95.1
1100959,58.3,63.0,56.6,11.9,111.1
1100960,55.7,44.0,66.0,4.4,130.1
1100961,25.2,60.0,75.0,7.2,109.1
1100962,66.9,35.0,41.6,11.6,96.3
1100963,30.3,66.0,38.4,10.9,104.3
1100964,56.9,31.0,62.0,11.6,84.4
1100965,26.8,37.0,25.3,6.4,100.3
1100966,78.4,22.0,65.0,12.3,74.6
1100967,38.0,30.0,60.0,10.6,62.7
1100968,39.4,53.0,60.9,6.4,103.3
1100969,48.7,44.0,35.3,11.3,74.8
1100970,59.6,39.0,68.4,13.5,93.5
1100971,35.2,57.0,44.5,11.2,87.6
1100972,54.9,25.0,53.5,7.7,103.8
1100973,40.0,65.0,38.4,5.3,130.4
1100974,40.2,39.0,19.8,5.7,105.6
1100975,25.6,23.0,51.7,13.5,83.8
1100976,43.7,47.0,66.8,8.6,143.4
1100977,44.5,30.0,54.1,1.7,97.5
1100978,65.1,45.0,26.7,7.4,80.6
1100979,55.8,39.0,27.9,7.6,93.2
1100980,46.4,35.0,68.0,9.5,114.3
1100981,37.9,44.0,32.8,6.9,127.2
1100982,33.5,38.0,34.5,11.7,50.6
1100983,39.1,46.0,48.1,7.5,125.0
1100984,40.1,15.0,44.4,8.3,164.3
1100985,45.9,37.0,32.6,13.8,114.4
1100986,35.1,34.0,30.7,9.1,62.6
1100987,29.7,60.0,20.7,14.4,91.6
1100988,42.3,33.0,49.6,8.3,116.9
1100989,56.8,54.0,16.7,9.7,130.7
1100990,40.7,54.0,44.6,9.5,109.4
1100991,17.7,32.0,43.4,7.2,145.1
1100992,67.0,60.0,34.9,6.4,144.2
1100993,65.3,42.0,45.6,6.2,113.2
1100994,60.5,47.0,12.2,13.5,119.4
1100995,58.8,44.0,26.9,6.4,127.9
1100996,68.3,36.0,9.7,10.2,70.1
1100997,50.5,44.0,48.8,9.9,78.7
1100998,27.6,56.0,42.5,12.7,136.5
1100999,58.7,38.0,30.4,9.1,108.9
1101000,30.1,52.0,51.2,10.0,61.7
