Name,Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Global_Sales
Video Game 405,Switch,2002,Platform,0.19,0.09,0.02,0.37
Video Game 406,Wii,2005,Platform,0.47,0.38,0.05,0.96
Video Game 407,PS3,2015,Shooter,0.6,0.27,0.06,1.04
Video Game 408,Wii,2016,Action,0.71,0.42,0.07,1.4
Video Game 409,Switch,2016,Action,1.84,1.6,0.18,3.79
Video Game 410,PS3,2008,Role-Playing,0.56,0.4,0.6,1.66
Video Game 411,Wii,2009,Role-Playing,0.38,0.32,0.46,1.25
Video Game 412,PC,2003,Shooter,0.08,0.06,0.01,0.31
Video Game 413,PS3,2018,Sports,0.16,0.13,0.02,0.43
Video Game 414,PS3,2009,Role-Playing,0.7,0.54,0.59,1.9
Video Game 415,Switch,2011,Sports,1.02,0.57,0.1,1.87
Video Game 416,PC,2012,Shooter,0.15,0.07,0.02,0.43
Video Game 417,Wii,2013,Role-Playing,0.5,0.22,0.5,1.4
Video Game 418,PS4,2017,Misc,0.31,0.21,0.03,0.67
Video Game 419,PC,2014,Platform,0.46,0.27,0.05,0.9
Video Game 420,PS3,2019,Platform,0.04,0.03,0.0,0.17
Video Game 421,PS4,2007,Action,0.47,0.23,0.05,0.9
Video Game 422,Wii,1996,Action,0.0,0.0,0.0,0.07
Video Game 423,PS3,2008,Action,0.71,0.57,0.07,1.51
Video Game 424,PS3,2015,Misc,0.08,0.07,0.01,0.35
Video Game 425,PC,2008,Misc,0.25,0.18,0.03,0.63
Video Game 426,PS4,1995,Action,0.2,0.09,0.02,0.38
Video Game 427,PS4,2018,Platform,0.28,0.19,0.03,0.62
Video Game 428,PS3,2010,Role-Playing,0.5,0.2,0.52,1.4
Video Game 429,XOne,2015,Role-Playing,0.13,0.09,0.15,0.52
Video Game 430,PS3,2019,Platform,0.49,0.23,0.05,0.84
Video Game 431,PC,2017,Shooter,0.03,0.02,0.0,0.12
Video Game 432,Wii,1998,Sports,0.08,0.06,0.01,0.26
Video Game 433,PC,2007,Sports,0.13,0.09,0.01,0.42
Video Game 434,XOne,2019,Shooter,0.98,0.79,0.1,2.02
Video Game 435,PS3,1995,Action,0.61,0.53,0.06,1.37
Video Game 436,Wii,1999,Sports,0.48,0.31,0.05,1.0
Video Game 437,XOne,1999,Platform,2.0,1.34,0.2,3.63
Video Game 438,PS4,2014,Misc,1.26,0.96,0.13,2.46
Video Game 439,PS4,2011,Action,0.39,0.31,0.04,0.89
Video Game 440,PS3,2004,Platform,0.08,0.03,0.01,0.22
Video Game 441,PS4,2000,Misc,2.37,1.92,0.24,4.65
Video Game 442,XOne,2017,Misc,1.1,0.45,0.11,1.84
Video Game 443,PS3,1996,Role-Playing,0.04,0.03,0.05,0.24
Video Game 444,PS3,2010,Misc,1.85,1.57,0.19,3.66
Video Game 445,Wii,2002,Action,0.04,0.02,0.0,0.16
Video Game 446,PC,2018,Misc,1.73,0.97,0.17,2.97
Video Game 447,Wii,2018,Sports,0.26,0.19,0.03,0.6
Video Game 448,Wii,2003,Shooter,0.42,0.33,0.04,0.98
Video Game 449,PS3,2003,Action,0.83,0.38,0.08,1.37
Video Game 450,PS4,2000,Shooter,0.27,0.15,0.03,0.61
Video Game 451,PC,2002,Misc,2.24,1.21,0.22,3.78
Video Game 452,PS3,2011,Platform,0.01,0.01,0.0,0.21
Video Game 453,PC,2020,Sports,0.34,0.24,0.03,0.72
Video Game 454,XOne,1998,Misc,0.02,0.01,0.0,0.19
Video Game 455,PS4,2015,Role-Playing,0.08,0.06,0.08,0.29
Video Game 456,PS4,2018,Action,0.38,0.16,0.04,0.69
Video Game 457,Wii,2003,Role-Playing,0.01,0.01,0.02,0.18
Video Game 458,Wii,2020,Misc,0.14,0.06,0.01,0.36
Video Game 459,Switch,2003,Platform,0.29,0.18,0.03,0.59
Video Game 460,PS4,2015,Sports,0.12,0.08,0.01,0.36
Video Game 461,Switch,2010,Action,1.2,0.93,0.12,2.36
Video Game 462,PS3,2005,Shooter,1.71,1.1,0.17,3.06
Video Game 463,PS3,1998,Misc,0.16,0.13,0.02,0.43
Video Game 464,Wii,2020,Misc,2.55,2.28,0.25,5.25
Video Game 465,PC,2015,Misc,0.44,0.27,0.04,0.95
Video Game 466,PS3,1997,Sports,1.15,0.64,0.11,1.98
Video Game 467,Wii,1999,Sports,1.0,0.47,0.1,1.66
Video Game 468,PC,2015,Misc,0.07,0.04,0.01,0.19
Video Game 469,Wii,2016,Role-Playing,0.59,0.49,0.56,1.75
Video Game 470,PS4,2010,Role-Playing,0.0,0.0,0.0,0.21
Video Game 471,PS3,1998,Role-Playing,1.04,0.83,1.13,3.17
Video Game 472,Switch,2009,Sports,0.27,0.14,0.03,0.56
Video Game 473,Switch,2009,Misc,0.71,0.61,0.07,1.49
Video Game 474,PC,2020,Role-Playing,0.03,0.02,0.03,0.15
Video Game 475,Switch,2020,Platform,0.09,0.08,0.01,0.26
Video Game 476,PS4,2015,Platform,1.14,0.95,0.11,2.33
Video Game 477,Switch,2008,Action,0.34,0.21,0.03,0.64
Video Game 478,PS3,1997,Role-Playing,1.29,0.68,1.64,3.67
Video Game 479,Wii,1996,Misc,0.25,0.12,0.02,0.48
Video Game 480,PS3,2016,Sports,1.32,1.07,0.13,2.61
Video Game 481,PC,2004,Platform,0.22,0.15,0.02,0.58
Video Game 482,Switch,1998,Shooter,0.21,0.12,0.02,0.45
Video Game 483,PC,2004,Shooter,0.06,0.04,0.01,0.26
Video Game 484,PS4,2008,Sports,0.06,0.05,0.01,0.25
Video Game 485,Switch,2004,Shooter,0.06,0.03,0.01,0.18
Video Game 486,PC,2007,Sports,0.01,0.01,0.0,0.09
Video Game 487,Wii,2019,Role-Playing,0.43,0.36,0.51,1.49
Video Game 488,PS4,2006,Role-Playing,1.17,0.6,1.72,3.62
Video Game 489,Wii,2013,Shooter,0.05,0.04,0.0,0.28
Video Game 490,PC,2016,Role-Playing,0.15,0.09,0.22,0.56
Video Game 491,PS3,2018,Role-Playing,0.02,0.02,0.03,0.15
Video Game 492,XOne,2003,Shooter,0.3,0.13,0.03,0.57
Video Game 493,PS3,2019,Platform,0.23,0.09,0.02,0.44
Video Game 494,PS4,2013,Role-Playing,0.36,0.2,0.47,1.2
Video Game 495,XOne,2003,Platform,0.03,0.01,0.0,0.19
Video Game 496,XOne,2010,Role-Playing,1.35,1.19,1.91,4.57
Video Game 497,XOne,2009,Action,0.12,0.06,0.01,0.38
Video Game 498,PS4,2017,Platform,0.87,0.54,0.09,1.62
Video Game 499,Switch,2007,Role-Playing,0.23,0.19,0.33,0.84
Video Game 500,PS3,2015,Misc,0.18,0.1,0.02,0.36
Video Game 501,PC,2017,Action,0.24,0.13,0.02,0.58
Video Game 502,PS4,2013,Action,1.0,0.67,0.1,1.94
Video Game 503,PS4,2003,Platform,0.56,0.38,0.06,1.09
Video Game 504,Switch,2002,Platform,1.5,1.34,0.15,3.1
Video Game 505,Wii,2015,Platform,0.06,0.02,0.01,0.26
Video Game 506,PS3,2002,Sports,0.31,0.16,0.03,0.67
Video Game 507,Wii,2004,Sports,0.03,0.02,0.0,0.14
Video Game 508,PS4,1997,Sports,0.47,0.33,0.05,1.0
Video Game 509,PS3,2014,Shooter,0.48,0.41,0.05,1.14
Video Game 510,XOne,2003,Platform,0.56,0.45,0.06,1.18
Video Game 511,PC,2013,Action,0.09,0.08,0.01,0.34
Video Game 512,Wii,2016,Role-Playing,0.33,0.26,0.45,1.12
Video Game 513,Switch,2005,Role-Playing,1.2,1.01,1.06,3.41
Video Game 514,PS3,2018,Shooter,0.07,0.06,0.01,0.23
Video Game 515,PS4,2013,Misc,0.85,0.6,0.09,1.74
Video Game 516,XOne,1999,Platform,0.18,0.08,0.02,0.35
Video Game 517,Wii,2005,Action,0.3,0.25,0.03,0.72
Video Game 518,XOne,2010,Sports,0.04,0.03,0.0,0.27
Video Game 519,Switch,2012,Shooter,0.38,0.2,0.04,0.69
Video Game 520,Wii,2018,Action,0.73,0.51,0.07,1.4
Video Game 521,XOne,2008,Misc,1.68,0.78,0.17,2.74
Video Game 522,PS3,2012,Shooter,0.18,0.1,0.02,0.47
Video Game 523,PC,2009,Role-Playing,0.09,0.04,0.1,0.33
Video Game 524,PS3,2007,Action,0.23,0.13,0.02,0.54
Video Game 525,PS4,2017,Sports,0.25,0.19,0.02,0.64
Video Game 526,PC,2008,Platform,0.2,0.1,0.02,0.43
Video Game 527,XOne,2006,Sports,2.27,1.61,0.23,4.26
Video Game 528,PS4,2013,Misc,0.47,0.32,0.05,0.98
Video Game 529,PS4,2014,Role-Playing,0.14,0.07,0.15,0.42
Video Game 530,PS3,2018,Sports,0.04,0.03,0.0,0.2
Video Game 531,XOne,2002,Action,0.19,0.13,0.02,0.44
Video Game 532,PS3,2010,Role-Playing,0.08,0.07,0.1,0.34
Video Game 533,Switch,1995,Action,0.41,0.34,0.04,0.87
Video Game 534,Wii,2003,Misc,0.59,0.3,0.06,1.11
Video Game 535,XOne,1998,Sports,1.24,1.1,0.12,2.55
Video Game 536,XOne,2003,Misc,1.1,0.54,0.11,1.91
Video Game 537,PC,2015,Role-Playing,0.2,0.17,0.17,0.64
Video Game 538,PS4,2011,Misc,0.2,0.14,0.02,0.42
Video Game 539,Switch,2006,Shooter,0.28,0.25,0.03,0.67
Video Game 540,Wii,2016,Platform,0.23,0.12,0.02,0.55
Video Game 541,PS4,2018,Action,0.03,0.02,0.0,0.12
Video Game 542,Wii,1998,Misc,0.06,0.04,0.01,0.27
Video Game 543,PS4,2002,Misc,0.67,0.44,0.07,1.29
Video Game 544,PC,1999,Role-Playing,0.61,0.54,0.71,2.05
Video Game 545,PS4,1996,Sports,1.05,0.54,0.11,1.88
Video Game 546,PS3,2019,Platform,0.04,0.03,0.0,0.24
Video Game 547,Switch,2014,Platform,0.43,0.36,0.04,0.92
Video Game 548,XOne,2005,Platform,0.35,0.14,0.03,0.71
Video Game 549,PS3,2001,Shooter,0.2,0.13,0.02,0.51
Video Game 550,XOne,2003,Misc,0.16,0.07,0.02,0.4
Video Game 551,PC,2016,Action,0.18,0.11,0.02,0.5
Video Game 552,XOne,2004,Action,0.34,0.25,0.03,0.76
Video Game 553,XOne,2017,Role-Playing,0.07,0.04,0.06,0.24
Video Game 554,PS4,2009,Action,0.69,0.34,0.07,1.26
Video Game 555,XOne,1998,Shooter,0.18,0.1,0.02,0.48
Video Game 556,Switch,2006,Misc,0.14,0.07,0.01,0.29
Video Game 557,Wii,2001,Action,0.19,0.09,0.02,0.43
Video Game 558,PS3,2013,Platform,1.06,0.57,0.11,1.93
Video Game 559,PC,2004,Action,0.43,0.21,0.04,0.87
Video Game 560,Switch,2002,Action,0.6,0.4,0.06,1.24
Video Game 561,Switch,2000,Action,0.24,0.14,0.02,0.56
Video Game 562,Switch,2016,Role-Playing,0.03,0.02,0.03,0.21
Video Game 563,XOne,2003,Sports,0.84,0.53,0.08,1.61
Video Game 564,PS3,2004,Sports,0.94,0.46,0.09,1.62
Video Game 565,PS4,2002,Role-Playing,1.74,1.42,1.56,4.78
Video Game 566,PS4,2016,Action,0.1,0.08,0.01,0.34
Video Game 567,Wii,2013,Platform,1.76,1.0,0.18,3.07
Video Game 568,Switch,2005,Platform,0.04,0.03,0.0,0.19
Video Game 569,Switch,2019,Platform,2.75,2.07,0.27,5.27
Video Game 570,PC,2011,Sports,0.91,0.78,0.09,1.93
Video Game 571,XOne,2002,Action,1.51,1.26,0.15,3.05
Video Game 572,XOne,2013,Action,0.57,0.31,0.06,1.06
Video Game 573,PS3,2015,Shooter,1.16,0.55,0.12,1.94
Video Game 574,Wii,2002,Role-Playing,0.44,0.19,0.41,1.16
Video Game 575,Switch,2020,Action,0.5,0.31,0.05,1.03
Video Game 576,Switch,1998,Misc,0.89,0.58,0.09,1.73
Video Game 577,PS4,2017,Role-Playing,1.42,0.98,1.77,4.3
Video Game 578,PC,2020,Misc,0.54,0.48,0.05,1.14
Video Game 579,Switch,2016,Role-Playing,0.0,0.0,0.0,0.15
Video Game 580,XOne,1997,Action,0.48,0.28,0.05,0.91
Video Game 581,Switch,2012,Action,0.49,0.33,0.05,1.04
Video Game 582,Wii,1997,Misc,0.2,0.1,0.02,0.42
Video Game 583,Wii,1996,Role-Playing,1.22,0.55,1.61,3.43
Video Game 584,Wii,2017,Sports,2.23,1.43,0.22,3.93
Video Game 585,Wii,2005,Platform,0.18,0.12,0.02,0.39
Video Game 586,Wii,2011,Sports,0.38,0.18,0.04,0.7
Video Game 587,PC,2020,Role-Playing,0.94,0.85,0.94,2.87
Video Game 588,Wii,2020,Platform,0.21,0.13,0.02,0.45
Video Game 589,PS3,2017,Shooter,0.75,0.4,0.08,1.3
Video Game 590,PS4,2003,Misc,0.63,0.43,0.06,1.21
Video Game 591,Switch,2001,Action,0.68,0.56,0.07,1.44
Video Game 592,PS3,2009,Shooter,0.17,0.09,0.02,0.44
Video Game 593,XOne,2008,Action,0.25,0.15,0.02,0.47
Video Game 594,Wii,2003,Sports,1.0,0.63,0.1,1.88
Video Game 595,XOne,1996,Action,0.55,0.37,0.06,1.07
Video Game 596,XOne,1998,Sports,0.58,0.3,0.06,1.14
Video Game 597,XOne,2019,Shooter,0.28,0.17,0.03,0.66
Video Game 598,Switch,2003,Action,0.43,0.27,0.04,0.89
Video Game 599,Wii,2014,Action,0.77,0.36,0.08,1.35
Video Game 600,XOne,2010,Sports,0.19,0.14,0.02,0.41
Video Game 601,PC,2016,Role-Playing,0.69,0.33,1.03,2.18
Video Game 602,PS3,2000,Action,0.55,0.31,0.06,1.11
Video Game 603,PC,2006,Shooter,0.68,0.51,0.07,1.33
Video Game 604,XOne,2020,Platform,2.47,2.18,0.25,5.04
Video Game 605,XOne,2006,Role-Playing,0.86,0.46,0.79,2.29
Video Game 606,Switch,2019,Action,0.31,0.22,0.03,0.73
Video Game 607,PC,1998,Sports,0.36,0.24,0.04,0.7
Video Game 608,Wii,2007,Platform,0.18,0.15,0.02,0.47
Video Game 609,XOne,2004,Platform,0.02,0.01,0.0,0.11
Video Game 610,PS4,2002,Role-Playing,0.34,0.2,0.3,0.96
Video Game 611,PS3,1997,Shooter,0.55,0.29,0.06,1.09
Video Game 612,PS4,2020,Role-Playing,0.25,0.12,0.33,0.85
Video Game 613,PS4,2009,Sports,0.13,0.05,0.01,0.33
Video Game 614,PS4,2020,Platform,0.19,0.17,0.02,0.45
Video Game 615,PS4,2001,Role-Playing,2.12,0.85,2.76,5.93
Video Game 616,Wii,2013,Action,1.14,0.96,0.11,2.33
Video Game 617,XOne,1998,Sports,0.13,0.11,0.01,0.3
Video Game 618,Switch,2007,Sports,0.24,0.17,0.02,0.55
Video Game 619,Wii,2007,Role-Playing,0.24,0.21,0.3,0.83
Video Game 620,Switch,1997,Misc,0.55,0.31,0.06,1.06
Video Game 621,XOne,2017,Role-Playing,0.64,0.34,0.67,1.81
Video Game 622,PC,2006,Platform,0.91,0.59,0.09,1.69
Video Game 623,Switch,2014,Misc,0.22,0.14,0.02,0.5
Video Game 624,PS3,2016,Action,1.31,1.13,0.13,2.68
Video Game 625,XOne,1998,Action,0.24,0.15,0.02,0.48
Video Game 626,Switch,2002,Role-Playing,0.69,0.35,0.86,2.02
Video Game 627,PS3,1995,Action,0.13,0.09,0.01,0.43
Video Game 628,Wii,2009,Shooter,1.03,0.44,0.1,1.69
Video Game 629,PS3,2012,Sports,0.99,0.84,0.1,2.03
Video Game 630,Wii,2011,Misc,1.2,0.58,0.12,2.0
Video Game 631,XOne,2000,Misc,0.05,0.04,0.0,0.24
Video Game 632,PS4,1999,Sports,0.58,0.45,0.06,1.24
Video Game 633,Switch,2014,Sports,0.14,0.05,0.01,0.3
Video Game 634,XOne,2006,Platform,0.1,0.07,0.01,0.28
Video Game 635,PC,2006,Platform,0.31,0.18,0.03,0.65
Video Game 636,PS3,2018,Platform,0.24,0.16,0.02,0.49
Video Game 637,XOne,2009,Role-Playing,0.26,0.21,0.35,0.87
Video Game 638,Wii,2007,Action,1.26,0.62,0.13,2.16
Video Game 639,XOne,1995,Sports,0.15,0.1,0.02,0.4
Video Game 640,Wii,2000,Sports,0.03,0.02,0.0,0.22
Video Game 641,PS3,2013,Sports,0.99,0.67,0.1,1.93
Video Game 642,PS3,2001,Misc,1.0,0.44,0.1,1.63
Video Game 643,PS3,1995,Action,0.97,0.8,0.1,1.93
Video Game 644,PS3,2012,Sports,0.01,0.0,0.0,0.12
Video Game 645,PS3,2016,Misc,0.42,0.17,0.04,0.69
Video Game 646,PS4,2013,Misc,1.24,0.99,0.12,2.45
Video Game 647,PC,2017,Action,0.62,0.43,0.06,1.29
Video Game 648,Wii,2015,Platform,1.21,0.81,0.12,2.27
Video Game 649,Wii,2020,Misc,0.3,0.23,0.03,0.69
Video Game 650,Wii,2010,Sports,0.22,0.16,0.02,0.54
Video Game 651,PC,2007,Action,0.07,0.06,0.01,0.3
Video Game 652,PC,2006,Role-Playing,2.08,1.4,2.09,5.72
Video Game 653,PS3,2016,Role-Playing,0.7,0.47,0.85,2.21
Video Game 654,PC,1996,Action,0.01,0.0,0.0,0.17
Video Game 655,XOne,2001,Action,0.32,0.21,0.03,0.74
Video Game 656,PC,2007,Action,0.24,0.16,0.02,0.6
Video Game 657,Wii,2008,Sports,0.21,0.14,0.02,0.55
Video Game 658,Switch,2010,Action,1.31,0.85,0.13,2.34
Video Game 659,XOne,1996,Misc,0.78,0.33,0.08,1.31
Video Game 660,XOne,2007,Platform,0.33,0.22,0.03,0.74
Video Game 661,PC,2010,Shooter,0.22,0.09,0.02,0.48
Video Game 662,PS4,2017,Platform,0.39,0.25,0.04,0.76
Video Game 663,PS3,2010,Action,0.21,0.13,0.02,0.56
Video Game 664,Switch,2009,Shooter,0.08,0.04,0.01,0.2
Video Game 665,PS3,2010,Shooter,0.29,0.17,0.03,0.66
Video Game 666,PS4,2000,Action,0.55,0.27,0.05,0.99
Video Game 667,PS4,2018,Shooter,0.21,0.17,0.02,0.56
Video Game 668,PS4,2013,Sports,0.03,0.02,0.0,0.16
Video Game 669,Wii,2017,Action,0.38,0.17,0.04,0.66
Video Game 670,XOne,2016,Sports,0.06,0.06,0.01,0.25
Video Game 671,XOne,2008,Action,1.23,0.52,0.12,1.99
Video Game 672,Switch,2016,Role-Playing,0.12,0.1,0.15,0.46
Video Game 673,PS3,2000,Shooter,0.58,0.45,0.06,1.2
Video Game 674,XOne,2009,Misc,0.2,0.17,0.02,0.52
Video Game 675,XOne,1995,Platform,0.45,0.18,0.04,0.74
Video Game 676,PS3,2012,Platform,0.39,0.28,0.04,0.84
Video Game 677,XOne,2012,Action,0.83,0.7,0.08,1.67
Video Game 678,XOne,2009,Role-Playing,0.13,0.06,0.12,0.41
Video Game 679,Switch,2019,Misc,2.16,1.05,0.22,3.63
Video Game 680,PC,2017,Misc,0.05,0.03,0.0,0.25
Video Game 681,Wii,2004,Role-Playing,0.33,0.22,0.42,1.14
Video Game 682,Switch,2013,Misc,0.41,0.26,0.04,0.89
Video Game 683,XOne,1995,Shooter,0.43,0.19,0.04,0.71
Video Game 684,PC,2011,Misc,0.31,0.23,0.03,0.76
Video Game 685,PS3,2019,Action,1.12,0.59,0.11,1.96
Video Game 686,PS4,2019,Misc,1.87,0.88,0.19,3.11
Video Game 687,PS4,1997,Misc,0.23,0.2,0.02,0.59
Video Game 688,PS4,2019,Shooter,0.63,0.51,0.06,1.33
Video Game 689,PS3,2011,Action,1.49,1.25,0.15,3.07
Video Game 690,Wii,2010,Role-Playing,0.7,0.59,1.03,2.43
Video Game 691,PS4,2002,Sports,0.2,0.09,0.02,0.46
Video Game 692,PS4,2010,Role-Playing,0.21,0.1,0.24,0.6
Video Game 693,Switch,2005,Sports,0.18,0.14,0.02,0.51
Video Game 694,PS4,1997,Action,0.23,0.15,0.02,0.55
Video Game 695,XOne,2013,Sports,0.61,0.31,0.06,1.12
Video Game 696,Wii,2009,Platform,0.91,0.81,0.09,1.89
Video Game 697,PS4,2017,Platform,0.16,0.11,0.02,0.46
Video Game 698,PS3,2000,Platform,0.73,0.35,0.07,1.3
Video Game 699,PC,2012,Shooter,2.12,1.28,0.21,3.8
Video Game 700,Wii,2013,Action,0.64,0.5,0.06,1.38
Video Game 701,XOne,1998,Role-Playing,1.28,1.1,1.64,4.12
Video Game 702,PS4,2017,Action,0.55,0.29,0.06,0.96
Video Game 703,Switch,2001,Sports,0.27,0.2,0.03,0.63
Video Game 704,Wii,2010,Shooter,1.26,0.86,0.13,2.34
Video Game 705,PS3,2004,Role-Playing,1.19,0.93,1.24,3.51
Video Game 706,Wii,2020,Misc,0.11,0.09,0.01,0.29
Video Game 707,XOne,2008,Sports,0.62,0.43,0.06,1.24
Video Game 708,Switch,2013,Misc,0.92,0.45,0.09,1.54
Video Game 709,Wii,2018,Sports,0.19,0.11,0.02,0.39
Video Game 710,PC,2013,Role-Playing,1.1,0.49,1.49,3.13
Video Game 711,Wii,2001,Sports,2.08,1.3,0.21,3.76
Video Game 712,PS4,2020,Sports,1.54,0.93,0.15,2.71
Video Game 713,XOne,2016,Role-Playing,1.59,1.02,1.49,4.25
Video Game 714,XOne,2015,Misc,0.02,0.01,0.0,0.17
Video Game 715,PS4,2006,Role-Playing,0.19,0.08,0.24,0.69
Video Game 716,PS4,2013,Action,0.03,0.02,0.0,0.24
Video Game 717,PS3,2019,Role-Playing,0.33,0.25,0.29,0.93
Video Game 718,PS3,2011,Action,0.28,0.22,0.03,0.72
Video Game 719,PS4,1999,Action,0.99,0.75,0.1,2.03
Video Game 720,PS3,2004,Action,0.21,0.15,0.02,0.57
Video Game 721,Wii,2007,Shooter,0.16,0.09,0.02,0.44
Video Game 722,PS3,2004,Role-Playing,0.98,0.88,0.87,2.78
Video Game 723,PC,2007,Action,0.42,0.34,0.04,0.93
Video Game 724,PC,2000,Role-Playing,0.94,0.54,1.01,2.62
Video Game 725,XOne,2002,Role-Playing,0.35,0.25,0.32,1.09
Video Game 726,XOne,2018,Role-Playing,0.33,0.2,0.46,1.07
Video Game 727,PC,2011,Shooter,0.41,0.26,0.04,0.86
Video Game 728,XOne,2012,Role-Playing,0.62,0.53,0.79,2.05
Video Game 729,PS4,2004,Shooter,3.31,2.06,0.33,5.84
Video Game 730,PS3,2020,Platform,0.82,0.59,0.08,1.63
Video Game 731,PS4,1997,Platform,0.12,0.07,0.01,0.35
Video Game 732,PS3,2006,Platform,1.55,0.71,0.15,2.51
Video Game 733,Wii,2009,Shooter,0.24,0.17,0.02,0.63
Video Game 734,PS4,2000,Shooter,0.14,0.07,0.01,0.34
Video Game 735,XOne,1999,Misc,0.44,0.21,0.04,0.85
Video Game 736,Switch,2003,Action,1.04,0.48,0.1,1.79
Video Game 737,Wii,2016,Action,1.13,0.94,0.11,2.23
Video Game 738,PS4,2009,Shooter,0.74,0.48,0.07,1.48
Video Game 739,PS3,2006,Platform,0.36,0.31,0.04,0.84
Video Game 740,PC,2004,Action,0.73,0.59,0.07,1.47
Video Game 741,Switch,2018,Shooter,0.16,0.12,0.02,0.49
Video Game 742,XOne,1995,Platform,0.25,0.14,0.02,0.54
Video Game 743,PS3,2012,Misc,0.17,0.09,0.02,0.36
Video Game 744,PC,1998,Shooter,1.15,0.6,0.12,1.94
Video Game 745,Wii,2016,Misc,0.04,0.02,0.0,0.22
Video Game 746,Switch,2002,Sports,1.09,0.59,0.11,1.91
Video Game 747,PS4,2008,Action,1.24,0.6,0.12,2.02
Video Game 748,Wii,2000,Sports,0.1,0.06,0.01,0.35
Video Game 749,Wii,2020,Misc,0.0,0.0,0.0,0.18
Video Game 750,PS3,2015,Shooter,2.0,1.64,0.2,3.93
Video Game 751,PS3,2013,Platform,0.24,0.18,0.02,0.61
Video Game 752,Switch,2019,Platform,0.05,0.04,0.01,0.24
Video Game 753,XOne,2011,Role-Playing,0.09,0.05,0.12,0.37
Video Game 754,PS4,2017,Shooter,0.36,0.28,0.04,0.81
Video Game 755,PS4,2007,Shooter,1.05,0.44,0.1,1.69
Video Game 756,PS3,2001,Action,0.41,0.2,0.04,0.84
Video Game 757,XOne,2015,Sports,0.81,0.55,0.08,1.53
Video Game 758,PC,2012,Role-Playing,0.11,0.09,0.15,0.51
Video Game 759,Wii,2015,Action,0.33,0.17,0.03,0.59
Video Game 760,XOne,2012,Action,0.26,0.11,0.03,0.49
Video Game 761,PC,2012,Sports,0.42,0.3,0.04,0.84
Video Game 762,XOne,2019,Role-Playing,0.36,0.22,0.46,1.11
Video Game 763,XOne,2008,Sports,0.17,0.15,0.02,0.39
Video Game 764,Wii,1997,Action,0.52,0.42,0.05,1.19
Video Game 765,Wii,2013,Role-Playing,0.34,0.23,0.43,1.08
Video Game 766,PC,2010,Action,0.25,0.17,0.02,0.54
Video Game 767,PS4,2018,Sports,0.13,0.08,0.01,0.42
Video Game 768,Switch,2009,Role-Playing,0.76,0.46,1.04,2.4
Video Game 769,PS3,2008,Platform,0.46,0.34,0.05,0.93
Video Game 770,Wii,2015,Platform,0.2,0.15,0.02,0.5
Video Game 771,PC,2016,Role-Playing,0.49,0.27,0.58,1.41
Video Game 772,Switch,2007,Misc,0.7,0.34,0.07,1.3
Video Game 773,Switch,2000,Misc,0.55,0.26,0.05,1.01
Video Game 774,Wii,2019,Action,0.4,0.24,0.04,0.77
Video Game 775,PC,1997,Role-Playing,0.03,0.03,0.03,0.14
Video Game 776,PS3,2016,Action,1.2,0.67,0.12,2.06
Video Game 777,XOne,2013,Platform,1.35,0.65,0.13,2.21
Video Game 778,Switch,2003,Shooter,0.45,0.31,0.05,0.97
Video Game 779,XOne,2000,Misc,0.91,0.64,0.09,1.74
Video Game 780,PS4,2003,Shooter,0.64,0.47,0.06,1.27
Video Game 781,Wii,2019,Platform,0.21,0.11,0.02,0.51
Video Game 782,PC,2010,Action,0.5,0.3,0.05,1.01
Video Game 783,PC,2008,Shooter,0.41,0.19,0.04,0.81
Video Game 784,PC,2007,Platform,0.05,0.03,0.01,0.28
Video Game 785,Wii,2005,Shooter,1.01,0.59,0.1,1.85
Video Game 786,PC,2019,Shooter,1.56,0.99,0.16,2.78
Video Game 787,PS3,2012,Misc,0.55,0.35,0.05,1.04
Video Game 788,Switch,2019,Shooter,0.13,0.06,0.01,0.26
Video Game 789,PS4,2010,Sports,0.27,0.17,0.03,0.62
Video Game 790,PS4,1996,Action,0.46,0.24,0.05,0.95
Video Game 791,XOne,2008,Platform,0.56,0.22,0.06,1.02
Video Game 792,Wii,2004,Shooter,0.38,0.31,0.04,0.79
Video Game 793,XOne,2018,Action,0.81,0.66,0.08,1.73
Video Game 794,PS4,2004,Role-Playing,0.31,0.18,0.25,0.89
Video Game 795,Switch,2005,Misc,0.95,0.84,0.1,1.99
Video Game 796,Wii,2012,Platform,0.3,0.17,0.03,0.64
Video Game 797,XOne,2016,Platform,0.31,0.2,0.03,0.61
Video Game 798,PC,2005,Shooter,0.73,0.33,0.07,1.34
Video Game 799,Wii,1998,Sports,0.31,0.14,0.03,0.56
Video Game 800,Switch,2002,Platform,0.6,0.35,0.06,1.12
Video Game 801,Wii,2006,Sports,0.23,0.12,0.02,0.46
Video Game 802,PS4,2014,Role-Playing,0.61,0.52,0.61,1.9
Video Game 803,PS3,2011,Shooter,1.0,0.71,0.1,1.95
Video Game 804,XOne,2012,Sports,0.29,0.23,0.03,0.71
Video Game 805,PS3,2009,Shooter,0.11,0.08,0.01,0.27
Video Game 806,XOne,2014,Action,0.37,0.26,0.04,0.85
Video Game 807,PC,2006,Role-Playing,0.82,0.68,0.93,2.5
Video Game 808,Switch,2017,Shooter,0.35,0.23,0.03,0.8
Video Game 809,PS4,2007,Misc,0.17,0.12,0.02,0.46
Video Game 810,Switch,2008,Shooter,0.38,0.34,0.04,0.95
