StreamID,ConcurrentViewers,ChatRatePerMinute,ToxicityRatio_Percent,NetworkLatency_ms,ServerLoadLevel
1690632,5.26,26.6,13.3,94.6,1
1690633,5.27,32.9,67.3,61.6,1
1690634,3.81,41.1,59.9,57.6,0
1690635,5.07,94.2,18.4,113.7,0
1690636,3.7,40.2,41.1,79.0,0
1690637,5.34,59.3,53.8,146.0,0
1690638,3.77,38.8,28.4,127.0,0
1690639,5.02,29.0,62.9,108.3,0
1690640,4.67,50.7,41.6,77.1,1
1690641,4.99,59.7,49.1,73.4,0
1690642,3.74,24.9,48.5,105.0,0
1690643,4.39,35.7,67.1,101.4,1
1690644,4.84,49.4,38.4,80.2,1
1690645,2.8,53.7,49.4,147.4,1
1690646,4.56,42.6,54.2,104.0,1
1690647,3.96,56.8,27.0,71.0,0
1690648,4.26,32.9,41.8,62.1,1
1690649,6.04,46.6,68.8,101.8,0
1690650,4.78,42.8,19.4,101.3,1
1690651,4.29,75.2,28.8,92.7,1
1690652,3.6,46.5,65.1,87.3,1
1690653,4.58,59.6,33.8,118.8,0
1690654,4.98,66.8,34.6,88.5,0
1690655,6.19,72.4,40.5,63.8,1
1690656,3.34,71.5,52.1,109.3,0
1690657,5.41,18.4,59.2,112.9,1
1690658,3.56,34.6,40.0,110.5,1
1690659,3.4,66.3,41.1,51.4,0
1690660,5.35,30.6,66.1,116.9,0
1690661,6.63,62.6,43.2,85.3,0
1690662,5.36,21.1,34.2,122.0,1
1690663,3.32,33.6,42.6,81.7,0
1690664,4.46,73.3,30.4,106.6,1
1690665,3.89,34.7,18.1,105.1,0
1690666,3.44,50.6,22.0,92.5,1
1690667,3.65,37.4,46.2,72.9,1
1690668,4.08,63.3,56.9,99.6,0
1690669,3.48,49.9,27.8,112.8,1
1690670,5.01,59.9,52.9,147.1,0
1690671,5.37,61.3,34.0,101.0,1
1690672,4.67,41.6,31.4,147.9,0
1690673,4.29,41.1,26.5,96.2,1
1690674,3.74,48.8,43.5,92.5,0
1690675,5.75,33.5,27.1,113.5,0
1690676,4.66,35.7,34.0,98.0,0
1690677,5.39,47.4,63.7,62.3,0
1690678,3.63,20.2,70.7,97.1,1
1690679,6.12,52.4,25.7,97.3,0
1690680,5.64,35.7,61.7,119.6,0
1690681,4.35,38.4,40.5,105.3,1
1690682,4.37,36.0,48.5,70.9,0
1690683,2.94,21.0,43.9,61.5,0
1690684,2.27,53.7,54.0,76.7,0
1690685,2.51,44.2,53.7,78.8,1
1690686,4.54,47.7,30.9,123.4,0
1690687,5.01,47.2,54.2,124.1,0
1690688,5.32,17.0,20.3,77.3,0
1690689,4.57,70.1,31.8,48.9,0
1690690,5.81,58.2,73.2,116.5,1
1690691,6.07,32.7,56.2,81.7,0
1690692,5.1,39.2,39.6,122.8,0
1690693,4.24,38.5,67.6,100.1,0
1690694,7.47,48.9,45.7,118.6,0
1690695,3.44,32.5,52.7,94.0,1
1690696,5.22,55.2,53.1,110.5,0
1690697,5.63,38.4,37.0,117.0,1
1690698,2.92,34.2,54.5,85.1,0
1690699,4.25,30.4,43.0,105.5,0
1690700,6.14,44.7,39.7,88.0,1
1690701,5.4,38.2,42.5,62.3,1
1690702,4.58,83.1,43.6,95.5,1
1690703,5.94,75.3,45.0,82.5,1
1690704,3.27,40.3,28.3,59.3,1
1690705,2.71,44.8,32.9,97.0,1
1690706,5.1,46.8,66.5,94.0,0
1690707,3.87,69.6,53.0,90.6,1
1690708,2.24,,75.6,112.1,1
1690709,4.28,30.9,51.3,108.5,0
1690710,4.26,52.3,43.5,56.3,1
1690711,3.53,51.7,51.7,127.1,0
1690712,6.44,65.6,37.5,114.1,1
1690713,4.42,29.7,35.2,100.3,0
1690714,4.06,47.6,43.3,73.6,1
1690715,4.24,44.1,70.3,160.8,1
1690716,4.36,58.6,45.5,108.5,1
1690717,5.86,17.5,44.2,114.8,0
1690718,4.97,23.7,29.2,114.4,1
1690719,2.56,47.9,40.5,116.8,1
1690720,5.58,68.3,70.1,68.3,1
1690721,5.42,54.1,51.9,86.6,0
1690722,4.05,47.0,16.7,104.6,0
1690723,5.35,25.2,32.1,35.6,0
1690724,5.92,52.9,34.9,122.0,1
1690725,5.02,0.0,41.3,55.7,0
1690726,6.02,35.8,31.6,102.8,0
1690727,4.51,41.1,34.0,105.8,1
1690728,4.72,41.2,24.4,139.4,0
1690729,6.4,44.4,32.1,66.8,1
1690730,3.27,40.2,43.3,90.0,1
1690731,3.5,44.7,41.0,90.6,1
1690732,3.25,44.4,45.2,94.2,1
1690733,3.49,63.0,45.9,84.3,0
1690734,5.43,23.4,44.8,96.4,1
1690735,6.85,33.9,74.4,97.6,1
1690736,3.36,38.6,18.6,109.9,0
1690737,5.54,77.4,35.9,136.0,0
1690738,4.17,58.5,41.8,105.1,0
1690739,6.22,33.5,28.6,123.5,0
1690740,3.8,50.9,33.7,75.0,1
1690741,5.45,64.4,27.3,109.9,0
1690742,3.79,23.1,55.5,110.3,1
1690743,4.04,62.8,48.8,129.5,0
1690744,6.29,47.1,55.3,114.7,0
1690745,5.0,38.4,31.7,60.8,1
1690746,3.35,58.0,51.9,92.7,1
1690747,4.95,35.5,51.0,94.1,0
1690748,4.64,57.9,31.9,89.4,1
1690749,5.41,19.7,28.2,66.8,1
1690750,5.14,42.1,36.8,109.4,0
1690751,2.89,24.8,28.9,101.2,1
1690752,4.51,51.1,49.5,91.2,0
1690753,5.6,18.9,71.6,100.5,1
1690754,4.57,52.0,21.8,94.0,0
1690755,3.33,37.9,19.6,64.4,0
1690756,3.39,67.0,58.7,108.6,1
1690757,3.61,79.0,78.6,79.5,1
1690758,5.32,52.2,28.6,76.2,1
1690759,4.68,19.3,42.8,83.0,1
1690760,3.58,35.5,69.4,120.3,1
1690761,5.78,41.2,35.6,63.0,0
1690762,5.14,55.7,53.5,64.7,1
1690763,5.69,33.2,14.3,87.1,0
1690764,5.57,30.4,33.6,65.2,1
1690765,4.63,38.0,33.3,87.7,0
1690766,3.63,58.6,49.0,92.5,0
1690767,4.24,42.4,38.1,80.4,0
1690768,3.85,18.1,40.3,167.9,1
1690769,5.94,62.7,64.2,119.5,0
1690770,5.68,66.7,35.0,111.9,0
1690771,3.58,44.6,77.6,108.7,1
1690772,4.44,52.0,59.2,89.3,1
1690773,2.4,40.1,43.8,67.2,1
1690774,4.0,40.0,44.7,84.4,0
1690775,4.0,56.6,36.1,95.2,0
1690776,4.38,49.1,59.3,72.4,1
1690777,2.83,,47.8,102.1,0
1690778,3.3,35.2,26.4,115.8,1
1690779,3.73,45.2,49.2,101.2,0
1690780,3.76,41.5,51.0,107.6,0
1690781,3.52,0.0,39.6,91.7,1
1690782,4.99,47.3,41.2,98.1,0
1690783,2.5,66.7,61.1,80.4,1
1690784,5.13,45.4,32.9,116.5,0
1690785,4.92,,58.7,119.9,1
1690786,4.89,69.1,53.7,87.2,0
1690787,5.74,77.7,58.5,92.6,1
1690788,2.9,54.4,41.0,125.9,1
1690789,6.41,22.2,36.9,83.5,0
1690790,4.14,38.9,42.0,114.6,0
1690791,4.52,43.0,66.5,85.3,1
1690792,3.44,28.7,80.5,80.0,0
1690793,5.02,27.3,60.0,139.6,0
1690794,4.04,52.4,59.6,124.5,0
1690795,5.01,37.5,42.8,165.0,1
1690796,5.72,63.6,36.5,122.2,1
1690797,5.3,28.7,51.6,71.0,1
1690798,3.14,45.6,30.4,86.8,0
1690799,5.6,19.4,31.2,140.5,1
1690800,5.83,66.5,44.4,69.6,1
1690801,5.77,44.3,43.7,139.4,1
1690802,3.61,41.8,44.0,82.2,1
1690803,3.11,49.6,45.1,62.4,0
1690804,4.85,48.8,45.6,72.5,1
1690805,6.64,35.2,73.2,118.2,0
1690806,3.77,55.6,24.0,98.6,1
1690807,3.32,25.2,36.4,73.3,0
1690808,5.54,48.7,46.5,68.2,0
1690809,5.04,43.6,51.2,141.1,0
1690810,4.41,66.9,52.9,95.7,0
1690811,3.54,8.8,15.0,74.2,0
1690812,4.37,,48.0,137.6,1
1690813,6.51,37.9,57.2,80.1,1
1690814,3.67,19.2,33.5,106.7,1
1690815,4.04,33.9,31.4,85.0,0
1690816,5.1,42.0,46.6,109.7,1
1690817,7.25,48.5,61.1,131.1,0
1690818,3.67,16.9,49.9,92.7,0
1690819,3.52,54.4,39.1,132.4,1
1690820,5.05,41.7,44.0,124.7,1
1690821,2.98,27.2,78.4,79.1,1
1690822,6.33,50.5,38.5,106.4,1
1690823,6.82,56.0,16.7,75.3,1
1690824,4.97,51.7,40.8,116.0,1
1690825,2.31,49.0,54.9,105.2,0
1690826,3.54,0.7,36.5,57.7,1
1690827,4.2,43.8,50.1,120.9,1
1690828,3.18,26.3,11.6,97.2,0
1690829,5.81,28.4,42.7,82.0,0
1690830,3.29,74.6,20.8,125.4,1
1690831,4.18,44.9,73.3,76.5,1
1690832,2.76,52.7,54.1,155.8,0
1690833,6.71,31.6,54.2,116.2,1
1690834,6.2,62.9,53.9,73.8,0
1690835,6.8,39.1,65.9,122.8,0
1690836,5.14,43.3,35.5,143.4,0
1690837,5.33,50.7,75.4,132.1,0
1690838,6.59,15.9,27.7,103.4,0
1690839,5.17,35.5,27.1,118.1,1
1690840,4.76,48.4,54.5,81.7,0
1690841,4.41,52.0,58.0,111.6,0
1690842,3.34,75.1,35.1,127.1,0
1690843,5.0,35.0,52.2,137.5,0
1690844,4.19,26.4,64.4,85.8,0
1690845,4.36,20.7,52.4,117.9,1
1690846,4.12,44.2,52.4,74.9,1
1690847,6.19,19.3,49.0,103.4,0
1690848,3.24,53.4,43.6,76.8,0
1690849,5.55,52.0,45.1,83.6,0
1690850,6.48,34.6,56.2,121.9,0
1690851,5.51,36.5,53.5,112.8,0
1690852,6.32,66.5,29.7,84.6,0
1690853,5.14,32.3,31.8,94.8,0
1690854,4.88,60.2,71.5,81.6,0
1690855,3.8,57.6,57.4,55.5,0
1690856,1.8,52.1,46.6,101.2,1
1690857,3.95,52.3,43.8,76.3,0
1690858,4.46,54.6,55.6,90.5,0
1690859,4.8,35.3,38.9,98.3,0
1690860,5.41,52.4,36.2,121.9,0
1690861,4.26,46.3,28.3,76.4,0
1690862,4.78,34.5,53.6,77.5,0
1690863,7.15,52.0,59.5,104.8,1
1690864,3.54,27.7,26.5,84.8,1
1690865,4.9,39.0,84.8,131.7,0
1690866,4.8,64.8,62.0,161.2,0
1690867,4.63,59.2,54.8,117.2,1
1690868,4.08,50.5,51.8,88.8,1
1690869,3.03,35.6,27.0,143.3,1
1690870,4.23,55.4,48.0,51.3,0
1690871,5.17,60.8,51.0,98.8,1
1690872,3.84,59.3,50.0,90.8,0
1690873,4.4,35.9,74.2,140.3,0
1690874,4.12,40.2,51.6,102.0,1
1690875,5.9,24.1,83.9,85.2,1
1690876,5.94,65.4,52.0,115.7,0
1690877,5.82,32.9,23.2,113.2,1
1690878,3.0,20.2,38.3,125.4,1
1690879,4.75,51.0,62.4,103.9,1
1690880,4.87,42.8,24.0,111.1,0
1690881,5.49,59.4,40.4,127.3,0
1690882,3.72,51.5,58.2,89.3,1
1690883,5.44,32.7,69.8,138.0,1
1690884,4.26,33.1,40.4,134.1,1
1690885,3.88,51.0,29.2,126.7,1
1690886,4.35,40.1,52.1,58.2,1
1690887,3.51,31.6,57.5,95.5,0
1690888,6.58,31.2,10.0,100.5,1
1690889,2.62,56.4,65.8,117.3,1
1690890,6.5,58.9,48.4,48.8,1
1690891,4.76,63.2,43.6,89.2,1
1690892,4.3,37.6,30.3,98.7,1
1690893,4.42,44.9,60.0,125.1,1
1690894,3.62,29.0,67.3,121.1,0
1690895,4.79,84.7,26.0,53.5,1
1690896,6.44,64.2,47.9,117.2,1
1690897,4.21,13.1,44.8,87.2,0
1690898,2.05,39.2,35.7,140.4,1
1690899,5.57,40.6,63.7,59.3,0
1690900,3.44,30.6,47.2,58.4,0
1690901,3.54,62.3,30.8,61.3,1
1690902,4.26,40.1,40.1,174.9,0
1690903,6.72,34.5,35.2,108.5,0
1690904,5.39,49.9,37.7,112.5,0
1690905,4.36,65.3,71.2,80.0,0
1690906,5.69,47.8,60.0,81.1,1
1690907,4.29,34.8,39.2,93.9,0
1690908,6.75,48.0,47.8,104.5,1
1690909,3.23,50.6,73.8,101.1,0
1690910,2.68,34.0,39.3,133.5,1
1690911,4.91,59.3,45.8,117.6,0
1690912,4.07,74.1,41.1,100.8,0
1690913,5.37,54.5,57.2,114.8,0
1690914,4.16,46.9,46.9,67.8,0
1690915,4.02,45.6,39.3,73.9,0
1690916,2.65,42.1,46.8,103.5,1
1690917,4.67,40.9,7.3,105.6,0
1690918,2.69,67.4,43.0,103.6,1
1690919,3.25,0.3,69.1,98.9,0
1690920,6.13,30.5,45.7,54.9,1
1690921,4.9,75.2,21.7,42.2,0
1690922,4.22,64.2,38.9,117.3,1
1690923,6.08,45.0,14.2,113.1,1
1690924,4.66,76.6,34.1,101.2,0
1690925,3.55,54.5,37.6,62.3,1
1690926,4.91,,60.8,135.7,1
1690927,2.57,34.5,31.2,60.0,0
1690928,4.85,55.9,58.8,134.0,1
1690929,4.3,33.9,29.5,124.6,1
1690930,6.15,46.3,36.8,81.7,1
1690931,6.06,51.8,30.1,89.2,1
1690932,4.43,29.1,64.0,105.4,1
1690933,4.17,42.8,52.1,94.0,0
1690934,5.37,49.0,46.0,72.2,0
1690935,4.62,28.7,56.6,135.6,0
1690936,6.99,44.1,77.3,120.3,0
1690937,6.11,35.8,32.7,76.8,0
1690938,4.34,30.5,61.7,144.5,0
1690939,2.53,22.3,38.0,78.6,1
1690940,2.7,19.3,46.0,67.7,0
1690941,5.09,71.7,58.2,103.2,1
1690942,6.8,48.0,50.9,77.1,1
1690943,4.55,46.5,59.2,102.4,1
1690944,4.16,88.3,37.2,125.3,0
1690945,5.15,81.0,50.2,66.5,1
1690946,4.25,48.2,38.6,98.7,1
1690947,3.6,35.2,21.8,103.8,1
1690948,3.21,43.5,20.2,99.8,1
1690949,5.39,34.1,25.2,97.6,1
1690950,4.56,40.2,52.5,124.2,1
1690951,5.3,49.6,78.7,87.5,0
1690952,3.21,27.1,36.6,112.5,1
1690953,5.08,34.6,66.8,99.0,0
1690954,4.44,49.5,24.0,101.0,1
1690955,5.16,41.1,72.1,87.6,1
1690956,5.81,34.8,32.4,97.2,1
1690957,6.19,0.0,57.3,106.2,0
1690958,5.15,46.2,74.8,98.0,0
1690959,5.92,59.8,57.4,91.7,0
1690960,5.45,71.0,22.9,105.4,1
1690961,4.12,50.3,30.6,103.0,0
1690962,3.57,36.4,54.9,113.3,0
1690963,3.81,52.8,44.1,116.2,1
1690964,3.33,31.2,55.7,110.5,1
1690965,4.94,61.8,23.9,109.8,1
1690966,4.98,56.5,22.9,28.6,0
1690967,5.43,53.3,59.6,119.6,0
1690968,4.23,48.2,39.6,101.2,1
1690969,2.53,46.8,45.3,91.5,0
1690970,2.29,79.1,20.9,164.9,0
1690971,4.45,50.0,36.3,65.2,1
1690972,3.07,,41.5,112.1,0
1690973,2.85,,55.4,111.9,1
1690974,3.82,67.5,33.4,93.1,0
1690975,4.51,62.6,41.7,76.8,1
1690976,4.97,20.2,77.4,95.3,1
1690977,4.83,68.7,50.8,136.1,1
1690978,3.27,36.2,70.9,92.9,0
1690979,5.75,48.3,47.1,58.7,1
1690980,4.09,49.1,18.4,114.3,0
1690981,3.19,56.7,29.6,88.9,0
1690982,3.89,54.7,40.9,132.5,1
1690983,3.83,36.6,30.9,103.5,1
1690984,4.49,57.4,45.5,65.2,1
1690985,5.91,43.6,61.3,86.8,0
1690986,6.24,19.8,67.4,111.4,0
1690987,3.14,37.6,47.9,134.7,1
1690988,4.43,,45.1,145.8,0
1690989,4.28,62.9,62.1,74.4,1
1690990,6.06,24.7,28.1,73.4,0
1690991,3.62,54.5,52.1,103.2,1
1690992,5.38,38.6,57.1,75.4,1
1690993,5.38,60.8,39.4,85.0,0
1690994,3.83,77.9,25.1,54.2,0
1690995,5.24,48.9,38.0,92.8,1
1690996,5.59,75.7,71.7,114.6,0
1690997,3.86,61.0,58.2,125.2,0
1690998,4.88,62.0,42.0,61.7,0
1690999,3.44,61.4,31.2,102.0,1
1691000,5.91,41.0,43.1,86.0,0
