FlightID,Airline,ScheduledTime_Hour,Delay_Minutes,Weather_Severity,IsWeekend
FL00600,Korean Air,18,87.0,4.0,No
FL00601,Jin Air,16,81.0,3.4,Yes
FL00602,Asiana,10,47.0,3.4,No
FL00603,Korean Air,16,23.0,1.4,No
FL00604,Tway,21,82.0,3.8,No
FL00605,Korean Air,21,92.0,4.7,No
FL00606,Korean Air,18,52.0,2.7,Yes
FL00607,Korean Air,19,106.0,4.8,No
FL00608,Jin Air,13,75.0,4.6,No
FL00609,Jin Air,18,86.0,3.6,No
FL00610,Korean Air,21,46.0,2.5,No
FL00611,Tway,15,51.0,2.9,No
FL00612,Asiana,15,3.0,1.1,No
FL00613,Jeju Air,13,62.0,2.2,Yes
FL00614,Jeju Air,9,21.0,1.9,No
FL00615,Asiana,17,44.0,2.8,No
FL00616,Asiana,10,80.0,4.3,No
FL00617,Asiana,15,92.0,4.9,No
FL00618,Korean Air,7,0.0,1.0,No
FL00619,Korean Air,6,51.0,3.4,No
FL00620,Korean Air,18,38.0,3.0,No
FL00621,Korean Air,8,37.0,2.4,No
FL00622,Asiana,23,78.0,3.4,No
FL00623,Jeju Air,14,19.0,1.2,No
FL00624,Korean Air,8,81.0,4.1,Yes
FL00625,Jeju Air,8,10.0,2.0,No
FL00626,Korean Air,22,81.0,3.7,No
FL00627,Asiana,19,88.0,5.0,No
FL00628,Korean Air,8,73.0,4.7,No
FL00629,Jeju Air,8,64.0,3.3,Yes
FL00630,Jin Air,21,37.0,2.1,Yes
FL00631,Asiana,16,86.0,4.5,No
FL00632,Jeju Air,9,71.0,3.9,No
FL00633,Jeju Air,10,55.0,2.7,Yes
FL00634,Tway,6,28.0,2.0,No
FL00635,Jeju Air,8,56.0,3.9,No
FL00636,Jeju Air,10,28.0,1.8,Yes
FL00637,Jeju Air,23,46.0,2.2,No
FL00638,Jeju Air,21,33.0,1.2,Yes
FL00639,Tway,12,4.0,1.2,No
FL00640,Asiana,21,76.0,3.6,Yes
FL00641,Korean Air,19,64.0,2.7,No
FL00642,Tway,23,46.0,1.4,Yes
FL00643,Tway,14,5.0,1.4,No
FL00644,Jin Air,14,75.0,4.2,No
FL00645,Jin Air,6,,4.5,No
FL00646,Jeju Air,8,65.0,4.0,Yes
FL00647,Tway,12,0.0,1.1,No
FL00648,Korean Air,16,41.0,1.1,Yes
FL00649,Korean Air,10,62.0,2.9,Yes
FL00650,Asiana,17,36.0,1.3,No
FL00651,Korean Air,14,77.0,3.4,No
FL00652,Tway,19,79.0,3.6,No
FL00653,Korean Air,7,24.0,1.0,No
FL00654,Korean Air,22,75.0,3.2,Yes
FL00655,Jeju Air,10,31.0,2.2,No
FL00656,Jin Air,21,36.0,1.6,No
FL00657,Asiana,19,95.0,4.9,No
FL00658,Korean Air,13,84.0,4.8,No
FL00659,Korean Air,7,63.0,4.1,No
FL00660,Asiana,8,58.0,3.4,No
FL00661,Asiana,10,86.0,4.7,No
FL00662,Korean Air,23,71.0,3.7,No
FL00663,Asiana,18,61.0,3.5,No
FL00664,Korean Air,12,56.0,4.1,No
FL00665,Asiana,17,35.0,1.3,No
FL00666,Korean Air,17,67.0,4.0,No
FL00667,Tway,14,107.0,4.3,No
FL00668,Asiana,17,47.0,2.6,No
FL00669,Korean Air,15,84.0,4.7,No
FL00670,Korean Air,22,109.0,3.5,Yes
FL00671,Tway,19,28.0,1.8,No
FL00672,Jin Air,23,53.0,2.7,No
FL00673,Asiana,12,54.0,3.2,No
FL00674,Asiana,11,32.0,2.3,No
FL00675,Jeju Air,6,26.0,2.5,No
FL00676,Asiana,16,72.0,3.9,No
FL00677,Jin Air,13,79.0,4.2,No
FL00678,Jeju Air,21,65.0,3.4,No
FL00679,Asiana,12,74.0,4.9,No
FL00680,Jin Air,11,46.0,3.0,No
FL00681,Korean Air,12,33.0,1.1,Yes
FL00682,Asiana,9,29.0,1.7,Yes
FL00683,Korean Air,19,52.0,2.4,No
FL00684,Jeju Air,6,18.0,2.2,No
FL00685,Tway,6,4.0,1.3,No
FL00686,Korean Air,20,32.0,1.7,No
FL00687,Jin Air,14,25.0,2.1,No
FL00688,Jeju Air,8,0.0,1.1,No
FL00689,Tway,11,18.0,1.1,No
FL00690,Asiana,17,50.0,2.7,Yes
FL00691,Jeju Air,10,79.0,4.1,No
FL00692,Jin Air,16,65.0,3.9,No
FL00693,Korean Air,17,98.0,5.0,Yes
FL00694,Jeju Air,18,93.0,4.6,No
FL00695,Asiana,15,31.0,1.9,No
FL00696,Tway,12,31.0,2.5,No
FL00697,Asiana,7,56.0,4.0,No
FL00698,Asiana,8,65.0,3.2,No
FL00699,Asiana,14,52.0,3.2,No
FL00700,Korean Air,23,59.0,2.8,No
FL00701,Asiana,13,48.0,2.0,Yes
FL00702,Korean Air,8,57.0,4.0,No
FL00703,Jeju Air,8,37.0,2.3,Yes
FL00704,Asiana,12,60.0,3.1,Yes
FL00705,Jeju Air,8,21.0,1.6,No
FL00706,Korean Air,18,106.0,4.9,Yes
FL00707,Jin Air,16,28.0,1.2,No
FL00708,Asiana,7,16.0,1.9,No
FL00709,Jin Air,7,87.0,4.3,No
FL00710,Asiana,20,43.0,2.1,No
FL00711,Korean Air,6,77.0,4.5,No
FL00712,Asiana,18,84.0,2.9,No
FL00713,Asiana,7,29.0,2.7,No
FL00714,Korean Air,13,64.0,3.7,No
FL00715,Korean Air,23,45.0,1.2,Yes
FL00716,Jin Air,9,43.0,4.1,No
FL00717,Tway,6,3.0,1.2,No
FL00718,Korean Air,9,49.0,2.2,No
FL00719,Tway,11,85.0,4.7,No
FL00720,Asiana,23,114.0,4.8,Yes
FL00721,Korean Air,23,40.0,1.8,No
FL00722,Korean Air,8,45.0,4.1,No
FL00723,Jeju Air,20,37.0,2.1,No
FL00724,Asiana,9,91.0,4.5,No
FL00725,Korean Air,7,45.0,3.6,No
FL00726,Korean Air,15,29.0,1.4,Yes
FL00727,Jin Air,21,101.0,4.7,No
FL00728,Jeju Air,7,56.0,3.8,No
FL00729,Korean Air,14,47.0,3.0,No
FL00730,Jeju Air,10,29.0,2.3,Yes
FL00731,Tway,22,96.0,4.3,No
FL00732,Korean Air,15,74.0,3.7,No
FL00733,Asiana,15,32.0,1.7,No
FL00734,Asiana,18,101.0,4.6,Yes
FL00735,Korean Air,16,58.0,2.7,No
FL00736,Asiana,11,28.0,2.3,No
FL00737,Asiana,7,80.0,4.9,No
FL00738,Korean Air,22,78.0,3.9,No
FL00739,Korean Air,16,52.0,2.8,No
FL00740,Korean Air,7,0.0,1.4,No
FL00741,Korean Air,19,82.0,3.2,Yes
FL00742,Jeju Air,9,93.0,3.7,Yes
FL00743,Asiana,19,99.0,4.4,No
FL00744,Jin Air,21,52.0,2.3,No
FL00745,Jeju Air,9,24.0,2.0,No
FL00746,Asiana,12,50.0,3.8,No
FL00747,Tway,22,94.0,3.2,Yes
FL00748,Jin Air,10,89.0,4.7,Yes
FL00749,Jeju Air,10,85.0,4.4,No
FL00750,Korean Air,23,69.0,3.1,Yes
FL00751,Jeju Air,7,47.0,3.4,No
FL00752,Jeju Air,18,94.0,4.8,Yes
FL00753,Jeju Air,9,70.0,4.0,No
FL00754,Asiana,13,33.0,2.5,No
FL00755,Asiana,22,52.0,2.3,No
FL00756,Jeju Air,19,42.0,2.5,No
FL00757,Jeju Air,18,61.0,3.1,No
FL00758,Tway,16,87.0,4.6,No
FL00759,Asiana,14,40.0,2.9,No
FL00760,Jeju Air,15,39.0,2.5,No
FL00761,Jin Air,14,37.0,2.8,No
FL00762,Asiana,18,23.0,1.4,No
FL00763,Jin Air,20,44.0,2.0,No
FL00764,Jin Air,10,57.0,3.2,Yes
FL00765,Asiana,8,27.0,3.0,No
FL00766,Tway,9,74.0,4.1,Yes
FL00767,Jeju Air,11,49.0,3.5,No
FL00768,Jeju Air,23,52.0,1.6,Yes
FL00769,Jeju Air,15,32.0,1.4,No
FL00770,Korean Air,7,22.0,2.4,No
FL00771,Korean Air,23,80.0,3.2,Yes
FL00772,Jin Air,9,59.0,4.3,Yes
FL00773,Jeju Air,15,33.0,2.8,Yes
FL00774,Korean Air,23,60.0,3.0,No
FL00775,Asiana,23,82.0,3.9,No
FL00776,Korean Air,17,84.0,3.9,No
FL00777,Korean Air,23,58.0,2.0,Yes
FL00778,Korean Air,18,33.0,1.5,Yes
FL00779,Korean Air,7,24.0,1.9,No
FL00780,Korean Air,6,41.0,3.4,No
FL00781,Jeju Air,14,33.0,2.6,No
FL00782,Asiana,13,,1.5,No
FL00783,Jeju Air,12,42.0,2.0,Yes
FL00784,Jeju Air,6,56.0,4.4,No
FL00785,Korean Air,18,81.0,3.5,No
FL00786,Korean Air,23,95.0,3.2,Yes
FL00787,Korean Air,7,36.0,2.4,No
FL00788,Asiana,11,29.0,2.4,No
FL00789,Jin Air,19,42.0,2.5,No
FL00790,Asiana,16,61.0,2.8,No
FL00791,Jeju Air,12,59.0,3.3,No
FL00792,Korean Air,22,108.0,3.8,No
FL00793,Korean Air,13,64.0,3.7,No
FL00794,Jin Air,16,32.0,2.4,No
FL00795,Jeju Air,23,79.0,3.5,No
FL00796,Asiana,9,34.0,2.9,No
FL00797,Korean Air,20,19.0,1.1,No
FL00798,Korean Air,10,2.0,2.1,No
FL00799,Korean Air,16,55.0,3.2,No
FL00800,Asiana,22,42.0,2.6,No
FL00801,Asiana,20,74.0,3.2,No
FL00802,Korean Air,19,75.0,4.1,No
FL00803,Asiana,7,61.0,3.9,Yes
FL00804,Korean Air,6,62.0,2.8,Yes
FL00805,Jeju Air,12,22.0,1.6,No
FL00806,Korean Air,10,26.0,1.2,No
FL00807,Korean Air,21,55.0,3.2,No
FL00808,Asiana,22,78.0,3.5,No
FL00809,Jin Air,21,91.0,3.8,No
FL00810,Asiana,11,39.0,1.6,Yes
FL00811,Jin Air,18,3.0,1.3,No
FL00812,Asiana,22,66.0,2.8,Yes
FL00813,Jeju Air,10,58.0,2.4,Yes
FL00814,Korean Air,8,14.0,1.9,No
FL00815,Jeju Air,10,37.0,3.4,Yes
FL00816,Tway,16,70.0,4.7,No
FL00817,Asiana,11,12.0,1.2,No
FL00818,Jeju Air,20,104.0,4.7,No
FL00819,Korean Air,18,28.0,2.0,No
FL00820,Korean Air,10,26.0,2.5,No
FL00821,Asiana,6,31.0,1.9,Yes
FL00822,Korean Air,7,84.0,5.0,No
FL00823,Korean Air,13,,2.3,No
FL00824,Jeju Air,14,43.0,2.5,Yes
FL00825,Tway,23,77.0,3.6,No
FL00826,Jin Air,14,36.0,2.3,No
FL00827,Jin Air,23,95.0,3.8,Yes
FL00828,Jin Air,21,27.0,2.1,No
FL00829,Korean Air,9,77.0,4.2,No
FL00830,Tway,14,66.0,4.0,No
FL00831,Korean Air,7,41.0,2.8,No
FL00832,Asiana,7,30.0,2.2,No
FL00833,Korean Air,16,38.0,1.1,Yes
FL00834,Korean Air,16,49.0,4.2,No
FL00835,Asiana,11,78.0,3.5,Yes
FL00836,Jeju Air,21,35.0,2.7,No
FL00837,Korean Air,13,97.0,4.3,No
FL00838,Korean Air,23,104.0,4.8,No
FL00839,Tway,14,57.0,2.6,No
FL00840,Korean Air,6,52.0,4.2,No
FL00841,Korean Air,15,81.0,3.8,Yes
FL00842,Tway,17,61.0,2.8,Yes
FL00843,Jin Air,9,21.0,2.3,No
FL00844,Jeju Air,8,66.0,3.7,No
FL00845,Jin Air,23,50.0,2.3,No
FL00846,Asiana,20,88.0,3.6,Yes
FL00847,Korean Air,14,51.0,1.8,Yes
FL00848,Korean Air,17,58.0,3.2,Yes
FL00849,Jin Air,21,31.0,1.4,Yes
FL00850,Korean Air,6,53.0,3.9,No
FL00851,Tway,15,97.0,4.7,No
FL00852,Jeju Air,7,72.0,4.5,No
FL00853,Jin Air,17,49.0,2.3,Yes
FL00854,Korean Air,22,69.0,4.1,No
FL00855,Jin Air,16,51.0,2.9,No
FL00856,Korean Air,11,89.0,4.9,Yes
FL00857,Korean Air,10,54.0,3.5,No
FL00858,Korean Air,21,15.0,1.5,No
FL00859,Korean Air,23,77.0,2.6,Yes
FL00860,Jeju Air,15,51.0,3.0,No
FL00861,Korean Air,12,71.0,3.2,No
FL00862,Korean Air,14,34.0,2.5,Yes
FL00863,Asiana,23,31.0,1.4,No
FL00864,Jeju Air,22,76.0,3.4,No
FL00865,Asiana,15,15.0,1.6,Yes
FL00866,Tway,14,74.0,3.8,No
FL00867,Jin Air,23,42.0,2.9,No
FL00868,Asiana,17,72.0,3.8,No
FL00869,Asiana,6,34.0,2.4,No
FL00870,Korean Air,17,81.0,4.9,No
FL00871,Korean Air,18,73.0,3.9,No
FL00872,Korean Air,11,52.0,3.3,No
FL00873,Tway,12,20.0,1.1,No
FL00874,Tway,6,54.0,3.0,Yes
FL00875,Tway,9,0.0,1.4,No
FL00876,Korean Air,23,52.0,2.3,No
FL00877,Korean Air,21,60.0,3.4,No
FL00878,Korean Air,12,63.0,2.3,Yes
FL00879,Asiana,14,56.0,2.2,Yes
FL00880,Jeju Air,9,22.0,1.8,No
FL00881,Jeju Air,21,46.0,1.5,Yes
FL00882,Jin Air,20,55.0,3.0,No
FL00883,Jin Air,20,33.0,1.8,No
FL00884,Tway,17,68.0,2.0,Yes
FL00885,Jeju Air,13,30.0,2.6,No
FL00886,Jin Air,19,76.0,3.8,No
FL00887,Tway,14,24.0,1.6,No
FL00888,Jeju Air,13,58.0,2.3,Yes
FL00889,Jin Air,13,92.0,4.8,Yes
FL00890,Korean Air,9,15.0,1.2,No
FL00891,Asiana,16,34.0,1.4,Yes
FL00892,Asiana,16,95.0,4.0,Yes
FL00893,Korean Air,12,62.0,3.6,Yes
FL00894,Korean Air,18,28.0,1.2,Yes
FL00895,Jeju Air,8,23.0,2.0,No
FL00896,Tway,6,85.0,4.9,Yes
FL00897,Jin Air,9,42.0,2.1,No
FL00898,Tway,15,85.0,4.9,No
FL00899,Asiana,12,25.0,2.2,No
FL00900,Asiana,6,61.0,3.9,No
FL00901,Korean Air,15,1.0,1.3,No
FL00902,Jeju Air,19,75.0,3.0,Yes
FL00903,Korean Air,13,41.0,2.2,No
FL00904,Asiana,22,37.0,1.6,No
FL00905,Korean Air,18,59.0,2.0,No
FL00906,Korean Air,20,88.0,5.0,No
FL00907,Tway,21,35.0,1.6,No
FL00908,Jin Air,21,60.0,3.1,No
FL00909,Asiana,6,8.0,3.0,Yes
FL00910,Jeju Air,17,95.0,4.9,No
FL00911,Korean Air,8,29.0,1.7,No
FL00912,Tway,22,45.0,1.7,Yes
FL00913,Tway,19,36.0,1.4,No
FL00914,Korean Air,23,32.0,1.5,No
FL00915,Asiana,7,44.0,2.8,No
FL00916,Jeju Air,15,59.0,3.2,No
FL00917,Jin Air,18,24.0,1.3,Yes
FL00918,Jin Air,23,68.0,3.4,No
FL00919,Tway,17,12.0,1.1,Yes
FL00920,Tway,10,96.0,4.6,Yes
FL00921,Asiana,16,52.0,2.3,No
FL00922,Asiana,14,94.0,4.6,No
FL00923,Korean Air,19,50.0,2.7,No
FL00924,Jeju Air,7,28.0,2.1,No
FL00925,Jin Air,21,18.0,1.1,No
FL00926,Jin Air,21,72.0,2.6,Yes
FL00927,Asiana,23,38.0,2.5,No
FL00928,Korean Air,15,72.0,3.5,Yes
FL00929,Jeju Air,7,18.0,1.2,Yes
FL00930,Korean Air,21,33.0,1.8,No
FL00931,Korean Air,12,13.0,1.3,No
FL00932,Korean Air,11,43.0,2.6,No
FL00933,Korean Air,16,63.0,2.6,Yes
FL00934,Asiana,21,56.0,3.2,No
FL00935,Jeju Air,7,20.0,1.4,No
FL00936,Tway,19,22.0,1.0,No
FL00937,Jeju Air,10,77.0,3.7,Yes
FL00938,Asiana,19,115.0,4.9,Yes
FL00939,Korean Air,12,41.0,1.5,Yes
FL00940,Korean Air,9,19.0,1.9,No
FL00941,Asiana,14,79.0,4.7,No
FL00942,Jeju Air,10,21.0,2.1,No
FL00943,Korean Air,8,10.0,1.3,No
FL00944,Jin Air,22,54.0,2.1,No
FL00945,Korean Air,22,44.0,1.7,No
FL00946,Korean Air,21,92.0,3.4,Yes
FL00947,Jeju Air,15,54.0,3.4,No
FL00948,Asiana,11,,2.4,No
FL00949,Tway,9,15.0,1.5,Yes
FL00950,Korean Air,11,37.0,2.7,Yes
FL00951,Asiana,20,49.0,2.1,No
FL00952,Asiana,21,25.0,1.7,No
FL00953,Korean Air,11,50.0,1.4,Yes
FL00954,Korean Air,18,82.0,4.0,Yes
FL00955,Korean Air,23,49.0,1.6,No
FL00956,Korean Air,23,83.0,3.3,No
FL00957,Korean Air,21,53.0,2.8,Yes
FL00958,Tway,7,27.0,1.6,No
FL00959,Korean Air,18,81.0,4.2,No
FL00960,Jeju Air,10,78.0,4.0,Yes
FL00961,Tway,7,13.0,1.4,No
FL00962,Tway,17,77.0,4.0,No
FL00963,Jeju Air,22,56.0,2.7,No
FL00964,Korean Air,23,,1.2,No
FL00965,Asiana,7,81.0,4.9,Yes
FL00966,Jin Air,23,99.0,3.9,Yes
FL00967,Tway,21,94.0,5.0,No
FL00968,Asiana,6,57.0,4.1,No
FL00969,Asiana,13,33.0,1.6,Yes
FL00970,Korean Air,9,68.0,3.5,No
FL00971,Asiana,11,95.0,4.9,No
FL00972,Asiana,8,30.0,1.8,No
FL00973,Jin Air,16,97.0,4.3,No
FL00974,Jeju Air,23,43.0,2.4,No
FL00975,Jeju Air,6,43.0,3.5,No
FL00976,Korean Air,23,71.0,3.2,No
FL00977,Korean Air,10,8.0,1.3,No
FL00978,Korean Air,20,36.0,2.2,No
FL00979,Jin Air,7,59.0,3.1,No
FL00980,Jeju Air,18,97.0,4.8,No
FL00981,Asiana,18,116.0,5.0,No
FL00982,Asiana,22,30.0,1.5,No
FL00983,Korean Air,16,41.0,3.0,No
FL00984,Asiana,17,86.0,4.3,No
FL00985,Tway,6,44.0,3.3,Yes
FL00986,Korean Air,17,49.0,2.2,No
FL00987,Jeju Air,22,97.0,4.8,No
FL00988,Korean Air,11,48.0,3.7,No
FL00989,Asiana,12,70.0,4.5,No
FL00990,Korean Air,23,90.0,3.6,Yes
FL00991,Jeju Air,18,72.0,2.9,Yes
FL00992,Korean Air,16,71.0,3.3,Yes
FL00993,Asiana,18,61.0,2.1,Yes
FL00994,Jeju Air,12,63.0,3.8,No
FL00995,Asiana,13,15.0,1.2,No
FL00996,Korean Air,13,5.0,1.6,No
FL00997,Korean Air,13,49.0,2.3,No
FL00998,Jin Air,17,43.0,2.4,No
FL00999,Jeju Air,14,86.0,4.2,No
FL01000,Jeju Air,10,17.0,1.5,No
