EmployeeID,JobRotationCount,PerformanceEvaluation,YearsSinceLastPromotion,MentorshipHours,Promoted
1430634,115.0,97.5,13.2,7.4,0
1430635,82.8,102.8,8.1,43.8,0
1430636,69.1,74.2,1.4,42.9,0
1430637,119.6,95.7,1.3,22.7,1
1430638,73.2,52.1,,8.8,0
1430639,108.1,130.0,3.3,19.9,1
1430640,104.1,138.1,11.1,37.7,0
1430641,104.9,129.6,10.0,21.5,0
1430642,63.5,126.0,1.3,31.1,1
1430643,98.4,101.9,2.9,25.2,1
1430644,80.1,93.6,9.5,37.1,0
1430645,123.0,116.2,6.2,26.2,1
1430646,84.8,88.7,12.4,5.7,0
1430647,129.3,138.4,13.5,12.2,0
1430648,130.1,97.6,9.6,11.4,1
1430649,111.7,94.3,9.9,20.0,0
1430650,120.8,110.4,1.1,42.9,0
1430651,129.8,118.2,12.2,8.1,1
1430652,93.6,80.0,11.4,23.4,1
1430653,97.8,36.2,10.2,7.0,0
1430654,109.7,71.9,8.6,15.6,1
1430655,103.1,107.7,13.2,29.1,1
1430656,140.4,135.6,10.4,27.1,0
1430657,81.4,128.0,11.6,31.6,0
1430658,132.7,85.2,4.1,32.3,1
1430659,130.7,113.7,10.7,44.9,0
1430660,114.8,114.8,6.9,18.4,0
1430661,102.6,84.7,5.1,37.2,1
1430662,107.5,66.5,13.2,13.1,0
1430663,117.6,89.3,14.6,41.4,0
1430664,82.6,123.4,4.7,39.7,0
1430665,76.2,98.7,2.7,13.8,0
1430666,97.4,114.5,11.7,5.3,1
1430667,110.4,146.6,1.3,24.9,0
1430668,62.1,81.4,14.3,22.5,1
1430669,95.1,128.3,6.0,24.6,0
1430670,92.9,51.0,11.4,27.1,0
1430671,104.8,45.1,11.6,9.0,0
1430672,69.7,100.6,10.6,9.4,1
1430673,108.2,118.7,10.4,36.8,1
1430674,82.7,90.1,13.7,30.7,0
1430675,83.2,66.0,8.6,29.7,0
1430676,115.7,80.0,10.1,7.7,0
1430677,118.1,144.6,3.8,15.2,0
1430678,97.8,102.0,12.1,20.5,0
1430679,116.5,122.9,7.3,10.3,0
1430680,129.1,71.6,11.7,20.7,0
1430681,119.7,135.5,10.5,13.3,0
1430682,46.2,116.7,11.8,8.6,0
1430683,109.3,97.6,10.7,20.0,0
1430684,130.8,110.0,7.4,17.1,1
1430685,96.0,123.4,14.0,34.9,1
1430686,91.2,76.8,5.6,36.9,1
1430687,75.9,111.5,12.9,9.8,1
1430688,100.2,84.3,2.0,36.9,0
1430689,72.3,135.4,9.5,22.7,1
1430690,63.3,97.1,4.1,12.6,0
1430691,58.6,121.9,10.6,17.4,1
1430692,153.4,104.1,1.9,5.6,1
1430693,96.2,89.1,3.5,13.9,0
1430694,108.9,90.7,13.9,26.1,0
1430695,120.9,146.6,4.4,18.0,0
1430696,91.3,135.3,14.0,43.2,0
1430697,64.2,108.3,6.5,23.9,1
1430698,113.0,124.8,1.7,21.5,1
1430699,116.6,60.6,6.6,36.9,1
1430700,87.4,109.2,10.5,44.0,0
1430701,77.1,83.4,4.0,16.3,1
1430702,117.1,145.6,1.5,27.7,1
1430703,108.3,87.9,7.3,43.4,0
1430704,99.7,124.8,12.5,7.8,1
1430705,85.1,94.3,3.7,18.0,1
1430706,129.5,120.9,9.3,14.3,0
1430707,114.9,155.6,11.1,26.2,1
1430708,79.7,148.2,12.2,25.1,1
1430709,87.8,75.4,11.0,35.2,1
1430710,96.3,105.3,13.7,5.8,1
1430711,51.0,105.5,13.7,36.6,0
1430712,123.5,110.6,3.8,21.1,0
1430713,81.3,92.9,12.3,23.5,1
1430714,97.7,72.0,1.4,38.4,1
1430715,106.6,101.9,4.1,34.0,0
1430716,95.1,102.8,4.0,34.4,1
1430717,102.1,98.7,13.0,37.6,0
1430718,109.9,104.7,6.4,6.0,1
1430719,73.6,94.8,3.6,29.1,1
1430720,77.2,141.5,2.3,44.0,0
1430721,78.4,73.5,3.8,19.6,0
1430722,85.1,97.7,11.7,21.0,1
1430723,96.7,72.9,14.8,41.3,1
1430724,89.3,76.1,13.9,22.1,0
1430725,87.4,115.0,4.3,8.0,1
1430726,134.3,73.5,7.5,33.2,1
1430727,74.2,126.6,5.3,34.8,0
1430728,74.2,74.7,4.0,6.5,1
1430729,107.0,102.1,2.9,19.4,0
1430730,78.9,73.6,13.8,23.2,0
1430731,85.9,130.1,4.0,38.4,1
1430732,118.5,104.2,3.4,17.7,1
1430733,125.5,84.2,7.5,36.6,1
1430734,69.6,116.3,4.6,14.7,1
1430735,123.0,93.3,8.3,29.7,0
1430736,28.1,79.0,10.6,28.0,1
1430737,95.0,122.8,7.9,20.3,0
1430738,86.1,89.4,8.4,6.8,1
1430739,65.0,43.2,2.5,12.3,1
1430740,82.6,126.8,12.9,33.8,0
1430741,99.9,66.4,14.1,8.0,1
1430742,81.8,114.2,10.6,37.9,0
1430743,77.0,100.6,5.4,40.4,0
1430744,97.8,80.5,10.2,32.9,1
1430745,189.2,96.5,14.2,8.2,1
1430746,93.1,113.9,2.4,35.7,0
1430747,122.0,84.3,7.8,43.2,1
1430748,41.0,90.1,7.1,32.6,1
1430749,57.8,115.7,2.8,35.2,1
1430750,131.4,95.1,14.3,41.3,0
1430751,93.0,85.3,7.1,7.0,1
1430752,71.7,113.5,3.3,31.9,0
1430753,76.8,103.3,7.4,44.0,0
1430754,99.0,103.3,4.5,18.7,1
1430755,118.9,96.6,2.2,18.9,0
1430756,91.1,94.7,7.3,38.3,1
1430757,148.5,122.5,2.8,22.2,0
1430758,120.9,64.3,10.7,23.0,0
1430759,125.6,95.1,4.8,5.8,0
1430760,122.0,112.2,2.9,6.4,0
1430761,88.4,97.9,14.4,43.3,1
1430762,62.7,105.8,14.5,21.8,0
1430763,80.2,91.4,5.9,10.7,1
1430764,113.0,88.3,5.3,22.4,1
1430765,88.7,139.1,13.7,33.1,0
1430766,158.8,70.9,10.5,25.0,1
1430767,103.0,115.5,3.8,8.9,0
1430768,111.0,116.7,4.0,36.3,1
1430769,34.2,99.7,2.2,7.2,0
1430770,103.9,98.7,14.7,33.3,0
1430771,76.7,58.9,14.9,13.1,1
1430772,109.8,114.4,6.7,24.2,0
1430773,100.5,104.3,5.7,42.3,1
1430774,61.0,118.1,9.7,8.6,1
1430775,96.7,104.4,7.5,8.7,1
1430776,132.6,87.5,4.2,32.1,0
1430777,70.7,119.5,12.8,19.9,0
1430778,52.7,112.1,1.0,35.4,1
1430779,127.8,90.4,3.8,8.5,1
1430780,90.3,87.8,2.4,36.0,0
1430781,92.7,96.5,6.4,30.4,1
1430782,142.0,109.4,3.6,23.8,1
1430783,77.6,70.7,13.5,11.2,0
1430784,85.4,115.7,2.6,12.4,1
1430785,119.5,124.5,6.7,31.5,0
1430786,101.5,117.6,14.5,18.7,0
1430787,72.4,102.5,2.2,24.5,0
1430788,115.3,75.3,7.3,19.5,1
1430789,87.9,97.3,5.1,29.8,1
1430790,133.0,116.3,7.6,5.3,0
1430791,86.6,95.0,7.2,38.8,1
1430792,96.3,29.0,11.3,19.5,0
1430793,96.7,101.2,14.1,11.3,0
1430794,109.9,135.7,9.0,5.4,0
1430795,84.7,69.9,6.5,12.0,0
1430796,107.3,126.4,11.8,19.6,1
1430797,134.3,114.3,5.9,6.3,1
1430798,127.7,79.7,4.8,11.7,1
1430799,100.3,113.3,1.4,41.0,0
1430800,73.6,113.5,6.1,42.8,1
1430801,73.5,108.2,6.7,18.7,0
1430802,89.0,124.6,2.6,24.0,0
1430803,90.1,111.6,1.8,35.2,1
1430804,100.3,85.7,3.5,24.2,0
1430805,106.4,91.9,11.9,42.1,0
1430806,133.5,79.7,9.0,10.3,0
1430807,84.6,68.3,10.5,5.9,1
1430808,72.4,78.6,1.9,43.5,1
1430809,107.3,102.7,3.7,34.1,1
1430810,141.8,124.8,6.8,27.7,1
1430811,135.1,113.8,1.7,42.6,1
1430812,94.4,122.4,4.6,38.0,1
1430813,105.5,107.9,14.7,11.5,1
1430814,142.5,49.1,11.4,33.3,0
1430815,35.6,124.1,12.8,33.8,1
1430816,118.8,62.1,5.4,34.7,0
1430817,105.0,81.6,5.6,7.8,1
1430818,76.8,87.5,4.5,16.3,0
1430819,112.3,120.9,10.6,33.4,1
1430820,59.1,79.8,10.2,6.9,1
1430821,117.1,180.9,3.7,33.0,1
1430822,128.7,91.1,1.5,32.5,1
1430823,79.8,42.0,5.4,19.9,1
1430824,143.4,92.6,12.2,9.4,0
1430825,117.9,96.4,3.4,22.7,1
1430826,107.4,131.1,2.3,16.6,0
1430827,106.0,103.3,4.1,16.0,1
1430828,74.0,107.9,14.6,17.5,1
1430829,109.7,90.4,14.5,11.6,1
1430830,102.3,117.6,14.3,21.7,1
1430831,140.3,102.2,15.0,41.4,1
1430832,120.5,71.6,9.5,31.5,1
1430833,126.4,120.7,7.6,28.9,0
1430834,120.9,108.1,10.4,13.5,0
1430835,80.7,87.7,4.3,43.9,1
1430836,90.1,106.0,2.4,34.0,1
1430837,118.6,77.0,4.5,11.8,1
1430838,104.3,93.7,1.6,35.8,1
1430839,90.0,89.5,7.0,34.1,0
1430840,101.6,163.1,2.5,15.0,1
1430841,67.0,95.8,1.6,29.8,1
1430842,103.0,112.2,2.7,37.8,1
1430843,74.2,106.1,8.2,39.5,0
1430844,140.1,95.2,1.2,25.9,0
1430845,135.2,82.3,5.5,30.2,1
1430846,127.7,90.1,12.7,12.0,1
1430847,52.2,88.2,10.6,42.4,0
1430848,61.0,115.9,8.5,35.1,1
1430849,59.7,105.7,14.3,30.4,1
1430850,109.1,73.3,8.5,40.3,1
1430851,112.3,133.3,11.3,37.8,1
1430852,114.8,98.9,10.2,32.5,0
1430853,55.7,105.7,13.6,35.8,0
1430854,81.9,103.5,11.4,22.0,1
1430855,127.4,95.0,2.8,10.0,0
1430856,112.0,126.7,4.6,11.0,1
1430857,114.9,89.0,14.6,40.8,0
1430858,94.0,104.3,8.7,9.5,0
1430859,132.3,87.2,2.3,9.1,0
1430860,92.6,94.0,4.7,25.8,0
1430861,91.2,111.4,4.5,19.3,1
1430862,93.4,109.4,5.2,43.6,0
1430863,118.7,130.1,9.4,16.0,0
1430864,109.1,89.9,1.9,10.0,1
1430865,104.2,76.7,6.6,24.7,1
1430866,75.1,59.2,14.8,7.6,1
1430867,137.5,93.7,9.3,27.8,0
1430868,116.1,119.6,11.6,19.9,1
1430869,85.6,84.9,6.0,12.3,0
1430870,75.0,66.6,8.1,33.7,1
1430871,101.5,137.0,10.9,27.0,1
1430872,86.8,65.7,6.1,28.2,0
1430873,119.0,123.9,7.5,21.1,0
1430874,38.0,100.7,5.7,7.0,0
1430875,78.3,117.0,3.3,32.7,1
1430876,75.8,75.1,10.3,26.2,1
1430877,94.9,79.3,3.4,35.5,1
1430878,124.8,114.7,3.5,41.1,0
1430879,125.8,108.5,8.4,16.3,0
1430880,69.0,73.8,8.2,38.8,1
1430881,90.9,63.4,12.1,6.2,0
1430882,74.8,94.7,10.9,11.1,1
1430883,116.5,80.8,6.2,18.0,0
1430884,117.2,95.9,2.1,40.0,1
1430885,131.8,146.6,13.8,12.0,1
1430886,125.2,81.3,1.6,32.9,0
1430887,79.9,46.6,11.8,12.3,0
1430888,99.6,131.7,12.7,32.2,1
1430889,115.5,107.3,10.7,25.1,1
1430890,143.5,139.8,14.9,22.7,0
1430891,128.6,111.9,6.2,26.8,0
1430892,68.2,93.4,5.1,34.0,0
1430893,98.2,91.3,7.1,28.2,1
1430894,79.9,59.7,6.4,23.8,0
1430895,121.5,94.8,2.9,44.4,1
1430896,113.5,107.5,9.1,27.7,0
1430897,72.8,64.8,13.6,10.3,0
1430898,108.4,85.7,12.1,27.3,0
1430899,99.2,126.3,5.2,20.4,1
1430900,135.7,131.1,7.0,9.4,0
1430901,106.6,124.8,9.7,44.9,0
1430902,174.4,75.4,10.2,15.8,0
1430903,51.7,78.9,14.4,23.8,1
1430904,105.7,126.1,4.8,5.8,0
1430905,89.3,131.2,10.6,19.4,0
1430906,125.7,71.5,1.8,14.7,1
1430907,77.6,49.9,4.7,17.0,0
1430908,115.3,114.2,3.6,25.7,0
1430909,45.9,108.7,2.6,7.7,0
1430910,91.7,102.5,9.4,9.0,1
1430911,130.3,90.3,5.3,29.5,0
1430912,94.0,77.2,4.9,22.0,0
1430913,99.7,62.9,9.1,6.4,0
1430914,166.9,128.9,11.1,15.8,1
1430915,97.0,52.6,13.6,32.3,0
1430916,82.4,93.1,4.1,40.2,0
1430917,96.5,95.6,3.3,31.9,0
1430918,90.3,134.7,6.1,44.5,1
1430919,83.9,112.9,9.1,21.0,1
1430920,143.8,158.5,6.7,43.7,0
1430921,80.8,86.6,13.0,7.1,1
1430922,125.8,97.1,4.4,44.9,1
1430923,96.3,102.5,7.0,16.8,0
1430924,91.4,80.2,13.2,44.7,1
1430925,84.8,71.0,7.0,25.7,1
1430926,107.6,129.8,13.9,22.6,1
1430927,65.0,102.8,12.4,17.2,0
1430928,67.9,105.2,3.6,21.4,0
1430929,73.9,120.2,7.4,22.9,1
1430930,112.0,134.9,5.1,8.3,1
1430931,87.8,132.7,7.7,7.3,1
1430932,94.4,103.2,5.5,41.9,0
1430933,132.6,139.0,11.6,24.0,1
1430934,42.2,86.8,11.1,30.2,0
1430935,80.5,60.7,2.4,31.0,1
1430936,98.7,114.8,7.5,9.4,1
1430937,55.6,137.0,15.0,8.8,0
1430938,98.2,104.3,9.9,27.6,1
1430939,75.4,108.2,10.1,23.9,1
1430940,102.0,77.9,7.9,6.1,0
1430941,98.4,91.1,3.3,17.8,1
1430942,146.2,78.7,7.4,15.9,1
1430943,167.7,113.6,3.0,38.8,1
1430944,141.4,140.4,1.6,18.3,0
1430945,70.3,115.8,8.7,22.7,0
1430946,96.7,1.0,10.3,38.1,0
1430947,107.4,103.3,11.4,9.7,0
1430948,93.3,68.7,7.3,32.8,0
1430949,102.4,88.6,13.2,41.4,0
1430950,71.4,153.7,3.6,34.0,0
1430951,94.0,114.9,9.9,14.5,0
1430952,87.0,88.9,2.4,19.2,0
1430953,77.6,86.2,10.6,16.0,0
1430954,127.2,136.3,2.5,43.9,1
1430955,129.0,81.6,11.0,31.2,1
1430956,84.1,133.1,10.1,9.4,0
1430957,93.6,116.8,3.2,30.6,1
1430958,91.2,112.4,5.2,18.6,1
1430959,133.9,104.6,2.9,21.3,1
1430960,88.8,85.5,3.3,8.3,0
1430961,107.0,115.4,9.7,19.6,1
1430962,37.7,56.7,6.1,17.4,1
1430963,140.7,95.7,13.2,13.5,0
1430964,116.2,144.2,14.0,5.2,1
1430965,109.3,94.4,3.1,34.6,0
1430966,55.0,130.5,14.3,40.9,0
1430967,133.9,54.8,11.2,37.9,1
1430968,90.5,101.9,1.7,28.5,0
1430969,109.1,120.1,1.2,30.5,1
1430970,83.6,65.7,13.2,8.7,1
1430971,114.4,98.4,12.2,33.5,1
1430972,75.6,83.7,5.7,38.0,1
1430973,107.1,106.2,13.3,27.0,0
1430974,84.1,92.8,11.7,19.2,0
1430975,158.1,109.9,13.6,7.8,1
1430976,110.5,99.5,1.5,26.1,1
1430977,121.9,57.8,13.5,23.2,1
1430978,75.6,103.7,1.6,30.6,1
1430979,133.1,107.7,10.1,17.3,0
1430980,52.4,95.1,10.0,23.9,1
1430981,111.8,101.5,1.4,6.4,0
1430982,91.8,110.0,1.4,16.3,0
1430983,135.3,117.8,7.3,19.5,0
1430984,119.9,94.3,12.6,37.6,1
1430985,93.9,113.8,14.1,41.6,1
1430986,103.7,94.8,13.0,35.2,1
1430987,102.3,112.0,4.0,12.3,1
1430988,73.9,122.0,11.1,8.9,1
1430989,34.7,114.7,6.1,41.9,1
1430990,82.6,84.4,2.0,12.1,1
1430991,59.7,103.6,12.6,33.7,1
1430992,116.1,86.6,13.5,40.7,0
1430993,128.7,104.8,1.7,16.4,1
1430994,135.7,93.9,12.1,5.1,0
1430995,123.4,86.3,14.4,29.1,0
1430996,71.9,111.2,11.1,25.7,1
1430997,135.0,64.8,8.5,33.3,1
1430998,88.9,96.0,4.6,40.0,1
1430999,137.0,71.1,11.6,5.6,1
1431000,90.5,145.4,11.1,44.3,1
