RunnerID,HalfPassTimeMinutes,FinishTimeMinutes,PaceDropRatio_Percent,HydrationStationsPassed,Bonked
1980580,8.9,8.3,20.5,63.4,90.8
1980581,17.3,13.2,13.7,42.8,96.1
1980582,5.5,38.7,66.8,53.9,92.9
1980583,4.0,2.9,30.2,45.4,52.3
1980584,9.8,50.5,58.4,29.2,88.6
1980585,11.6,2.2,28.2,56.9,73.0
1980586,20.4,6.4,18.5,48.8,132.6
1980587,6.5,3.4,51.2,72.5,121.1
1980588,14.1,49.4,55.8,36.5,129.5
1980589,1.0,66.8,48.9,50.2,108.6
1980590,22.8,12.8,48.8,62.0,84.5
1980591,10.7,15.6,34.5,0.0,104.7
1980592,5.6,1.8,28.2,56.4,51.2
1980593,10.8,5.8,57.7,25.9,110.1
1980594,11.5,4.8,36.3,33.0,90.3
1980595,2.0,9.6,25.6,61.4,116.2
1980596,7.9,1.9,39.5,31.0,91.2
1980597,27.0,5.5,8.3,65.8,122.4
1980598,44.6,24.9,,50.1,140.6
1980599,7.2,23.0,25.5,73.6,42.0
1980600,24.7,1.0,35.6,21.7,80.5
1980601,3.1,12.5,45.9,38.6,89.4
1980602,1.7,7.0,51.0,64.4,112.9
1980603,43.2,1.0,27.1,29.0,97.2
1980604,7.2,3.2,33.0,30.7,118.5
1980605,23.8,14.9,12.8,47.8,93.8
1980606,9.6,11.5,42.5,55.5,51.3
1980607,4.1,36.8,58.5,30.6,79.8
1980608,11.2,7.2,45.1,41.3,93.2
1980609,1.0,1.0,53.8,77.2,93.8
1980610,18.0,29.2,,41.3,99.8
1980611,4.7,1.3,45.0,34.3,85.5
1980612,1.6,1.4,65.2,31.9,111.0
1980613,21.5,20.1,42.1,44.4,61.7
1980614,5.6,9.8,41.6,39.2,137.5
1980615,3.0,13.2,57.8,27.7,65.1
1980616,4.6,10.1,26.7,48.4,68.2
1980617,14.3,24.9,37.4,12.4,121.2
1980618,80.3,7.1,40.2,61.5,90.2
1980619,1.0,35.3,41.5,50.3,109.8
1980620,1.0,23.7,24.6,56.4,100.8
1980621,3.1,8.5,64.7,63.3,67.6
1980622,54.7,11.6,39.7,53.6,84.9
1980623,24.5,10.1,40.2,43.2,105.1
1980624,4.1,18.1,41.7,31.9,114.5
1980625,25.7,1.0,98.5,62.7,70.4
1980626,7.1,8.5,45.0,38.2,47.3
1980627,16.1,4.4,52.8,29.8,84.6
1980628,1.0,1.0,57.1,10.2,133.1
1980629,7.7,7.8,59.1,29.4,105.9
1980630,1.5,38.6,41.4,50.0,93.3
1980631,1.0,3.4,40.6,11.0,95.1
1980632,9.7,58.6,39.9,14.5,134.8
1980633,2.9,5.4,42.1,62.8,73.8
1980634,9.6,9.3,31.6,18.9,140.3
1980635,10.4,4.6,55.6,56.7,79.1
1980636,14.3,2.9,62.8,30.7,95.9
1980637,14.5,1.0,34.4,44.3,125.5
1980638,2.7,1.4,65.5,69.2,108.3
1980639,10.7,49.7,35.2,59.3,96.0
1980640,4.2,7.5,34.5,51.4,106.2
1980641,13.1,12.0,43.9,67.6,100.4
1980642,21.5,22.8,47.6,56.4,105.8
1980643,6.4,5.3,26.1,10.5,71.6
1980644,9.1,1.9,35.8,40.2,95.2
1980645,17.5,8.0,36.3,32.9,114.2
1980646,4.9,65.9,40.3,38.6,41.6
1980647,12.3,14.1,46.8,28.6,133.0
1980648,12.5,1.4,32.5,58.6,74.5
1980649,1.4,16.9,29.0,40.5,81.5
1980650,49.9,26.1,10.9,45.9,108.7
1980651,5.3,14.2,70.6,39.0,93.9
1980652,7.0,33.3,26.2,42.0,106.7
1980653,1.0,12.2,29.0,58.1,49.6
1980654,1.1,5.8,57.4,67.2,125.7
1980655,44.4,19.6,49.3,62.6,104.3
1980656,8.2,25.1,55.0,50.8,111.0
1980657,1.0,16.0,58.2,46.1,115.5
1980658,8.5,7.2,49.6,29.6,84.7
1980659,24.1,1.0,51.4,20.0,58.3
1980660,18.3,9.9,46.1,27.2,119.1
1980661,2.9,1.8,36.6,49.9,88.6
1980662,1.2,19.0,39.2,34.5,133.1
1980663,5.7,18.4,48.6,38.8,97.3
1980664,27.2,12.5,47.3,72.0,98.8
1980665,22.6,14.0,24.2,29.7,140.8
1980666,6.3,4.1,80.3,34.5,53.9
1980667,12.9,17.0,22.3,12.9,109.5
1980668,3.7,1.0,23.4,32.8,111.2
1980669,1.1,20.1,58.0,32.2,107.8
1980670,24.8,49.1,53.1,29.2,107.8
1980671,16.2,7.2,30.6,58.2,63.5
1980672,8.4,6.7,35.1,59.3,80.7
1980673,10.0,7.0,12.4,20.7,116.2
1980674,3.7,10.4,51.1,67.3,116.1
1980675,8.9,62.0,51.0,51.7,101.2
1980676,1.0,6.1,40.9,34.7,108.5
1980677,13.4,23.5,25.5,18.4,70.5
1980678,3.0,1.0,30.1,23.2,83.4
1980679,23.1,11.0,50.5,40.3,102.3
1980680,12.8,18.3,53.2,33.1,91.6
1980681,12.4,7.2,6.9,44.7,116.7
1980682,5.1,58.1,55.4,61.9,68.8
1980683,15.2,9.6,49.6,36.4,116.5
1980684,20.0,7.4,55.1,57.8,75.9
1980685,4.5,34.7,36.4,35.6,63.1
1980686,6.1,3.1,39.1,43.6,59.8
1980687,6.0,53.0,,24.7,102.2
1980688,1.5,46.7,39.8,40.3,129.8
1980689,6.4,6.8,27.5,49.0,85.1
1980690,9.6,6.1,48.7,43.0,112.2
1980691,15.4,14.3,25.6,75.5,96.7
1980692,5.7,11.7,35.7,40.2,76.5
1980693,20.6,37.8,60.5,22.1,99.3
1980694,3.3,29.7,52.1,47.8,93.3
1980695,4.3,3.7,,43.4,61.0
1980696,25.3,18.0,47.3,64.4,136.7
1980697,12.0,13.7,54.7,26.2,86.4
1980698,8.8,34.3,44.5,60.2,127.1
1980699,4.5,9.2,40.4,53.8,99.4
1980700,9.1,4.7,44.9,33.8,134.0
1980701,1.0,3.7,,30.6,160.3
1980702,3.2,1.0,70.6,32.2,91.3
1980703,6.3,26.0,58.0,28.4,73.3
1980704,1.0,9.9,50.3,24.9,137.8
1980705,15.5,1.0,35.5,50.2,92.1
1980706,1.0,16.2,57.2,70.8,105.0
1980707,3.8,26.7,60.6,45.0,109.1
1980708,18.4,3.4,42.6,47.2,43.7
1980709,4.2,10.0,30.6,54.8,112.3
1980710,12.1,19.7,52.1,52.8,137.9
1980711,12.9,1.0,79.0,21.4,120.0
1980712,4.4,5.0,47.5,49.7,78.3
1980713,1.0,24.5,30.3,54.5,95.1
1980714,3.3,2.2,47.4,40.2,57.7
1980715,4.3,3.3,56.6,56.4,56.2
1980716,5.3,4.5,26.4,34.9,83.6
1980717,30.8,36.1,26.9,50.8,128.8
1980718,1.0,16.6,42.9,43.9,95.0
1980719,8.9,5.7,47.8,31.1,114.1
1980720,9.6,4.1,58.1,60.5,135.0
1980721,12.1,24.3,25.4,64.5,99.1
1980722,6.5,1.7,68.5,52.8,74.8
1980723,12.1,10.6,53.4,46.9,102.6
1980724,1.0,2.2,65.2,56.4,115.3
1980725,6.9,1.0,65.8,21.5,104.3
1980726,1.0,7.0,35.4,62.2,131.6
1980727,1.0,18.2,17.8,32.4,96.2
1980728,74.3,21.3,34.6,51.3,67.7
1980729,13.1,3.5,49.4,19.8,103.1
1980730,5.7,7.4,34.5,50.0,63.7
1980731,2.3,11.2,63.5,51.4,57.8
1980732,5.3,8.4,54.1,39.2,65.7
1980733,5.2,6.1,71.6,41.3,84.0
1980734,39.9,39.6,4.1,53.4,134.0
1980735,22.8,16.6,54.8,26.3,78.0
1980736,25.7,17.5,36.2,52.1,86.5
1980737,18.9,14.8,70.9,47.0,86.2
1980738,2.8,1.0,48.7,53.1,92.7
1980739,5.1,9.8,69.1,49.8,95.3
1980740,19.9,10.4,37.6,54.8,133.1
1980741,1.0,18.5,52.7,61.3,68.1
1980742,15.9,9.6,30.5,50.1,109.1
1980743,22.0,36.5,36.8,46.5,80.4
1980744,1.0,3.0,50.9,63.9,75.8
1980745,6.6,18.7,45.3,61.4,96.4
1980746,25.7,6.5,55.9,64.4,120.1
1980747,20.8,10.4,52.6,56.6,147.7
1980748,18.2,26.6,60.4,55.9,92.8
1980749,19.4,4.3,62.9,45.1,77.0
1980750,7.7,9.6,30.4,21.4,128.4
1980751,3.9,12.7,52.6,58.9,157.2
1980752,113.2,22.4,43.5,29.1,98.0
1980753,1.0,28.7,35.3,27.7,78.9
1980754,19.4,18.9,51.2,56.3,122.8
1980755,8.6,3.5,54.1,36.0,86.5
1980756,15.8,1.6,29.8,60.2,78.2
1980757,5.7,21.6,7.0,50.3,61.7
1980758,15.0,21.2,61.4,53.0,105.1
1980759,14.3,11.7,47.7,47.4,102.4
1980760,9.4,10.7,56.8,41.1,199.1
1980761,14.6,5.7,65.0,28.1,83.8
1980762,22.3,7.7,51.4,45.8,100.9
1980763,2.7,37.5,41.2,61.5,87.1
1980764,17.4,10.2,42.6,46.5,120.5
1980765,3.5,38.3,35.5,24.2,97.4
1980766,1.0,22.4,31.6,20.8,86.0
1980767,36.6,22.7,58.1,39.8,112.6
1980768,8.4,1.0,33.8,21.3,75.1
1980769,29.5,36.3,56.7,5.2,88.2
1980770,2.3,3.8,52.9,48.2,91.7
1980771,5.2,12.7,23.0,54.0,119.4
1980772,11.2,1.0,56.8,27.6,156.1
1980773,8.1,1.0,52.0,60.0,130.1
1980774,11.0,19.1,49.0,43.3,139.9
1980775,4.4,1.6,16.6,20.5,59.8
1980776,65.2,2.8,62.7,26.4,137.8
1980777,33.9,1.4,56.8,60.9,68.5
1980778,14.0,11.7,31.9,67.2,121.0
1980779,1.0,5.4,35.3,25.0,123.6
1980780,20.7,4.2,35.4,57.6,84.0
1980781,40.4,45.4,29.5,35.1,109.0
1980782,5.5,5.8,52.8,34.1,103.0
1980783,1.0,3.4,26.4,15.4,115.8
1980784,4.8,22.4,48.1,28.0,91.8
1980785,7.2,1.0,50.3,28.6,86.5
1980786,12.0,24.5,51.8,44.2,172.7
1980787,7.2,51.8,31.7,64.2,94.3
1980788,5.1,15.9,43.1,35.3,86.3
1980789,28.5,3.6,44.0,41.9,94.5
1980790,13.0,21.3,62.2,34.2,103.8
1980791,8.2,8.7,45.0,26.9,114.7
1980792,10.2,6.0,49.1,53.6,73.9
1980793,8.0,2.6,70.8,38.1,36.9
1980794,19.0,42.5,52.7,36.6,139.0
1980795,9.7,16.7,58.0,50.3,94.9
1980796,1.0,25.1,26.4,57.7,105.9
1980797,1.0,25.7,54.9,46.1,121.5
1980798,1.0,7.7,57.1,29.7,97.4
1980799,30.7,10.8,57.0,50.2,76.2
1980800,1.1,27.9,60.5,50.6,115.0
1980801,13.7,13.3,48.9,37.5,155.6
1980802,1.0,4.0,60.4,24.0,86.6
1980803,6.9,6.2,43.3,68.1,108.6
1980804,27.4,18.8,63.3,36.4,114.3
1980805,1.0,10.9,61.3,36.5,85.9
1980806,19.6,31.3,19.3,74.9,43.7
1980807,17.1,4.4,21.0,47.9,107.5
1980808,1.0,3.2,55.3,49.5,114.5
1980809,2.8,2.0,17.4,36.7,121.4
1980810,15.1,16.7,32.5,41.8,113.0
1980811,62.8,24.9,59.9,34.7,90.2
1980812,1.0,17.7,48.2,50.3,62.0
1980813,6.0,1.0,61.4,59.1,155.0
1980814,1.9,5.2,41.7,28.4,78.8
1980815,12.2,28.0,42.1,52.6,122.1
1980816,3.4,12.6,48.9,63.8,84.3
1980817,21.6,22.1,26.3,47.3,102.1
1980818,1.0,4.3,42.3,63.9,96.5
1980819,72.5,27.0,73.1,70.3,49.0
1980820,1.6,10.6,39.1,21.8,161.7
1980821,12.4,4.6,34.3,71.6,81.4
1980822,20.4,11.3,44.1,62.7,90.8
1980823,1.0,1.2,47.5,44.5,133.3
1980824,24.9,9.2,,42.5,133.8
1980825,5.4,8.8,43.3,52.8,92.1
1980826,22.0,56.2,46.4,39.6,90.2
1980827,15.7,12.9,50.7,66.6,38.9
1980828,7.1,16.1,46.2,77.7,137.0
1980829,8.3,2.1,53.7,46.0,93.3
1980830,3.5,31.9,88.8,29.5,119.6
1980831,28.7,7.5,32.8,39.6,124.0
1980832,25.7,6.7,32.4,46.1,82.1
1980833,29.9,27.5,32.3,5.8,124.5
1980834,10.9,19.6,56.4,64.4,87.5
1980835,17.6,33.7,75.4,47.3,89.7
1980836,1.0,1.0,57.3,45.9,131.8
1980837,1.2,31.7,45.9,34.8,139.3
1980838,38.8,17.1,26.5,49.4,89.5
1980839,29.7,7.7,50.2,41.0,114.1
1980840,38.6,1.4,36.4,35.2,81.7
1980841,1.6,2.5,46.4,45.7,101.2
1980842,41.4,4.1,,37.0,74.6
1980843,28.3,4.3,36.6,15.1,132.9
1980844,9.3,86.1,22.9,32.1,110.8
1980845,66.7,21.5,47.1,54.8,110.1
1980846,12.7,18.0,46.0,73.2,84.9
1980847,9.8,41.4,41.4,10.7,110.0
1980848,9.6,3.2,55.2,44.8,78.7
1980849,2.3,8.5,53.9,43.8,89.5
1980850,30.5,85.7,64.0,81.0,119.2
1980851,12.9,1.6,48.4,55.1,141.3
1980852,13.5,20.9,40.9,52.2,78.6
1980853,4.5,10.9,48.8,49.4,106.7
1980854,22.8,6.5,59.4,29.1,94.9
1980855,2.9,48.0,63.3,43.5,81.7
1980856,10.9,18.1,51.5,25.5,73.9
1980857,42.1,28.5,44.4,66.8,79.0
1980858,4.5,6.7,38.1,33.8,98.7
1980859,2.5,32.6,41.8,39.9,104.3
1980860,4.3,8.3,44.0,64.9,92.9
1980861,5.4,10.5,53.7,45.1,94.3
1980862,3.1,5.2,52.8,69.5,93.4
1980863,18.7,18.0,51.1,63.7,106.6
1980864,3.6,47.8,56.6,42.2,69.3
1980865,41.5,7.9,44.4,58.8,64.7
1980866,27.3,5.6,55.2,32.9,85.1
1980867,37.2,31.0,44.9,29.9,91.7
1980868,18.8,35.5,28.0,49.8,99.1
1980869,5.3,32.4,26.7,37.4,86.5
1980870,26.0,1.1,63.3,59.0,76.8
1980871,12.8,7.5,53.8,28.2,113.4
1980872,28.9,23.6,52.8,36.9,72.4
1980873,28.0,12.5,43.6,71.1,86.1
1980874,8.0,1.0,43.9,47.9,118.1
1980875,11.6,19.2,31.1,47.4,138.0
1980876,1.5,21.2,23.0,32.7,154.7
1980877,27.4,12.1,41.4,33.8,110.5
1980878,1.0,7.5,68.6,66.4,90.2
1980879,1.0,47.1,47.4,56.1,140.5
1980880,5.1,18.5,39.6,59.5,110.0
1980881,24.0,5.7,50.2,66.2,88.5
1980882,5.1,19.5,34.7,41.1,107.5
1980883,5.5,10.2,55.3,35.1,113.2
1980884,31.6,2.1,23.7,39.6,73.4
1980885,12.9,4.1,77.5,47.0,142.5
1980886,13.5,31.4,16.9,43.5,72.5
1980887,16.0,7.9,0.0,26.4,109.4
1980888,9.1,3.4,38.3,27.5,95.2
1980889,16.2,19.1,15.1,44.2,65.7
1980890,40.7,4.9,14.3,46.8,95.1
1980891,21.7,1.9,60.9,53.0,95.2
1980892,25.1,5.7,64.4,27.5,104.1
1980893,7.2,41.4,39.1,59.8,123.6
1980894,4.5,1.0,39.4,17.3,98.4
1980895,9.1,5.6,63.4,68.8,97.6
1980896,7.2,7.8,33.3,28.3,98.8
1980897,13.6,9.2,32.2,48.0,153.6
1980898,20.9,14.8,77.9,53.2,121.6
1980899,4.8,85.2,40.6,21.1,119.3
1980900,19.2,14.3,51.1,27.1,107.4
1980901,13.2,5.3,10.0,32.1,126.6
1980902,1.6,1.0,43.8,52.0,141.3
1980903,13.9,1.5,24.0,28.3,81.5
1980904,129.9,1.7,78.4,44.0,138.3
1980905,13.8,22.5,33.5,44.7,74.5
1980906,1.0,35.8,42.6,57.5,88.1
1980907,24.0,46.2,21.5,38.5,113.2
1980908,5.5,6.9,65.9,42.6,82.3
1980909,20.9,5.1,,89.6,117.3
1980910,5.0,12.6,55.7,47.6,81.6
1980911,1.5,7.9,26.0,51.3,132.1
1980912,1.8,2.0,68.3,44.0,110.7
1980913,7.1,5.4,39.0,61.9,123.1
1980914,4.5,2.0,60.6,34.4,125.4
1980915,3.4,13.3,62.0,44.5,58.2
1980916,29.8,7.8,48.6,57.7,134.3
1980917,2.6,53.6,46.3,43.2,101.0
1980918,9.7,42.9,88.0,28.5,125.9
1980919,31.2,44.0,68.0,23.6,96.3
1980920,19.3,10.1,77.3,49.4,54.2
1980921,38.6,1.0,55.6,70.0,87.4
1980922,8.4,1.0,47.7,37.6,73.5
1980923,4.6,9.9,35.9,66.1,119.2
1980924,41.0,86.5,30.2,36.1,103.2
1980925,1.4,22.1,,44.9,118.7
1980926,1.0,14.4,39.7,38.4,139.5
1980927,3.3,5.9,16.6,42.1,104.4
1980928,4.6,1.0,36.4,26.2,86.5
1980929,7.3,25.4,48.3,20.8,95.6
1980930,51.5,7.6,39.8,75.5,119.4
1980931,8.1,21.5,42.8,22.9,83.8
1980932,9.3,1.9,22.8,52.7,120.6
1980933,19.7,5.1,64.9,31.2,98.4
1980934,6.2,6.6,46.1,74.5,112.0
1980935,21.0,6.6,36.6,45.0,139.9
1980936,14.0,38.3,26.8,14.6,70.4
1980937,1.9,7.3,5.9,46.9,113.0
1980938,1.0,8.6,42.8,52.5,138.7
1980939,10.8,11.5,35.5,18.2,90.2
1980940,1.0,19.9,52.0,69.0,82.1
1980941,5.9,1.9,53.6,30.0,146.2
1980942,4.0,12.6,30.0,79.4,114.1
1980943,5.0,37.4,35.3,55.4,113.4
1980944,22.7,12.6,59.2,62.1,71.2
1980945,37.5,8.0,57.8,73.2,39.7
1980946,22.8,5.2,25.7,42.8,105.9
1980947,19.0,11.5,50.0,44.2,137.6
1980948,14.2,8.6,53.0,41.7,65.7
1980949,33.8,11.1,40.9,30.6,124.8
1980950,14.6,2.2,49.5,48.7,80.9
1980951,24.7,9.9,37.4,38.5,118.2
1980952,13.4,15.5,21.1,72.6,73.8
1980953,1.0,11.3,63.0,39.4,141.1
1980954,13.6,4.5,66.6,46.2,87.1
1980955,4.5,5.2,46.0,13.4,100.1
1980956,29.8,37.3,55.2,38.8,71.5
1980957,2.7,12.3,28.5,35.6,177.6
1980958,27.2,19.5,51.2,51.3,101.7
1980959,11.7,8.0,51.3,51.4,108.6
1980960,36.5,24.3,25.0,56.0,134.2
1980961,6.7,1.0,43.5,50.8,80.5
1980962,38.3,23.5,32.2,44.9,123.7
1980963,1.7,18.3,57.1,40.5,106.9
1980964,22.7,11.0,45.2,32.3,66.2
1980965,7.5,58.3,18.6,56.0,66.2
1980966,18.8,22.2,49.1,31.8,77.7
1980967,14.6,1.0,55.8,54.9,101.5
1980968,32.5,12.7,13.6,28.5,123.9
1980969,1.0,13.3,41.9,42.8,81.7
1980970,30.2,13.2,49.8,42.0,90.3
1980971,8.4,10.4,37.0,40.1,107.3
1980972,20.2,10.5,54.2,48.2,118.8
1980973,4.1,1.0,32.6,7.4,103.7
1980974,6.6,7.3,35.4,36.0,60.0
1980975,7.7,1.0,74.8,33.0,100.4
1980976,1.0,63.9,53.0,50.0,101.7
1980977,40.5,9.0,34.9,77.2,112.8
1980978,23.3,7.9,37.8,32.9,72.5
1980979,5.6,19.0,27.1,52.4,64.9
1980980,3.0,10.8,71.7,39.8,72.5
1980981,25.9,1.5,28.8,67.9,105.5
1980982,4.2,17.1,65.5,30.9,104.3
1980983,1.0,6.8,54.8,45.1,97.6
1980984,5.5,30.6,52.3,44.4,72.3
1980985,21.8,12.3,51.1,49.8,54.6
1980986,8.1,86.3,53.6,49.4,97.5
1980987,7.0,35.3,66.2,39.5,129.6
1980988,12.6,4.9,50.1,27.4,145.1
1980989,40.3,35.8,32.7,11.6,109.8
1980990,2.4,3.0,43.0,55.1,60.9
1980991,1.1,19.5,67.4,40.9,63.9
1980992,9.9,25.2,52.3,37.9,102.9
1980993,1.1,9.3,40.9,67.0,82.2
1980994,3.9,9.5,59.1,40.4,85.5
1980995,12.1,7.5,29.8,35.7,108.9
1980996,15.4,28.7,49.6,61.0,108.2
1980997,8.7,24.3,44.0,54.6,106.1
1980998,4.8,69.5,28.4,44.0,103.3
1980999,11.1,24.4,45.3,37.6,76.1
1981000,8.7,4.3,52.3,47.7,116.8
