cab_type,name,distance,price,hour,weather_factor
Lyft,Shared,2.25,9.46,5,1.0
Uber,Standard,2.71,13.3,14,1.0
Lyft,Standard,6.53,22.22,6,1.0
Lyft,Standard,4.53,16.29,0,1.2
Lyft,Standard,0.56,6.05,7,1.0
Lyft,Premium,4.69,16.68,19,1.0
Uber,Standard,4.83,16.4,19,1.0
Uber,Standard,4.56,15.67,8,1.2
Lyft,Standard,2.19,8.35,12,1.5
Lyft,Standard,0.99,8.7,16,1.0
Lyft,Standard,2.86,12.44,22,1.0
Lyft,Standard,4.54,15.87,19,1.5
Lyft,Standard,5.19,15.98,9,1.0
Lyft,Shared,2.1,7.93,7,1.0
Lyft,Standard,5.84,19.67,15,1.0
Uber,Premium,0.84,6.77,11,1.2
Lyft,Standard,3.1,10.47,12,1.5
Uber,Standard,4.45,15.57,13,1.0
Lyft,Standard,6.71,21.71,13,1.0
Uber,Standard,6.23,20.81,3,1.2
Lyft,Standard,5.2,15.72,20,1.0
Uber,Standard,3.48,14.02,7,1.0
Lyft,Premium,7.6,22.1,8,1.0
Lyft,Standard,1.41,11.13,3,1.0
Uber,Standard,7.53,23.41,5,1.2
Uber,Standard,5.28,16.15,17,1.0
Lyft,Standard,5.84,18.53,22,1.0
Uber,Standard,3.75,11.63,12,1.0
Lyft,Standard,4.33,18.56,8,1.0
Uber,Shared,5.17,20.18,11,1.5
Lyft,Shared,3.35,7.95,1,1.0
Lyft,Standard,5.51,20.54,4,1.0
Lyft,Standard,1.22,5.9,2,1.5
Lyft,Standard,4.5,17.03,22,1.0
Uber,Standard,1.24,7.7,0,1.0
Uber,Standard,3.75,11.98,18,1.0
Uber,Standard,7.75,21.92,10,1.0
Uber,Standard,1.49,9.44,15,1.0
Uber,Standard,7.3,22.04,11,1.0
Lyft,Standard,3.04,13.19,8,1.2
Lyft,Standard,3.44,9.54,10,1.0
Lyft,Standard,3.19,15.53,2,1.0
Lyft,Standard,7.05,23.66,13,1.0
Uber,Standard,2.56,10.72,14,1.0
Uber,Standard,3.92,13.3,11,1.0
Uber,Standard,5.87,21.73,12,1.0
Lyft,Standard,0.7,5.07,0,1.2
Lyft,Standard,3.93,15.49,20,1.0
Uber,Shared,5.12,14.08,10,1.0
Uber,Standard,0.95,8.41,22,1.0
Lyft,Standard,6.88,17.95,4,1.0
Uber,Standard,2.75,9.42,19,1.0
Lyft,Standard,7.47,24.68,22,1.0
Uber,Standard,3.26,13.17,9,1.2
Uber,Standard,5.63,18.81,17,1.5
Uber,Standard,6.23,20.5,19,1.0
Lyft,Standard,5.9,17.32,0,1.2
Lyft,Premium,1.61,9.72,8,1.0
Uber,Shared,3.44,15.11,23,1.0
Lyft,Premium,7.42,24.78,15,1.2
Lyft,Shared,2.72,11.8,10,1.0
Lyft,Standard,7.97,22.56,9,1.0
Uber,Standard,6.58,20.27,4,1.0
Uber,Premium,7.28,19.24,8,1.2
Lyft,Standard,4.06,16.08,16,1.0
Uber,Standard,6.37,16.64,4,1.2
Uber,Standard,1.79,7.32,18,1.0
Uber,Standard,2.19,8.94,16,1.0
Lyft,Standard,7.22,24.9,20,1.2
Uber,Premium,5.44,14.14,15,1.0
Lyft,Premium,6.13,17.53,17,1.0
Lyft,Standard,7.99,23.99,11,1.0
Lyft,Standard,7.02,23.51,17,1.0
Uber,Premium,3.75,18.41,17,1.5
Uber,Standard,3.79,12.2,23,1.0
Uber,Standard,5.38,18.07,17,1.0
Lyft,Standard,6.03,17.89,15,1.0
Lyft,Standard,5.12,12.84,5,1.0
Lyft,Shared,2.06,9.59,5,1.0
Uber,Standard,3.28,8.94,17,1.0
Lyft,Shared,7.27,24.28,4,1.0
Lyft,Standard,1.95,10.87,12,1.2
Uber,Standard,6.12,17.51,17,1.0
Lyft,Standard,6.93,25.2,19,1.0
Lyft,Standard,6.26,17.91,23,1.0
Lyft,Standard,1.85,8.55,20,1.0
Lyft,Premium,2.88,8.72,10,1.2
Lyft,Standard,7.59,23.17,20,1.0
Uber,Standard,2.9,10.73,6,1.0
Uber,Standard,7.33,21.23,0,1.5
Lyft,Standard,6.24,16.93,7,1.2
Uber,Standard,7.62,24.59,8,1.0
Uber,Premium,3.54,15.14,20,1.5
Lyft,Shared,4.41,15.96,20,1.0
Uber,Standard,0.74,5.1,23,1.2
Uber,Premium,1.61,9.54,20,1.2
Uber,Standard,4.84,14.18,11,1.2
Uber,Standard,0.73,8.39,10,1.5
Uber,Premium,0.77,3.0,23,1.2
Uber,Standard,1.99,9.5,8,1.0
Uber,Standard,3.69,12.54,6,1.0
Uber,Shared,1.63,9.51,13,1.0
Uber,Standard,4.53,14.05,8,1.2
Uber,Premium,0.84,3.79,19,1.0
Uber,Standard,3.11,8.62,12,1.0
Uber,Premium,3.12,12.37,6,1.2
Uber,Standard,2.83,10.58,21,1.2
Lyft,Standard,2.67,12.43,15,1.2
Lyft,Premium,4.05,15.6,16,1.2
Uber,Standard,1.55,11.44,7,1.0
Lyft,Standard,4.79,19.01,10,1.0
Lyft,Standard,5.43,18.33,7,1.0
Uber,Standard,5.07,12.85,0,1.0
Uber,Standard,3.21,10.03,9,1.0
Lyft,Standard,3.68,15.88,9,1.0
Lyft,Standard,7.55,22.52,3,1.0
Lyft,Standard,5.43,15.82,0,1.0
Uber,Standard,3.44,11.26,21,1.2
Uber,Standard,3.31,11.4,7,1.2
Uber,Premium,1.52,10.65,10,1.2
Lyft,Premium,6.95,22.67,18,1.0
Lyft,Shared,7.27,20.05,16,1.0
Uber,Standard,4.59,17.75,8,1.0
Uber,Premium,6.02,16.3,12,1.0
Uber,Standard,6.51,20.4,17,1.2
Uber,Shared,7.36,21.04,0,1.5
Uber,Standard,4.26,15.36,17,1.0
Lyft,Shared,7.53,20.94,9,1.0
Uber,Standard,6.64,19.35,16,1.0
Uber,Premium,1.41,7.74,16,1.0
Uber,Standard,4.32,15.35,17,1.0
Uber,Standard,6.64,20.99,6,1.0
Lyft,Standard,7.99,20.83,10,1.0
Lyft,Standard,3.05,11.15,20,1.2
Uber,Standard,2.27,10.82,10,1.2
Lyft,Standard,5.28,14.91,9,1.0
Lyft,Standard,0.69,4.5,22,1.2
Uber,Premium,1.06,8.17,2,1.2
Lyft,Standard,6.17,20.96,3,1.0
Uber,Premium,7.03,20.61,18,1.2
Lyft,Standard,6.83,21.74,20,1.0
Uber,Standard,4.54,15.6,22,1.0
Uber,Standard,7.29,20.87,17,1.0
Lyft,Standard,7.73,23.93,3,1.0
Uber,Standard,5.16,17.06,4,1.0
Uber,Standard,5.55,16.61,1,1.2
Lyft,Premium,7.28,23.16,3,1.2
Uber,Standard,6.32,21.77,9,1.0
Uber,Premium,7.1,16.44,5,1.0
Uber,Premium,4.99,17.55,1,1.0
Uber,Premium,2.94,7.95,0,1.2
Uber,Premium,3.45,10.3,23,1.0
Uber,Standard,2.2,13.13,8,1.2
Uber,Standard,0.58,5.21,15,1.0
Lyft,Standard,0.61,6.42,4,1.0
Uber,Premium,6.72,20.7,0,1.5
Uber,Standard,3.02,12.89,6,1.5
Lyft,Standard,5.19,14.51,3,1.2
Uber,Standard,4.69,15.14,4,1.0
Lyft,Standard,3.65,12.29,7,1.0
Lyft,Shared,2.68,12.08,18,1.5
Uber,Premium,3.69,13.41,7,1.0
Lyft,Premium,4.1,17.32,19,1.2
Lyft,Standard,7.02,20.98,1,1.2
Lyft,Shared,2.37,11.01,22,1.0
Uber,Standard,1.16,6.1,2,1.5
Lyft,Standard,7.87,25.18,0,1.0
Uber,Standard,3.94,15.73,12,1.0
Uber,Premium,6.05,17.55,5,1.0
Lyft,Standard,0.69,3.0,11,1.5
Lyft,Standard,5.45,18.61,14,1.2
Uber,Standard,1.04,3.27,15,1.2
Lyft,Standard,3.37,13.35,7,1.0
Uber,Standard,4.25,13.52,20,1.0
Uber,Shared,3.27,12.8,8,1.0
Uber,Standard,2.86,13.28,11,1.2
Lyft,Premium,7.36,21.01,4,1.0
Lyft,Standard,2.55,7.37,10,1.0
Lyft,Standard,2.13,10.04,12,1.0
Uber,Standard,7.84,26.03,22,1.0
Uber,Shared,3.63,10.72,0,1.2
Uber,Premium,5.17,13.65,2,1.0
Lyft,Standard,7.32,21.95,13,1.2
Lyft,Standard,5.82,17.29,6,1.0
Lyft,Standard,3.65,14.0,10,1.0
Uber,Standard,7.07,20.69,0,1.0
Lyft,Standard,6.43,18.04,4,1.2
Uber,Standard,7.12,24.6,20,1.0
Lyft,Standard,6.34,18.19,13,1.0
Uber,Standard,6.59,19.25,23,1.0
Lyft,Standard,7.53,23.37,19,1.0
Lyft,Standard,2.2,11.08,4,1.5
Uber,Standard,4.21,13.06,5,1.0
Uber,Standard,3.84,12.34,21,1.0
Uber,Standard,2.4,10.03,1,1.5
Lyft,Standard,4.55,18.72,6,1.0
Lyft,Standard,3.68,13.49,16,1.0
Lyft,Premium,6.3,22.2,13,1.0
Lyft,Shared,2.82,9.64,9,1.0
Uber,Standard,5.7,18.29,12,1.0
Uber,Standard,5.76,18.12,9,1.0
Uber,Standard,0.84,7.44,9,1.2
Lyft,Premium,1.76,13.3,17,1.0
Lyft,Standard,2.65,12.49,21,1.0
Uber,Standard,5.97,17.47,18,1.2
Lyft,Standard,7.31,19.96,12,1.0
Uber,Standard,6.9,21.89,19,1.0
Lyft,Standard,3.41,14.97,22,1.0
Uber,Shared,2.11,8.58,6,1.0
Lyft,Standard,6.93,17.87,9,1.0
Uber,Shared,5.19,18.54,1,1.0
Lyft,Premium,2.84,11.6,0,1.0
Lyft,Standard,1.2,8.14,21,1.2
Uber,Standard,4.48,12.38,17,1.0
Lyft,Standard,6.1,20.05,15,1.0
Uber,Standard,7.7,21.98,5,1.0
Lyft,Premium,4.9,17.78,7,1.5
Uber,Standard,3.56,10.97,23,1.0
Uber,Standard,1.18,10.38,0,1.0
Uber,Standard,4.93,14.09,9,1.0
Lyft,Standard,2.77,11.99,9,1.0
Lyft,Standard,4.04,13.38,5,1.0
Uber,Shared,4.8,14.52,16,1.0
Lyft,Standard,7.13,20.22,8,1.0
Uber,Standard,7.85,23.06,17,1.0
Lyft,Premium,5.46,19.05,16,1.0
Lyft,Standard,6.51,20.86,7,1.2
Uber,Standard,0.62,7.92,9,1.0
Lyft,Standard,2.92,12.88,17,1.0
Lyft,Standard,4.88,16.41,15,1.5
Uber,Standard,1.59,10.77,9,1.0
Lyft,Standard,6.56,20.7,11,1.2
Lyft,Standard,4.8,18.22,6,1.0
Lyft,Standard,7.69,23.19,0,1.0
Uber,Standard,7.72,21.44,15,1.0
Lyft,Standard,6.33,22.86,4,1.5
Uber,Standard,1.28,5.88,5,1.0
Lyft,Standard,1.44,7.03,17,1.5
Lyft,Standard,0.54,3.0,16,1.0
Lyft,Standard,6.26,18.5,20,1.0
Uber,Standard,1.42,6.12,22,1.2
Lyft,Standard,3.16,10.76,7,1.0
Uber,Standard,2.18,9.45,14,1.0
Lyft,Standard,3.48,12.18,16,1.0
Lyft,Standard,7.29,24.57,5,1.0
Uber,Standard,7.08,24.97,13,1.0
Uber,Standard,5.68,16.08,23,1.0
Lyft,Standard,4.13,16.75,3,1.0
Uber,Standard,6.08,18.75,10,1.2
Uber,Standard,5.91,16.68,13,1.5
Uber,Standard,7.17,20.31,1,1.0
Lyft,Premium,5.76,17.33,9,1.0
Uber,Standard,1.36,6.81,21,1.2
Lyft,Premium,4.12,18.8,6,1.0
Uber,Shared,7.75,23.26,15,1.0
Lyft,Standard,1.94,7.0,16,1.5
Lyft,Premium,6.03,18.44,5,1.0
Uber,Standard,2.8,11.79,23,1.2
Uber,Shared,1.63,6.19,1,1.0
Lyft,Premium,7.61,22.7,15,1.0
Lyft,Standard,3.96,14.16,6,1.0
Lyft,Standard,0.84,8.48,14,1.2
Uber,Standard,2.9,11.95,7,1.5
Uber,Standard,6.97,24.32,23,1.0
Lyft,Standard,1.96,4.43,2,1.2
Lyft,Standard,0.87,3.96,7,1.2
Uber,Standard,1.77,8.46,23,1.5
Uber,Premium,5.33,16.81,19,1.0
Lyft,Standard,7.93,22.45,9,1.0
Lyft,Standard,1.54,6.31,10,1.0
Uber,Premium,1.38,9.36,6,1.0
Lyft,Shared,2.48,11.36,0,1.0
Lyft,Premium,1.53,9.96,14,1.0
Lyft,Shared,6.92,24.42,15,1.0
Uber,Premium,6.29,18.38,0,1.2
Uber,Standard,6.63,17.9,15,1.0
Lyft,Standard,3.86,14.61,10,1.5
Lyft,Premium,7.74,25.8,13,1.0
Uber,Standard,6.42,19.93,7,1.0
Uber,Standard,7.61,18.52,0,1.0
Lyft,Standard,1.72,8.16,23,1.0
Uber,Standard,6.18,17.51,20,1.0
Lyft,Premium,6.96,20.64,15,1.0
Lyft,Standard,2.59,7.89,12,1.0
Lyft,Standard,1.16,7.99,2,1.2
Uber,Shared,3.81,15.69,21,1.0
Uber,Standard,6.54,19.87,18,1.5
Uber,Standard,4.24,12.51,18,1.0
Lyft,Standard,6.99,24.19,6,1.0
Lyft,Standard,7.3,21.34,18,1.2
Lyft,Standard,4.48,15.47,3,1.0
Uber,Shared,0.57,7.76,15,1.2
Uber,Premium,6.21,18.76,13,1.0
Uber,Premium,5.56,16.72,17,1.0
Uber,Premium,1.86,9.07,15,1.2
Lyft,Standard,6.79,21.28,12,1.0
Uber,Standard,2.57,9.79,17,1.0
Lyft,Premium,6.5,22.75,10,1.2
Lyft,Standard,3.87,13.84,19,1.0
Uber,Premium,5.25,15.45,13,1.2
Lyft,Standard,0.77,5.94,16,1.0
Lyft,Standard,1.45,10.19,23,1.0
Lyft,Standard,2.31,9.08,21,1.0
Uber,Premium,6.03,18.78,6,1.0
Lyft,Standard,3.74,15.14,15,1.0
Uber,Standard,4.53,14.17,10,1.0
Lyft,Premium,2.92,10.61,22,1.2
Lyft,Premium,3.71,12.32,17,1.0
Uber,Standard,5.25,16.08,14,1.0
Uber,Standard,1.88,9.24,4,1.0
Uber,Premium,3.65,15.39,3,1.0
Lyft,Standard,5.58,18.37,3,1.0
Uber,Standard,6.86,22.02,18,1.0
Lyft,Standard,3.63,14.45,19,1.0
Uber,Premium,6.04,17.39,12,1.0
Lyft,Standard,1.05,8.78,3,1.0
Lyft,Standard,4.58,14.97,20,1.0
Lyft,Standard,3.04,12.42,7,1.5
Lyft,Standard,3.85,14.56,16,1.0
Uber,Standard,1.68,8.77,8,1.2
Lyft,Standard,1.65,7.92,5,1.2
Lyft,Standard,4.16,17.62,21,1.0
Lyft,Standard,5.29,19.12,19,1.0
Uber,Premium,6.9,22.06,2,1.0
Uber,Shared,7.43,19.23,4,1.0
Lyft,Shared,5.94,20.64,6,1.5
Lyft,Premium,3.04,11.65,17,1.0
Lyft,Standard,3.58,14.91,0,1.0
Lyft,Standard,5.11,22.15,22,1.2
Uber,Premium,6.1,18.64,1,1.0
Uber,Standard,4.15,14.28,18,1.0
Lyft,Standard,5.55,15.15,5,1.2
Lyft,Premium,2.79,14.06,11,1.0
Uber,Standard,1.64,5.99,11,1.2
Uber,Standard,3.61,10.21,4,1.0
Uber,Standard,0.86,8.17,22,1.0
Lyft,Standard,3.2,10.04,13,1.0
Uber,Shared,3.3,13.89,17,1.0
Uber,Standard,7.56,19.76,19,1.0
Uber,Standard,2.89,10.9,13,1.0
Uber,Premium,6.91,22.91,8,1.5
Lyft,Standard,3.56,13.7,8,1.0
Lyft,Standard,7.11,20.35,5,1.0
Uber,Standard,7.39,22.84,1,1.0
Lyft,Standard,0.73,4.33,16,1.0
Lyft,Standard,4.76,18.62,13,1.0
Uber,Premium,7.14,23.31,8,1.0
Uber,Premium,6.46,19.28,17,1.0
Uber,Standard,3.49,11.23,11,1.2
Lyft,Premium,5.17,17.51,18,1.2
Lyft,Standard,2.79,9.16,14,1.0
Lyft,Standard,4.96,18.84,6,1.2
Lyft,Standard,3.91,12.49,23,1.0
Lyft,Standard,3.79,13.32,17,1.0
Lyft,Standard,6.8,23.03,19,1.2
Uber,Premium,6.29,17.27,4,1.0
Uber,Standard,7.54,24.07,20,1.0
Uber,Standard,0.73,5.49,3,1.0
Lyft,Standard,3.25,12.51,14,1.2
Lyft,Premium,4.82,14.54,19,1.0
Lyft,Standard,2.52,12.82,4,1.2
Uber,Standard,2.79,12.56,5,1.0
Lyft,Shared,2.72,10.67,23,1.0
Lyft,Standard,2.25,9.84,2,1.0
Uber,Standard,5.96,20.55,15,1.0
Lyft,Standard,2.04,10.44,21,1.0
Uber,Standard,1.54,9.03,1,1.0
Lyft,Premium,1.92,10.86,18,1.0
Lyft,Standard,6.81,22.4,21,1.2
Uber,Standard,1.99,9.7,6,1.0
Uber,Premium,6.7,20.13,3,1.2
Uber,Shared,5.57,13.57,16,1.0
Lyft,Standard,6.86,20.27,3,1.0
Uber,Standard,7.84,16.49,7,1.0
Lyft,Standard,7.04,23.53,20,1.0
Lyft,Premium,5.3,16.6,13,1.2
Lyft,Standard,4.33,17.54,22,1.2
Lyft,Shared,5.87,15.55,11,1.5
Uber,Premium,2.91,10.0,10,1.5
Lyft,Standard,3.38,12.02,16,1.2
