RecordID,Department,ItemCategory,TotalUnits,LostUnits,SecurityLevel
740652,Clothing,Budget,1927,36.0,Low
740653,Clothing,Standard,1701,21.0,Low
740654,Electronics,Standard,3472,78.0,Medium
740655,Clothing,Standard,2631,38.0,Low
740656,Sports,Standard,4850,70.0,Low
740657,Beauty,Standard,1109,26.0,Medium
740658,Sports,Standard,802,14.0,Medium
740659,Electronics,Standard,2599,71.0,Medium
740660,Clothing,Budget,2715,35.0,Low
740661,Home,Premium,2090,28.0,Low
740662,Beauty,Budget,1792,62.0,Medium
740663,Sports,Premium,3938,69.0,Medium
740664,Electronics,Premium,657,8.0,Low
740665,Sports,Standard,1190,0.0,High
740666,Sports,Budget,1456,0.0,High
740667,Clothing,Premium,3678,70.0,Low
740668,Clothing,Budget,3765,58.0,Medium
740669,Home,Standard,4535,53.0,Medium
740670,Home,Budget,2113,12.0,High
740671,Electronics,Standard,4913,60.0,Medium
740672,Home,Premium,1574,17.0,Medium
740673,Clothing,Premium,974,6.0,High
740674,Clothing,Premium,926,21.0,Medium
740675,Sports,Budget,1608,21.0,Medium
740676,Electronics,Budget,361,5.0,Medium
740677,Home,Budget,609,8.0,Medium
740678,Home,Standard,2994,23.0,High
740679,Electronics,Standard,4707,122.0,Medium
740680,Electronics,Standard,4843,54.0,Medium
740681,Electronics,Standard,4764,74.0,Medium
740682,Beauty,Premium,979,31.0,Medium
740683,Clothing,Standard,2751,70.0,Medium
740684,Clothing,Budget,1297,0.0,High
740685,Clothing,Premium,4968,90.0,Low
740686,Clothing,Budget,1067,23.0,Medium
740687,Sports,Premium,4298,79.0,High
740688,Home,Premium,2366,57.0,Medium
740689,Home,Premium,1277,30.0,Medium
740690,Electronics,Budget,88,1.0,Low
740691,Home,Budget,1207,19.0,Low
740692,Home,Standard,444,0.0,High
740693,Home,Premium,2607,44.0,Medium
740694,Beauty,Budget,771,17.0,High
740695,Electronics,Standard,701,11.0,Low
740696,Electronics,Budget,3666,56.0,Medium
740697,Clothing,Premium,1160,20.0,Medium
740698,Home,Standard,986,0.0,High
740699,Beauty,Budget,2406,74.0,Medium
740700,Home,Budget,2147,30.0,Medium
740701,Sports,Premium,1663,29.0,Low
740702,Electronics,Standard,996,0.0,High
740703,Beauty,Premium,4367,124.0,Medium
740704,Beauty,Premium,2384,58.0,Low
740705,Electronics,Standard,4146,45.0,Medium
740706,Sports,Budget,3343,24.0,High
740707,Home,Premium,3320,56.0,Low
740708,Electronics,Budget,1329,29.0,Low
740709,Electronics,Budget,1463,19.0,High
740710,Beauty,Premium,2462,79.0,Medium
740711,Beauty,Budget,2072,36.0,Low
740712,Clothing,Standard,2181,28.0,High
740713,Clothing,Budget,2205,44.0,Low
740714,Beauty,Premium,3405,112.0,Medium
740715,Sports,Standard,2413,47.0,Medium
740716,Beauty,Standard,4198,70.0,Medium
740717,Clothing,Budget,125,3.0,Low
740718,Clothing,Standard,4276,105.0,Medium
740719,Beauty,Standard,4036,73.0,High
740720,Sports,Budget,4756,114.0,Medium
740721,Home,Standard,3321,71.0,Low
740722,Electronics,Budget,2421,45.0,Low
740723,Sports,Premium,929,23.0,Low
740724,Clothing,Budget,2480,71.0,Medium
740725,Sports,Budget,2443,51.0,Medium
740726,Electronics,Premium,2727,80.0,Low
740727,Clothing,Budget,4000,103.0,Medium
740728,Electronics,Premium,1725,28.0,Low
740729,Home,Standard,4858,92.0,Low
740730,Electronics,Premium,1018,20.0,Low
740731,Electronics,Budget,1583,18.0,High
740732,Beauty,Standard,1642,59.0,Medium
740733,Electronics,Standard,2202,32.0,Medium
740734,Home,Standard,3260,35.0,Medium
740735,Sports,Standard,2450,38.0,High
740736,Electronics,Premium,1500,14.0,High
740737,Clothing,Budget,741,19.0,Medium
740738,Clothing,Premium,722,21.0,Low
740739,Beauty,Budget,1440,52.0,Medium
740740,Beauty,Premium,4181,98.0,Low
740741,Electronics,Premium,1966,38.0,Low
740742,Home,Budget,1272,29.0,Medium
740743,Beauty,Budget,667,10.0,High
740744,Clothing,Budget,1106,24.0,Medium
740745,Beauty,Budget,2430,24.0,High
740746,Beauty,Premium,4297,106.0,Medium
740747,Home,Premium,3610,47.0,Low
740748,Sports,Premium,3076,19.0,High
740749,Electronics,Standard,3718,67.0,High
740750,Electronics,Premium,4190,104.0,Low
740751,Beauty,Standard,2070,18.0,High
740752,Sports,Premium,3291,34.0,Low
740753,Beauty,Standard,4267,126.0,Low
740754,Electronics,Premium,3574,100.0,Medium
740755,Beauty,Premium,2486,66.0,Medium
740756,Electronics,Standard,931,17.0,Low
740757,Beauty,Premium,1326,31.0,Low
740758,Sports,Premium,4910,106.0,Medium
740759,Clothing,Standard,1057,0.0,High
740760,Electronics,Premium,1891,24.0,Medium
740761,Beauty,Premium,3530,81.0,Low
740762,Beauty,Standard,4164,115.0,Low
740763,Beauty,Premium,102,16.0,Medium
740764,Beauty,Premium,4065,103.0,Low
740765,Home,Premium,1842,21.0,Low
740766,Home,Budget,3025,68.0,Low
740767,Clothing,Standard,2908,72.0,Medium
740768,Home,Budget,3041,33.0,Medium
740769,Clothing,Premium,3396,59.0,High
740770,Sports,Budget,4146,90.0,Medium
740771,Clothing,Budget,4946,110.0,Medium
740772,Clothing,Budget,2847,79.0,Low
740773,Clothing,Standard,1645,23.0,High
740774,Clothing,Standard,4945,32.0,High
740775,Clothing,Premium,4485,47.0,Low
740776,Electronics,Budget,1070,18.0,Medium
740777,Electronics,Budget,1248,12.0,Low
740778,Beauty,Standard,509,28.0,Low
740779,Electronics,Premium,2084,41.0,Medium
740780,Clothing,Standard,2507,68.0,Medium
740781,Clothing,Standard,4091,73.0,Medium
740782,Sports,Standard,1926,19.0,Medium
740783,Electronics,Standard,4314,91.0,Medium
740784,Sports,Standard,4347,89.0,Medium
740785,Electronics,Premium,70,0.0,Low
740786,Electronics,Premium,3091,24.0,High
740787,Electronics,Budget,2413,42.0,Medium
740788,Clothing,Budget,3074,66.0,High
740789,Home,Standard,2653,39.0,Low
740790,Sports,Premium,3156,68.0,Medium
740791,Electronics,Budget,4672,106.0,Medium
740792,Electronics,Standard,1969,48.0,Medium
740793,Clothing,Premium,1600,43.0,Low
740794,Electronics,Premium,3915,24.0,High
740795,Electronics,Budget,4031,117.0,Low
740796,Beauty,Budget,1109,36.0,Medium
740797,Electronics,Premium,1292,13.0,Low
740798,Beauty,Budget,1427,48.0,Low
740799,Electronics,Standard,3823,94.0,Medium
740800,Beauty,Budget,515,25.0,Medium
740801,Sports,Budget,832,19.0,Low
740802,Beauty,Standard,152,17.0,Low
740803,Clothing,Standard,2719,41.0,Medium
740804,Beauty,Budget,3557,50.0,Low
740805,Sports,Premium,4446,45.0,Low
740806,Beauty,Standard,1485,51.0,Medium
740807,Clothing,Standard,758,0.0,High
740808,Electronics,Premium,3555,78.0,High
740809,Home,Budget,2436,50.0,Low
740810,Home,Standard,423,12.0,Medium
740811,Clothing,Standard,2466,25.0,Medium
740812,Clothing,Budget,3186,37.0,Low
740813,Home,Budget,2176,3.0,High
740814,Home,Premium,2275,27.0,Medium
740815,Electronics,Standard,2456,61.0,Medium
740816,Sports,Premium,1889,55.0,Medium
740817,Sports,Premium,3235,55.0,Low
740818,Sports,Budget,384,8.0,Low
740819,Clothing,Premium,2225,30.0,High
740820,Home,Premium,4509,62.0,Medium
740821,Clothing,Budget,4679,50.0,High
740822,Sports,Premium,2899,67.0,Medium
740823,Home,Standard,4132,123.0,Medium
740824,Electronics,Premium,2420,61.0,Medium
740825,Beauty,Premium,3279,102.0,Low
740826,Beauty,Budget,3539,59.0,Medium
740827,Beauty,Standard,817,25.0,Medium
740828,Home,Budget,3454,65.0,Medium
740829,Home,Standard,4093,33.0,High
740830,Beauty,Budget,4402,123.0,Low
740831,Beauty,Standard,4963,93.0,Low
740832,Sports,Standard,948,12.0,Medium
740833,Sports,Premium,3276,50.0,Low
740834,Electronics,Premium,3713,54.0,Medium
740835,Electronics,Budget,4598,48.0,High
740836,Home,Standard,1155,33.0,Low
740837,Home,Standard,1055,11.0,Low
740838,Beauty,Budget,4284,39.0,High
740839,Clothing,Premium,1072,22.0,Medium
740840,Home,Standard,2835,28.0,Low
740841,Beauty,Premium,4619,65.0,High
740842,Electronics,Premium,1540,46.0,Medium
740843,Beauty,Standard,1408,46.0,Medium
740844,Beauty,Standard,744,33.0,Low
740845,Electronics,Premium,3101,57.0,Low
740846,Home,Standard,4005,78.0,Medium
740847,Home,Premium,4291,72.0,Medium
740848,Clothing,Premium,3152,73.0,Medium
740849,Clothing,Premium,4518,107.0,Medium
740850,Beauty,Budget,3333,101.0,Medium
740851,Sports,Premium,96,1.0,Medium
740852,Home,Budget,4119,75.0,Medium
740853,Electronics,Premium,2050,26.0,High
740854,Electronics,Budget,135,3.0,Low
740855,Sports,Standard,3079,53.0,Low
740856,Sports,Standard,1992,54.0,Low
740857,Electronics,Budget,2738,67.0,Low
740858,Electronics,Premium,3948,84.0,Low
740859,Home,Standard,4876,110.0,High
740860,Home,Standard,1807,31.0,Low
740861,Home,Premium,215,3.0,Medium
740862,Beauty,Premium,1870,43.0,Medium
740863,Clothing,Premium,3004,82.0,Low
740864,Electronics,Budget,3250,69.0,Low
740865,Home,Budget,368,8.0,Medium
740866,Sports,Standard,611,0.0,High
740867,Sports,Budget,4534,65.0,Medium
740868,Electronics,Premium,4015,115.0,Medium
740869,Beauty,Standard,59,15.0,Medium
740870,Beauty,Standard,4242,58.0,Medium
740871,Electronics,Premium,232,5.0,Low
740872,Beauty,Standard,2057,44.0,Medium
740873,Beauty,Standard,1012,44.0,Medium
740874,Clothing,Premium,2597,21.0,High
740875,Electronics,Standard,3161,72.0,Medium
740876,Clothing,Budget,2747,61.0,Low
740877,Beauty,Budget,1112,38.0,Medium
740878,Clothing,Budget,4694,65.0,High
740879,Home,Budget,3879,106.0,Low
740880,Beauty,Standard,3414,105.0,Medium
740881,Sports,Premium,1097,12.0,Low
740882,Sports,Budget,2171,39.0,Low
740883,Clothing,Budget,1595,41.0,Medium
740884,Beauty,Premium,3141,79.0,Medium
740885,Sports,Premium,1052,1.0,High
740886,Beauty,Premium,2693,72.0,Low
740887,Home,Budget,3457,92.0,Low
740888,Beauty,Budget,3550,80.0,High
740889,Home,Standard,508,9.0,Medium
740890,Sports,Budget,3684,53.0,High
740891,Clothing,Standard,1315,26.0,Medium
740892,Electronics,Premium,1033,0.0,High
740893,Sports,Premium,3653,37.0,Medium
740894,Electronics,Premium,2221,4.0,High
740895,Sports,Budget,2110,22.0,Low
740896,Beauty,Premium,4406,68.0,High
740897,Beauty,Premium,3682,54.0,Medium
740898,Clothing,Budget,2147,48.0,Low
740899,Home,Premium,992,15.0,Low
740900,Beauty,Budget,3242,28.0,High
740901,Sports,Budget,3938,75.0,Medium
740902,Home,Budget,4555,90.0,Low
740903,Clothing,Premium,2444,46.0,Low
740904,Clothing,Standard,660,15.0,Low
740905,Home,Premium,4121,59.0,Low
740906,Electronics,Standard,1686,0.0,High
740907,Beauty,Budget,77,15.0,Low
740908,Electronics,Budget,2090,42.0,High
740909,Electronics,Standard,2081,31.0,Low
740910,Sports,Premium,3188,62.0,Medium
740911,Home,Standard,3822,59.0,Low
740912,Beauty,Budget,3839,91.0,High
740913,Sports,Premium,651,0.0,High
740914,Home,Budget,1124,25.0,Low
740915,Home,Budget,3503,,Low
740916,Beauty,Premium,1127,46.0,Low
740917,Sports,Premium,3098,42.0,Low
740918,Home,Standard,122,3.0,Low
740919,Sports,Budget,3252,70.0,Medium
740920,Electronics,Budget,325,0.0,High
740921,Clothing,Standard,4132,110.0,Low
740922,Beauty,Standard,380,4.0,High
740923,Clothing,Standard,2050,60.0,Medium
740924,Sports,Standard,2551,60.0,Medium
740925,Clothing,Standard,2009,49.0,Low
740926,Electronics,Standard,4203,50.0,Medium
740927,Beauty,Budget,1573,16.0,High
740928,Sports,Standard,4984,39.0,High
740929,Electronics,Budget,4859,73.0,High
740930,Electronics,Budget,3604,47.0,Medium
740931,Clothing,Budget,2220,25.0,Medium
740932,Sports,Standard,4495,87.0,Low
740933,Electronics,Budget,1588,28.0,Medium
740934,Beauty,Standard,4172,67.0,Medium
740935,Sports,Premium,1617,28.0,Medium
740936,Home,Budget,1266,19.0,Low
740937,Sports,Budget,1348,27.0,Medium
740938,Beauty,Premium,1958,59.0,Low
740939,Electronics,Premium,1246,36.0,Low
740940,Sports,Premium,1709,50.0,Medium
740941,Clothing,Premium,4774,117.0,Low
740942,Electronics,Standard,3877,66.0,Medium
740943,Electronics,Budget,1974,19.0,Medium
740944,Clothing,Premium,1629,28.0,Low
740945,Beauty,Standard,4521,146.0,Low
740946,Clothing,Budget,2598,31.0,Medium
740947,Electronics,Premium,2731,70.0,Medium
740948,Beauty,Premium,826,31.0,Low
740949,Home,Standard,4856,81.0,Medium
740950,Electronics,Budget,504,0.0,High
740951,Beauty,Budget,1671,55.0,Low
740952,Home,Premium,3665,73.0,Low
740953,Sports,Standard,4286,54.0,Medium
740954,Electronics,Standard,3140,63.0,Medium
740955,Sports,Standard,2202,3.0,High
740956,Electronics,Budget,3145,22.0,High
740957,Beauty,Premium,3371,86.0,Medium
740958,Sports,Budget,4222,49.0,Medium
740959,Electronics,Premium,190,2.0,Low
740960,Home,Standard,1066,24.0,Medium
740961,Home,Premium,3244,47.0,Low
740962,Beauty,Standard,1842,55.0,Low
740963,Beauty,Budget,3582,99.0,Medium
740964,Clothing,Budget,2644,60.0,Low
740965,Sports,Premium,3591,47.0,Low
740966,Electronics,Premium,4908,117.0,Medium
740967,Electronics,Premium,3235,77.0,Medium
740968,Electronics,Standard,1345,15.0,Low
740969,Sports,Standard,4713,128.0,Low
740970,Electronics,Premium,57,1.0,Low
740971,Home,Standard,2893,58.0,Low
740972,Electronics,Standard,2139,21.0,Medium
740973,Electronics,Budget,1295,36.0,Low
740974,Beauty,Standard,2622,68.0,Low
740975,Home,Budget,1086,4.0,High
740976,Beauty,Premium,606,25.0,Medium
740977,Clothing,Standard,2762,64.0,Low
740978,Home,Budget,3687,105.0,Low
740979,Beauty,Premium,567,24.0,Medium
740980,Sports,Budget,2163,47.0,Medium
740981,Clothing,Budget,4706,74.0,High
740982,Beauty,Premium,4778,133.0,Medium
740983,Electronics,Budget,1258,28.0,Low
740984,Sports,Budget,910,20.0,Medium
740985,Home,Premium,2699,40.0,Low
740986,Home,Standard,2076,56.0,Medium
740987,Home,Standard,1172,30.0,Low
740988,Sports,Budget,4671,122.0,Medium
740989,Sports,Budget,2845,34.0,Medium
740990,Electronics,Standard,2412,8.0,High
740991,Clothing,Budget,253,5.0,Medium
740992,Home,Premium,3875,81.0,High
740993,Clothing,Standard,3973,95.0,Medium
740994,Beauty,Standard,977,36.0,Medium
740995,Electronics,Standard,2893,80.0,Low
740996,Electronics,Premium,1267,36.0,Low
740997,Home,Standard,4909,99.0,Low
740998,Home,Budget,4142,105.0,Medium
740999,Electronics,Budget,2873,81.0,Low
741000,Electronics,Standard,2157,44.0,Medium
