DeviceID,Brand,DeviceAge_Months,ConditionGrade,AccessoriesIncluded,ResalePrice
940721,Samsung,24,5.0,1,819.52
940722,Samsung,11,3.0,1,832.35
940723,Samsung,7,1.0,0,746.92
940724,Apple,30,2.0,1,832.05
940725,Samsung,14,5.0,1,979.75
940726,Apple,5,5.0,0,1301.97
940727,Samsung,39,5.0,0,560.06
940728,Others,44,4.0,0,98.53
940729,Samsung,17,2.0,1,673.12
940730,Samsung,21,1.0,1,628.74
940731,Others,9,5.0,0,611.47
940732,Apple,31,1.0,1,762.91
940733,Samsung,34,5.0,0,712.2
940734,Samsung,13,4.0,0,870.55
940735,Apple,18,4.0,0,1044.23
940736,Samsung,38,5.0,0,637.54
940737,Apple,24,4.0,1,1059.77
940738,Others,36,,0,200.63
940739,LG,42,5.0,1,450.29
940740,Apple,12,3.0,0,1094.4
940741,Apple,14,5.0,1,1201.28
940742,Apple,31,2.0,1,791.87
940743,Samsung,25,3.0,1,676.72
940744,Samsung,37,5.0,1,795.89
940745,Apple,38,3.0,0,733.58
940746,Samsung,26,4.0,1,746.67
940747,Samsung,26,2.0,0,659.52
940748,Apple,35,3.0,0,813.22
940749,Samsung,17,4.0,1,818.45
940750,Samsung,29,,0,565.05
940751,Apple,1,3.0,1,1241.29
940752,Samsung,3,2.0,1,899.42
940753,Apple,38,2.0,1,771.12
940754,Apple,11,5.0,0,1235.91
940755,Samsung,32,5.0,0,626.95
940756,Apple,46,2.0,1,624.86
940757,Samsung,26,5.0,1,751.02
940758,Samsung,36,5.0,0,638.16
940759,Others,5,4.0,1,572.93
940760,LG,25,2.0,0,258.55
940761,Others,27,3.0,0,289.77
940762,Apple,44,3.0,1,806.79
940763,Samsung,22,2.0,1,718.16
940764,Samsung,38,1.0,1,467.58
940765,Apple,26,1.0,0,711.81
940766,Samsung,15,5.0,1,972.26
940767,Apple,8,3.0,0,1055.86
940768,Apple,44,3.0,0,662.56
940769,Samsung,25,4.0,0,714.28
940770,Samsung,12,3.0,1,825.45
940771,Apple,41,4.0,0,809.49
940772,Apple,35,2.0,1,733.06
940773,LG,17,5.0,1,509.95
940774,Others,34,2.0,0,110.79
940775,Apple,3,3.0,0,1178.64
940776,Samsung,30,5.0,0,726.57
940777,Samsung,27,2.0,1,608.06
940778,Apple,1,4.0,0,1214.46
940779,Apple,24,3.0,0,947.88
940780,Apple,6,4.0,1,1239.86
940781,Apple,3,1.0,1,1024.75
940782,Samsung,34,4.0,1,607.76
940783,Others,1,1.0,1,474.69
940784,Samsung,15,1.0,1,651.24
940785,Apple,14,4.0,0,1056.13
940786,Samsung,44,4.0,1,507.35
940787,Samsung,9,3.0,0,878.17
940788,Apple,2,2.0,0,1109.77
940789,Others,4,3.0,0,562.77
940790,Others,19,5.0,0,474.27
940791,Apple,25,3.0,1,971.71
940792,Samsung,2,2.0,1,880.58
940793,Apple,41,3.0,0,684.9
940794,Others,15,5.0,1,597.68
940795,Others,6,3.0,1,612.41
940796,LG,11,2.0,0,492.36
940797,Samsung,31,4.0,0,660.97
940798,Apple,17,1.0,0,883.86
940799,Apple,22,4.0,0,926.71
940800,Samsung,4,4.0,1,1028.81
940801,Apple,25,3.0,0,878.0
940802,LG,43,,0,50.0
940803,Apple,23,1.0,1,821.13
940804,Samsung,11,5.0,0,929.74
940805,LG,42,2.0,1,166.93
940806,Others,41,4.0,1,271.58
940807,LG,20,2.0,0,317.16
940808,Samsung,16,1.0,0,662.66
940809,Apple,41,4.0,1,844.63
940810,Samsung,46,1.0,0,299.28
940811,Others,27,3.0,1,336.56
940812,LG,5,5.0,0,699.77
940813,Apple,29,5.0,1,1011.62
940814,Apple,5,5.0,1,1364.79
940815,Apple,20,3.0,0,958.94
940816,Samsung,25,2.0,1,608.45
940817,LG,12,2.0,1,492.87
940818,Samsung,16,5.0,1,975.45
940819,Samsung,32,3.0,0,581.65
940820,Apple,11,3.0,1,1140.64
940821,Apple,11,4.0,1,1083.08
940822,Samsung,47,2.0,0,319.92
940823,Samsung,35,1.0,1,470.18
940824,Apple,19,5.0,1,1247.33
940825,Samsung,38,4.0,0,514.66
940826,Apple,10,2.0,0,993.39
940827,Samsung,26,2.0,1,587.15
940828,Others,30,3.0,0,216.04
940829,Samsung,43,1.0,0,267.11
940830,Others,2,2.0,1,651.25
940831,Others,35,3.0,1,231.87
940832,Samsung,13,,1,690.12
940833,Apple,5,5.0,1,1304.82
940834,Apple,14,1.0,1,848.06
940835,Samsung,36,1.0,1,393.92
940836,Others,35,3.0,0,123.97
940837,Samsung,40,5.0,0,658.71
940838,Apple,17,5.0,0,1154.27
940839,Samsung,33,3.0,1,617.27
940840,Others,45,2.0,1,69.14
940841,Samsung,38,2.0,0,408.78
940842,Others,23,1.0,0,208.39
940843,Samsung,9,1.0,1,701.14
940844,Samsung,39,5.0,1,688.93
940845,Apple,46,1.0,0,455.22
940846,Samsung,44,1.0,1,289.2
940847,Apple,24,1.0,0,820.9
940848,Others,32,5.0,1,427.64
940849,Apple,43,3.0,1,768.0
940850,Others,6,2.0,0,532.92
940851,Apple,31,1.0,1,725.1
940852,Samsung,31,3.0,0,513.35
940853,Samsung,22,2.0,1,712.48
940854,Apple,3,1.0,0,1028.28
940855,Apple,30,3.0,0,872.15
940856,Apple,34,3.0,1,912.5
940857,Apple,19,4.0,0,1010.51
940858,Apple,23,5.0,1,1119.19
940859,Apple,44,4.0,0,757.09
940860,Apple,12,1.0,1,966.58
940861,Samsung,44,3.0,1,468.15
940862,Others,36,1.0,1,109.38
940863,Samsung,28,2.0,1,675.66
940864,Apple,2,3.0,1,1219.51
940865,Apple,34,5.0,1,979.89
940866,Samsung,40,2.0,0,407.95
940867,Samsung,15,3.0,0,712.51
940868,Samsung,25,2.0,1,606.66
940869,Samsung,30,4.0,1,765.47
940870,Apple,17,2.0,0,971.44
940871,Others,35,1.0,0,50.0
940872,Apple,39,1.0,0,655.82
940873,Apple,35,3.0,0,819.73
940874,Samsung,14,4.0,1,847.91
940875,Apple,33,2.0,1,734.59
940876,Apple,36,1.0,1,674.89
940877,Apple,37,5.0,1,973.36
940878,Samsung,30,4.0,1,687.74
940879,LG,21,4.0,0,424.56
940880,Apple,29,1.0,1,816.33
940881,Samsung,43,1.0,0,317.49
940882,Samsung,41,1.0,1,382.05
940883,Samsung,22,,0,831.05
940884,Samsung,16,1.0,0,550.24
940885,Samsung,2,3.0,1,980.33
940886,Apple,42,3.0,1,817.5
940887,Samsung,21,5.0,1,860.25
940888,Apple,3,2.0,1,1072.48
940889,Samsung,17,2.0,0,579.04
940890,Samsung,16,4.0,1,851.53
940891,Apple,43,5.0,0,889.16
940892,Apple,16,4.0,1,1076.31
940893,Samsung,33,5.0,0,702.61
940894,Apple,2,3.0,0,1200.56
940895,Others,12,2.0,1,470.38
940896,Apple,24,4.0,0,1000.21
940897,LG,6,2.0,1,529.79
940898,LG,36,2.0,1,77.76
940899,Apple,34,4.0,1,924.25
940900,Apple,24,3.0,1,971.66
940901,Samsung,13,4.0,1,919.64
940902,Samsung,39,3.0,0,525.89
940903,Samsung,22,3.0,1,702.15
940904,Samsung,36,3.0,1,531.8
940905,Apple,41,3.0,0,738.16
940906,Apple,44,2.0,0,615.03
940907,Apple,17,2.0,0,860.57
940908,Apple,46,2.0,0,690.45
940909,Samsung,6,5.0,1,1034.52
940910,Apple,36,4.0,1,809.68
940911,LG,32,3.0,1,276.27
940912,Apple,37,2.0,0,708.49
940913,Samsung,10,1.0,0,789.56
940914,Samsung,1,1.0,0,822.59
940915,Apple,47,3.0,1,677.47
940916,Samsung,21,3.0,0,757.91
940917,Others,38,2.0,0,50.0
940918,Samsung,42,1.0,1,383.85
940919,Samsung,9,5.0,0,948.63
940920,Samsung,11,1.0,1,754.59
940921,Apple,1,3.0,1,1282.01
940922,Apple,19,3.0,1,1075.85
940923,Samsung,18,3.0,1,784.01
940924,Samsung,37,5.0,1,658.13
940925,LG,37,4.0,1,200.81
940926,Apple,1,1.0,1,1156.74
940927,Samsung,33,3.0,1,545.64
940928,LG,17,2.0,1,363.15
940929,Apple,3,5.0,1,1316.81
940930,Apple,26,5.0,0,975.7
940931,Apple,40,3.0,1,855.3
940932,Apple,32,5.0,0,957.26
940933,Apple,5,3.0,1,1258.1
940934,Others,45,2.0,1,104.57
940935,Apple,3,3.0,0,1200.15
940936,Apple,36,1.0,0,723.18
940937,Apple,36,3.0,1,774.35
940938,Samsung,41,5.0,0,639.26
940939,Samsung,14,3.0,1,876.79
940940,Samsung,28,4.0,0,655.95
940941,Samsung,46,5.0,0,508.8
940942,Apple,28,1.0,1,801.95
940943,LG,42,2.0,0,50.0
940944,Samsung,12,5.0,1,984.95
940945,Samsung,19,1.0,0,580.27
940946,LG,24,2.0,0,217.06
940947,Samsung,2,4.0,1,1057.03
940948,LG,2,3.0,0,579.21
940949,Others,24,4.0,1,452.37
940950,Others,14,4.0,1,556.91
940951,Apple,19,5.0,0,1148.58
940952,Apple,16,5.0,0,1231.04
940953,LG,25,2.0,1,210.93
940954,Samsung,5,3.0,0,834.36
940955,Samsung,18,3.0,0,780.51
940956,Others,21,4.0,1,501.28
940957,Samsung,28,2.0,1,576.61
940958,Apple,2,5.0,0,1303.18
940959,Others,26,5.0,0,406.09
940960,Apple,1,2.0,0,1076.72
940961,Samsung,18,5.0,1,925.14
940962,Apple,6,1.0,0,985.32
940963,Samsung,13,1.0,1,768.41
940964,Apple,29,4.0,0,930.56
940965,Samsung,1,4.0,1,1070.64
940966,Samsung,1,4.0,0,981.22
940967,Samsung,10,4.0,1,896.56
940968,Samsung,39,4.0,0,463.2
940969,LG,18,3.0,0,332.64
940970,Others,31,3.0,0,288.36
940971,Others,33,4.0,1,229.89
940972,Samsung,40,1.0,1,432.35
940973,Apple,20,4.0,1,1108.76
940974,Apple,20,1.0,0,756.51
940975,Apple,23,3.0,0,849.35
940976,Samsung,38,3.0,0,438.19
940977,Apple,9,4.0,1,1172.5
940978,Apple,44,4.0,0,757.45
940979,Apple,10,4.0,1,1300.14
940980,Apple,2,3.0,0,1187.48
940981,Apple,18,5.0,0,1101.66
940982,Apple,25,5.0,0,1027.87
940983,Samsung,10,2.0,0,713.08
940984,Samsung,37,3.0,0,509.91
940985,Samsung,3,3.0,0,857.48
940986,LG,6,4.0,0,559.72
940987,Samsung,27,4.0,1,741.5
940988,Apple,15,1.0,1,934.78
940989,Apple,24,2.0,0,856.77
940990,Samsung,32,1.0,1,435.92
940991,Others,8,4.0,0,545.41
940992,Apple,18,2.0,0,874.28
940993,Samsung,17,3.0,0,825.46
940994,Apple,33,2.0,1,785.24
940995,Samsung,47,1.0,1,313.86
940996,Apple,12,2.0,0,1034.25
940997,Others,8,5.0,0,553.02
940998,Apple,7,3.0,1,1182.75
940999,Samsung,22,3.0,0,714.8
941000,Samsung,40,5.0,0,596.31
