ATMID,TransactionCount,DailyWithdrawal_K,HolidayIndex,NearbyEvents,CashShortageRisk
1040581,107.6,99.6,90.2,141.8,38.0
1040582,123.9,97.6,136.6,117.3,39.0
1040583,121.0,62.1,150.1,86.5,53.0
1040584,98.8,133.9,80.0,69.8,62.0
1040585,113.4,93.8,98.7,98.8,39.0
1040586,106.8,134.8,91.0,115.3,25.0
1040587,123.3,99.2,94.5,62.5,55.0
1040588,110.2,117.0,97.6,123.0,31.0
1040589,111.1,129.6,113.8,77.4,31.0
1040590,136.7,66.7,103.1,120.7,66.0
1040591,64.3,82.0,55.5,122.5,41.0
1040592,72.6,62.8,97.6,71.5,16.0
1040593,61.6,74.6,71.6,85.8,23.0
1040594,97.2,101.4,169.4,131.3,55.0
1040595,120.4,55.7,104.2,112.4,20.0
1040596,100.4,74.5,95.9,159.5,14.0
1040597,77.4,79.9,85.7,114.9,31.0
1040598,94.1,168.9,63.2,107.4,69.0
1040599,101.2,89.2,113.4,91.1,45.0
1040600,109.9,95.6,60.8,88.6,47.0
1040601,123.5,105.2,76.3,93.4,37.0
1040602,78.2,134.8,65.3,131.1,51.0
1040603,98.1,97.0,93.1,98.4,10.0
1040604,126.6,134.5,109.5,88.1,47.0
1040605,126.7,79.0,70.1,119.0,48.0
1040606,107.6,127.1,125.6,99.8,32.0
1040607,97.6,85.5,114.4,103.0,56.0
1040608,127.7,66.1,131.8,111.1,67.0
1040609,127.6,122.2,141.0,107.6,21.0
1040610,109.6,80.3,111.5,140.4,33.0
1040611,88.3,107.0,109.0,78.7,45.0
1040612,113.1,92.2,89.9,112.8,21.0
1040613,61.3,98.7,144.4,106.3,50.0
1040614,58.7,115.6,122.5,107.8,43.0
1040615,129.7,115.0,74.2,109.8,24.0
1040616,92.3,88.3,69.7,69.2,38.0
1040617,115.5,109.4,92.0,132.7,45.0
1040618,78.1,154.0,71.3,140.2,49.0
1040619,128.9,110.0,99.4,61.2,30.0
1040620,90.4,90.3,80.9,98.1,21.0
1040621,50.2,67.0,101.0,104.8,68.0
1040622,116.4,114.5,95.1,75.5,36.0
1040623,133.0,89.2,114.2,56.8,55.0
1040624,94.1,53.4,112.1,144.6,59.0
1040625,91.2,75.9,106.4,92.1,62.0
1040626,86.7,116.0,94.8,108.3,44.0
1040627,83.3,85.3,132.7,90.6,62.0
1040628,80.3,95.5,98.3,77.7,52.0
1040629,83.9,120.4,126.7,159.3,44.0
1040630,98.6,98.5,71.1,144.0,52.0
1040631,112.8,125.3,104.0,107.4,55.0
1040632,95.6,140.4,76.5,126.2,37.0
1040633,70.0,80.5,104.4,94.1,40.0
1040634,100.0,106.6,131.7,80.2,61.0
1040635,120.0,88.4,135.7,124.6,58.0
1040636,110.1,99.2,136.3,75.9,31.0
1040637,118.8,125.8,142.1,44.7,67.0
1040638,100.8,114.4,65.5,92.5,56.0
1040639,92.9,82.6,144.7,72.9,56.0
1040640,81.3,96.7,82.4,97.6,45.0
1040641,83.7,94.0,100.1,113.9,44.0
1040642,87.5,107.3,74.9,134.3,39.0
1040643,116.1,113.4,96.3,89.1,35.0
1040644,82.3,75.4,71.6,96.4,30.0
1040645,146.1,63.2,112.9,110.0,61.0
1040646,100.3,66.0,94.7,99.0,59.0
1040647,133.1,85.1,98.1,78.2,11.0
1040648,87.0,111.8,110.2,117.8,62.0
1040649,117.0,130.5,102.0,79.1,36.0
1040650,111.8,60.4,113.2,97.5,23.0
1040651,108.9,78.8,94.2,128.7,52.0
1040652,133.2,135.8,64.7,56.3,34.0
1040653,72.0,107.2,110.2,92.0,41.0
1040654,66.5,105.3,70.0,94.3,47.0
1040655,146.9,118.3,98.3,104.5,25.0
1040656,85.3,75.6,87.5,89.9,55.0
1040657,119.3,122.8,14.7,117.3,74.0
1040658,100.3,80.2,124.7,77.1,5.0
1040659,128.6,134.2,118.7,90.7,38.0
1040660,105.4,74.6,94.3,48.3,64.0
1040661,58.1,123.0,94.9,63.6,56.0
1040662,94.0,86.9,39.8,118.0,28.0
1040663,82.5,111.5,57.6,120.1,22.0
1040664,115.5,93.7,137.2,106.8,66.0
1040665,77.3,76.9,121.8,111.6,28.0
1040666,95.7,105.8,89.5,124.6,51.0
1040667,143.4,99.7,119.0,136.4,54.0
1040668,115.6,109.7,111.5,89.4,32.0
1040669,100.5,96.6,121.7,116.1,31.0
1040670,114.0,134.8,98.7,85.1,38.0
1040671,106.2,130.3,83.5,74.9,24.0
1040672,108.1,108.5,71.2,67.2,43.0
1040673,54.8,119.1,74.9,86.1,46.0
1040674,87.8,55.2,94.8,93.7,44.0
1040675,112.6,119.0,80.3,105.2,45.0
1040676,78.5,83.5,61.1,78.5,53.0
1040677,133.6,109.6,72.7,114.6,32.0
1040678,154.0,122.3,124.3,89.0,26.0
1040679,17.8,89.4,129.5,68.9,44.0
1040680,85.4,80.5,95.6,94.9,65.0
1040681,98.9,75.6,117.8,122.8,14.0
1040682,58.0,64.1,57.2,137.7,47.0
1040683,115.0,113.8,91.0,133.3,51.0
1040684,108.3,76.8,124.6,71.0,44.0
1040685,129.1,82.8,135.0,85.2,51.0
1040686,77.1,99.0,122.5,92.7,38.0
1040687,57.7,120.3,81.8,106.9,32.0
1040688,119.5,131.1,85.5,78.1,32.0
1040689,140.6,93.7,90.2,62.2,38.0
1040690,82.2,142.7,97.0,127.4,64.0
1040691,103.6,117.9,129.6,122.8,43.0
1040692,75.6,106.3,66.3,89.4,62.0
1040693,93.4,98.2,71.8,147.0,47.0
1040694,113.8,135.1,67.6,71.5,9.0
1040695,96.6,94.3,60.9,90.9,19.0
1040696,61.3,56.5,105.1,92.8,44.0
1040697,88.6,56.5,76.1,144.6,41.0
1040698,126.7,62.8,64.9,107.8,22.0
1040699,92.8,121.7,99.8,66.8,40.0
1040700,106.4,88.8,92.4,109.1,25.0
1040701,99.6,86.7,67.0,38.3,48.0
1040702,84.7,110.8,115.5,181.4,43.0
1040703,139.6,130.9,139.3,87.3,28.0
1040704,70.4,88.4,48.5,113.9,71.0
1040705,84.2,79.6,80.7,119.4,40.0
1040706,161.6,95.3,69.3,124.6,34.0
1040707,35.3,112.7,117.9,83.3,37.0
1040708,93.7,104.6,93.7,84.3,52.0
1040709,85.6,44.8,71.7,67.3,23.0
1040710,91.9,152.0,105.2,84.7,67.0
1040711,108.2,130.8,149.0,95.0,57.0
1040712,109.1,77.0,109.4,106.6,41.0
1040713,133.2,97.2,163.2,98.9,65.0
1040714,122.1,84.7,146.6,62.6,29.0
1040715,111.2,100.5,69.2,116.1,48.0
1040716,108.7,105.3,94.6,96.1,46.0
1040717,82.4,142.6,99.6,75.4,22.0
1040718,79.4,123.2,121.9,98.8,49.0
1040719,103.3,111.4,103.6,91.7,17.0
1040720,109.3,61.1,104.4,68.5,67.0
1040721,127.4,100.7,104.8,118.9,22.0
1040722,121.0,90.8,91.2,107.1,34.0
1040723,106.5,126.6,88.9,85.6,65.0
1040724,113.7,78.2,91.2,126.6,54.0
1040725,89.0,85.2,67.5,103.5,15.0
1040726,108.1,91.7,64.9,121.8,47.0
1040727,133.3,110.2,82.5,101.1,49.0
1040728,98.0,118.6,67.6,76.5,44.0
1040729,109.6,89.3,101.0,69.6,42.0
1040730,100.9,87.0,91.4,114.4,34.0
1040731,97.2,76.2,115.4,152.7,59.0
1040732,112.8,71.6,128.2,73.5,53.0
1040733,134.9,115.6,73.5,128.6,40.0
1040734,95.9,136.0,128.8,80.5,48.0
1040735,84.6,77.3,48.5,124.3,15.0
1040736,99.4,66.2,71.8,58.7,29.0
1040737,135.1,106.7,128.9,108.1,47.0
1040738,108.8,100.0,98.3,68.5,47.0
1040739,80.5,120.4,125.5,135.8,49.0
1040740,74.2,87.6,138.9,92.6,44.0
1040741,72.7,115.1,96.4,124.9,58.0
1040742,66.9,125.4,55.1,94.6,26.0
1040743,92.5,67.4,121.5,76.8,34.0
1040744,85.7,84.5,97.0,100.4,35.0
1040745,82.2,93.9,81.5,70.0,46.0
1040746,116.7,128.8,99.3,96.5,31.0
1040747,94.5,143.9,137.5,85.3,40.0
1040748,120.2,100.2,92.7,77.0,52.0
1040749,75.4,106.5,88.2,76.2,50.0
1040750,92.8,119.9,159.5,153.1,38.0
1040751,80.5,116.8,81.2,134.1,74.0
1040752,67.8,110.8,148.3,76.4,34.0
1040753,131.3,136.4,116.7,92.2,31.0
1040754,80.6,90.9,66.6,83.3,38.0
1040755,73.4,71.8,93.0,94.6,25.0
1040756,141.0,99.2,49.6,71.3,62.0
1040757,81.7,54.3,135.2,107.0,46.0
1040758,142.8,99.3,107.2,84.1,57.0
1040759,115.1,84.2,90.1,126.9,57.0
1040760,79.8,112.0,124.5,95.2,17.0
1040761,100.9,57.5,177.9,112.1,41.0
1040762,119.2,89.2,73.1,147.1,7.0
1040763,101.2,166.2,82.6,74.1,41.0
1040764,126.7,63.2,124.8,122.0,30.0
1040765,90.6,112.5,94.3,122.1,24.0
1040766,83.6,79.5,85.4,80.2,40.0
1040767,91.1,158.3,125.2,68.6,42.0
1040768,89.3,107.7,114.5,132.1,41.0
1040769,101.0,79.0,107.0,104.7,74.0
1040770,127.7,133.1,108.0,82.3,56.0
1040771,81.1,109.8,128.2,91.7,52.0
1040772,141.7,119.8,94.8,97.0,50.0
1040773,101.5,112.2,129.6,111.8,38.0
1040774,70.2,90.3,125.6,75.1,43.0
1040775,92.6,95.4,140.9,66.6,47.0
1040776,100.9,84.4,109.3,116.1,55.0
1040777,89.0,109.0,52.6,89.1,57.0
1040778,120.2,118.8,95.9,123.1,29.0
1040779,111.9,91.1,117.5,130.6,74.0
1040780,105.4,54.5,105.2,116.1,50.0
1040781,63.7,,95.5,115.1,69.0
1040782,99.5,111.7,123.4,47.8,42.0
1040783,147.7,89.6,131.5,126.6,23.0
1040784,80.5,146.1,142.9,119.7,38.0
1040785,46.0,104.4,83.0,81.4,19.0
1040786,65.6,116.7,94.3,83.2,45.0
1040787,126.6,50.9,154.3,102.2,50.0
1040788,45.9,78.2,130.9,86.8,47.0
1040789,140.5,113.4,97.5,99.6,68.0
1040790,86.7,104.6,115.3,69.7,43.0
1040791,84.6,122.8,89.0,62.8,49.0
1040792,153.2,71.8,130.7,67.5,32.0
1040793,145.3,98.6,101.9,159.2,15.0
1040794,112.3,70.9,98.9,67.5,10.0
1040795,56.7,83.5,90.1,148.8,26.0
1040796,89.7,105.0,132.6,73.4,39.0
1040797,119.4,123.9,65.0,114.0,26.0
1040798,103.4,71.5,105.2,123.6,8.0
1040799,99.6,102.2,129.6,100.7,40.0
1040800,78.3,71.8,107.3,96.3,34.0
1040801,120.6,114.4,111.2,135.8,40.0
1040802,97.3,75.4,44.0,107.8,54.0
1040803,138.7,47.4,70.7,127.0,20.0
1040804,100.4,121.4,122.7,93.4,22.0
1040805,62.7,112.7,105.3,81.8,38.0
1040806,145.6,148.9,151.3,89.6,37.0
1040807,104.5,77.8,83.3,199.4,53.0
1040808,90.3,126.5,128.7,110.7,64.0
1040809,119.0,56.8,82.7,106.2,52.0
1040810,113.7,85.1,89.1,67.6,25.0
1040811,106.0,80.1,96.4,93.5,41.0
1040812,109.6,128.7,51.7,94.6,42.0
1040813,54.9,123.4,98.7,152.0,28.0
1040814,110.3,148.1,75.5,108.6,47.0
1040815,21.6,87.4,90.7,71.3,36.0
1040816,79.7,102.6,90.3,106.2,19.0
1040817,83.1,102.7,98.7,127.3,38.0
1040818,84.8,96.8,101.7,103.6,43.0
1040819,106.6,141.8,103.4,101.4,46.0
1040820,106.8,109.2,119.7,86.2,43.0
1040821,113.0,130.7,95.2,102.3,18.0
1040822,94.7,87.9,111.4,128.8,18.0
1040823,51.1,102.9,101.8,115.0,30.0
1040824,146.7,45.1,94.8,85.8,42.0
1040825,60.2,115.2,108.0,101.6,45.0
1040826,72.8,91.5,109.5,94.9,35.0
1040827,59.5,126.9,109.5,66.1,86.0
1040828,62.6,120.8,59.7,122.0,65.0
1040829,100.7,153.9,99.8,100.5,42.0
1040830,100.5,114.9,70.5,87.2,43.0
1040831,118.7,121.5,92.9,57.5,22.0
1040832,104.8,112.6,123.6,101.6,63.0
1040833,97.2,97.2,86.3,170.2,54.0
1040834,146.4,56.6,88.1,77.2,67.0
1040835,97.5,71.9,116.3,82.4,43.0
1040836,97.1,105.2,114.6,63.7,36.0
1040837,156.4,85.7,52.1,105.9,48.0
1040838,79.7,104.7,116.8,142.6,41.0
1040839,94.0,110.2,98.2,93.0,27.0
1040840,120.6,82.2,142.5,130.6,46.0
1040841,119.3,90.4,85.1,75.4,30.0
1040842,88.7,80.3,126.1,111.8,55.0
1040843,65.6,129.0,92.3,105.1,23.0
1040844,101.2,95.2,121.0,54.3,36.0
1040845,114.8,143.1,129.7,115.2,45.0
1040846,113.8,115.3,111.0,119.5,30.0
1040847,71.4,120.9,106.9,128.7,33.0
1040848,115.4,103.4,94.3,115.6,34.0
1040849,95.2,88.4,128.2,105.3,55.0
1040850,94.4,53.8,134.0,154.4,57.0
1040851,47.8,,79.1,43.3,48.0
1040852,72.8,96.4,150.1,139.0,25.0
1040853,94.6,94.2,76.3,105.4,50.0
1040854,131.3,100.2,85.0,101.6,53.0
1040855,174.7,63.8,86.6,115.4,58.0
1040856,150.5,85.6,42.0,32.1,49.0
1040857,114.5,109.2,119.2,86.6,49.0
1040858,105.7,63.5,98.0,74.2,22.0
1040859,129.3,101.0,88.9,87.2,1.0
1040860,129.9,183.4,75.5,112.5,23.0
1040861,87.9,100.5,133.0,142.3,72.0
1040862,64.6,112.2,95.4,69.3,17.0
1040863,120.5,73.0,86.8,65.4,41.0
1040864,88.4,124.9,49.6,127.4,40.0
1040865,134.3,65.6,63.7,111.3,53.0
1040866,110.4,137.8,100.4,111.1,59.0
1040867,128.5,94.6,104.0,110.2,59.0
1040868,134.2,110.4,107.4,100.0,44.0
1040869,104.8,95.4,54.8,97.3,49.0
1040870,107.4,98.4,131.7,119.5,59.0
1040871,91.0,124.2,107.2,106.4,18.0
1040872,57.2,59.5,68.4,119.8,36.0
1040873,133.0,107.4,97.3,58.9,53.0
1040874,87.6,97.5,104.3,146.0,42.0
1040875,134.4,113.2,136.9,116.5,35.0
1040876,154.7,120.2,49.4,193.4,48.0
1040877,66.9,118.8,127.3,72.6,29.0
1040878,135.9,99.7,114.5,111.5,63.0
1040879,102.1,141.0,81.9,109.1,38.0
1040880,114.9,88.9,75.7,119.2,37.0
1040881,77.1,90.0,94.1,51.3,26.0
1040882,77.5,47.0,132.3,68.8,40.0
1040883,59.4,,131.8,44.4,40.0
1040884,106.9,,151.6,120.2,37.0
1040885,106.3,100.2,100.8,98.4,23.0
1040886,88.0,109.9,59.9,61.9,54.0
1040887,104.0,53.4,80.0,42.2,60.0
1040888,65.6,106.7,102.1,92.7,69.0
1040889,99.0,91.6,97.5,70.6,63.0
1040890,118.3,93.9,118.0,98.5,13.0
1040891,124.5,139.2,121.8,116.7,36.0
1040892,113.6,82.1,108.1,119.5,41.0
1040893,131.8,102.9,85.7,122.1,59.0
1040894,146.8,94.8,87.0,104.5,63.0
1040895,148.3,81.7,77.3,82.5,41.0
1040896,85.9,113.7,56.0,84.5,35.0
1040897,98.1,102.1,148.2,118.9,30.0
1040898,58.9,114.1,113.6,78.0,24.0
1040899,83.7,29.0,125.3,136.1,22.0
1040900,117.0,83.0,73.7,49.5,55.0
1040901,81.0,49.0,82.8,100.2,30.0
1040902,92.9,144.3,92.7,95.9,49.0
1040903,101.5,45.2,105.0,100.9,55.0
1040904,131.6,104.0,80.9,102.0,41.0
1040905,113.6,52.2,106.4,85.2,59.0
1040906,103.7,50.4,156.1,121.4,39.0
1040907,125.5,40.5,124.9,142.2,51.0
1040908,89.4,106.0,115.2,85.6,54.0
1040909,140.8,105.8,73.4,68.3,26.0
1040910,127.3,63.8,84.5,138.3,37.0
1040911,125.4,90.1,72.1,77.5,59.0
1040912,97.7,105.9,94.2,135.8,64.0
1040913,133.5,117.2,115.8,156.0,42.0
1040914,132.0,118.4,87.9,102.8,64.0
1040915,112.1,109.5,56.2,152.2,25.0
1040916,112.2,96.9,132.0,93.3,51.0
1040917,115.0,68.7,108.9,157.2,51.0
1040918,113.7,95.3,112.7,96.6,43.0
1040919,89.1,66.3,132.8,52.2,43.0
1040920,82.8,93.5,125.0,103.3,18.0
1040921,129.3,122.0,83.5,80.2,46.0
1040922,109.7,127.3,117.7,139.9,38.0
1040923,111.9,66.1,51.0,121.3,11.0
1040924,53.7,132.0,78.1,124.7,22.0
1040925,107.5,36.7,54.1,110.0,33.0
1040926,79.1,92.1,129.1,148.9,23.0
1040927,93.6,38.6,96.0,106.9,57.0
1040928,129.9,92.8,143.5,93.7,35.0
1040929,95.7,121.4,86.8,138.1,41.0
1040930,77.9,114.2,116.0,127.5,44.0
1040931,74.8,97.8,53.4,81.5,33.0
1040932,141.0,122.4,110.2,105.7,22.0
1040933,133.9,135.0,74.3,112.9,50.0
1040934,87.4,75.1,70.8,78.3,21.0
1040935,97.0,119.5,103.3,107.2,61.0
1040936,93.5,133.6,75.1,43.6,36.0
1040937,142.1,131.2,44.8,79.8,30.0
1040938,106.8,83.4,128.6,123.2,37.0
1040939,118.0,106.7,113.6,69.7,43.0
1040940,112.7,91.9,99.6,76.6,61.0
1040941,114.7,130.1,75.3,67.0,44.0
1040942,118.2,107.3,121.0,58.7,25.0
1040943,99.3,103.0,118.3,105.1,14.0
1040944,88.5,119.5,100.4,104.2,61.0
1040945,65.1,67.2,100.6,112.4,59.0
1040946,62.5,88.5,83.1,118.1,42.0
1040947,111.2,96.0,74.9,95.4,52.0
1040948,104.4,,92.4,91.9,65.0
1040949,95.0,97.6,86.1,139.5,34.0
1040950,87.9,91.6,113.9,96.0,51.0
1040951,94.0,131.7,84.2,64.4,72.0
1040952,41.0,101.0,94.4,87.1,56.0
1040953,147.8,126.9,103.4,56.3,54.0
1040954,115.9,88.2,79.2,126.7,34.0
1040955,103.3,100.6,90.3,89.3,14.0
1040956,98.3,105.9,104.5,107.9,31.0
1040957,106.1,114.8,108.6,111.6,22.0
1040958,96.3,89.0,109.4,99.5,50.0
1040959,90.2,87.7,123.8,94.4,36.0
1040960,99.5,92.7,105.7,92.4,25.0
1040961,77.7,122.6,112.4,93.1,47.0
1040962,115.4,144.7,96.1,154.3,26.0
1040963,135.0,125.4,88.5,111.7,31.0
1040964,85.6,102.4,73.9,82.4,57.0
1040965,101.7,105.7,137.8,95.6,48.0
1040966,52.8,108.1,94.1,73.9,27.0
1040967,86.8,96.4,103.9,101.1,9.0
1040968,70.9,121.9,129.6,135.5,33.0
1040969,80.9,99.6,87.2,101.5,36.0
1040970,133.6,74.8,141.4,147.3,34.0
1040971,69.0,92.2,77.6,118.4,36.0
1040972,92.1,153.0,88.1,95.0,40.0
1040973,130.1,118.6,72.0,97.7,17.0
1040974,97.4,73.5,89.8,114.8,52.0
1040975,92.0,123.7,86.5,100.4,7.0
1040976,119.9,69.4,83.0,67.3,50.0
1040977,66.7,72.3,144.8,95.9,33.0
1040978,126.0,135.1,209.4,89.0,38.0
1040979,129.3,121.5,92.2,105.7,22.0
1040980,93.9,102.2,99.4,83.6,24.0
1040981,97.9,78.8,115.4,87.3,48.0
1040982,115.5,126.1,47.1,111.9,67.0
1040983,139.0,115.0,93.1,143.3,53.0
1040984,50.0,98.6,69.6,102.6,62.0
1040985,81.4,113.7,46.9,84.9,31.0
1040986,112.5,116.9,89.5,129.2,58.0
1040987,49.8,94.0,87.4,97.0,30.0
1040988,93.5,78.7,117.4,67.6,28.0
1040989,67.8,130.4,122.7,141.6,35.0
1040990,112.4,88.9,64.2,102.0,29.0
1040991,115.8,122.6,109.2,94.5,14.0
1040992,80.4,81.4,122.6,71.1,26.0
1040993,117.0,95.9,68.6,127.7,46.0
1040994,57.1,151.3,110.9,75.9,62.0
1040995,53.1,85.9,106.5,102.2,69.0
1040996,75.9,85.7,109.1,95.3,71.0
1040997,70.1,92.9,101.6,82.6,36.0
1040998,96.7,96.9,77.4,91.7,48.0
1040999,101.3,93.8,149.1,116.2,43.0
1041000,119.2,149.0,106.4,131.6,25.0
