OutageID,GridSector,WeatherAnomalyIndex,MaintenanceCycle_Months,OutageDuration_Hours,CustomersAffected
890606,Sector A,0.06,10.0,0.8,281
890607,Sector A,8.48,1.0,14.2,2166
890608,Sector A,7.42,9.0,13.7,2083
890609,Sector B,5.38,8.0,11.6,1749
890610,Sector A,9.33,8.0,19.6,15000
890611,Sector A,7.14,15.0,17.4,15000
890612,Sector B,2.64,15.0,7.7,1001
890613,Sector A,5.87,1.0,11.7,14053
890614,Sector D,3.59,27.0,14.3,15000
890615,Sector D,4.13,3.0,9.6,11445
890616,Sector A,1.68,10.0,5.8,7043
890617,Sector A,2.71,2.0,5.7,2689
890618,Sector B,0.68,16.0,4.9,2248
890619,Sector B,6.7,31.0,19.6,9777
890620,Sector C,7.63,27.0,21.9,11028
890621,Sector A,1.49,2.0,4.1,2150
890622,Sector B,7.17,24.0,19.2,9562
890623,Sector C,3.97,2.0,8.5,1298
890624,Sector A,8.7,9.0,18.1,9010
890625,Sector D,4.53,33.0,16.2,15000
890626,Sector B,2.17,6.0,4.8,623
890627,Sector C,6.21,34.0,19.0,15000
890628,Sector A,9.09,33.0,24.0,3601
890629,Sector C,7.31,31.0,20.3,3009
890630,Sector D,8.27,4.0,14.2,7195
890631,Sector D,7.35,30.0,21.1,3138
890632,Sector C,2.6,19.0,9.9,1446
890633,Sector B,8.78,18.0,19.7,9829
890634,Sector B,6.03,18.0,15.2,15000
890635,Sector D,9.13,15.0,19.2,3016
890636,Sector A,1.06,10.0,5.0,6120
890637,Sector C,2.51,17.0,10.3,5160
890638,Sector B,2.46,24.0,10.1,4844
890639,Sector C,0.26,32.0,8.8,1161
890640,Sector D,7.88,11.0,17.1,2583
890641,Sector D,1.82,13.0,7.9,1131
890642,Sector C,8.86,23.0,21.7,10866
890643,Sector D,8.69,31.0,23.3,3443
890644,Sector D,3.74,,10.0,4880
890645,Sector B,4.43,18.0,13.2,2031
890646,Sector C,2.32,2.0,4.7,680
890647,Sector D,7.35,11.0,15.5,7763
890648,Sector C,7.68,21.0,19.1,3043
890649,Sector C,7.22,10.0,15.7,15000
890650,Sector B,0.66,26.0,7.2,3512
890651,Sector A,8.52,11.0,19.6,15000
890652,Sector A,6.98,15.0,15.4,2218
890653,Sector D,9.3,14.0,19.7,3145
890654,Sector C,7.47,17.0,17.5,2650
890655,Sector D,3.61,30.0,13.2,15000
890656,Sector C,1.98,16.0,9.1,10906
890657,Sector D,2.78,6.0,5.6,2609
890658,Sector B,3.58,8.0,7.5,1004
890659,Sector C,3.09,33.0,12.9,15000
890660,Sector A,8.56,23.0,22.2,11097
890661,Sector A,4.68,10.0,9.4,11186
890662,Sector D,0.38,19.0,4.9,2336
890663,Sector D,7.23,27.0,20.0,10096
890664,Sector D,9.37,27.0,23.3,15000
890665,Sector A,6.82,15.0,16.1,15000
890666,Sector C,9.88,30.0,24.0,15000
890667,Sector B,4.91,21.0,13.8,15000
890668,Sector B,0.99,3.0,3.9,597
890669,Sector A,5.86,10.0,13.4,6706
890670,Sector A,4.67,30.0,14.4,7195
890671,Sector B,1.17,13.0,4.2,4879
890672,Sector B,8.23,10.0,17.0,15000
890673,Sector B,2.79,32.0,12.4,6275
890674,Sector B,3.44,5.0,7.4,3887
890675,Sector C,4.79,20.0,13.0,1925
890676,Sector C,6.18,11.0,14.0,1903
890677,Sector D,9.36,33.0,24.0,3603
890678,Sector A,5.26,15.0,12.0,5865
890679,Sector C,2.08,16.0,8.2,1309
890680,Sector A,2.45,3.0,4.9,640
890681,Sector A,9.28,10.0,18.4,15000
890682,Sector A,0.49,32.0,7.2,8649
890683,Sector A,2.99,15.0,9.3,11272
890684,Sector A,6.32,5.0,12.9,2000
890685,Sector D,3.24,22.0,12.1,14386
890686,Sector B,5.3,17.0,11.9,14385
890687,Sector B,4.92,29.0,15.1,15000
890688,Sector C,0.61,21.0,5.6,6694
890689,Sector B,4.81,19.0,12.9,15000
890690,Sector C,2.86,24.0,10.5,1347
890691,Sector D,0.04,8.0,2.4,1280
890692,Sector D,5.95,15.0,14.0,6884
890693,Sector A,8.89,27.0,23.5,15000
890694,Sector B,8.27,2.0,14.7,2313
890695,Sector D,6.36,19.0,14.3,15000
890696,Sector D,3.31,34.0,13.3,15000
890697,Sector D,8.78,30.0,24.0,3606
890698,Sector C,9.3,18.0,21.9,15000
890699,Sector C,0.28,4.0,1.7,244
890700,Sector D,1.55,34.0,11.1,1536
890701,Sector D,7.16,27.0,20.5,2996
890702,Sector D,7.55,1.0,14.7,15000
890703,Sector B,5.62,5.0,11.9,1732
890704,Sector C,9.18,22.0,21.8,10900
890705,Sector A,7.71,19.0,18.9,2760
890706,Sector C,2.94,23.0,10.5,5201
890707,Sector B,5.86,17.0,14.5,2107
890708,Sector D,6.47,25.0,16.7,2497
890709,Sector A,4.69,11.0,11.4,1942
890710,Sector D,6.42,13.0,15.2,15000
890711,Sector D,3.61,14.0,9.3,11309
890712,Sector C,7.32,12.0,17.6,2782
890713,Sector A,1.35,10.0,4.9,867
890714,Sector B,3.23,10.0,9.5,1449
890715,Sector A,0.36,1.0,1.2,561
890716,Sector B,3.18,31.0,14.8,7424
890717,Sector B,5.43,8.0,12.5,6398
890718,Sector C,4.31,12.0,9.3,4646
890719,Sector C,7.88,7.0,14.7,2186
890720,Sector C,5.34,21.0,15.3,15000
890721,Sector C,8.19,9.0,16.9,15000
890722,Sector D,0.13,17.0,3.1,1544
890723,Sector A,0.32,31.0,8.6,1398
890724,Sector B,0.62,8.0,1.9,2496
890725,Sector A,2.45,35.0,12.0,6121
890726,Sector A,6.59,13.0,15.6,15000
890727,Sector C,1.72,32.0,12.0,5885
890728,Sector C,4.44,8.0,10.0,5129
890729,Sector C,5.08,35.0,15.7,15000
890730,Sector B,6.78,3.0,13.9,6775
890731,Sector B,1.84,4.0,5.7,6892
890732,Sector D,3.14,21.0,11.0,13160
890733,Sector A,9.92,30.0,24.0,15000
890734,Sector C,1.75,17.0,8.7,4363
890735,Sector C,1.61,21.0,8.9,4285
890736,Sector B,1.23,35.0,9.5,1351
890737,Sector B,8.89,24.0,21.4,10664
890738,Sector D,1.76,31.0,10.3,12386
890739,Sector A,0.75,,10.1,4913
890740,Sector B,1.68,5.0,2.8,3413
890741,Sector C,5.41,17.0,14.5,2164
890742,Sector A,8.16,12.0,16.9,8442
890743,Sector A,7.75,18.0,20.1,10279
890744,Sector D,9.78,12.0,21.5,3381
890745,Sector C,2.85,33.0,12.8,6383
890746,Sector D,5.29,10.0,11.4,13666
890747,Sector C,7.41,23.0,18.8,2998
890748,Sector B,8.83,4.0,17.7,15000
890749,Sector C,0.42,1.0,0.2,19
890750,Sector C,4.23,33.0,14.7,15000
890751,Sector C,7.7,,20.9,15000
890752,Sector B,2.04,15.0,7.6,9207
890753,Sector D,6.58,23.0,16.9,15000
890754,Sector B,2.9,21.0,11.0,1532
890755,Sector B,5.41,29.0,15.0,2229
890756,Sector C,5.69,15.0,15.1,2196
890757,Sector A,4.11,31.0,16.0,8032
890758,Sector A,2.38,9.0,6.6,8123
890759,Sector B,1.16,32.0,10.0,11992
890760,Sector D,2.7,6.0,6.5,7841
890761,Sector D,5.59,7.0,11.6,5851
890762,Sector C,5.4,14.0,13.5,15000
890763,Sector B,5.01,,17.7,2912
890764,Sector B,0.99,6.0,3.8,4591
890765,Sector C,2.73,24.0,11.9,1783
890766,Sector A,8.67,24.0,21.2,3215
890767,Sector A,4.06,14.0,10.7,5292
890768,Sector A,5.15,1.0,9.8,5083
890769,Sector C,5.07,18.0,13.5,15000
890770,Sector B,1.23,19.0,9.2,10948
890771,Sector A,0.27,1.0,0.2,10
890772,Sector C,1.96,14.0,9.2,1530
890773,Sector C,6.63,4.0,12.9,6446
890774,Sector B,0.1,,1.4,1762
890775,Sector D,8.25,28.0,23.4,11599
890776,Sector A,4.01,6.0,9.4,4646
890777,Sector B,4.51,29.0,13.8,2168
890778,Sector B,7.29,10.0,14.5,2207
890779,Sector A,7.81,28.0,20.7,10460
890780,Sector C,0.98,14.0,4.3,2086
890781,Sector C,1.48,9.0,5.2,2715
890782,Sector B,9.8,10.0,19.8,3115
890783,Sector A,5.66,16.0,15.0,7652
890784,Sector A,7.05,21.0,18.7,9147
890785,Sector C,2.49,34.0,14.9,7555
890786,Sector B,0.96,28.0,9.5,11415
890787,Sector A,6.67,8.0,13.5,6552
890788,Sector B,6.36,16.0,15.2,2133
890789,Sector A,5.44,27.0,15.3,15000
890790,Sector A,3.47,1.0,8.1,9553
890791,Sector C,4.41,10.0,12.1,6046
890792,Sector B,8.95,20.0,21.6,3383
890793,Sector A,4.99,11.0,11.7,5631
890794,Sector C,1.0,29.0,8.6,1159
890795,Sector D,7.05,29.0,19.3,2765
890796,Sector C,6.11,17.0,16.3,2314
890797,Sector A,2.92,25.0,11.5,5855
890798,Sector D,4.55,16.0,12.0,14339
890799,Sector D,9.93,25.0,23.8,3616
890800,Sector A,8.89,6.0,16.7,15000
890801,Sector A,3.77,23.0,13.8,7047
890802,Sector B,6.31,21.0,16.4,2493
890803,Sector B,6.57,10.0,13.5,15000
890804,Sector D,3.25,24.0,13.0,15000
890805,Sector B,5.28,28.0,15.8,7929
890806,Sector D,2.07,35.0,11.3,1571
890807,Sector B,2.84,17.0,9.7,1453
890808,Sector C,3.64,29.0,15.0,7509
890809,Sector B,7.01,17.0,15.2,7730
890810,Sector A,5.55,6.0,12.8,15000
890811,Sector C,8.97,4.0,16.4,15000
890812,Sector D,0.7,5.0,2.5,1236
890813,Sector D,8.17,28.0,20.4,15000
890814,Sector C,8.11,33.0,22.8,15000
890815,Sector D,1.28,5.0,4.0,612
890816,Sector C,2.5,16.0,9.1,1460
890817,Sector C,4.45,20.0,12.1,14644
890818,Sector A,5.94,17.0,13.2,1803
890819,Sector D,0.38,31.0,7.7,9197
890820,Sector B,6.93,2.0,11.5,13934
890821,Sector A,9.52,9.0,18.4,2891
890822,Sector D,7.29,6.0,13.6,1972
890823,Sector D,5.54,14.0,14.4,2281
890824,Sector D,0.77,34.0,9.2,4542
890825,Sector C,8.97,18.0,18.9,2819
890826,Sector A,3.53,1.0,6.8,8212
890827,Sector D,4.59,25.0,13.1,1949
890828,Sector A,4.37,35.0,17.0,2520
890829,Sector B,0.55,15.0,3.8,566
890830,Sector B,9.54,20.0,20.8,15000
890831,Sector C,1.72,8.0,5.8,6801
890832,Sector C,2.98,8.0,6.3,7570
890833,Sector B,3.78,15.0,9.6,1412
890834,Sector D,1.09,4.0,2.5,328
890835,Sector C,5.66,34.0,16.9,8459
890836,Sector B,4.35,6.0,11.7,13918
890837,Sector B,5.01,12.0,11.5,5777
890838,Sector A,6.53,29.0,19.0,9445
890839,Sector D,9.1,2.0,17.5,8847
890840,Sector C,0.04,6.0,1.9,347
890841,Sector D,3.97,35.0,15.1,15000
890842,Sector C,4.96,27.0,16.2,8101
890843,Sector D,1.3,35.0,12.6,1735
890844,Sector C,4.92,5.0,11.4,5833
890845,Sector C,5.73,15.0,12.8,15000
890846,Sector C,7.87,29.0,20.8,10359
890847,Sector A,3.52,29.0,12.0,14359
890848,Sector D,0.3,13.0,4.5,5375
890849,Sector A,5.37,3.0,12.9,15000
890850,Sector D,9.59,19.0,20.2,15000
890851,Sector D,2.78,8.0,7.7,9263
890852,Sector A,1.08,31.0,10.0,5123
890853,Sector B,4.5,31.0,15.9,7905
890854,Sector A,3.21,4.0,7.0,3759
890855,Sector B,0.88,5.0,3.3,3760
890856,Sector A,3.13,17.0,9.7,4680
890857,Sector B,2.63,6.0,9.3,11114
890858,Sector B,1.89,23.0,9.8,11731
890859,Sector D,3.57,5.0,7.6,3690
890860,Sector C,5.03,23.0,13.7,2004
890861,Sector A,6.12,17.0,14.4,15000
890862,Sector D,2.22,1.0,4.0,2057
890863,Sector B,1.56,23.0,7.9,9501
890864,Sector D,1.52,10.0,5.2,6131
890865,Sector D,9.29,17.0,20.3,3059
890866,Sector D,0.61,12.0,3.1,3580
890867,Sector D,0.78,1.0,1.0,498
890868,Sector D,4.89,31.0,16.8,15000
890869,Sector B,1.8,31.0,11.8,5972
890870,Sector C,5.24,23.0,15.1,15000
890871,Sector B,6.09,8.0,11.3,1391
890872,Sector D,0.99,34.0,9.0,10689
890873,Sector B,6.94,29.0,19.6,15000
890874,Sector A,2.27,7.0,4.8,2330
890875,Sector B,1.93,25.0,9.6,4859
890876,Sector B,8.99,29.0,21.4,15000
890877,Sector B,5.77,17.0,14.7,2230
890878,Sector B,9.14,16.0,20.4,15000
890879,Sector C,4.67,1.0,7.0,3600
890880,Sector B,5.18,15.0,14.0,2060
890881,Sector A,9.37,20.0,21.9,3286
890882,Sector B,2.59,35.0,13.3,2080
890883,Sector A,7.95,8.0,16.7,15000
890884,Sector A,0.65,21.0,6.9,1040
890885,Sector A,0.71,35.0,10.0,1535
890886,Sector B,9.75,20.0,22.3,15000
890887,Sector D,6.05,20.0,15.8,7865
890888,Sector D,1.07,14.0,5.3,2621
890889,Sector D,4.83,24.0,13.4,6568
890890,Sector C,9.36,29.0,23.1,11358
890891,Sector B,7.54,22.0,19.2,2946
890892,Sector B,1.48,1.0,3.4,4154
890893,Sector A,2.45,25.0,10.7,12923
890894,Sector D,9.52,8.0,17.6,8519
890895,Sector C,8.16,30.0,22.0,11048
890896,Sector B,9.07,34.0,22.7,11373
890897,Sector C,4.85,16.0,12.6,1724
890898,Sector A,5.32,30.0,17.3,2675
890899,Sector C,4.43,33.0,15.0,15000
890900,Sector A,8.35,33.0,22.3,15000
890901,Sector A,5.14,10.0,11.6,5935
890902,Sector A,1.2,9.0,4.3,321
890903,Sector D,4.0,2.0,8.1,9626
890904,Sector A,5.42,28.0,19.3,15000
890905,Sector A,0.98,8.0,3.3,3904
890906,Sector B,6.78,,17.0,2484
890907,Sector C,1.23,20.0,5.5,824
890908,Sector C,0.84,8.0,4.1,2004
890909,Sector B,3.94,27.0,14.5,2181
890910,Sector B,5.45,19.0,13.4,1997
890911,Sector D,4.96,5.0,10.4,12498
890912,Sector B,2.4,14.0,9.8,11866
890913,Sector D,1.96,35.0,13.2,15000
890914,Sector A,4.17,2.0,6.3,7651
890915,Sector D,8.07,29.0,22.2,15000
890916,Sector B,2.92,7.0,5.6,962
890917,Sector A,2.78,24.0,11.3,1744
890918,Sector A,3.48,21.0,11.6,5929
890919,Sector A,1.49,14.0,5.5,6577
890920,Sector D,0.32,3.0,1.7,315
890921,Sector D,5.07,20.0,13.0,2095
890922,Sector A,8.44,17.0,19.8,15000
890923,Sector A,4.71,25.0,13.6,6670
890924,Sector C,2.78,3.0,7.3,8757
890925,Sector A,8.84,3.0,17.7,15000
890926,Sector A,8.45,17.0,19.9,15000
890927,Sector D,8.57,4.0,14.3,7190
890928,Sector D,8.84,19.0,21.6,3385
890929,Sector D,5.87,1.0,11.8,14264
890930,Sector B,6.1,20.0,15.1,7619
890931,Sector C,0.92,2.0,2.0,341
890932,Sector A,0.23,33.0,9.0,4470
890933,Sector B,3.45,11.0,8.7,10489
890934,Sector D,4.26,1.0,6.5,7825
890935,Sector C,0.24,23.0,6.4,1023
890936,Sector C,6.19,11.0,14.4,15000
890937,Sector B,6.35,17.0,15.4,2241
890938,Sector D,7.82,30.0,22.6,11317
890939,Sector C,5.13,4.0,10.9,13094
890940,Sector B,8.3,17.0,18.9,2799
890941,Sector D,9.43,13.0,21.0,2951
890942,Sector A,4.68,34.0,17.7,2531
890943,Sector A,8.14,19.0,20.6,15000
890944,Sector C,5.31,6.0,12.1,14384
890945,Sector C,1.01,7.0,5.2,726
890946,Sector D,0.9,23.0,8.2,4209
890947,Sector D,4.54,33.0,16.3,8265
890948,Sector A,7.92,13.0,16.0,15000
890949,Sector A,6.98,10.0,16.6,15000
890950,Sector A,7.25,3.0,14.3,2095
890951,Sector C,9.37,19.0,22.4,11143
890952,Sector D,2.23,19.0,8.2,10020
890953,Sector B,3.87,21.0,12.0,6087
890954,Sector B,4.56,3.0,9.5,1484
890955,Sector B,0.01,28.0,7.1,3745
890956,Sector C,5.61,1.0,9.8,4996
890957,Sector C,3.87,32.0,16.6,8375
890958,Sector C,4.22,6.0,9.1,1402
890959,Sector A,1.56,20.0,6.5,3258
890960,Sector D,1.67,32.0,10.3,5211
890961,Sector B,1.1,33.0,10.5,5171
890962,Sector B,5.92,31.0,17.6,8761
890963,Sector B,5.6,19.0,14.0,15000
890964,Sector D,7.73,20.0,20.1,9874
890965,Sector A,7.18,20.0,17.7,8768
890966,Sector A,1.43,,6.3,870
890967,Sector A,1.47,30.0,11.5,5626
890968,Sector B,0.7,11.0,3.1,3726
890969,Sector B,7.1,23.0,19.0,15000
890970,Sector A,6.2,11.0,14.3,2204
890971,Sector D,3.05,2.0,6.6,7956
890972,Sector A,0.42,11.0,3.3,1708
890973,Sector D,5.62,22.0,14.5,15000
890974,Sector C,8.53,14.0,19.5,15000
890975,Sector B,8.64,19.0,19.5,2904
890976,Sector C,1.73,1.0,2.3,356
890977,Sector A,7.21,29.0,20.4,3002
890978,Sector C,2.34,24.0,11.4,13674
890979,Sector D,6.56,2.0,12.3,6225
890980,Sector D,8.77,23.0,22.3,3477
890981,Sector B,6.45,25.0,16.5,15000
890982,Sector D,4.37,20.0,11.8,5932
890983,Sector D,4.78,23.0,13.1,15000
890984,Sector A,4.46,1.0,6.6,3209
890985,Sector A,1.9,9.0,5.4,2681
890986,Sector C,4.78,16.0,12.1,14678
890987,Sector D,1.22,12.0,5.0,2476
890988,Sector D,7.98,5.0,15.2,15000
890989,Sector C,6.46,13.0,14.6,2119
890990,Sector A,0.32,26.0,6.9,1249
890991,Sector D,5.97,17.0,16.0,8044
890992,Sector D,0.42,4.0,1.6,458
890993,Sector C,9.29,19.0,20.7,3064
890994,Sector A,5.65,5.0,12.1,1727
890995,Sector A,4.23,35.0,15.0,7651
890996,Sector A,7.21,30.0,20.8,3287
890997,Sector C,2.2,2.0,4.2,5013
890998,Sector C,6.23,2.0,13.2,15000
890999,Sector A,9.48,27.0,22.9,3383
891000,Sector C,8.5,35.0,24.0,15000
