RecordID,WorkHours_Weekly,StressLevel_Index,SleepHours,ActivityMinutes,MeditationPractice
800796,18,2.0,5.9,79,No
800797,20,2.0,9.2,45,No
800798,19,3.0,6.7,60,No
800799,63,4.0,8.7,167,Yes
800800,74,5.0,9.5,57,Yes
800801,51,4.0,7.1,158,Yes
800802,50,3.0,7.5,82,Yes
800803,63,5.0,5.0,117,Yes
800804,17,1.0,9.0,41,Yes
800805,16,2.0,7.4,166,No
800806,37,3.0,8.9,175,No
800807,29,1.0,7.4,65,Yes
800808,24,2.0,5.3,61,Yes
800809,22,3.0,6.3,42,No
800810,49,4.0,8.4,16,No
800811,32,3.0,8.8,117,No
800812,33,1.0,7.9,100,Yes
800813,30,3.0,5.8,158,No
800814,32,2.0,6.4,31,Yes
800815,56,5.0,6.4,67,No
800816,49,3.0,4.5,57,Yes
800817,73,7.0,5.1,65,No
800818,49,3.0,6.6,14,Yes
800819,73,4.0,9.2,152,Yes
800820,20,3.0,4.8,163,No
800821,56,4.0,5.9,86,Yes
800822,43,3.0,6.8,177,Yes
800823,16,3.0,4.8,117,No
800824,35,2.0,7.0,46,No
800825,68,5.0,8.2,151,No
800826,52,5.0,9.1,83,No
800827,23,4.0,5.5,162,No
800828,47,5.0,7.0,80,No
800829,59,5.0,6.8,57,Yes
800830,44,5.0,5.1,177,No
800831,64,6.0,7.1,60,No
800832,47,2.0,8.7,31,Yes
800833,65,5.0,9.4,179,No
800834,40,4.0,6.4,8,No
800835,37,3.0,8.9,34,No
800836,15,2.0,5.4,96,No
800837,69,6.0,7.0,164,Yes
800838,62,5.0,6.2,173,No
800839,22,1.0,8.3,0,No
800840,71,7.0,7.4,123,No
800841,71,8.0,4.9,52,No
800842,23,1.0,9.3,26,No
800843,61,5.0,7.8,110,No
800844,73,7.0,7.5,145,No
800845,56,5.0,4.9,126,No
800846,26,3.0,5.9,177,No
800847,62,6.0,6.0,48,No
800848,32,4.0,4.7,15,No
800849,25,2.0,6.0,117,No
800850,37,3.0,6.6,81,No
800851,47,2.0,7.8,43,Yes
800852,17,2.0,7.0,58,No
800853,66,6.0,8.8,100,No
800854,27,1.0,5.8,20,Yes
800855,44,,5.1,18,Yes
800856,53,,7.3,113,No
800857,58,6.0,4.9,101,No
800858,63,5.0,9.5,26,No
800859,72,7.0,8.3,175,No
800860,41,2.0,7.4,69,Yes
800861,68,,8.5,159,No
800862,46,4.0,5.3,31,Yes
800863,21,2.0,9.1,55,No
800864,63,4.0,8.8,140,Yes
800865,25,2.0,8.0,99,No
800866,61,3.0,4.5,177,Yes
800867,29,1.0,8.4,77,No
800868,59,5.0,6.3,40,Yes
800869,17,1.0,8.3,119,No
800870,17,2.0,5.0,171,No
800871,16,2.0,6.9,71,No
800872,38,4.0,5.5,60,No
800873,57,5.0,8.9,167,No
800874,17,3.0,6.5,43,No
800875,49,3.0,9.5,10,No
800876,18,1.0,8.1,151,Yes
800877,57,6.0,5.0,71,No
800878,19,1.0,8.9,160,No
800879,32,2.0,8.8,156,No
800880,59,5.0,7.4,33,No
800881,17,3.0,5.1,53,No
800882,30,1.0,9.5,159,No
800883,66,5.0,7.7,65,No
800884,67,7.0,8.4,15,No
800885,41,4.0,6.5,98,No
800886,33,3.0,6.0,170,No
800887,74,8.0,4.6,19,No
800888,15,1.0,8.3,7,No
800889,48,3.0,6.1,24,Yes
800890,45,2.0,9.1,40,No
800891,32,3.0,9.2,29,No
800892,55,5.0,6.3,116,No
800893,42,4.0,5.3,49,No
800894,58,4.0,6.5,110,No
800895,24,1.0,7.8,105,Yes
800896,53,6.0,5.7,12,No
800897,15,1.0,8.2,49,No
800898,17,2.0,6.3,105,No
800899,50,3.0,8.8,1,No
800900,21,2.0,6.2,87,Yes
800901,50,6.0,6.9,136,No
800902,15,1.0,6.1,40,No
800903,60,7.0,4.8,57,No
800904,56,6.0,6.4,175,No
800905,40,4.0,4.7,152,Yes
800906,54,3.0,9.2,24,Yes
800907,18,1.0,9.1,179,No
800908,69,7.0,7.1,149,No
800909,24,2.0,8.8,63,No
800910,71,4.0,6.8,129,Yes
800911,45,5.0,6.1,7,No
800912,74,6.0,9.2,99,No
800913,56,6.0,5.0,143,No
800914,17,2.0,6.2,145,No
800915,65,4.0,8.0,159,No
800916,62,5.0,4.8,171,Yes
800917,57,7.0,6.7,166,No
800918,43,5.0,7.2,103,No
800919,43,4.0,8.6,17,No
800920,53,3.0,8.5,29,No
800921,24,4.0,5.0,101,No
800922,72,6.0,8.4,163,No
800923,62,6.0,6.1,13,No
800924,34,4.0,4.8,133,No
800925,19,2.0,9.0,166,No
800926,50,4.0,6.3,91,No
800927,71,4.0,9.0,41,Yes
800928,56,5.0,8.1,50,No
800929,50,6.0,5.6,179,No
800930,15,2.0,9.0,104,No
800931,23,1.0,7.6,65,No
800932,73,5.0,6.7,135,Yes
800933,55,4.0,7.1,177,Yes
800934,66,7.0,6.1,161,No
800935,29,5.0,4.7,51,No
800936,62,6.0,5.5,68,No
800937,55,4.0,7.0,90,No
800938,24,2.0,9.4,55,No
800939,24,1.0,7.7,14,Yes
800940,33,2.0,8.1,7,Yes
800941,68,6.0,5.9,132,No
800942,47,4.0,5.2,12,Yes
800943,66,7.0,5.1,143,No
800944,44,2.0,6.5,35,Yes
800945,39,3.0,9.0,129,No
800946,62,4.0,4.8,165,Yes
800947,19,3.0,5.3,164,No
800948,56,3.0,9.4,6,No
800949,32,4.0,6.1,7,No
800950,29,4.0,5.2,74,No
800951,62,7.0,4.5,125,No
800952,30,2.0,7.5,25,Yes
800953,66,6.0,4.9,42,Yes
800954,57,7.0,6.5,67,No
800955,70,6.0,5.0,139,No
800956,54,4.0,5.8,158,Yes
800957,60,4.0,7.5,93,Yes
800958,36,5.0,6.8,73,No
800959,37,5.0,8.7,7,No
800960,64,7.0,7.4,132,No
800961,33,2.0,9.3,6,No
800962,35,4.0,8.9,70,No
800963,67,6.0,7.8,101,No
800964,16,2.0,8.8,125,No
800965,23,3.0,6.0,100,No
800966,45,2.0,7.4,97,Yes
800967,43,3.0,8.7,62,No
800968,40,5.0,4.7,88,No
800969,21,2.0,7.2,24,No
800970,18,2.0,5.6,140,No
800971,24,1.0,9.3,46,Yes
800972,16,2.0,4.6,119,No
800973,58,6.0,8.2,141,No
800974,61,6.0,6.5,70,No
800975,30,3.0,8.9,124,No
800976,53,6.0,5.8,83,No
800977,17,2.0,8.5,109,No
800978,60,6.0,8.4,147,No
800979,32,2.0,8.5,50,No
800980,71,8.0,6.0,131,No
800981,58,6.0,7.4,8,No
800982,59,3.0,8.5,150,No
800983,51,7.0,4.8,3,No
800984,59,6.0,5.4,177,No
800985,48,5.0,5.2,69,No
800986,50,5.0,6.8,55,No
800987,17,3.0,4.7,103,No
800988,25,2.0,5.0,165,Yes
800989,53,6.0,6.1,147,No
800990,67,6.0,6.3,174,No
800991,19,3.0,6.4,140,No
800992,55,5.0,4.6,6,No
800993,65,6.0,5.4,80,No
800994,43,4.0,4.9,41,Yes
800995,32,4.0,4.6,154,No
800996,67,6.0,7.1,64,No
800997,59,6.0,6.5,33,No
800998,43,3.0,5.8,104,Yes
800999,66,5.0,9.1,37,No
801000,59,5.0,9.2,39,No
