OrderID,Distance_KM,CourierExp_Months,PrepTime_Mins,DeliveryTime_Mins,Rating
720820,1.97,33,15,16.9,5
720821,9.18,43,10,40.5,4
720822,1.73,21,20,20.1,5
720823,4.66,26,15,29.4,5
720824,9.8,36,20,61.5,1
720825,11.76,14,20,65.0,1
720826,11.69,7,25,66.3,2
720827,1.04,25,20,15.4,5
720828,2.14,8,20,28.5,5
720829,7.12,18,30,58.3,1
720830,1.95,31,25,37.8,4
720831,9.59,16,25,53.6,1
720832,9.36,11,10,42.2,5
720833,4.41,42,15,30.7,4
720834,8.79,38,25,54.1,3
720835,1.64,22,25,24.7,5
720836,3.39,26,10,22.4,4
720837,10.53,46,20,54.9,1
720838,3.67,30,15,17.5,4
720839,9.09,29,15,44.8,5
720840,10.19,38,30,65.8,2
720841,6.16,6,25,54.1,1
720842,9.42,32,25,56.7,3
720843,8.27,20,10,41.1,4
720844,4.5,38,10,23.7,4
720845,9.69,1,25,68.5,2
720846,0.8,43,20,12.0,4
720847,6.29,29,25,40.4,5
720848,6.45,45,25,44.4,4
720849,6.72,1,30,,3
720850,10.94,20,15,58.5,2
720851,8.15,16,10,45.1,2
720852,4.6,2,15,31.6,4
720853,6.44,19,15,28.4,5
720854,7.32,24,15,,1
720855,3.82,30,15,35.2,4
720856,3.94,8,10,23.8,5
720857,5.94,33,30,49.0,2
720858,2.37,4,30,38.0,5
720859,6.39,47,10,26.7,5
720860,2.98,28,15,16.1,4
720861,3.9,35,25,40.5,5
720862,6.46,39,25,46.6,3
720863,3.91,38,30,31.4,5
720864,11.63,31,30,76.2,3
720865,7.2,43,30,53.4,1
720866,7.58,30,15,36.7,4
720867,0.56,3,30,35.0,4
720868,8.92,13,15,56.8,2
720869,11.88,6,30,69.9,3
720870,7.56,15,20,43.5,5
720871,1.45,41,20,29.6,4
720872,3.94,42,20,21.0,4
720873,6.75,42,20,39.3,5
720874,2.28,31,30,32.1,4
720875,5.46,10,20,41.2,4
720876,11.09,7,15,52.3,2
720877,10.8,27,25,63.9,1
720878,11.22,27,20,58.8,1
720879,7.9,7,15,50.1,1
720880,5.77,41,10,27.0,4
720881,7.27,22,30,58.5,2
720882,2.16,28,30,33.2,4
720883,4.55,37,25,40.8,5
720884,9.35,11,20,60.1,3
720885,4.44,9,10,23.9,5
720886,5.68,8,30,52.7,1
720887,6.89,2,30,52.1,3
720888,7.09,25,10,30.5,5
720889,11.71,6,25,75.1,2
720890,2.72,22,15,20.4,4
720891,11.83,40,10,50.5,1
720892,7.83,10,15,43.6,5
720893,11.92,21,15,59.3,3
720894,7.67,7,10,45.4,3
720895,8.63,43,15,37.8,5
720896,4.42,7,30,43.9,5
720897,2.94,19,30,41.5,4
720898,7.23,32,15,39.1,5
720899,6.02,41,30,41.4,4
720900,5.76,31,15,27.4,4
720901,10.76,15,30,62.9,3
720902,7.94,47,10,36.7,5
720903,9.5,38,30,57.6,1
720904,3.75,43,20,29.3,5
720905,3.25,39,30,37.7,5
720906,1.9,43,10,12.9,5
720907,11.33,4,15,53.0,1
720908,6.49,43,20,43.0,4
720909,3.7,38,25,31.6,4
720910,9.54,31,10,34.7,5
720911,6.73,40,25,40.7,5
720912,5.63,35,20,44.3,5
720913,10.77,29,25,68.0,1
720914,10.5,14,15,51.9,1
720915,1.39,28,30,46.1,2
720916,9.81,19,30,65.0,1
720917,2.56,36,20,32.4,4
720918,1.97,6,25,28.3,4
720919,2.0,39,30,36.0,5
720920,5.65,33,25,41.8,4
720921,0.84,12,20,24.7,5
720922,2.44,43,25,16.3,4
720923,0.65,1,20,23.4,4
720924,4.91,45,15,36.6,4
720925,4.67,2,30,49.0,1
720926,5.1,7,15,35.5,4
720927,1.15,41,20,21.3,5
720928,11.31,22,25,71.9,1
720929,8.61,43,30,61.1,3
720930,5.11,47,25,37.3,4
720931,5.4,38,15,23.4,5
720932,11.57,22,25,77.4,2
720933,5.6,27,25,44.1,5
720934,1.41,28,20,25.9,5
720935,10.18,19,25,59.2,2
720936,8.45,39,30,60.1,1
720937,8.19,31,30,49.5,2
720938,6.19,41,25,45.4,1
720939,1.62,45,10,12.0,5
720940,0.68,35,15,12.9,4
720941,10.48,45,15,42.6,5
720942,7.35,45,20,50.2,1
720943,6.98,44,25,43.1,4
720944,6.63,41,25,46.0,1
720945,9.32,13,10,59.4,2
720946,11.83,25,10,60.9,3
720947,9.49,44,25,53.8,1
720948,4.05,44,10,17.0,5
720949,3.17,22,15,32.3,4
720950,4.37,33,30,43.1,4
720951,1.77,32,20,24.4,4
720952,0.82,45,10,12.0,4
720953,10.38,18,25,66.7,3
720954,3.61,38,25,31.0,5
720955,4.54,9,25,44.2,5
720956,3.88,18,30,40.3,4
720957,10.71,41,10,45.4,2
720958,3.81,23,30,41.5,4
720959,1.04,39,15,12.0,5
720960,3.26,25,30,46.8,3
720961,3.65,19,10,16.0,4
720962,8.74,15,10,50.3,1
720963,3.73,4,20,29.4,4
720964,10.2,43,10,52.2,1
720965,12.0,35,20,69.3,2
720966,11.0,27,25,70.8,2
720967,7.79,36,30,51.6,2
720968,5.13,26,30,51.5,3
720969,3.74,19,30,40.2,4
720970,8.05,26,10,33.2,4
720971,5.25,32,15,24.4,4
720972,9.53,6,30,76.3,2
720973,8.43,14,30,61.2,3
720974,2.99,28,25,41.5,4
720975,10.15,6,25,64.8,1
720976,9.76,19,25,60.7,1
720977,10.62,42,25,55.1,1
720978,9.82,28,15,46.1,1
720979,8.19,7,30,74.1,3
720980,7.75,28,10,36.7,5
720981,8.63,30,10,36.9,5
720982,2.47,26,25,25.4,4
720983,11.6,16,25,61.9,1
720984,3.55,19,20,28.5,4
720985,9.02,22,30,67.1,3
720986,8.12,26,25,46.1,2
720987,3.95,34,30,41.9,5
720988,1.53,8,25,37.4,5
720989,5.19,15,15,28.7,4
720990,3.07,10,20,33.8,5
720991,3.7,2,25,37.9,5
720992,8.53,5,10,49.2,1
720993,8.43,1,25,52.5,1
720994,10.21,16,25,61.5,1
720995,11.85,45,30,64.3,3
720996,7.0,19,10,29.3,4
720997,9.83,44,25,51.9,1
720998,1.59,10,15,17.9,5
720999,2.34,15,20,34.2,5
721000,1.46,9,25,30.3,5
