ApplicantID,ApplicantIncome,LoanAmount,CreditHistoryScore,CoApplicant,Approved
930798,15403,32405.0,496,1,No
930799,6306,10745.0,327,1,No
930800,21851,40819.0,310,0,No
930801,6985,22089.0,613,0,No
930802,11953,23893.0,496,1,No
930803,6113,5447.0,739,1,Yes
930804,11692,36848.0,637,1,No
930805,10510,33066.0,679,0,No
930806,6308,14412.0,451,1,No
930807,4947,6061.0,676,1,Yes
930808,8540,22586.0,448,0,No
930809,5131,14344.0,643,0,No
930810,10040,18332.0,785,0,No
930811,7422,21111.0,647,1,No
930812,12015,22716.0,821,0,No
930813,24983,28787.0,617,1,No
930814,20925,42718.0,417,0,No
930815,12363,12892.0,491,0,No
930816,16171,35547.0,443,1,No
930817,11992,36444.0,697,1,No
930818,21974,28611.0,715,1,Yes
930819,13627,19756.0,607,0,No
930820,8284,16313.0,586,0,No
930821,6131,17131.0,471,0,No
930822,6940,12717.0,567,1,No
930823,19962,29271.0,559,1,No
930824,7912,9593.0,591,1,Yes
930825,15718,21044.0,498,1,No
930826,19347,35135.0,540,1,No
930827,20856,29011.0,584,0,No
930828,13794,37786.0,552,0,No
930829,8548,24170.0,311,0,No
930830,7212,17747.0,696,1,No
930831,8689,22170.0,302,1,No
930832,21715,32689.0,841,1,Yes
930833,22081,,732,0,Yes
930834,8354,20744.0,663,0,No
930835,4451,12049.0,517,0,No
930836,21344,33045.0,579,1,No
930837,22814,18542.0,501,1,No
930838,22420,41898.0,445,0,No
930839,6566,8389.0,451,0,No
930840,16409,18365.0,837,1,Yes
930841,15297,41409.0,413,1,No
930842,7212,12987.0,755,1,No
930843,9502,15428.0,762,1,Yes
930844,9839,13456.0,658,1,No
930845,2845,8609.0,342,0,No
930846,13470,36874.0,649,0,No
930847,14521,20186.0,827,0,Yes
930848,23424,50000.0,450,0,No
930849,23081,49022.0,403,0,No
930850,8893,24832.0,347,0,No
930851,13760,,507,1,No
930852,22634,50000.0,689,0,No
930853,21633,50000.0,701,0,Yes
930854,6921,21536.0,622,0,No
930855,2558,4924.0,310,0,No
930856,23740,25301.0,660,1,Yes
930857,14515,13249.0,739,0,Yes
930858,12329,12236.0,706,0,Yes
930859,8874,9609.0,848,0,No
930860,23362,50000.0,355,0,No
930861,17061,40090.0,746,1,Yes
930862,5446,8609.0,508,0,No
930863,18662,50000.0,422,1,No
930864,9088,18328.0,699,1,Yes
930865,16927,14792.0,371,1,No
930866,6009,7272.0,744,1,Yes
930867,18363,45078.0,538,1,Yes
930868,19864,34235.0,550,0,No
930869,9180,28298.0,642,1,Yes
930870,5337,11415.0,444,1,No
930871,2938,5552.0,428,0,No
930872,8895,23710.0,445,0,No
930873,21384,50000.0,604,1,Yes
930874,3695,7684.0,698,1,Yes
930875,4265,10401.0,633,1,No
930876,20761,45859.0,339,1,No
930877,18044,23001.0,742,0,Yes
930878,20005,39708.0,714,1,Yes
930879,22260,28489.0,391,0,No
930880,14651,35389.0,674,1,Yes
930881,4863,15279.0,447,1,No
930882,13162,15124.0,523,1,No
930883,6089,4963.0,421,1,No
930884,7128,22712.0,825,0,No
930885,13316,34719.0,330,0,No
930886,5022,11350.0,764,1,Yes
930887,5164,4297.0,836,1,Yes
930888,24587,50000.0,794,1,Yes
930889,22481,50000.0,723,0,Yes
930890,18273,34738.0,721,1,Yes
930891,6158,13774.0,641,1,No
930892,7284,7728.0,577,1,No
930893,20189,25613.0,434,1,No
930894,4862,4887.0,413,1,No
930895,2931,3507.0,306,0,No
930896,24121,49352.0,448,0,No
930897,21146,50000.0,344,0,No
930898,10500,19443.0,822,1,Yes
930899,16366,46731.0,665,1,Yes
930900,17475,18986.0,448,1,No
930901,24096,21228.0,702,1,Yes
930902,5427,14992.0,454,1,No
930903,16179,45162.0,324,0,No
930904,16864,22777.0,650,0,Yes
930905,7282,22752.0,733,0,No
930906,9947,29735.0,531,0,No
930907,15421,14679.0,604,1,Yes
930908,3946,10823.0,413,1,No
930909,12192,10610.0,503,1,No
930910,15594,48746.0,447,0,No
930911,9915,11009.0,816,0,Yes
930912,11907,28594.0,471,1,Yes
930913,18672,15352.0,363,1,No
930914,6734,16809.0,484,1,No
930915,19351,24364.0,577,0,No
930916,4934,12597.0,615,1,No
930917,24900,37880.0,663,0,Yes
930918,16002,45495.0,307,0,No
930919,18172,22040.0,529,1,No
930920,21754,42071.0,826,1,Yes
930921,16601,27725.0,838,1,Yes
930922,9831,20673.0,844,1,Yes
930923,5432,13610.0,609,1,No
930924,24754,46187.0,504,1,No
930925,3474,2833.0,785,0,No
930926,4450,8578.0,541,1,No
930927,16079,48521.0,739,1,Yes
930928,15695,20643.0,691,0,No
930929,13775,26599.0,569,0,No
930930,5073,8174.0,490,0,No
930931,8878,15497.0,729,1,No
930932,17827,50000.0,712,1,Yes
930933,2900,3782.0,422,1,No
930934,10117,11038.0,303,1,No
930935,10902,20208.0,762,0,No
930936,10209,28477.0,416,0,No
930937,5966,12917.0,379,1,No
930938,3365,7958.0,407,1,No
930939,11912,15943.0,352,0,No
930940,17497,50000.0,510,1,No
930941,17645,32045.0,395,1,No
930942,10536,25810.0,845,0,Yes
930943,8940,8093.0,328,0,No
930944,24873,50000.0,353,1,No
930945,18955,24940.0,362,1,No
930946,10203,29893.0,746,1,No
930947,2767,8592.0,335,1,No
930948,3626,5344.0,829,0,Yes
930949,11374,12545.0,688,1,Yes
930950,24709,35402.0,445,0,No
930951,21801,50000.0,377,1,No
930952,4084,4919.0,838,1,Yes
930953,17750,17940.0,401,0,No
930954,11451,35591.0,524,1,No
930955,8057,22267.0,401,1,No
930956,11622,34453.0,407,0,No
930957,21554,47853.0,734,1,Yes
930958,10281,18309.0,464,1,No
930959,15785,38193.0,602,0,No
930960,16353,38046.0,418,1,No
930961,20501,50000.0,621,0,No
930962,13118,22044.0,530,0,No
930963,17097,50000.0,799,0,Yes
930964,2792,7343.0,800,1,Yes
930965,5737,15983.0,496,0,No
930966,17809,40541.0,577,1,No
930967,19465,43799.0,621,0,No
930968,23238,33215.0,385,0,No
930969,16754,29669.0,775,1,Yes
930970,15363,16976.0,573,1,No
930971,23098,32142.0,704,0,No
930972,24857,35776.0,578,0,No
930973,24458,36492.0,440,0,No
930974,4890,5584.0,702,1,No
930975,14220,,447,0,No
930976,5602,8829.0,433,0,No
930977,19096,44299.0,383,1,No
930978,7171,6056.0,363,1,No
930979,8202,25830.0,530,1,No
930980,4993,12783.0,508,1,No
930981,10282,32067.0,623,1,Yes
930982,20263,27555.0,449,0,No
930983,6508,13011.0,665,0,No
930984,24552,50000.0,565,0,No
930985,18808,33924.0,779,0,No
930986,12908,21784.0,599,0,No
930987,13832,36142.0,610,0,No
930988,14075,41741.0,393,0,No
930989,10245,9261.0,669,0,No
930990,5677,11861.0,660,1,Yes
930991,16489,15373.0,426,1,No
930992,4475,7168.0,633,1,No
930993,24518,50000.0,747,1,Yes
930994,15293,40773.0,760,0,No
930995,14476,17453.0,616,1,Yes
930996,4563,6859.0,604,0,Yes
930997,15872,40793.0,806,1,No
930998,10910,14324.0,477,0,No
930999,15780,18556.0,427,0,No
931000,18472,41586.0,412,1,No
