TierID,UserSeats,AnnualDiscount,FeaturesUsed,ContractValue
820890,5,10,17.0,665.27
820891,10,0,30.0,1605.8
820892,10,10,6.0,1072.38
820893,5,20,34.0,1046.37
820894,20,0,31.0,2802.65
820895,5,0,3.0,548.38
820896,10,0,9.0,1356.34
820897,100,0,34.0,12525.07
820898,50,0,,6365.66
820899,20,0,19.0,2717.01
820900,5,15,30.0,964.24
820901,10,10,11.0,1280.05
820902,20,0,25.0,2687.64
820903,50,0,17.0,6213.03
820904,5,0,31.0,1349.77
820905,5,0,29.0,1130.97
820906,50,0,12.0,6422.3
820907,5,0,31.0,920.69
820908,5,0,19.0,1059.98
820909,5,0,9.0,766.03
820910,10,0,9.0,1105.19
820911,5,0,15.0,500.0
820912,5,0,31.0,1234.6
820913,10,0,33.0,1599.05
820914,5,0,9.0,939.6
820915,20,20,27.0,2236.44
820916,5,15,23.0,711.33
820917,10,0,17.0,1562.27
820918,5,0,8.0,641.22
820919,20,10,4.0,2155.01
820920,5,0,12.0,801.08
820921,20,10,17.0,2349.51
820922,50,10,8.0,5776.22
820923,10,0,28.0,1827.7
820924,5,10,5.0,755.05
820925,50,0,14.0,6042.71
820926,10,0,7.0,1415.59
820927,5,20,15.0,578.1
820928,10,10,6.0,1159.66
820929,10,10,3.0,1052.22
820930,5,20,22.0,500.0
820931,10,10,15.0,1245.92
820932,50,0,5.0,6032.17
820933,5,0,20.0,933.86
820934,5,20,26.0,882.96
820935,20,15,26.0,2132.81
820936,20,0,6.0,2671.41
820937,10,0,14.0,1362.82
820938,5,20,17.0,838.99
820939,10,10,18.0,1126.47
820940,5,10,,827.62
820941,20,0,29.0,2812.39
820942,100,0,21.0,12244.61
820943,5,0,20.0,1017.24
820944,20,10,17.0,2573.69
820945,10,15,2.0,986.89
820946,100,0,18.0,12288.15
820947,5,10,13.0,500.0
820948,10,20,3.0,799.4
820949,10,10,27.0,1556.51
820950,20,0,2.0,2375.93
820951,5,10,21.0,1057.82
820952,50,20,34.0,5179.91
820953,20,10,14.0,2279.39
820954,5,0,5.0,815.66
820955,20,0,16.0,2588.47
820956,20,10,31.0,2790.38
820957,5,0,18.0,537.8
820958,10,0,10.0,1059.94
820959,10,0,5.0,1070.41
820960,5,10,33.0,872.79
820961,20,20,15.0,2152.2
820962,20,15,8.0,2128.28
820963,50,0,28.0,6303.42
820964,20,10,7.0,2454.48
820965,10,10,8.0,1193.78
820966,5,20,13.0,742.03
820967,10,0,13.0,1600.85
820968,100,15,2.0,10127.28
820969,10,0,12.0,1478.79
820970,50,20,26.0,5064.69
820971,5,10,27.0,1162.91
820972,10,0,10.0,1382.72
820973,10,15,2.0,1112.43
820974,10,0,23.0,1241.57
820975,5,15,25.0,691.25
820976,20,0,16.0,2661.09
820977,5,0,26.0,660.31
820978,10,0,30.0,1689.1
820979,5,0,31.0,1086.04
820980,10,20,22.0,1218.74
820981,5,0,34.0,1297.13
820982,50,0,28.0,6448.28
820983,20,10,3.0,1984.69
820984,20,0,10.0,2627.69
820985,5,0,4.0,562.35
820986,5,10,3.0,666.59
820987,5,10,22.0,869.98
820988,20,15,27.0,2254.24
820989,20,0,15.0,2698.35
820990,10,15,25.0,1576.36
820991,100,20,34.0,10278.54
820992,5,15,18.0,897.44
820993,20,0,18.0,2590.28
820994,20,0,33.0,2890.41
820995,5,0,31.0,943.92
820996,50,0,33.0,6217.66
820997,5,20,4.0,500.0
820998,5,20,13.0,500.0
820999,20,10,10.0,2374.51
821000,20,20,29.0,2152.17
