MemberID,PointsAccumulated,RedemptionIntervalMonths,LoyaltyTier,TotalSpend_K,Redeemed
1180557,128.8,30.0,Type_C,83.9,94.3
1180558,109.6,51.0,Type_A,82.0,68.3
1180559,101.6,27.0,Type_C,78.3,96.1
1180560,133.2,27.0,Type_C,56.8,86.8
1180561,104.7,20.0,Type_A,58.1,93.9
1180562,134.2,53.0,Type_B,102.8,138.1
1180563,107.6,43.0,Type_C,83.3,34.0
1180564,117.6,14.0,Type_A,78.5,124.9
1180565,126.9,13.0,Type_A,60.0,92.4
1180566,123.8,54.0,Type_B,79.5,68.1
1180567,76.1,42.0,Type_B,103.7,106.2
1180568,90.5,35.0,Type_B,81.3,127.5
1180569,108.6,19.0,Type_A,60.3,180.1
1180570,93.9,7.0,Type_A,104.4,79.4
1180571,98.8,7.0,Type_C,75.9,89.8
1180572,99.9,41.0,Type_B,73.8,91.8
1180573,108.3,46.0,Type_C,81.1,102.3
1180574,131.5,13.0,Type_B,80.3,160.4
1180575,103.6,47.0,Type_C,90.9,69.0
1180576,109.7,49.0,Type_A,99.2,106.7
1180577,125.0,22.0,Type_B,65.0,124.5
1180578,120.9,13.0,Type_C,89.1,123.2
1180579,121.8,13.0,Type_A,108.9,104.2
1180580,72.6,7.0,Type_C,54.5,74.5
1180581,111.1,49.0,Type_C,82.2,105.8
1180582,70.1,30.0,Type_B,71.1,69.4
1180583,128.3,58.0,Type_C,71.0,109.9
1180584,123.5,5.0,Type_C,42.6,91.8
1180585,127.6,11.0,Type_C,85.6,84.4
1180586,100.2,32.0,Type_A,41.9,122.1
1180587,97.8,57.0,Type_C,83.5,112.7
1180588,73.3,40.0,Type_B,85.9,103.7
1180589,83.3,15.0,Type_B,104.7,101.5
1180590,122.5,52.0,Type_C,70.8,108.1
1180591,53.4,27.0,Type_C,83.4,78.9
1180592,119.9,15.0,Type_B,36.3,60.3
1180593,97.8,25.0,Type_A,69.3,102.8
1180594,147.3,47.0,Type_A,90.1,88.4
1180595,96.8,16.0,Type_C,111.0,116.9
1180596,68.0,53.0,Type_A,81.4,102.9
1180597,107.0,52.0,Type_C,54.4,142.2
1180598,137.2,46.0,Type_B,97.0,83.4
1180599,108.0,34.0,Type_B,64.1,109.5
1180600,103.1,38.0,Type_C,47.1,115.4
1180601,117.7,10.0,Type_C,62.9,73.5
1180602,114.9,37.0,Type_C,92.2,95.7
1180603,140.3,4.0,Type_A,107.7,54.9
1180604,58.7,36.0,Type_B,83.6,101.5
1180605,110.1,35.0,Type_B,59.3,119.2
1180606,72.2,52.0,Type_B,129.5,130.1
1180607,132.9,51.0,Type_C,101.3,105.8
1180608,102.7,17.0,Type_A,65.0,134.3
1180609,98.6,3.0,Type_A,45.6,134.8
1180610,171.6,46.0,Type_A,89.9,91.2
1180611,98.0,19.0,Type_A,65.5,117.0
1180612,92.3,21.0,Type_A,55.9,79.9
1180613,149.1,24.0,Type_B,62.2,90.1
1180614,72.0,11.0,Type_B,64.2,70.0
1180615,73.5,17.0,Type_A,70.2,101.4
1180616,100.2,54.0,Type_B,39.3,109.1
1180617,98.7,11.0,Type_B,79.7,82.0
1180618,125.2,35.0,Type_A,70.7,81.2
1180619,83.1,16.0,Type_B,42.9,109.9
1180620,128.2,10.0,Type_C,64.1,86.9
1180621,97.7,15.0,Type_B,110.3,56.3
1180622,142.5,37.0,Type_A,72.2,59.3
1180623,120.4,12.0,Type_C,85.4,98.6
1180624,90.8,58.0,Type_C,63.7,91.1
1180625,91.8,21.0,Type_B,52.2,109.6
1180626,101.9,32.0,Type_A,57.6,94.9
1180627,48.1,16.0,Type_C,55.9,62.2
1180628,116.5,41.0,Type_B,99.3,87.5
1180629,98.8,40.0,Type_B,85.6,72.8
1180630,101.9,52.0,Type_C,105.0,115.3
1180631,106.7,20.0,Type_B,61.8,84.2
1180632,125.9,36.0,Type_B,66.1,81.3
1180633,107.3,8.0,Type_A,68.9,78.3
1180634,94.8,39.0,Type_C,71.2,93.0
1180635,98.8,49.0,Type_A,79.8,95.0
1180636,89.3,33.0,Type_C,63.2,102.3
1180637,96.2,8.0,Type_A,66.5,118.1
1180638,95.2,38.0,Type_C,32.7,91.9
1180639,113.0,7.0,Type_C,80.8,84.2
1180640,61.5,32.0,Type_B,111.8,74.0
1180641,62.1,23.0,Type_B,79.7,112.3
1180642,94.9,13.0,Type_A,87.7,117.2
1180643,70.5,10.0,Type_C,78.8,84.0
1180644,60.9,48.0,Type_C,74.0,128.2
1180645,62.3,6.0,Type_C,61.1,134.2
1180646,118.4,49.0,Type_A,39.4,131.1
1180647,114.9,29.0,Type_C,68.6,103.8
1180648,147.9,5.0,Type_C,78.5,176.0
1180649,135.4,49.0,Type_C,77.7,123.7
1180650,94.5,37.0,Type_C,72.6,112.7
1180651,104.1,41.0,Type_B,50.4,102.6
1180652,,55.0,Type_B,60.2,93.6
1180653,40.3,29.0,Type_C,53.4,100.1
1180654,93.6,51.0,Type_A,97.2,102.4
1180655,127.9,27.0,Type_B,87.3,93.3
1180656,69.5,39.0,Type_A,95.6,111.7
1180657,101.0,4.0,Type_C,60.1,101.3
1180658,89.0,18.0,Type_A,92.6,80.9
1180659,96.3,6.0,Type_B,66.9,94.6
1180660,135.9,43.0,Type_C,61.2,84.0
1180661,101.2,13.0,Type_B,48.2,115.3
1180662,128.3,54.0,Type_A,68.0,76.2
1180663,86.1,5.0,Type_C,57.3,144.2
1180664,154.9,33.0,Type_C,43.8,100.7
1180665,103.7,53.0,Type_A,62.6,105.4
1180666,151.2,5.0,Type_C,83.5,80.5
1180667,69.6,26.0,Type_A,105.9,142.4
1180668,75.3,43.0,Type_A,61.9,116.6
1180669,123.0,27.0,Type_C,86.4,89.9
1180670,102.9,43.0,Type_C,88.2,111.4
1180671,122.7,26.0,Type_B,89.0,71.4
1180672,87.0,9.0,Type_B,60.7,118.0
1180673,120.0,36.0,Type_A,67.7,52.1
1180674,151.5,37.0,Type_A,80.0,99.7
1180675,86.6,17.0,Type_B,61.7,68.0
1180676,130.9,55.0,Type_C,79.3,94.1
1180677,121.7,43.0,Type_A,80.2,127.8
1180678,120.2,32.0,Type_B,38.6,63.1
1180679,102.4,43.0,Type_C,76.4,137.8
1180680,118.8,51.0,Type_C,80.5,123.9
1180681,97.6,47.0,Type_C,133.1,109.6
1180682,89.5,27.0,Type_C,45.0,36.8
1180683,103.6,55.0,Type_A,76.5,75.2
1180684,82.9,50.0,Type_C,86.2,74.1
1180685,103.0,33.0,Type_B,86.1,118.3
1180686,81.9,41.0,Type_A,101.3,116.1
1180687,79.3,21.0,Type_B,88.5,68.8
1180688,82.6,42.0,Type_C,77.1,72.3
1180689,91.8,5.0,Type_C,85.0,103.2
1180690,107.4,52.0,Type_B,42.2,73.5
1180691,117.0,6.0,Type_A,59.0,85.4
1180692,68.8,27.0,Type_A,81.1,105.6
1180693,,44.0,Type_C,56.7,104.5
1180694,113.0,28.0,Type_C,67.0,53.3
1180695,122.0,21.0,Type_B,46.5,92.0
1180696,76.8,17.0,Type_C,56.2,91.4
1180697,128.7,47.0,Type_B,79.7,55.2
1180698,124.0,59.0,Type_B,93.5,122.4
1180699,86.0,39.0,Type_B,58.0,123.7
1180700,117.8,36.0,Type_C,61.8,89.8
1180701,80.3,27.0,Type_A,112.5,109.7
1180702,88.9,30.0,Type_B,72.3,60.0
1180703,99.7,15.0,Type_C,58.5,91.9
1180704,141.5,30.0,Type_C,117.8,47.9
1180705,77.2,12.0,Type_A,117.4,121.8
1180706,126.3,40.0,Type_C,96.2,85.8
1180707,87.6,32.0,Type_B,47.2,142.6
1180708,117.6,20.0,Type_A,80.7,110.0
1180709,95.6,24.0,Type_C,97.3,51.2
1180710,141.3,4.0,Type_A,87.2,87.2
1180711,89.1,21.0,Type_B,50.0,108.5
1180712,108.9,46.0,Type_A,97.3,106.9
1180713,131.1,8.0,Type_C,88.0,150.1
1180714,102.5,44.0,Type_C,74.7,98.0
1180715,88.4,47.0,Type_A,100.5,92.2
1180716,144.9,8.0,Type_C,83.8,99.2
1180717,99.5,15.0,Type_B,91.8,148.0
1180718,57.1,19.0,Type_A,50.8,81.4
1180719,143.2,54.0,Type_B,74.4,114.0
1180720,46.9,54.0,Type_A,82.5,80.5
1180721,99.4,54.0,Type_B,82.4,146.2
1180722,98.8,39.0,Type_B,86.0,111.9
1180723,63.4,51.0,Type_C,73.0,120.7
1180724,96.3,28.0,Type_A,76.0,119.3
1180725,80.5,23.0,Type_A,64.5,72.0
1180726,109.7,52.0,Type_C,121.6,80.7
1180727,45.8,55.0,Type_C,108.0,115.0
1180728,78.4,17.0,Type_C,70.4,77.1
1180729,52.6,13.0,Type_C,98.8,125.9
1180730,48.3,44.0,Type_B,64.2,134.5
1180731,109.3,39.0,Type_B,44.8,55.2
1180732,92.1,10.0,Type_B,97.5,140.1
1180733,125.9,6.0,Type_A,59.8,137.9
1180734,87.0,56.0,Type_B,40.0,121.0
1180735,151.8,39.0,Type_B,90.0,91.2
1180736,82.3,46.0,Type_B,95.9,89.1
1180737,116.4,23.0,Type_B,73.1,131.5
1180738,91.9,51.0,Type_A,119.2,100.7
1180739,127.9,23.0,Type_B,105.2,130.1
1180740,46.9,41.0,Type_B,92.4,91.1
1180741,89.4,27.0,Type_B,72.3,99.9
1180742,80.7,34.0,Type_C,68.4,92.5
1180743,153.2,14.0,Type_A,76.0,122.6
1180744,84.4,14.0,Type_B,40.8,86.1
1180745,98.2,20.0,Type_A,53.4,72.5
1180746,66.6,58.0,Type_A,54.5,108.5
1180747,135.5,31.0,Type_A,64.8,88.1
1180748,127.5,40.0,Type_B,76.1,64.9
1180749,123.4,6.0,Type_A,59.6,87.9
1180750,80.6,33.0,Type_B,33.8,84.5
1180751,82.4,21.0,Type_C,70.7,77.2
1180752,61.1,34.0,Type_B,57.6,85.1
1180753,138.8,8.0,Type_A,80.4,78.6
1180754,91.3,45.0,Type_C,104.6,107.2
1180755,82.4,29.0,Type_C,81.1,101.5
1180756,68.1,11.0,Type_B,60.4,139.8
1180757,78.5,45.0,Type_B,93.8,65.3
1180758,57.7,38.0,Type_C,83.0,80.4
1180759,111.4,60.0,Type_C,83.4,113.0
1180760,79.0,48.0,Type_B,31.2,86.5
1180761,89.4,44.0,Type_B,99.8,138.7
1180762,118.2,53.0,Type_C,76.0,96.8
1180763,110.1,59.0,Type_C,68.0,105.3
1180764,88.7,55.0,Type_B,64.4,65.9
1180765,117.4,43.0,Type_B,58.3,81.3
1180766,113.1,11.0,Type_B,67.0,115.5
1180767,115.5,26.0,Type_C,100.0,109.4
1180768,85.5,15.0,Type_C,71.1,68.4
1180769,87.5,27.0,Type_A,52.8,61.7
1180770,120.2,32.0,Type_A,89.8,72.0
1180771,90.3,53.0,Type_C,103.6,105.4
1180772,81.8,24.0,Type_C,95.2,95.1
1180773,77.3,19.0,Type_C,93.1,140.3
1180774,81.8,56.0,Type_A,81.3,98.4
1180775,59.4,50.0,Type_C,55.6,74.2
1180776,72.7,22.0,Type_C,58.9,104.1
1180777,138.7,22.0,Type_B,92.4,95.2
1180778,144.2,8.0,Type_A,74.7,131.4
1180779,46.8,24.0,Type_A,91.3,137.3
1180780,122.1,4.0,Type_B,69.0,149.2
1180781,109.4,46.0,Type_C,79.4,112.7
1180782,74.1,41.0,Type_C,47.1,79.5
1180783,82.1,53.0,Type_A,65.3,108.8
1180784,66.2,41.0,Type_B,85.3,125.5
1180785,122.0,23.0,Type_B,75.1,108.9
1180786,94.1,43.0,Type_B,67.7,135.9
1180787,97.1,36.0,Type_A,88.6,126.7
1180788,154.6,49.0,Type_B,82.9,81.5
1180789,86.9,56.0,Type_C,47.7,104.9
1180790,111.6,43.0,Type_A,78.3,86.6
1180791,123.6,44.0,Type_C,31.3,98.3
1180792,95.3,31.0,Type_C,62.5,97.1
1180793,59.7,39.0,Type_A,86.3,77.3
1180794,107.1,12.0,Type_C,71.6,79.0
1180795,114.4,42.0,Type_C,48.7,146.5
1180796,89.6,55.0,Type_B,54.8,126.3
1180797,107.4,21.0,Type_C,47.9,118.1
1180798,106.9,5.0,Type_C,89.9,96.9
1180799,97.1,48.0,Type_A,115.9,120.9
1180800,85.0,18.0,Type_C,57.0,78.4
1180801,60.5,52.0,Type_C,41.0,120.2
1180802,94.0,50.0,Type_C,77.5,83.5
1180803,128.4,8.0,Type_B,76.8,55.7
1180804,80.5,45.0,Type_B,96.8,86.9
1180805,134.4,31.0,Type_B,34.2,57.1
1180806,68.9,11.0,Type_B,47.9,101.4
1180807,96.9,54.0,Type_C,60.2,118.7
1180808,95.1,6.0,Type_A,83.3,136.3
1180809,84.6,8.0,Type_A,30.1,74.6
1180810,79.1,38.0,Type_A,111.0,130.4
1180811,94.3,41.0,Type_B,116.6,61.9
1180812,47.0,48.0,Type_B,54.0,44.9
1180813,106.8,52.0,Type_B,94.7,108.6
1180814,106.2,40.0,Type_B,115.3,68.4
1180815,112.1,17.0,Type_B,43.4,112.2
1180816,117.5,15.0,Type_C,105.9,123.6
1180817,29.3,15.0,Type_B,73.2,94.8
1180818,73.1,6.0,Type_A,80.5,56.6
1180819,93.8,10.0,Type_A,109.3,93.8
1180820,105.3,24.0,Type_B,59.6,87.4
1180821,95.0,52.0,Type_B,74.0,129.3
1180822,90.4,49.0,Type_B,84.2,128.5
1180823,89.6,25.0,Type_B,118.5,81.5
1180824,55.8,59.0,Type_C,81.0,109.1
1180825,112.8,33.0,Type_A,44.5,115.4
1180826,95.0,47.0,Type_C,89.9,102.0
1180827,111.4,24.0,Type_C,137.0,90.1
1180828,133.5,17.0,Type_B,81.4,94.8
1180829,97.4,54.0,Type_B,82.0,82.4
1180830,95.9,37.0,Type_B,66.4,98.4
1180831,72.9,4.0,Type_A,81.1,120.8
1180832,128.6,32.0,Type_C,84.3,137.4
1180833,99.7,51.0,Type_C,70.3,142.6
1180834,156.6,41.0,Type_A,81.4,77.6
1180835,95.0,52.0,Type_A,47.5,139.5
1180836,92.6,46.0,Type_C,95.6,79.6
1180837,103.7,28.0,Type_A,103.3,115.1
1180838,90.1,51.0,Type_A,77.5,89.3
1180839,96.2,15.0,Type_A,52.9,124.5
1180840,132.2,39.0,Type_B,54.8,89.8
1180841,89.5,3.0,Type_A,92.6,145.9
1180842,131.4,44.0,Type_A,69.6,73.5
1180843,88.5,4.0,Type_B,90.6,85.2
1180844,120.6,45.0,Type_C,71.3,122.4
1180845,131.8,44.0,Type_B,58.6,103.9
1180846,93.4,17.0,Type_C,73.0,132.2
1180847,98.3,14.0,Type_B,80.6,109.9
1180848,144.1,52.0,Type_A,116.1,86.6
1180849,105.5,28.0,Type_C,45.0,109.7
1180850,145.7,7.0,Type_A,83.0,127.6
1180851,93.9,40.0,Type_B,96.1,73.7
1180852,,38.0,Type_A,74.2,117.3
1180853,90.1,57.0,Type_A,37.3,54.4
1180854,,10.0,Type_C,49.0,127.1
1180855,103.1,47.0,Type_A,84.9,100.4
1180856,99.4,7.0,Type_B,89.2,87.2
1180857,83.9,50.0,Type_C,81.4,117.1
1180858,71.7,13.0,Type_C,46.5,108.9
1180859,119.2,41.0,Type_B,84.0,82.6
1180860,79.9,25.0,Type_C,46.2,69.4
1180861,111.5,25.0,Type_C,76.6,98.3
1180862,101.9,42.0,Type_B,72.6,91.4
1180863,153.9,51.0,Type_C,38.5,76.4
1180864,99.4,7.0,Type_C,124.2,79.1
1180865,,5.0,Type_C,82.7,95.1
1180866,110.9,35.0,Type_A,71.2,170.3
1180867,96.3,45.0,Type_B,68.4,107.2
1180868,97.0,47.0,Type_A,93.0,140.2
1180869,77.1,21.0,Type_A,159.2,107.3
1180870,139.1,32.0,Type_B,97.1,65.3
1180871,108.0,37.0,Type_B,86.4,111.7
1180872,88.8,6.0,Type_B,67.9,118.4
1180873,93.4,9.0,Type_C,79.7,98.7
1180874,146.5,29.0,Type_A,95.4,93.7
1180875,107.2,14.0,Type_A,90.9,118.0
1180876,85.0,28.0,Type_A,67.7,94.1
1180877,119.9,23.0,Type_C,88.7,126.2
1180878,90.4,21.0,Type_C,98.8,108.1
1180879,,37.0,Type_B,73.6,104.0
1180880,71.1,29.0,Type_B,78.4,111.7
1180881,75.6,18.0,Type_A,78.8,112.1
1180882,46.0,29.0,Type_B,81.5,100.0
1180883,65.1,27.0,Type_C,61.1,78.9
1180884,142.2,18.0,Type_A,97.1,126.1
1180885,122.7,33.0,Type_B,114.4,106.0
1180886,93.7,37.0,Type_A,49.6,115.7
1180887,102.9,32.0,Type_A,69.1,82.6
1180888,143.3,27.0,Type_A,95.6,107.8
1180889,108.7,35.0,Type_C,61.0,112.6
1180890,152.8,27.0,Type_A,85.1,154.3
1180891,137.9,29.0,Type_C,65.1,111.2
1180892,93.9,37.0,Type_A,78.1,99.4
1180893,82.1,25.0,Type_B,68.3,85.9
1180894,101.1,37.0,Type_C,103.0,109.3
1180895,55.2,54.0,Type_A,76.7,116.1
1180896,85.9,11.0,Type_C,63.6,118.6
1180897,94.8,40.0,Type_C,84.9,110.2
1180898,111.8,47.0,Type_C,81.1,68.2
1180899,77.3,10.0,Type_A,70.9,96.5
1180900,125.5,15.0,Type_A,78.6,126.7
1180901,92.8,40.0,Type_A,34.7,67.2
1180902,131.2,38.0,Type_C,77.0,71.6
1180903,106.1,10.0,Type_C,96.9,82.3
1180904,143.0,16.0,Type_A,66.5,61.2
1180905,81.1,50.0,Type_C,49.2,65.4
1180906,101.2,52.0,Type_C,88.6,119.7
1180907,98.4,56.0,Type_B,70.7,93.2
1180908,90.5,50.0,Type_C,76.0,105.9
1180909,96.1,18.0,Type_A,61.4,112.0
1180910,81.6,35.0,Type_B,78.3,91.3
1180911,67.5,19.0,Type_C,85.0,117.0
1180912,58.1,54.0,Type_C,96.3,80.7
1180913,138.3,5.0,Type_A,64.4,128.9
1180914,117.9,47.0,Type_A,85.5,92.9
1180915,85.0,48.0,Type_C,80.4,104.6
1180916,136.9,52.0,Type_A,84.4,114.3
1180917,146.2,45.0,Type_C,68.3,159.7
1180918,135.6,55.0,Type_C,55.3,87.7
1180919,136.5,57.0,Type_C,61.5,94.8
1180920,67.5,18.0,Type_A,89.2,82.7
1180921,86.4,7.0,Type_A,122.5,139.9
1180922,77.2,13.0,Type_C,79.1,60.7
1180923,120.1,8.0,Type_A,71.0,94.3
1180924,111.6,24.0,Type_A,89.5,86.7
1180925,115.6,12.0,Type_C,51.2,103.2
1180926,138.6,45.0,Type_C,49.1,98.5
1180927,84.9,19.0,Type_A,90.6,61.3
1180928,80.6,22.0,Type_B,60.8,117.1
1180929,101.6,35.0,Type_C,54.8,106.8
1180930,110.9,11.0,Type_A,109.0,103.4
1180931,112.1,55.0,Type_B,74.8,101.2
1180932,151.0,29.0,Type_B,53.1,101.2
1180933,47.7,5.0,Type_A,91.9,106.1
1180934,105.7,11.0,Type_B,71.8,54.1
1180935,99.6,35.0,Type_B,71.2,45.4
1180936,125.9,14.0,Type_A,64.7,82.2
1180937,84.0,26.0,Type_A,94.6,145.6
1180938,69.2,10.0,Type_A,83.3,107.2
1180939,127.9,30.0,Type_C,87.8,105.6
1180940,112.6,33.0,Type_B,20.0,94.3
1180941,83.3,51.0,Type_C,67.0,141.5
1180942,118.8,17.0,Type_A,86.8,76.1
1180943,139.5,3.0,Type_A,70.7,70.1
1180944,117.0,39.0,Type_C,64.6,78.8
1180945,86.9,30.0,Type_A,132.5,89.1
1180946,117.3,42.0,Type_C,49.1,82.9
1180947,130.9,38.0,Type_B,70.2,91.5
1180948,90.9,49.0,Type_B,89.7,90.9
1180949,90.6,13.0,Type_A,90.1,104.3
1180950,76.2,23.0,Type_C,107.4,124.5
1180951,98.8,39.0,Type_A,75.1,105.2
1180952,70.2,60.0,Type_B,80.1,104.4
1180953,85.4,38.0,Type_A,74.6,115.2
1180954,34.8,38.0,Type_C,65.3,150.0
1180955,,13.0,Type_B,51.1,107.4
1180956,82.0,49.0,Type_A,52.1,59.8
1180957,124.5,30.0,Type_A,72.8,147.6
1180958,93.0,29.0,Type_A,79.1,107.3
1180959,66.6,9.0,Type_A,63.7,95.8
1180960,72.2,9.0,Type_B,70.3,122.3
1180961,124.3,39.0,Type_B,79.1,90.1
1180962,81.2,5.0,Type_B,80.5,83.3
1180963,124.8,33.0,Type_A,51.9,81.2
1180964,130.9,45.0,Type_B,75.5,102.9
1180965,118.2,12.0,Type_A,89.6,65.1
1180966,78.0,38.0,Type_A,62.6,61.3
1180967,133.1,17.0,Type_C,62.1,126.4
1180968,104.9,53.0,Type_C,100.9,95.3
1180969,110.1,35.0,Type_A,92.0,100.4
1180970,99.6,22.0,Type_A,20.0,89.6
1180971,97.4,21.0,Type_C,101.3,100.7
1180972,80.3,33.0,Type_A,49.5,119.5
1180973,124.9,19.0,Type_A,74.7,117.1
1180974,71.3,48.0,Type_B,97.9,121.7
1180975,,12.0,Type_B,107.6,81.3
1180976,74.3,11.0,Type_C,118.4,135.6
1180977,88.7,9.0,Type_B,114.7,39.4
1180978,74.1,18.0,Type_C,69.2,87.4
1180979,90.1,14.0,Type_B,96.3,101.3
1180980,90.4,12.0,Type_A,39.1,114.5
1180981,153.9,30.0,Type_C,54.0,123.7
1180982,89.8,4.0,Type_A,88.9,70.6
1180983,156.8,40.0,Type_C,117.9,87.7
1180984,106.1,12.0,Type_B,94.2,97.3
1180985,150.7,57.0,Type_C,75.9,80.8
1180986,77.6,59.0,Type_C,87.5,97.2
1180987,75.5,34.0,Type_B,114.6,83.5
1180988,46.0,20.0,Type_A,60.0,108.8
1180989,97.8,33.0,Type_B,64.6,108.3
1180990,107.8,10.0,Type_B,71.4,118.9
1180991,67.1,26.0,Type_A,71.2,94.8
1180992,105.1,38.0,Type_C,77.8,180.1
1180993,86.9,13.0,Type_C,92.5,56.1
1180994,106.2,48.0,Type_C,125.0,99.4
1180995,99.1,39.0,Type_C,85.5,102.4
1180996,113.3,40.0,Type_A,80.8,106.9
1180997,99.7,60.0,Type_B,85.3,110.9
1180998,119.3,28.0,Type_A,94.0,87.3
1180999,103.8,23.0,Type_B,72.1,112.1
1181000,131.9,31.0,Type_B,106.2,69.6
