BuildingID,SquareFootage,HVAC_Age,BuildingType,EnergyConsumption_kWh,EnergyRating
730713,8319,4,Industrial,6965.7,C
730714,5692,11,Commercial,3192.1,C
730715,31447,19,Residential,7649.1,C
730716,5901,16,Industrial,8803.1,C
730717,7887,4,Commercial,3470.5,C
730718,5152,18,Commercial,3885.8,C
730719,25154,14,Residential,5307.3,C
730720,34918,12,Residential,5772.9,C
730721,24119,8,Residential,4480.2,C
730722,5179,3,Commercial,2319.0,C
730723,12938,19,Residential,5479.9,C
730724,17283,6,Commercial,3710.5,C
730725,20548,19,Residential,5926.0,C
730726,5268,12,Residential,4111.7,C
730727,28970,20,Commercial,5794.9,C
730728,3815,10,Industrial,7421.6,C
730729,23560,10,Industrial,8880.1,C
730730,7974,11,Commercial,3596.0,C
730731,1539,20,Residential,5156.2,C
730732,11973,23,Commercial,6358.2,C
730733,14296,13,Residential,4462.8,C
730734,30450,11,Commercial,6094.4,C
730735,6891,4,Residential,2399.8,C
730736,33824,6,Commercial,4671.1,C
730737,14477,15,Commercial,5325.7,C
730738,3963,12,Residential,2269.8,C
730739,4478,15,Commercial,4016.2,C
730740,17121,19,Residential,5252.0,C
730741,24729,13,Residential,5063.6,C
730742,8312,15,Residential,3905.4,C
730743,34579,13,Residential,6186.7,C
730744,22918,18,Commercial,5630.2,C
730745,12514,6,Industrial,6766.3,C
730746,11190,10,Industrial,7846.6,C
730747,34511,7,Commercial,4269.9,C
730748,22407,24,Commercial,6970.8,C
730749,18802,23,Industrial,11210.5,C
730750,14190,14,Commercial,5280.6,C
730751,25030,16,Residential,6124.3,C
730752,27414,9,Residential,5432.9,C
730753,31807,22,Residential,8252.8,C
730754,6397,23,Commercial,6125.6,C
730755,30057,16,Industrial,10044.7,C
730756,22045,24,Commercial,6879.8,C
730757,30702,23,Residential,7126.7,C
730758,15493,18,Commercial,4941.9,C
730759,29704,18,Residential,6856.7,C
730760,26048,3,Residential,2917.3,C
730761,19202,1,Industrial,6531.8,C
730762,29530,3,Commercial,4637.8,C
730763,25868,14,Residential,5492.9,C
730764,22766,9,Commercial,4370.2,C
730765,30731,17,Industrial,10085.2,C
730766,22041,14,Residential,6057.6,C
730767,19386,10,Residential,3833.6,C
730768,33416,2,Residential,4330.3,C
730769,23122,9,Commercial,5275.3,C
730770,25266,17,Residential,5757.8,C
730771,21487,4,Commercial,3543.2,C
730772,28706,11,Commercial,4681.4,C
730773,20789,8,Residential,2795.7,C
730774,3677,7,Residential,2552.6,C
730775,29592,21,Commercial,7755.8,C
730776,7517,17,Commercial,4835.4,C
730777,12008,13,Commercial,4423.0,C
730778,14942,21,Commercial,5549.8,C
730779,23349,10,Residential,4588.0,C
730780,13843,5,Commercial,3106.5,C
730781,31005,6,Residential,3895.2,C
730782,26314,11,Commercial,4562.6,C
730783,6571,20,Commercial,4356.8,C
730784,11206,10,Residential,4068.7,C
730785,6046,3,Residential,2337.9,C
730786,12217,5,Residential,2476.8,C
730787,31259,6,Residential,4057.6,C
730788,31528,16,Industrial,10347.5,C
730789,15599,21,Commercial,5605.4,C
730790,6547,22,Residential,6338.0,C
730791,26061,13,Commercial,4749.3,C
730792,6458,10,Residential,3938.3,C
730793,16745,4,Industrial,6120.3,C
730794,26529,11,Residential,4433.3,C
730795,34727,21,Commercial,7661.7,C
730796,26848,9,Residential,5070.5,C
730797,29952,24,Industrial,11821.9,C
730798,1858,1,Commercial,1284.1,C
730799,32361,15,Industrial,10501.0,C
730800,8574,18,Residential,4469.0,C
730801,18801,9,Commercial,4898.5,C
730802,17049,21,Residential,6572.1,C
730803,1897,14,Commercial,3949.4,C
730804,11950,1,Residential,1729.8,C
730805,11168,12,Commercial,3805.6,C
730806,33098,10,Commercial,5569.4,C
730807,7337,21,Residential,5111.3,C
730808,8191,20,Commercial,5811.7,C
730809,16883,4,Residential,2798.4,C
730810,14949,6,Residential,3145.7,C
730811,23948,13,Residential,5693.4,C
730812,24561,20,Residential,7106.0,C
730813,4458,16,Commercial,3969.3,C
730814,34511,2,Commercial,4517.2,C
730815,25097,18,Residential,6170.9,C
730816,14313,23,Residential,6115.0,C
730817,30826,13,Residential,5686.8,C
730818,18464,19,Residential,6049.9,C
730819,5276,9,Commercial,2446.6,C
730820,30709,6,Commercial,3933.9,C
730821,8677,9,Residential,2736.2,C
730822,30285,17,Commercial,6400.3,C
730823,33714,15,Residential,6146.0,C
730824,26423,12,Commercial,5496.4,C
730825,9020,9,Commercial,3160.5,C
730826,11906,19,Commercial,,C
730827,15569,16,Residential,5022.7,C
730828,11961,16,Residential,4886.7,C
730829,29464,19,Commercial,6945.1,C
730830,32335,19,Commercial,6482.7,C
730831,31694,20,Residential,6690.1,C
730832,34100,2,Commercial,3238.9,B
730833,32941,5,Residential,3968.9,C
730834,8372,15,Residential,4064.8,C
730835,3192,19,Residential,5511.8,C
730836,5757,5,Commercial,2514.5,C
730837,8965,8,Residential,2528.1,C
730838,25262,1,Commercial,3612.7,C
730839,22450,1,Commercial,2044.9,B
730840,32904,1,Residential,3238.9,B
730841,16604,8,Commercial,4314.4,C
730842,31195,14,Residential,6119.1,C
730843,33586,16,Commercial,5980.8,C
730844,23279,21,Residential,6927.7,C
730845,6340,20,Residential,5290.1,C
730846,8359,12,Residential,3981.0,C
730847,21195,5,Commercial,3549.6,C
730848,12624,15,Commercial,4977.6,C
730849,3992,11,Residential,4001.8,C
730850,12155,21,Commercial,6858.4,C
730851,16452,1,Residential,3777.7,C
730852,34255,14,Residential,6355.4,C
730853,29819,6,Residential,4321.2,C
730854,28856,9,Residential,3750.4,C
730855,5891,3,Commercial,2599.8,C
730856,32300,21,Residential,7495.6,C
730857,29941,8,Commercial,5043.0,C
730858,4390,12,Residential,4008.3,C
730859,4652,2,Residential,2037.7,C
730860,29256,6,Industrial,8619.8,C
730861,14551,21,Residential,5519.0,C
730862,14209,4,Industrial,7079.3,C
730863,33693,8,Residential,5497.3,C
730864,1765,6,Residential,2702.8,C
730865,27070,1,Commercial,3091.7,C
730866,15345,10,Industrial,8565.1,C
730867,10244,11,Commercial,4375.5,C
730868,2471,23,Residential,4639.9,C
730869,3678,7,Residential,2739.9,C
730870,31828,23,Commercial,7745.8,C
730871,16399,14,Residential,4511.1,C
730872,2763,23,Commercial,5991.2,C
730873,24299,22,Residential,7694.3,C
730874,15422,16,Residential,4091.2,C
730875,14443,5,Commercial,3065.7,C
730876,29834,9,Commercial,5351.8,C
730877,14406,5,Residential,3378.1,C
730878,25130,15,Commercial,6515.8,C
730879,1376,6,Commercial,3171.8,C
730880,8058,15,Commercial,4058.5,C
730881,5316,10,Residential,2817.4,C
730882,29600,22,Commercial,7306.5,C
730883,34721,12,Commercial,6309.9,C
730884,16679,17,Residential,4927.2,C
730885,18612,1,Residential,2886.0,C
730886,26756,15,Commercial,6203.1,C
730887,23325,10,Commercial,3738.6,C
730888,8248,5,Residential,2705.1,C
730889,1215,20,Commercial,4675.0,C
730890,8312,2,Residential,1666.6,C
730891,6077,4,Residential,2094.5,C
730892,4684,22,Commercial,4782.1,C
730893,16499,5,Residential,3070.8,C
730894,10986,16,Residential,5010.3,C
730895,3438,12,Residential,2936.5,C
730896,17888,14,Commercial,4561.2,C
730897,22603,3,Industrial,7534.5,C
730898,30307,7,Residential,4101.0,C
730899,22860,15,Commercial,5763.5,C
730900,26908,23,Residential,6797.9,C
730901,19475,14,Commercial,4737.5,C
730902,33914,9,Commercial,5405.0,C
730903,23942,19,Commercial,6756.7,C
730904,25493,10,Residential,3938.6,C
730905,22907,11,Residential,5527.7,C
730906,27482,15,Residential,6355.6,C
730907,11386,4,Residential,2363.2,C
730908,22889,23,Residential,7503.6,C
730909,15588,4,Commercial,3306.7,C
730910,30304,21,Industrial,10078.1,C
730911,33210,17,Residential,7306.0,C
730912,22565,15,Residential,5898.5,C
730913,28452,2,Commercial,4293.2,C
730914,24421,12,Commercial,5270.1,C
730915,6912,14,Residential,3924.2,C
730916,9629,18,Residential,5137.6,C
730917,11485,24,Residential,5363.2,C
730918,21721,2,Industrial,6996.1,C
730919,20922,14,Commercial,4919.3,C
730920,18126,1,Industrial,6776.2,C
730921,34249,10,Commercial,5468.6,C
730922,25615,5,Commercial,4581.6,C
730923,10072,18,Commercial,5010.8,C
730924,34549,11,Commercial,6283.6,C
730925,18222,14,Industrial,8322.6,C
730926,19397,13,Residential,5713.7,C
730927,14705,15,Commercial,5889.3,C
730928,20445,21,Commercial,6506.8,C
730929,16365,11,Residential,3824.5,C
730930,26521,2,Residential,4737.4,C
730931,34166,4,Residential,4042.3,C
730932,15923,13,Industrial,8559.1,C
730933,27303,19,Residential,7862.2,C
730934,24471,13,Commercial,4425.8,C
730935,6270,13,Commercial,5136.9,C
730936,29652,18,Residential,7103.5,C
730937,11600,7,Residential,1958.0,C
730938,19123,15,Commercial,5160.6,C
730939,7057,12,Commercial,3340.9,C
730940,5292,23,Residential,,C
730941,10394,13,Commercial,4664.3,C
730942,22969,18,Residential,7012.6,C
730943,15181,18,Residential,6376.5,C
730944,10461,9,Commercial,2889.2,C
730945,33859,1,Commercial,3368.4,B
730946,22435,4,Residential,2906.6,C
730947,19079,4,Residential,3560.7,C
730948,15536,6,Commercial,3756.8,C
730949,7967,16,Commercial,4663.5,C
730950,4446,10,Commercial,2509.0,C
730951,12394,7,Residential,3453.8,C
730952,8665,11,Industrial,8427.8,C
730953,3963,13,Residential,3515.8,C
730954,7659,19,Commercial,,C
730955,5618,16,Residential,5058.3,C
730956,25187,13,Residential,5486.6,C
730957,25034,7,Residential,4050.3,C
730958,29982,2,Residential,3860.9,C
730959,11237,13,Residential,3372.6,C
730960,20362,19,Residential,6908.4,C
730961,23907,8,Residential,4359.3,C
730962,8003,21,Commercial,6098.9,C
730963,6846,3,Residential,1945.2,C
730964,25866,20,Commercial,6426.4,C
730965,34379,15,Commercial,6698.9,C
730966,33899,1,Residential,3802.2,C
730967,29247,18,Commercial,7298.5,C
730968,17153,23,Residential,7228.3,C
730969,28047,7,Residential,5402.6,C
730970,34718,23,Commercial,7074.8,C
730971,31228,21,Residential,7379.7,C
730972,14025,5,Residential,2868.1,C
730973,6271,3,Residential,2207.0,C
730974,33573,18,Industrial,10960.8,C
730975,28153,13,Commercial,5138.1,C
730976,5073,24,Residential,4762.8,C
730977,10191,24,Residential,6012.4,C
730978,14561,14,Industrial,8799.8,C
730979,25990,22,Industrial,10755.8,C
730980,30731,9,Residential,5363.9,C
730981,17815,22,Industrial,10684.0,C
730982,24014,24,Industrial,11432.1,C
730983,29966,3,Residential,4746.8,C
730984,14455,18,Residential,5491.1,C
730985,26459,2,Residential,3081.9,C
730986,18185,12,Commercial,3760.0,C
730987,8358,15,Residential,3680.7,C
730988,24091,14,Industrial,9834.7,C
730989,29838,16,Residential,6776.0,C
730990,12071,6,Residential,3669.8,C
730991,16023,7,Residential,3566.7,C
730992,9673,23,Commercial,6886.0,C
730993,12775,7,Residential,2630.3,C
730994,21067,11,Residential,4075.5,C
730995,20143,12,Commercial,4961.3,C
730996,16156,20,Residential,5485.8,C
730997,33087,4,Industrial,8386.6,C
730998,28460,4,Residential,4174.0,C
730999,17262,5,Residential,3546.9,C
731000,24102,23,Residential,7892.4,C
