StudentID,StudyHours,AttendanceRate,SleepHours,ParentalSupport,FinalGrade
620628,16.5,99.0,6.5,Low,77.7
620629,15.2,74.6,8.7,Medium,70.8
620630,2.6,80.0,5.0,High,63.3
620631,25.2,85.4,6.6,Medium,91.4
620632,19.1,97.5,7.4,Medium,86.0
620633,30.2,91.4,9.0,Medium,94.0
620634,31.1,92.7,7.4,High,100.0
620635,25.9,73.6,4.5,Medium,81.8
620636,27.3,79.4,6.7,Medium,83.0
620637,11.7,86.4,8.8,Medium,70.9
620638,20.4,85.5,8.9,Medium,83.0
620639,6.2,78.3,7.8,Medium,63.2
620640,22.1,79.0,5.5,Medium,78.8
620641,32.5,95.2,6.7,High,100.0
620642,15.8,82.9,9.3,Low,68.0
620643,32.3,97.6,9.2,High,100.0
620644,4.5,77.2,9.3,Medium,68.1
620645,17.2,76.3,5.1,Medium,78.5
620646,8.3,86.9,6.8,Medium,75.0
620647,9.5,78.1,5.8,Low,64.0
620648,13.0,88.8,5.6,Low,75.4
620649,25.4,83.5,6.5,Medium,80.4
620650,2.5,78.1,9.4,High,63.1
620651,2.9,,7.8,High,72.6
620652,21.1,93.1,8.3,Medium,81.2
620653,20.5,78.4,8.2,Medium,73.8
620654,11.1,73.0,9.1,High,75.5
620655,20.9,89.9,8.1,Low,81.9
620656,15.5,99.8,6.2,Low,76.1
620657,28.6,76.6,8.1,Medium,87.1
620658,31.9,71.1,8.1,High,91.2
620659,17.5,93.1,5.8,Low,78.4
620660,34.7,75.0,5.9,Medium,89.3
620661,7.2,82.7,6.3,Medium,64.7
620662,25.8,99.1,6.6,High,100.0
620663,24.4,91.4,6.1,Medium,85.0
620664,9.7,87.8,9.3,Medium,67.1
620665,19.7,99.1,6.2,Medium,89.9
620666,11.6,77.6,8.5,Low,63.3
620667,27.0,73.0,4.7,High,82.9
620668,7.1,93.2,7.9,Low,68.4
620669,17.5,99.6,6.1,Medium,87.5
620670,2.9,87.1,7.6,High,65.3
620671,20.7,91.8,4.9,Medium,86.9
620672,5.6,88.8,8.2,High,70.7
620673,3.0,84.6,4.8,Medium,63.4
620674,34.2,89.6,9.1,High,100.0
620675,17.7,92.2,6.2,Medium,78.0
620676,32.3,76.2,6.1,Medium,91.1
620677,26.7,78.0,4.6,Medium,87.1
620678,13.0,87.1,7.4,High,83.7
620679,22.6,86.5,6.1,Medium,84.5
620680,16.0,88.2,4.7,Medium,76.5
620681,16.4,72.4,7.8,Medium,69.1
620682,4.3,99.8,5.2,High,76.6
620683,30.8,89.2,7.7,Low,92.3
620684,14.4,98.2,6.4,High,86.0
620685,2.7,82.0,8.9,Medium,61.6
620686,18.7,87.6,6.3,Medium,74.4
620687,18.7,83.2,7.4,Medium,79.9
620688,28.5,85.9,6.8,High,100.0
620689,11.7,81.7,8.8,Medium,71.1
620690,12.3,99.3,5.8,Low,73.6
620691,2.5,83.5,5.5,Medium,62.7
620692,29.1,96.6,7.8,Medium,91.6
620693,11.9,75.8,5.4,High,72.6
620694,32.7,99.6,5.3,High,100.0
620695,33.2,86.2,7.4,High,100.0
620696,33.5,94.4,8.6,Medium,100.0
620697,32.4,76.2,4.6,Medium,89.0
620698,30.8,76.6,6.7,High,93.7
620699,9.4,93.1,7.6,Low,72.6
620700,32.1,80.3,6.9,Medium,89.2
620701,34.2,80.0,7.4,Medium,96.4
620702,30.5,70.2,9.5,Low,86.7
620703,34.2,80.6,6.8,Medium,92.6
620704,11.7,80.3,7.3,Medium,72.0
620705,17.4,84.4,9.1,Medium,77.4
620706,34.0,90.9,7.2,Medium,99.1
620707,20.1,95.8,4.7,Medium,90.6
620708,7.4,78.1,8.5,Low,62.5
620709,31.4,85.8,6.1,High,97.6
620710,19.3,95.3,7.4,High,87.0
620711,27.7,91.6,6.3,High,94.8
620712,11.1,97.1,5.1,High,81.5
620713,25.8,81.0,7.0,Medium,87.3
620714,5.3,89.7,8.2,Medium,64.0
620715,14.1,71.4,6.4,High,72.1
620716,23.7,78.7,6.6,Low,72.7
620717,13.0,97.4,8.2,Low,74.1
620718,28.3,80.6,5.5,High,91.4
620719,9.7,90.9,5.6,High,76.2
620720,14.5,76.4,4.6,High,75.5
620721,18.5,75.7,5.5,Medium,75.2
620722,17.8,93.4,5.5,Medium,80.6
620723,21.0,77.1,4.6,Medium,73.3
620724,15.9,81.7,4.7,Low,71.3
620725,7.7,86.2,5.8,Low,64.9
620726,28.5,90.9,6.2,High,100.0
620727,4.3,83.1,9.2,Medium,59.1
620728,15.4,95.5,7.0,Medium,82.3
620729,34.1,95.2,4.6,High,100.0
620730,25.4,86.3,7.7,High,99.8
620731,19.8,71.3,6.8,Medium,72.2
620732,25.7,73.7,7.1,Medium,83.4
620733,32.7,86.3,8.6,Low,92.9
620734,23.8,93.8,4.9,High,97.6
620735,26.9,99.9,9.2,Medium,97.0
620736,26.6,97.3,4.9,Medium,93.9
620737,3.9,75.9,5.4,Medium,58.3
620738,12.9,,6.4,Low,74.7
620739,23.6,82.6,8.4,Medium,80.6
620740,21.3,92.8,8.6,Low,80.6
620741,16.6,92.2,5.8,Low,72.5
620742,23.2,74.3,7.4,High,85.0
620743,16.0,84.8,5.4,Medium,79.5
620744,12.6,,8.3,Medium,69.6
620745,2.4,71.6,5.1,Medium,59.8
620746,14.0,92.0,5.6,Low,74.0
620747,29.4,70.2,6.0,Low,82.4
620748,12.2,80.7,6.2,Low,65.4
620749,5.6,74.0,5.8,Medium,58.4
620750,22.5,72.8,6.8,High,86.1
620751,21.0,96.7,5.3,High,90.7
620752,13.5,72.7,7.9,Low,61.9
620753,21.8,93.5,6.0,Medium,88.4
620754,13.4,72.7,9.2,High,75.7
620755,2.7,79.0,6.1,High,65.7
620756,9.2,92.7,7.6,High,73.0
620757,25.4,89.0,4.9,High,87.2
620758,16.4,80.2,7.8,Medium,75.5
620759,31.8,73.4,6.3,Medium,89.7
620760,17.1,76.3,4.9,Low,69.9
620761,15.5,95.7,7.0,Medium,82.5
620762,19.3,79.4,8.4,Medium,77.1
620763,14.2,92.3,9.0,Low,75.6
620764,13.2,72.3,5.7,Low,67.2
620765,13.2,90.6,8.2,Low,77.1
620766,21.7,98.0,6.9,High,91.4
620767,27.0,82.3,9.3,Low,86.9
620768,22.8,90.5,8.3,High,85.5
620769,31.7,81.4,7.8,Medium,93.8
620770,13.9,71.5,8.6,Low,67.2
620771,22.6,85.4,7.9,Low,83.9
620772,5.5,71.8,5.5,Medium,58.4
620773,22.9,72.9,5.0,Medium,82.9
620774,12.8,76.2,6.7,High,74.9
620775,34.6,74.9,7.7,Medium,90.5
620776,30.1,99.8,6.6,High,98.6
620777,25.9,75.6,7.1,Medium,82.6
620778,9.7,97.8,7.4,High,78.1
620779,28.3,91.5,7.8,High,94.4
620780,2.4,93.9,8.3,High,68.0
620781,24.8,97.3,5.0,Medium,89.1
620782,12.1,90.0,7.9,Medium,82.9
620783,29.6,86.5,6.5,Low,90.0
620784,13.1,97.4,7.6,Medium,75.8
620785,17.3,97.0,7.8,Medium,83.6
620786,33.8,88.8,5.3,High,100.0
620787,29.6,90.1,9.0,Low,93.7
620788,14.2,84.7,6.7,High,78.6
620789,20.1,95.0,8.3,Medium,88.2
620790,16.8,73.7,5.2,Medium,68.5
620791,24.0,74.5,5.9,High,90.8
620792,20.6,99.0,9.1,Medium,89.2
620793,17.2,94.6,7.6,High,85.8
620794,27.3,78.0,7.8,Medium,91.5
620795,32.5,86.7,8.8,High,100.0
620796,30.7,78.9,7.7,Medium,90.2
620797,5.9,83.7,9.0,High,73.4
620798,34.6,92.1,8.6,Medium,96.4
620799,4.2,73.6,5.8,Medium,59.2
620800,5.5,99.6,4.5,Low,67.0
620801,25.4,72.8,5.0,High,91.0
620802,9.7,80.9,6.7,Medium,67.6
620803,22.4,78.1,8.8,High,82.5
620804,2.3,98.3,5.0,Medium,71.0
620805,12.4,92.2,8.7,Medium,75.7
620806,7.0,98.4,6.8,Medium,72.8
620807,24.1,81.8,4.5,Low,82.0
620808,3.9,86.6,5.9,High,65.6
620809,8.2,87.6,5.0,Medium,72.0
620810,30.8,77.4,8.1,High,93.1
620811,24.5,72.3,7.5,High,84.7
620812,22.6,88.4,5.2,High,84.1
620813,25.1,84.6,9.0,Low,83.5
620814,13.5,99.7,7.5,Medium,79.4
620815,33.7,86.2,6.1,Medium,96.9
620816,9.0,98.0,6.1,Medium,73.2
620817,3.3,80.3,6.5,High,69.4
620818,31.8,97.7,7.2,Medium,99.3
620819,5.8,99.4,5.4,High,73.9
620820,2.9,93.1,6.2,Medium,64.7
620821,7.8,88.7,5.7,High,77.0
620822,28.5,92.2,5.4,Low,86.6
620823,30.6,74.4,5.4,Low,84.7
620824,18.1,94.2,8.4,High,82.5
620825,10.0,71.2,8.3,Medium,63.4
620826,30.9,95.9,5.0,Low,95.9
620827,25.8,96.0,6.9,High,97.1
620828,33.4,86.9,4.9,High,99.9
620829,32.9,77.9,8.0,Medium,87.8
620830,30.7,72.0,5.4,Medium,90.1
620831,4.2,84.8,8.7,Low,56.9
620832,12.4,83.0,7.2,Medium,70.4
620833,25.8,92.8,7.6,High,94.4
620834,13.8,79.5,7.6,Low,63.2
620835,3.5,86.4,7.4,Medium,67.0
620836,11.7,97.8,7.6,Low,74.3
620837,3.9,95.7,9.3,Medium,70.1
620838,25.7,73.6,9.2,High,87.3
620839,8.4,92.9,8.3,Low,67.8
620840,6.9,78.7,6.9,Medium,62.9
620841,25.4,84.2,4.6,High,92.1
620842,20.7,70.7,4.9,Medium,79.0
620843,31.3,91.8,8.9,Medium,96.0
620844,29.3,95.7,5.7,Medium,95.7
620845,11.6,76.8,6.9,Medium,67.8
620846,5.7,75.2,6.8,Low,60.0
620847,32.2,85.9,9.3,Medium,100.0
620848,20.3,74.4,4.9,Medium,79.5
620849,15.3,76.1,5.3,Medium,70.8
620850,33.3,83.7,6.0,Medium,91.8
620851,23.2,77.2,8.2,Medium,79.4
620852,9.7,89.7,9.3,High,78.7
620853,12.8,95.3,5.9,Medium,80.3
620854,32.9,80.3,7.1,Medium,96.5
620855,25.1,99.7,5.8,High,100.0
620856,28.3,89.3,5.7,High,98.0
620857,34.5,71.2,6.1,Medium,90.5
620858,26.4,80.1,5.0,Medium,88.2
620859,27.8,87.1,9.1,High,96.5
620860,25.2,96.9,6.8,Medium,96.2
620861,20.7,83.8,5.6,Medium,83.0
620862,14.4,78.6,8.8,Medium,74.8
620863,15.4,83.3,7.4,High,79.7
620864,3.0,87.6,5.1,Medium,64.5
620865,22.0,74.5,9.1,High,81.2
620866,10.5,71.8,8.9,Low,61.0
620867,27.8,74.2,5.2,Medium,91.1
620868,9.0,97.3,9.0,High,74.3
620869,12.0,99.7,5.4,Medium,78.6
620870,7.6,75.8,9.2,Medium,65.4
620871,10.5,88.9,8.6,Medium,78.1
620872,20.3,97.4,7.6,High,99.1
620873,24.8,81.5,5.7,Low,89.6
620874,6.9,77.1,9.4,Medium,62.8
620875,24.7,91.4,7.9,Medium,89.2
620876,24.3,83.9,7.3,Low,82.6
620877,26.1,71.5,5.4,Medium,79.0
620878,18.5,84.3,8.5,High,91.8
620879,10.0,92.7,7.7,Medium,78.0
620880,3.0,95.7,6.0,Medium,62.6
620881,20.3,72.6,7.9,Low,77.6
620882,22.9,92.4,8.9,Medium,83.6
620883,4.1,75.7,7.5,Medium,57.9
620884,8.1,82.5,5.3,Medium,62.7
620885,12.1,80.8,5.9,Low,63.2
620886,19.8,92.9,4.7,Medium,87.4
620887,23.8,71.5,8.6,Medium,75.5
620888,23.8,80.8,6.6,Medium,82.9
620889,5.8,78.8,5.5,High,71.6
620890,10.5,80.2,7.3,Medium,71.1
620891,14.2,80.2,8.7,Medium,73.0
620892,27.1,85.5,6.0,High,91.7
620893,23.8,81.4,6.1,Medium,82.5
620894,22.8,76.0,5.3,Low,73.0
620895,19.5,92.3,7.8,Medium,84.5
620896,8.1,89.0,7.8,Low,61.9
620897,32.2,74.8,5.3,Medium,90.2
620898,24.4,91.8,5.9,High,100.0
620899,27.4,74.7,8.7,Medium,87.6
620900,25.5,90.0,9.4,Medium,89.8
620901,7.4,92.6,4.7,Medium,66.3
620902,16.8,98.7,8.8,Medium,89.5
620903,6.5,74.5,5.7,Low,61.7
620904,32.9,82.5,8.8,Medium,100.0
620905,25.0,86.6,8.4,High,94.5
620906,11.0,73.3,8.0,Medium,68.5
620907,32.2,70.5,5.3,Medium,86.9
620908,9.4,70.1,8.3,High,68.9
620909,3.3,95.7,9.5,Low,68.6
620910,14.9,93.0,6.5,Medium,82.5
620911,34.2,72.4,5.1,High,94.8
620912,19.9,75.1,5.3,High,88.9
620913,29.5,91.2,6.0,Low,92.6
620914,9.5,73.4,4.8,Medium,70.4
620915,5.7,82.5,5.0,High,64.8
620916,23.0,74.9,5.7,Medium,81.3
620917,31.8,82.4,4.9,Medium,92.8
620918,4.4,94.1,4.6,Medium,69.6
620919,3.5,75.8,8.6,Medium,55.3
620920,29.1,80.4,8.8,High,94.7
620921,11.6,84.6,8.7,Medium,68.0
620922,3.0,91.8,6.1,Medium,64.1
620923,27.0,78.3,6.0,Medium,88.4
620924,19.9,82.4,5.1,High,81.3
620925,24.3,79.7,7.0,Medium,82.2
620926,4.9,95.8,8.7,High,76.8
620927,12.8,85.5,6.7,Low,71.7
620928,33.5,77.6,4.8,Medium,90.4
620929,6.4,92.0,6.4,High,73.5
620930,13.5,98.7,4.7,Medium,87.6
620931,12.9,93.9,8.0,High,82.8
620932,9.2,95.4,4.6,Medium,68.9
620933,4.7,99.8,9.4,High,76.4
620934,18.0,77.8,6.0,Low,73.3
620935,8.8,86.0,9.1,Medium,67.4
620936,34.4,84.0,4.6,Medium,96.5
620937,26.2,71.2,6.3,Low,77.6
620938,32.9,95.9,5.9,Low,97.8
620939,17.4,84.6,4.6,High,82.1
620940,14.2,87.3,5.3,Medium,76.3
620941,30.6,76.2,5.6,High,94.1
620942,5.3,94.1,9.3,Low,64.4
620943,13.5,85.7,4.5,Medium,72.0
620944,34.5,92.1,5.4,Medium,99.0
620945,13.4,70.6,5.3,High,74.1
620946,11.9,84.4,4.5,Low,70.9
620947,20.5,80.2,8.2,Medium,82.3
620948,11.4,96.1,8.0,High,80.6
620949,8.3,92.6,8.3,High,72.5
620950,6.5,77.4,8.5,Medium,65.5
620951,8.2,81.8,6.6,Medium,66.0
620952,20.1,85.5,5.2,Medium,81.5
620953,21.8,89.7,5.2,Medium,85.1
620954,4.7,92.9,9.0,High,76.6
620955,28.5,80.4,9.1,Low,81.5
620956,8.9,91.4,6.1,Medium,70.0
620957,26.3,82.8,5.0,Low,84.7
620958,27.9,89.3,8.8,Medium,92.2
620959,18.1,95.2,8.1,Low,85.6
620960,34.2,88.2,8.2,High,100.0
620961,25.2,90.2,7.0,High,95.0
620962,25.5,77.7,6.9,Medium,79.6
620963,17.5,72.0,8.6,High,78.9
620964,4.9,92.5,5.5,High,71.2
620965,10.6,94.7,4.8,Medium,75.2
620966,7.1,88.6,6.3,High,79.4
620967,28.5,98.5,8.2,Medium,96.5
620968,21.5,77.2,7.2,Medium,83.6
620969,5.9,90.7,7.6,Low,64.6
620970,8.7,84.1,6.2,High,72.8
620971,24.2,76.3,5.4,Medium,85.4
620972,24.8,81.3,5.2,Medium,78.5
620973,18.3,73.9,5.2,Medium,76.5
620974,7.2,73.3,6.4,Low,57.8
620975,3.4,72.6,8.9,Low,54.3
620976,32.9,74.1,5.8,Low,89.3
620977,20.2,84.8,5.8,High,91.8
620978,16.3,76.1,8.4,Medium,66.7
620979,28.0,87.6,8.4,Medium,91.3
620980,18.2,85.3,9.3,Low,77.4
620981,17.5,79.3,7.2,High,78.8
620982,17.0,79.7,9.2,Medium,75.3
620983,25.9,72.7,8.5,Low,86.6
620984,33.8,76.8,4.7,High,99.1
620985,15.5,89.5,6.0,Medium,76.2
620986,14.6,85.1,8.3,Low,71.1
620987,23.0,95.5,8.9,Low,87.5
620988,19.4,96.8,7.3,Medium,89.9
620989,15.6,70.0,8.3,Medium,74.2
620990,7.0,78.2,8.9,Low,60.2
620991,4.0,91.8,8.0,High,74.1
620992,19.2,82.6,6.0,Low,72.6
620993,2.0,71.1,7.9,Medium,57.4
620994,23.7,76.5,5.2,Low,79.1
620995,19.7,82.7,4.7,Medium,83.6
620996,18.4,71.3,9.0,High,80.1
620997,14.8,87.4,5.8,Medium,74.4
620998,20.3,75.2,7.9,Low,82.2
620999,17.5,73.3,8.4,Low,72.2
621000,18.1,71.4,7.0,Medium,73.6
