ID,Age,CreditScore,DebtToIncome_Ratio,CardCount,DefaultHistory
700890,27,583,33.62,1,Yes
700891,65,718,26.33,5,No
700892,38,610,46.69,6,Yes
700893,59,666,51.06,2,Yes
700894,27,551,16.17,5,No
700895,30,644,58.01,2,Yes
700896,38,606,44.84,5,No
700897,23,513,9.23,1,No
700898,44,594,39.26,6,Yes
700899,31,536,42.98,2,Yes
700900,71,670,11.18,2,No
700901,76,625,52.63,6,Yes
700902,22,564,57.24,4,No
700903,58,651,12.63,7,No
700904,35,597,57.2,5,Yes
700905,47,599,41.81,2,Yes
700906,60,652,16.07,4,No
700907,59,628,25.34,4,Yes
700908,54,606,64.92,5,No
700909,58,592,31.46,7,Yes
700910,29,577,64.13,5,Yes
700911,41,543,27.43,7,Yes
700912,54,634,63.15,7,Yes
700913,28,575,42.8,6,Yes
700914,25,570,61.61,5,Yes
700915,28,565,6.21,2,No
700916,27,562,53.92,4,Yes
700917,48,691,40.22,1,No
700918,54,625,18.32,3,Yes
700919,76,720,,3,Yes
700920,63,615,53.91,7,Yes
700921,29,644,28.44,4,No
700922,41,615,46.67,5,No
700923,76,670,56.81,2,Yes
700924,42,545,32.68,7,No
700925,44,750,,3,No
700926,57,728,21.65,6,No
700927,75,705,60.74,6,No
700928,34,516,12.3,1,No
700929,33,578,15.38,1,No
700930,69,664,46.54,6,No
700931,43,546,23.53,5,Yes
700932,71,681,43.18,2,No
700933,67,667,36.0,2,Yes
700934,36,632,35.3,7,No
700935,35,638,26.3,2,No
700936,63,614,41.35,2,No
700937,38,603,29.07,2,Yes
700938,47,668,7.24,2,No
700939,46,615,26.94,1,Yes
700940,49,649,32.76,4,No
700941,60,638,10.94,2,No
700942,27,602,51.0,3,Yes
700943,58,663,58.96,2,Yes
700944,45,690,58.04,2,Yes
700945,52,697,36.35,7,No
700946,64,688,38.64,6,No
700947,39,665,38.46,7,No
700948,70,639,45.44,1,No
700949,34,510,7.52,1,No
700950,31,547,16.23,2,No
700951,35,531,19.12,5,No
700952,46,632,19.1,2,No
700953,27,541,21.7,2,Yes
700954,68,648,13.16,3,No
700955,43,589,13.19,5,No
700956,33,587,55.68,2,Yes
700957,45,617,36.12,7,No
700958,61,682,19.53,1,Yes
700959,67,623,23.32,7,No
700960,36,588,47.43,7,Yes
700961,25,534,49.7,4,Yes
700962,46,660,34.46,4,No
700963,68,714,33.85,3,No
700964,34,507,34.07,3,Yes
700965,61,588,40.69,3,Yes
700966,36,580,28.7,4,Yes
700967,53,657,56.5,7,No
700968,50,557,22.68,2,No
700969,73,690,39.49,1,No
700970,29,570,58.32,1,Yes
700971,71,693,20.84,5,No
700972,75,687,6.84,4,No
700973,35,563,56.3,2,Yes
700974,32,650,30.46,4,Yes
700975,49,548,27.43,2,No
700976,63,591,29.54,1,No
700977,77,636,33.56,4,Yes
700978,61,694,50.98,4,Yes
700979,62,610,30.37,3,Yes
700980,71,651,18.35,7,No
700981,54,578,49.93,4,Yes
700982,42,530,52.3,6,Yes
700983,24,625,43.47,7,Yes
700984,32,647,22.58,7,No
700985,61,737,,2,No
700986,46,637,63.69,1,Yes
700987,31,640,14.98,7,No
700988,58,708,44.75,6,No
700989,30,583,26.52,2,No
700990,43,685,14.14,1,No
700991,31,633,61.82,6,Yes
700992,38,587,38.67,2,No
700993,32,606,27.38,4,No
700994,70,643,24.65,4,No
700995,21,583,42.58,1,Yes
700996,62,633,63.15,6,Yes
700997,26,600,59.67,1,Yes
700998,32,572,63.14,5,Yes
700999,44,712,60.76,4,No
701000,66,641,47.19,3,No
