ProjectID,RemodelType,YearBuilt,MaterialsCost,LaborHours,ROI_Percent
840628,Exterior,1973,8288.38,252,43.8
840629,Kitchen,1996,15305.27,107,68.5
840630,Kitchen,1969,18008.42,278,72.9
840631,Exterior,2012,12480.73,332,46.8
840632,Basement,1951,4279.03,54,52.1
840633,Basement,1958,3512.39,36,50.2
840634,Exterior,1974,12002.54,318,56.3
840635,Exterior,2003,3610.09,49,53.0
840636,Bathroom,1980,10680.8,139,63.6
840637,Basement,1973,4526.68,66,35.8
840638,Basement,2019,8219.76,184,51.2
840639,Bathroom,1986,9218.6,107,55.7
840640,Basement,1955,5005.89,79,52.7
840641,Basement,2013,7297.2,246,44.2
840642,Bathroom,2014,10603.97,123,68.1
840643,Basement,1976,6249.57,238,45.8
840644,Bathroom,2019,14206.55,287,62.6
840645,Bathroom,2014,16113.99,297,49.5
840646,Kitchen,1999,17263.36,208,70.5
840647,Kitchen,1956,16353.24,68,83.9
840648,Basement,1965,3118.91,29,46.7
840649,Kitchen,2006,18454.98,267,72.8
840650,Exterior,2018,7809.28,213,40.9
840651,Bathroom,1968,10276.42,131,58.2
840652,Kitchen,1965,13938.29,90,73.9
840653,Exterior,1983,3732.98,45,46.8
840654,Bathroom,2015,,281,69.5
840655,Exterior,1964,7630.99,214,57.6
840656,Basement,1994,5123.78,164,54.7
840657,Basement,2009,6207.2,113,44.5
840658,Bathroom,1996,8594.47,70,58.9
840659,Kitchen,1975,13585.04,86,91.2
840660,Basement,2012,10692.97,298,38.5
840661,Kitchen,1985,18582.71,223,49.6
840662,Bathroom,2008,8945.65,21,56.6
840663,Kitchen,2019,20376.15,326,86.6
840664,Bathroom,1997,13974.59,336,62.2
840665,Bathroom,1965,9823.88,65,60.2
840666,Kitchen,1959,11710.43,29,69.3
840667,Bathroom,2007,8145.04,73,63.2
840668,Kitchen,2009,18350.39,303,67.0
840669,Bathroom,1964,14426.84,242,53.5
840670,Exterior,1992,8323.16,254,64.6
840671,Kitchen,2003,16334.33,181,73.4
840672,Exterior,1992,5361.27,55,49.3
840673,Kitchen,1972,18270.79,249,67.5
840674,Basement,1978,7835.61,134,48.5
840675,Kitchen,1957,18187.44,277,47.7
840676,Kitchen,1992,13125.74,29,68.7
840677,Bathroom,1957,10179.55,175,67.8
840678,Bathroom,2008,,326,69.2
840679,Basement,1977,5474.37,105,53.4
840680,Bathroom,1982,13242.25,237,68.9
840681,Bathroom,1985,12240.38,174,61.3
840682,Bathroom,2008,9223.6,75,57.3
840683,Bathroom,1955,12412.52,223,44.1
840684,Kitchen,1989,15719.53,139,77.8
840685,Kitchen,2004,20811.77,329,64.0
840686,Exterior,1966,7385.42,169,52.4
840687,Basement,1994,8931.08,246,33.8
840688,Exterior,1992,8996.15,184,41.7
840689,Kitchen,1989,18357.32,123,70.6
840690,Exterior,1981,8062.42,145,59.7
840691,Kitchen,1987,21362.5,310,61.4
840692,Kitchen,1965,19422.5,231,49.6
840693,Kitchen,2010,17976.97,216,70.1
840694,Kitchen,1957,14787.93,91,76.0
840695,Bathroom,1956,10211.37,79,52.8
840696,Basement,1951,4065.4,64,44.3
840697,Kitchen,1993,19919.55,332,72.3
840698,Bathroom,1979,11592.53,89,62.4
840699,Exterior,2019,9526.3,220,49.8
840700,Bathroom,2008,14023.99,302,48.1
840701,Kitchen,1971,19263.77,254,54.2
840702,Bathroom,1952,10829.44,132,53.2
840703,Bathroom,2002,8682.43,66,48.4
840704,Basement,1954,5890.41,60,45.3
840705,Kitchen,1998,15668.84,140,64.2
840706,Exterior,1965,10260.11,266,48.1
840707,Exterior,1967,9032.41,250,38.8
840708,Bathroom,1994,13722.09,235,57.7
840709,Bathroom,1982,7452.6,47,73.4
840710,Basement,1956,6360.09,152,42.9
840711,Basement,1963,6213.72,120,55.8
840712,Kitchen,2016,12099.99,60,72.9
840713,Exterior,1998,7470.97,218,36.6
840714,Exterior,1962,9674.96,326,44.9
840715,Kitchen,1990,17283.24,208,60.7
840716,Kitchen,1977,15194.83,105,56.6
840717,Bathroom,1996,11703.7,272,56.9
840718,Bathroom,1982,10871.67,169,47.7
840719,Basement,2000,4433.77,21,35.5
840720,Basement,1953,8897.58,231,53.5
840721,Exterior,1978,12060.93,326,45.3
840722,Bathroom,1962,6733.22,43,62.5
840723,Kitchen,1979,13047.11,25,62.0
840724,Basement,2009,9169.12,264,36.7
840725,Basement,2018,5583.34,131,48.4
840726,Basement,1957,4494.2,85,41.6
840727,Exterior,1994,4156.42,61,49.7
840728,Bathroom,2018,13041.08,220,57.5
840729,Bathroom,2018,14334.18,329,45.9
840730,Basement,2019,8185.37,254,42.9
840731,Basement,1970,9463.79,268,38.6
840732,Kitchen,1961,16597.55,200,59.2
840733,Exterior,2012,4860.56,82,46.6
840734,Exterior,1985,8190.57,217,50.3
840735,Exterior,1951,8194.29,202,45.3
840736,Bathroom,1975,10140.92,68,56.2
840737,Bathroom,1963,9742.53,103,52.4
840738,Exterior,2001,4698.71,38,54.0
840739,Bathroom,1969,9752.94,90,57.5
840740,Kitchen,2004,15634.35,170,66.7
840741,Bathroom,2018,10572.54,151,76.8
840742,Basement,1953,7847.92,217,48.0
840743,Basement,1966,10600.45,303,48.2
840744,Bathroom,1999,10989.9,88,56.5
840745,Kitchen,2006,15777.57,92,63.4
840746,Kitchen,1953,14416.13,156,70.7
840747,Basement,1971,4530.52,125,36.2
840748,Basement,2015,5605.52,84,56.9
840749,Basement,2009,4668.64,50,61.8
840750,Basement,1981,9448.02,221,47.2
840751,Basement,1970,9540.75,235,62.0
840752,Bathroom,1988,11372.96,130,57.0
840753,Bathroom,1993,11308.24,135,54.0
840754,Kitchen,1981,20579.21,307,49.6
840755,Kitchen,1982,21615.01,334,60.9
840756,Exterior,1955,7958.98,143,34.4
840757,Bathroom,1973,8479.1,85,49.4
840758,Basement,2010,11131.11,297,38.0
840759,Exterior,1980,5144.58,81,40.1
840760,Bathroom,1968,8834.38,73,52.4
840761,Exterior,1965,10754.28,340,41.5
840762,Basement,2013,5100.7,51,47.1
840763,Kitchen,1995,,281,56.4
840764,Kitchen,2010,17022.93,185,69.2
840765,Bathroom,2013,12252.51,156,50.8
840766,Exterior,1956,8776.69,240,36.6
840767,Basement,1997,6992.6,175,70.5
840768,Bathroom,2009,8637.98,65,62.3
840769,Kitchen,1995,16103.21,88,82.7
840770,Basement,1950,4924.61,104,36.6
840771,Basement,1950,4016.11,34,60.9
840772,Kitchen,1970,22352.92,341,59.7
840773,Basement,1972,7159.78,160,54.2
840774,Bathroom,1971,13388.82,257,53.5
840775,Kitchen,1987,16000.87,164,76.2
840776,Bathroom,2009,12593.14,200,73.9
840777,Exterior,2014,7404.8,137,49.2
840778,Basement,1956,6554.36,181,39.6
840779,Exterior,2011,10090.66,268,54.6
840780,Basement,1980,9174.08,191,43.1
840781,Bathroom,1974,11368.65,112,56.7
840782,Bathroom,1968,8220.87,20,55.2
840783,Kitchen,2008,19570.09,287,83.0
840784,Basement,1968,4358.44,91,51.8
840785,Exterior,1951,10781.33,282,44.1
840786,Basement,2002,3736.75,94,54.4
840787,Bathroom,2012,9167.81,61,64.3
840788,Basement,1967,5527.1,52,57.1
840789,Kitchen,2011,13073.52,27,62.2
840790,Exterior,2017,4258.29,66,44.8
840791,Kitchen,2013,19036.23,292,77.5
840792,Basement,1991,7457.92,150,51.0
840793,Bathroom,1994,7696.61,40,74.6
840794,Exterior,2009,11808.85,349,44.3
840795,Exterior,1980,9250.75,212,31.8
840796,Basement,1968,5621.46,117,42.0
840797,Basement,2010,5084.43,165,41.9
840798,Kitchen,1996,17995.95,228,59.1
840799,Bathroom,1984,7507.56,30,52.5
840800,Exterior,2019,10269.57,346,35.9
840801,Exterior,1971,8937.03,260,40.0
840802,Kitchen,1991,18749.22,272,60.7
840803,Kitchen,1974,18340.09,306,66.9
840804,Exterior,1968,6768.39,94,41.2
840805,Exterior,1978,3714.7,109,56.0
840806,Basement,1963,11733.59,333,39.2
840807,Exterior,1984,10726.44,271,41.0
840808,Kitchen,2015,20263.72,333,69.1
840809,Kitchen,1969,12055.61,48,64.1
840810,Bathroom,1983,14545.1,180,52.0
840811,Exterior,1999,8565.39,279,49.8
840812,Bathroom,1969,9609.67,144,43.1
840813,Basement,2001,9300.74,222,53.6
840814,Kitchen,1974,14797.34,103,70.7
840815,Basement,1994,9303.08,257,49.3
840816,Basement,1957,5212.94,145,51.8
840817,Kitchen,1993,16956.32,228,69.0
840818,Bathroom,2010,16688.28,327,54.5
840819,Basement,1975,7897.67,177,41.5
840820,Basement,1965,7152.11,175,45.2
840821,Bathroom,2012,8686.44,116,53.8
840822,Basement,1962,6719.64,199,35.5
840823,Kitchen,1993,21796.01,340,69.9
840824,Kitchen,1965,19944.87,339,50.6
840825,Exterior,1989,7017.04,197,38.4
840826,Kitchen,2002,14546.67,152,72.6
840827,Exterior,1952,5682.26,74,44.4
840828,Exterior,1999,7198.37,141,40.3
840829,Exterior,1993,6059.7,126,50.2
840830,Kitchen,1965,18682.18,214,58.0
840831,Exterior,2003,5730.42,132,28.8
840832,Kitchen,1997,17990.61,210,69.6
840833,Exterior,1979,7040.6,39,41.3
840834,Kitchen,1952,17683.25,222,60.0
840835,Bathroom,1981,13196.15,260,55.9
840836,Basement,1980,9124.28,266,42.8
840837,Basement,1970,5928.48,122,65.6
840838,Exterior,1955,5948.99,127,47.1
840839,Exterior,1953,7430.19,190,39.7
840840,Exterior,2003,5087.99,26,53.1
840841,Bathroom,1982,11506.35,185,64.1
840842,Bathroom,2014,11831.41,260,68.1
840843,Bathroom,2002,10139.07,106,45.0
840844,Exterior,1973,8638.85,270,47.6
840845,Exterior,1952,4319.22,50,40.4
840846,Basement,1953,6457.07,168,57.5
840847,Kitchen,1976,17479.97,156,56.7
840848,Bathroom,1966,14316.58,317,69.5
840849,Bathroom,1973,7884.39,34,61.8
840850,Exterior,1976,7066.51,137,34.9
840851,Basement,1981,8928.14,205,48.9
840852,Exterior,1972,7217.98,146,43.2
840853,Kitchen,2004,15756.53,101,72.8
840854,Bathroom,1981,14516.89,317,66.3
840855,Kitchen,2004,13983.62,90,65.5
840856,Kitchen,1981,13189.69,36,60.6
840857,Basement,1980,7445.6,185,49.2
840858,Exterior,1988,9138.87,225,39.5
840859,Kitchen,1989,15117.3,92,62.1
840860,Bathroom,2012,9002.58,78,52.7
840861,Bathroom,2013,11136.43,162,59.5
840862,Basement,1994,10308.6,259,47.7
840863,Exterior,2011,9880.53,229,45.1
840864,Kitchen,1971,18230.35,279,66.4
840865,Basement,1962,4163.36,66,47.4
840866,Basement,1997,3519.79,98,65.2
840867,Exterior,2019,7263.15,112,52.4
840868,Exterior,2002,11962.27,242,43.0
840869,Kitchen,1989,,325,77.4
840870,Bathroom,2018,14705.35,309,57.3
840871,Bathroom,1950,12935.1,246,58.3
840872,Kitchen,2000,17585.7,334,54.5
840873,Kitchen,1960,18458.3,259,58.5
840874,Kitchen,1995,14539.52,95,81.4
840875,Kitchen,1966,12707.91,105,53.1
840876,Basement,1975,,336,44.8
840877,Bathroom,1951,8560.52,37,62.7
840878,Bathroom,1987,14329.17,280,70.7
840879,Bathroom,2016,9817.7,71,63.9
840880,Bathroom,1984,13671.81,290,63.3
840881,Exterior,1973,9499.45,216,43.2
840882,Kitchen,1964,18041.73,213,63.2
840883,Bathroom,1957,10266.75,101,77.0
840884,Exterior,1969,7787.09,243,52.5
840885,Basement,2006,7429.59,202,49.7
840886,Basement,1957,11067.9,349,53.9
840887,Exterior,2016,6985.82,126,54.1
840888,Kitchen,1971,19905.61,322,52.7
840889,Exterior,1988,2005.99,31,52.7
840890,Kitchen,1961,18237.98,242,60.0
840891,Exterior,1977,7317.48,265,55.2
840892,Exterior,2007,8692.47,235,52.1
840893,Basement,2001,11197.14,266,52.4
840894,Basement,1966,13374.06,299,38.5
840895,Bathroom,1987,8153.13,83,76.4
840896,Kitchen,1953,18500.45,226,57.7
840897,Exterior,1978,5487.4,115,38.4
840898,Bathroom,2017,12969.64,286,63.7
840899,Basement,2009,7711.63,146,49.4
840900,Bathroom,2003,13560.45,303,59.0
840901,Exterior,1998,4504.15,40,50.6
840902,Exterior,1972,7585.23,160,48.5
840903,Basement,1979,7714.71,194,38.1
840904,Bathroom,1965,10486.28,79,58.8
840905,Exterior,2000,10714.12,276,51.6
840906,Exterior,1971,9343.7,170,29.5
840907,Kitchen,1982,12655.28,34,80.1
840908,Exterior,1971,12548.91,311,41.5
840909,Exterior,2013,8226.24,228,48.0
840910,Exterior,1990,4690.98,107,44.4
840911,Bathroom,1968,7299.11,56,60.3
840912,Basement,1996,7288.94,215,51.7
840913,Exterior,2018,11817.78,332,48.4
840914,Bathroom,1954,10452.78,209,59.0
840915,Exterior,1961,7109.28,196,46.6
840916,Exterior,2002,10937.05,321,52.5
840917,Exterior,1983,11539.72,346,44.6
840918,Bathroom,2013,15640.41,349,65.7
840919,Basement,1992,3930.8,40,40.5
840920,Basement,1962,10910.09,280,48.7
840921,Exterior,1976,10777.95,328,40.3
840922,Exterior,2005,4489.98,59,50.7
840923,Basement,1973,4307.23,117,38.9
840924,Basement,2010,3445.03,65,56.1
840925,Kitchen,1969,18952.68,278,59.1
840926,Exterior,1973,4985.84,116,29.0
840927,Kitchen,1971,12975.86,67,76.4
840928,Kitchen,1972,15412.45,107,70.8
840929,Kitchen,1955,20416.01,312,56.2
840930,Kitchen,1960,18635.29,265,60.9
840931,Kitchen,1973,21357.73,329,67.5
840932,Bathroom,1969,10438.42,189,63.1
840933,Kitchen,2010,16130.47,227,76.7
840934,Bathroom,2002,14251.73,347,62.8
840935,Kitchen,1984,18306.93,289,67.1
840936,Basement,1969,9644.57,292,49.5
840937,Basement,1962,5499.78,73,44.2
840938,Bathroom,2006,13327.59,247,50.6
840939,Bathroom,1979,13841.52,271,49.0
840940,Kitchen,2014,21459.76,345,68.4
840941,Kitchen,2005,11727.0,37,63.4
840942,Bathroom,1956,11590.53,259,64.8
840943,Basement,2003,6706.35,60,30.5
840944,Basement,1974,10183.39,320,43.9
840945,Kitchen,2007,18713.2,244,55.1
840946,Kitchen,1996,18417.15,224,64.2
840947,Bathroom,2006,14085.1,299,39.4
840948,Kitchen,1996,17542.36,234,71.0
840949,Kitchen,2004,17767.64,281,49.1
840950,Kitchen,2011,20248.84,340,61.0
840951,Basement,1953,9480.19,234,55.6
840952,Basement,1975,11521.07,303,52.7
840953,Kitchen,1952,17832.17,175,71.7
840954,Kitchen,1964,18238.72,266,67.5
840955,Basement,2019,8845.77,230,41.6
840956,Exterior,2009,3459.68,46,47.4
840957,Kitchen,1957,18512.57,221,58.8
840958,Basement,1965,3479.04,38,39.9
840959,Bathroom,1950,9319.13,58,49.4
840960,Kitchen,2019,14157.32,104,79.1
840961,Kitchen,1998,18164.71,243,68.8
840962,Kitchen,1959,16881.24,243,60.7
840963,Kitchen,1956,18627.25,282,69.2
840964,Kitchen,1961,19804.21,251,52.8
840965,Bathroom,1997,12283.04,202,59.6
840966,Kitchen,1960,15988.44,203,61.9
840967,Basement,1951,7253.44,165,50.5
840968,Kitchen,1994,13063.95,73,72.6
840969,Basement,2001,6791.39,167,43.4
840970,Exterior,2008,7684.76,226,43.4
840971,Kitchen,2004,16216.37,202,83.5
840972,Kitchen,1993,21333.29,311,66.5
840973,Bathroom,1970,11790.18,221,51.6
840974,Exterior,2011,3706.23,54,30.3
840975,Bathroom,1999,9238.76,89,61.2
840976,Bathroom,1966,14083.54,293,35.7
840977,Kitchen,1967,17361.93,166,61.7
840978,Basement,1967,12186.44,311,46.6
840979,Basement,1988,8382.75,232,49.0
840980,Exterior,2002,11387.11,337,49.8
840981,Basement,1951,10786.1,312,42.9
840982,Kitchen,1976,16241.37,118,53.5
840983,Kitchen,1954,13027.11,25,86.4
840984,Basement,2014,9178.96,262,52.7
840985,Exterior,2019,12098.57,325,65.4
840986,Exterior,1969,6044.12,117,33.3
840987,Kitchen,1986,15095.62,74,69.5
840988,Exterior,2013,12211.23,287,35.5
840989,Bathroom,1970,16399.63,348,69.3
840990,Exterior,1970,7100.4,140,49.8
840991,Basement,2008,6624.61,184,40.5
840992,Basement,1990,7994.07,180,46.3
840993,Bathroom,1974,11567.5,166,51.9
840994,Bathroom,1982,14209.44,309,51.9
840995,Kitchen,1964,17722.87,232,59.2
840996,Exterior,2000,10764.35,347,38.3
840997,Bathroom,2004,12190.4,210,58.3
840998,Kitchen,1970,20565.85,337,65.9
840999,Kitchen,1964,18140.63,255,76.8
841000,Kitchen,1988,19800.22,327,68.4
