CartID,TotalItems,ShippingCostRatio,EasyPaymentUsed,SessionDuration_Secs,CartAbandoned
1120633,97.9,35.8,108.5,35.6,0
1120634,93.4,37.1,70.7,39.5,1
1120635,75.4,34.2,85.3,29.0,0
1120636,81.1,55.3,113.8,11.3,0
1120637,60.3,43.9,124.1,60.0,1
1120638,110.8,29.5,129.3,49.3,1
1120639,94.7,25.9,100.8,29.4,0
1120640,57.1,60.0,135.2,55.4,1
1120641,158.4,59.9,86.0,66.3,1
1120642,76.3,37.6,74.3,48.0,1
1120643,116.0,88.8,84.5,32.7,0
1120644,83.4,44.6,98.0,58.3,1
1120645,79.6,44.3,82.3,51.3,0
1120646,75.8,38.2,59.6,50.4,0
1120647,65.9,35.7,109.5,49.3,0
1120648,124.2,35.1,110.0,38.6,0
1120649,88.5,51.9,134.7,48.8,0
1120650,53.7,44.6,129.0,40.2,0
1120651,128.8,61.3,102.5,39.5,1
1120652,26.3,39.8,86.4,31.0,0
1120653,80.7,46.9,73.9,53.3,0
1120654,115.3,40.1,70.5,20.9,0
1120655,96.2,72.8,104.7,45.8,1
1120656,159.3,60.2,83.8,47.9,1
1120657,115.4,43.5,149.5,36.6,0
1120658,96.1,32.6,81.4,41.3,0
1120659,114.5,43.5,81.5,55.1,0
1120660,67.5,7.3,94.0,46.7,0
1120661,137.5,42.8,57.6,27.2,0
1120662,69.8,55.0,66.7,19.3,0
1120663,88.0,73.7,83.2,44.4,1
1120664,107.6,25.2,99.4,53.8,1
1120665,87.0,40.8,97.9,36.6,0
1120666,96.0,47.3,100.3,34.9,0
1120667,93.5,32.3,116.4,42.0,1
1120668,110.1,53.6,83.4,38.4,1
1120669,105.7,72.5,140.4,54.1,0
1120670,104.9,53.8,102.8,47.1,0
1120671,84.7,66.6,108.1,45.3,1
1120672,97.6,69.6,91.9,53.7,0
1120673,48.3,57.8,89.8,37.2,1
1120674,131.9,44.4,67.2,50.5,1
1120675,110.2,63.9,107.8,41.7,1
1120676,56.5,46.8,158.0,52.7,0
1120677,72.9,20.3,104.0,49.8,1
1120678,76.8,38.1,122.2,43.1,0
1120679,107.3,,104.1,59.7,0
1120680,155.5,20.2,85.7,30.6,0
1120681,127.8,76.8,102.3,51.1,0
1120682,151.0,31.1,94.1,65.2,1
1120683,158.6,41.9,107.7,37.0,0
1120684,90.4,47.2,139.7,36.4,1
1120685,51.9,28.4,111.9,40.4,1
1120686,93.2,38.1,63.7,48.6,0
1120687,47.5,15.3,113.8,47.6,1
1120688,112.6,38.1,59.0,57.2,1
1120689,100.0,32.7,116.0,31.8,0
1120690,170.9,21.4,92.0,51.3,0
1120691,137.2,74.0,138.5,51.0,1
1120692,121.7,61.7,113.5,17.2,0
1120693,83.9,31.5,132.2,43.7,0
1120694,53.2,11.9,101.9,47.3,1
1120695,146.0,26.8,135.3,22.6,1
1120696,93.9,60.7,119.6,61.4,0
1120697,106.2,65.1,58.4,90.5,1
1120698,89.8,25.1,109.0,59.3,1
1120699,86.1,63.7,76.5,53.0,0
1120700,41.7,50.3,132.6,48.5,0
1120701,128.5,21.5,66.1,29.0,0
1120702,62.8,38.4,141.4,33.7,0
1120703,95.3,58.3,92.8,18.2,0
1120704,82.5,21.6,79.8,55.6,1
1120705,66.6,49.9,99.0,67.7,0
1120706,118.9,39.9,48.3,27.6,0
1120707,125.3,13.2,120.2,45.0,0
1120708,161.2,67.8,127.6,28.0,0
1120709,78.4,65.0,107.3,43.3,0
1120710,120.5,40.0,76.8,52.2,0
1120711,87.1,62.9,78.5,25.5,0
1120712,97.6,74.8,109.6,31.3,0
1120713,105.2,23.7,57.3,52.5,0
1120714,103.2,42.7,87.7,27.7,0
1120715,135.6,25.9,135.0,27.0,1
1120716,79.3,13.3,76.4,44.2,1
1120717,125.8,30.5,81.3,15.7,0
1120718,99.7,30.3,74.2,42.9,1
1120719,145.8,43.9,153.2,61.2,1
1120720,87.7,63.3,135.1,38.8,0
1120721,68.2,31.2,110.8,40.8,0
1120722,126.3,62.0,107.9,64.3,1
1120723,142.5,36.7,70.3,17.9,0
1120724,83.5,62.8,73.0,54.5,1
1120725,88.8,43.3,113.3,60.9,1
1120726,65.3,61.2,88.3,37.9,0
1120727,109.5,56.6,127.2,15.8,0
1120728,118.9,58.9,100.2,35.1,0
1120729,77.5,31.8,152.5,33.6,0
1120730,119.4,33.2,71.9,25.0,0
1120731,60.8,32.2,123.6,37.8,1
1120732,89.5,50.0,85.5,57.3,1
1120733,109.4,51.0,54.3,56.3,1
1120734,123.3,27.4,93.4,27.6,1
1120735,63.1,28.0,73.9,48.8,1
1120736,82.0,67.4,129.2,37.1,1
1120737,94.2,14.0,113.2,44.7,1
1120738,98.0,32.1,102.1,52.5,0
1120739,106.4,39.8,90.4,36.0,0
1120740,84.7,47.8,108.6,45.0,0
1120741,129.6,35.5,126.4,45.2,1
1120742,84.4,39.0,107.9,30.2,0
1120743,121.0,26.4,85.7,62.0,1
1120744,33.4,59.8,128.6,52.3,1
1120745,94.3,44.5,89.8,35.5,0
1120746,96.1,44.7,120.4,61.2,1
1120747,108.3,56.8,74.9,62.3,1
1120748,91.1,39.8,110.5,18.3,0
1120749,92.6,17.3,59.0,27.9,0
1120750,85.2,70.2,108.5,83.4,1
1120751,75.7,29.8,111.9,26.1,0
1120752,106.4,60.3,33.4,23.1,0
1120753,104.3,40.3,114.6,44.2,0
1120754,72.1,64.5,133.0,17.9,1
1120755,131.8,48.8,98.5,55.1,1
1120756,123.9,50.8,110.3,66.0,1
1120757,77.3,60.0,73.7,20.5,1
1120758,111.6,44.6,65.9,28.1,0
1120759,119.4,44.6,93.3,38.2,0
1120760,106.2,53.9,88.9,50.7,0
1120761,114.1,22.7,103.9,67.2,1
1120762,56.4,34.8,103.3,37.8,0
1120763,133.0,31.2,91.1,49.7,1
1120764,109.1,60.8,100.6,22.2,0
1120765,86.9,44.0,133.5,44.8,0
1120766,100.1,51.6,71.3,37.8,1
1120767,98.3,42.8,155.3,44.2,0
1120768,111.1,38.7,126.9,18.1,1
1120769,88.8,45.5,124.2,42.0,1
1120770,94.1,64.6,113.8,58.9,0
1120771,133.0,67.8,158.9,58.9,1
1120772,98.3,25.7,85.9,56.7,1
1120773,84.3,35.5,103.2,56.4,0
1120774,107.7,38.9,123.1,77.8,1
1120775,82.1,37.7,110.6,39.8,0
1120776,133.3,43.8,85.2,42.9,1
1120777,78.1,0.0,107.9,63.0,1
1120778,65.2,59.9,96.8,24.4,0
1120779,75.6,72.1,76.1,55.3,1
1120780,114.1,30.4,122.2,32.2,0
1120781,105.8,41.7,115.3,52.3,1
1120782,95.3,28.1,126.1,36.9,0
1120783,114.7,44.5,133.1,35.9,1
1120784,86.7,37.9,77.4,67.3,1
1120785,111.2,49.7,115.8,12.9,0
1120786,136.6,51.4,104.6,35.8,0
1120787,96.3,42.1,108.0,53.0,1
1120788,115.9,38.8,86.7,27.7,1
1120789,106.1,59.9,91.5,44.8,1
1120790,132.9,49.3,129.3,53.6,1
1120791,97.1,30.7,106.3,59.0,1
1120792,128.0,27.3,111.0,44.8,1
1120793,23.4,33.2,90.9,56.2,1
1120794,82.6,34.7,86.1,51.9,1
1120795,120.4,42.9,103.3,35.8,0
1120796,142.9,46.2,124.7,44.0,1
1120797,94.0,36.5,93.0,11.4,0
1120798,86.0,69.7,137.8,55.7,1
1120799,67.3,,80.6,50.9,1
1120800,94.2,32.7,130.6,43.8,1
1120801,111.6,52.7,130.3,41.6,1
1120802,79.0,44.2,45.8,40.6,1
1120803,96.0,67.9,77.9,42.7,0
1120804,56.6,68.6,38.6,24.7,0
1120805,74.0,31.6,124.8,63.4,0
1120806,129.3,57.6,130.4,22.4,0
1120807,78.1,65.1,79.1,75.0,0
1120808,140.8,48.9,119.5,57.7,0
1120809,81.5,55.7,121.9,55.4,0
1120810,55.5,30.1,102.0,48.6,1
1120811,88.4,33.2,87.3,49.5,1
1120812,108.3,46.3,96.6,49.0,0
1120813,92.1,41.1,65.3,67.1,0
1120814,64.3,42.3,69.3,68.8,0
1120815,138.1,41.7,101.3,46.7,0
1120816,101.1,47.3,105.5,49.7,1
1120817,122.6,55.7,97.3,44.1,1
1120818,96.8,69.4,111.9,77.0,1
1120819,87.3,48.7,95.0,53.8,1
1120820,121.6,13.1,111.0,38.4,0
1120821,111.4,42.6,110.1,70.5,0
1120822,127.8,39.2,87.2,30.9,0
1120823,91.4,48.1,118.0,41.8,0
1120824,92.2,51.0,104.7,48.8,0
1120825,127.7,67.9,87.9,48.3,0
1120826,94.3,35.2,103.6,59.2,1
1120827,60.2,55.8,92.9,46.3,1
1120828,54.6,52.1,66.9,48.2,1
1120829,91.3,60.6,85.0,70.2,1
1120830,85.6,64.7,46.9,38.2,0
1120831,130.2,20.6,125.8,23.6,0
1120832,111.4,33.1,71.0,40.3,0
1120833,129.6,67.1,120.4,41.4,1
1120834,109.5,54.3,97.4,44.8,0
1120835,97.4,38.3,72.0,28.1,0
1120836,135.1,36.4,109.7,20.4,0
1120837,102.6,40.8,99.6,55.3,0
1120838,85.6,54.3,96.0,36.2,1
1120839,157.9,39.9,134.1,67.7,1
1120840,101.1,33.9,70.8,41.4,1
1120841,79.0,70.2,108.1,19.7,0
1120842,141.0,41.5,142.5,48.5,0
1120843,119.1,67.9,163.4,58.8,0
1120844,59.8,34.7,92.4,43.4,1
1120845,78.1,0.0,129.1,60.3,1
1120846,99.7,10.8,83.9,75.7,1
1120847,84.4,,50.7,39.1,1
1120848,120.1,45.1,83.6,57.6,1
1120849,99.5,48.7,62.2,56.1,1
1120850,144.9,68.6,91.1,91.0,1
1120851,88.1,45.5,102.5,63.2,1
1120852,73.1,39.0,88.7,35.1,1
1120853,86.7,64.2,97.0,19.8,1
1120854,56.8,32.4,113.2,26.5,0
1120855,88.5,42.8,133.9,41.2,1
1120856,104.1,54.2,89.3,67.0,1
1120857,141.6,39.3,94.6,35.7,0
1120858,121.3,43.4,73.1,24.3,0
1120859,133.3,49.0,93.2,43.0,0
1120860,102.3,32.4,132.1,56.5,1
1120861,114.1,36.1,129.0,34.0,0
1120862,139.4,60.3,81.6,40.2,1
1120863,128.1,32.4,97.6,31.8,0
1120864,70.4,66.3,76.9,34.6,1
1120865,114.8,38.6,97.6,49.3,1
1120866,113.4,57.1,111.6,48.0,1
1120867,149.3,34.5,72.5,54.1,0
1120868,145.7,52.9,70.2,40.3,0
1120869,97.4,61.8,97.0,36.7,1
1120870,96.4,42.5,162.2,51.5,1
1120871,138.3,56.3,122.9,70.6,1
1120872,74.5,45.9,93.6,33.9,0
1120873,87.4,32.6,144.1,24.9,0
1120874,103.5,40.9,114.0,59.3,1
1120875,94.8,33.3,117.8,27.0,0
1120876,108.2,45.5,56.6,62.7,1
1120877,22.8,64.5,106.0,52.7,0
1120878,155.5,38.3,100.8,32.1,1
1120879,130.8,16.6,75.6,53.0,0
1120880,113.2,48.5,90.2,39.3,0
1120881,65.8,59.5,65.9,24.0,1
1120882,105.1,22.1,124.1,50.1,0
1120883,98.7,25.7,44.3,42.2,1
1120884,108.2,41.6,85.2,27.1,0
1120885,83.5,68.6,93.2,33.7,0
1120886,84.3,30.0,109.4,30.0,0
1120887,72.8,29.6,100.1,38.1,0
1120888,58.9,30.2,120.8,39.8,0
1120889,56.5,29.3,102.5,30.8,0
1120890,84.8,44.3,111.6,32.6,0
1120891,83.0,59.2,97.6,49.2,1
1120892,140.5,22.2,114.4,26.8,0
1120893,140.3,37.8,130.4,50.5,1
1120894,60.5,38.8,98.1,66.3,1
1120895,116.9,41.5,105.8,38.1,0
1120896,123.1,35.0,100.0,41.9,0
1120897,50.0,47.7,148.8,31.6,0
1120898,83.0,53.7,104.9,50.7,0
1120899,92.9,19.3,91.9,45.7,1
1120900,94.8,43.4,89.4,72.6,0
1120901,117.0,33.1,73.0,47.6,1
1120902,115.4,51.6,104.1,24.2,0
1120903,108.6,,95.4,49.1,0
1120904,67.6,22.8,179.8,24.4,0
1120905,108.9,58.3,88.1,29.1,0
1120906,76.6,76.1,133.7,50.9,1
1120907,95.3,39.9,119.5,19.4,1
1120908,112.7,55.9,111.5,58.4,0
1120909,75.1,74.1,52.2,62.7,1
1120910,99.3,48.3,128.1,56.5,1
1120911,91.0,50.9,114.4,51.4,1
1120912,153.5,36.9,122.8,33.0,0
1120913,95.2,43.9,138.0,70.4,1
1120914,83.4,42.9,106.4,33.6,0
1120915,68.5,36.0,111.5,41.9,1
1120916,108.2,58.2,175.5,38.4,0
1120917,74.0,53.6,90.3,47.0,0
1120918,85.9,41.0,101.1,35.5,0
1120919,91.8,37.6,81.5,8.0,0
1120920,89.5,57.8,84.8,47.9,1
1120921,75.2,33.1,124.5,25.6,1
1120922,74.7,44.4,110.2,35.2,0
1120923,123.6,54.4,78.0,47.5,1
1120924,77.1,20.8,128.8,45.1,0
1120925,116.5,38.4,83.6,62.3,0
1120926,107.1,26.1,109.7,18.6,0
1120927,67.7,45.8,85.7,35.6,0
1120928,53.1,57.3,135.9,48.2,0
1120929,60.5,29.3,101.5,44.9,1
1120930,87.3,33.3,113.3,37.4,1
1120931,16.4,50.9,86.4,43.2,0
1120932,88.3,53.9,136.0,52.9,0
1120933,88.1,,116.6,12.8,1
1120934,106.7,34.4,101.2,46.7,0
1120935,66.8,27.2,117.8,53.0,0
1120936,128.9,17.3,144.1,64.2,1
1120937,43.0,48.6,107.2,48.7,1
1120938,112.4,24.4,114.0,36.8,0
1120939,93.4,67.2,77.7,52.7,0
1120940,73.4,62.0,137.8,33.9,0
1120941,78.6,53.1,94.0,45.5,0
1120942,112.5,,74.9,67.4,1
1120943,108.0,19.0,124.4,41.3,1
1120944,84.3,46.3,132.4,62.7,1
1120945,125.7,29.1,78.4,34.8,0
1120946,105.0,65.3,110.6,44.7,0
1120947,109.0,45.8,109.8,39.6,0
1120948,109.6,58.6,88.9,67.2,0
1120949,62.1,42.7,71.3,61.8,0
1120950,112.8,78.8,133.8,27.9,1
1120951,116.6,57.7,42.6,62.5,1
1120952,123.8,50.9,57.4,46.4,1
1120953,85.3,67.5,105.7,62.5,1
1120954,77.2,64.2,126.9,79.7,1
1120955,112.8,48.9,70.0,55.8,1
1120956,125.2,76.2,99.6,55.7,0
1120957,112.4,45.5,58.3,28.7,0
1120958,80.6,64.1,63.9,54.3,1
1120959,133.9,21.7,108.7,38.5,0
1120960,70.9,35.9,80.1,51.1,0
1120961,78.0,61.4,105.5,46.6,1
1120962,94.2,57.4,131.7,41.3,0
1120963,101.7,62.2,114.5,53.3,1
1120964,139.8,12.5,110.6,54.0,0
1120965,85.3,74.0,98.8,34.4,1
1120966,85.6,71.1,110.9,53.1,1
1120967,66.3,60.5,109.6,42.0,1
1120968,64.8,46.6,106.7,48.0,1
1120969,113.1,56.9,116.8,29.6,1
1120970,163.4,,120.7,37.1,0
1120971,104.6,52.0,86.0,44.1,0
1120972,101.2,49.2,104.7,52.7,1
1120973,129.3,57.3,94.5,37.7,0
1120974,93.0,30.0,101.3,34.1,0
1120975,85.5,70.0,65.8,7.4,1
1120976,80.6,22.9,92.7,39.0,0
1120977,146.1,21.4,86.3,45.1,0
1120978,54.7,50.4,90.2,34.6,1
1120979,172.1,33.7,125.7,26.9,1
1120980,112.9,65.1,67.0,38.6,0
1120981,118.1,43.3,121.3,40.9,1
1120982,68.6,56.9,115.1,62.3,0
1120983,78.7,47.1,120.6,37.5,0
1120984,100.5,39.9,71.6,58.1,0
1120985,114.5,27.6,161.9,7.1,0
1120986,144.6,61.5,110.0,59.5,0
1120987,109.8,26.9,139.3,55.6,1
1120988,99.5,17.0,120.9,48.7,0
1120989,76.9,31.8,66.4,43.9,0
1120990,98.1,28.7,78.6,35.8,1
1120991,76.7,64.4,113.5,61.4,0
1120992,116.4,58.4,82.5,44.8,0
1120993,152.6,45.4,91.0,37.3,0
1120994,109.0,60.1,131.8,64.6,0
1120995,113.1,27.4,89.3,36.0,0
1120996,86.8,37.0,131.2,60.9,1
1120997,137.3,76.8,66.2,32.1,0
1120998,88.2,40.6,94.4,27.2,1
1120999,142.6,20.6,88.5,60.5,1
1121000,91.8,48.7,77.2,66.2,1
