AthleteID,PeakHeartRate,RecoveryHeartRate_60s,ActiveWorkoutMinutes,VO2Max_Estimate,FitnessGrade
2000556,34.5,41.6,83.0,113.9,Type_C
2000557,37.1,40.9,34.4,71.0,Type_C
2000558,44.5,32.8,79.4,119.1,Type_B
2000559,38.2,,95.5,105.2,Type_A
2000560,44.8,52.9,143.2,120.5,Type_A
2000561,67.4,67.4,77.7,116.6,Type_B
2000562,52.0,37.1,116.9,141.3,Type_B
2000563,42.3,47.0,100.0,119.7,Type_C
2000564,63.3,30.5,66.9,90.7,Type_B
2000565,32.0,27.3,80.8,80.1,Type_C
2000566,45.0,63.5,108.5,104.2,Type_B
2000567,63.0,40.9,129.5,99.6,Type_B
2000568,39.3,24.1,142.4,105.2,Type_A
2000569,45.5,44.0,133.1,116.0,Type_C
2000570,46.0,45.3,116.6,75.8,Type_C
2000571,69.8,41.3,116.7,146.0,Type_C
2000572,16.2,30.6,102.6,90.6,Type_B
2000573,41.2,31.5,89.9,107.8,Type_B
2000574,29.7,28.1,112.6,94.4,Type_A
2000575,53.5,41.1,110.3,110.2,Type_C
2000576,20.9,26.9,134.6,161.4,Type_A
2000577,65.8,51.2,130.6,90.9,Type_B
2000578,29.0,36.3,74.4,114.0,Type_C
2000579,55.1,40.5,105.7,94.9,Type_A
2000580,64.9,64.9,115.4,127.9,Type_C
2000581,37.3,40.9,86.8,68.2,Type_C
2000582,51.3,25.0,95.8,124.5,Type_A
2000583,58.0,25.4,130.4,64.8,Type_C
2000584,38.9,63.0,118.2,111.1,Type_B
2000585,46.5,59.4,129.9,67.6,Type_A
2000586,31.7,42.8,84.7,110.2,Type_C
2000587,23.3,31.4,88.8,43.8,Type_A
2000588,35.2,50.0,107.3,140.3,Type_B
2000589,56.5,32.5,109.8,49.1,Type_C
2000590,46.9,47.8,65.8,115.1,Type_C
2000591,33.8,75.6,109.3,122.6,Type_A
2000592,48.7,21.7,75.9,60.1,Type_B
2000593,17.4,43.4,115.7,112.7,Type_C
2000594,23.4,32.0,69.7,119.3,Type_B
2000595,42.1,38.7,137.2,76.3,Type_C
2000596,58.7,53.3,151.8,85.9,Type_B
2000597,51.4,55.6,68.8,120.7,Type_C
2000598,55.1,49.0,85.8,91.0,Type_B
2000599,34.6,45.1,99.5,110.8,Type_C
2000600,46.8,54.3,99.6,81.8,Type_A
2000601,60.4,59.3,90.4,90.9,Type_A
2000602,22.6,25.3,142.1,70.3,Type_C
2000603,57.6,57.6,105.1,88.3,Type_B
2000604,32.8,40.3,87.2,88.3,Type_C
2000605,50.4,54.3,131.3,68.3,Type_B
2000606,41.8,31.6,101.5,84.8,Type_A
2000607,58.6,43.2,105.3,103.9,Type_A
2000608,58.0,54.7,123.8,79.5,Type_B
2000609,48.2,29.7,110.4,104.9,Type_A
2000610,49.6,34.7,121.6,87.8,Type_C
2000611,15.7,47.0,89.0,114.2,Type_A
2000612,28.0,48.2,115.9,118.2,Type_B
2000613,57.9,31.8,94.0,69.0,Type_A
2000614,37.5,39.3,78.5,134.7,Type_B
2000615,47.0,38.9,102.7,55.9,Type_A
2000616,44.7,56.4,70.6,105.5,Type_A
2000617,41.8,50.4,67.6,120.2,Type_A
2000618,63.1,42.0,130.8,150.0,Type_B
2000619,60.2,24.2,95.6,69.5,Type_C
2000620,55.5,74.9,63.8,119.7,Type_A
2000621,37.1,65.5,103.4,72.9,Type_C
2000622,20.5,63.1,128.8,50.5,Type_B
2000623,44.9,29.3,121.5,105.0,Type_A
2000624,52.2,39.5,98.8,89.2,Type_B
2000625,39.0,46.6,85.7,94.3,Type_B
2000626,31.8,16.4,114.0,92.2,Type_B
2000627,51.0,45.8,121.5,111.7,Type_C
2000628,47.9,50.9,77.6,91.2,Type_C
2000629,74.0,85.9,83.2,91.8,Type_C
2000630,38.8,34.6,129.0,91.2,Type_C
2000631,48.0,70.2,125.2,102.0,Type_B
2000632,40.2,43.0,47.2,124.9,Type_B
2000633,49.6,65.3,112.8,92.8,Type_B
2000634,23.2,36.0,118.9,66.1,Type_B
2000635,31.4,20.7,114.8,90.3,Type_B
2000636,52.5,53.3,103.6,96.6,Type_A
2000637,18.0,32.8,93.4,126.5,Type_A
2000638,33.6,49.1,115.3,87.3,Type_A
2000639,37.9,43.6,110.4,93.6,Type_B
2000640,65.5,35.6,57.1,81.0,Type_C
2000641,25.0,19.3,117.7,82.1,Type_A
2000642,53.3,71.8,81.3,116.9,Type_B
2000643,44.1,51.0,36.1,111.5,Type_B
2000644,17.5,39.6,109.9,114.8,Type_B
2000645,39.2,43.9,107.6,94.3,Type_B
2000646,55.4,64.2,108.7,120.3,Type_C
2000647,61.3,32.5,70.9,111.6,Type_B
2000648,52.4,60.2,98.5,71.8,Type_C
2000649,46.8,26.7,125.8,114.8,Type_C
2000650,36.8,47.3,96.1,107.4,Type_C
2000651,51.8,31.1,94.7,141.5,Type_C
2000652,45.6,,92.1,102.8,Type_A
2000653,37.0,53.5,94.5,66.1,Type_A
2000654,49.2,53.2,83.3,126.2,Type_A
2000655,22.4,35.3,117.8,120.5,Type_C
2000656,67.9,29.6,104.0,75.9,Type_A
2000657,35.3,35.4,93.8,70.0,Type_B
2000658,48.5,82.6,103.0,105.4,Type_B
2000659,37.6,40.7,104.2,130.1,Type_A
2000660,44.9,60.9,66.0,103.3,Type_B
2000661,33.6,44.8,78.0,101.9,Type_C
2000662,21.2,46.3,92.8,128.2,Type_A
2000663,36.8,39.2,97.1,114.0,Type_A
2000664,25.9,46.6,84.2,55.4,Type_C
2000665,37.9,16.0,81.2,81.9,Type_C
2000666,39.5,32.7,107.1,78.4,Type_B
2000667,57.3,63.4,84.9,99.3,Type_C
2000668,28.8,41.4,66.7,81.4,Type_C
2000669,38.1,47.0,61.2,98.3,Type_A
2000670,65.3,51.1,62.8,112.9,Type_A
2000671,40.7,17.8,82.0,115.4,Type_C
2000672,63.0,76.4,112.3,147.8,Type_B
2000673,34.6,57.2,121.4,97.3,Type_A
2000674,39.8,54.0,118.4,76.4,Type_B
2000675,55.7,62.7,101.0,117.8,Type_B
2000676,62.8,58.5,96.9,89.2,Type_A
2000677,36.0,28.0,88.7,117.3,Type_C
2000678,66.7,86.3,130.5,123.5,Type_C
2000679,38.1,58.1,163.3,87.2,Type_A
2000680,0.0,39.9,121.6,59.9,Type_C
2000681,29.5,35.5,63.3,71.0,Type_C
2000682,37.3,68.8,73.3,124.4,Type_B
2000683,30.1,38.6,112.6,87.0,Type_A
2000684,42.4,44.0,88.2,98.4,Type_B
2000685,30.1,29.3,67.1,95.6,Type_A
2000686,55.4,35.1,116.3,150.9,Type_C
2000687,59.9,60.8,106.2,145.0,Type_B
2000688,37.9,35.6,119.6,120.5,Type_C
2000689,30.8,42.3,127.9,87.9,Type_A
2000690,51.9,35.8,138.8,95.0,Type_C
2000691,40.9,23.1,108.5,121.0,Type_A
2000692,38.2,19.1,96.4,58.7,Type_C
2000693,29.8,47.7,88.8,98.2,Type_A
2000694,24.8,58.8,85.4,79.3,Type_B
2000695,25.9,,83.8,63.8,Type_A
2000696,48.6,36.9,107.4,73.9,Type_B
2000697,75.1,27.4,87.4,117.9,Type_B
2000698,25.3,37.7,107.4,117.0,Type_A
2000699,46.6,49.2,86.7,51.0,Type_C
2000700,53.5,14.3,47.9,94.7,Type_A
2000701,44.6,47.0,99.8,95.6,Type_B
2000702,65.4,31.3,121.1,92.0,Type_B
2000703,37.2,61.7,119.1,41.3,Type_A
2000704,38.5,31.5,108.9,82.5,Type_B
2000705,58.8,78.9,94.2,71.6,Type_A
2000706,31.0,24.0,92.0,85.1,Type_B
2000707,48.3,41.4,79.0,57.0,Type_B
2000708,17.3,48.0,89.0,90.7,Type_B
2000709,57.4,34.4,135.4,102.8,Type_B
2000710,46.4,59.8,95.1,110.5,Type_B
2000711,44.5,43.3,123.7,110.4,Type_C
2000712,49.0,24.7,100.0,90.3,Type_B
2000713,64.8,61.0,102.2,45.1,Type_C
2000714,54.2,57.3,114.3,125.9,Type_B
2000715,37.9,28.4,97.8,74.8,Type_B
2000716,59.8,40.9,49.9,104.1,Type_C
2000717,37.7,61.2,101.9,104.3,Type_B
2000718,22.7,64.2,135.2,50.7,Type_A
2000719,26.8,46.9,99.9,88.1,Type_A
2000720,30.1,37.0,123.5,84.0,Type_A
2000721,51.0,47.4,111.4,109.6,Type_C
2000722,36.5,34.1,123.5,85.1,Type_A
2000723,29.9,29.6,140.0,97.3,Type_C
2000724,63.4,55.0,112.6,102.8,Type_B
2000725,59.9,51.1,120.5,91.0,Type_B
2000726,53.2,49.9,132.2,88.4,Type_A
2000727,56.0,39.7,138.5,88.5,Type_B
2000728,24.3,18.4,65.0,100.3,Type_B
2000729,18.0,61.5,90.9,33.9,Type_B
2000730,34.1,51.8,48.5,69.3,Type_C
2000731,45.6,57.5,82.6,89.9,Type_C
2000732,30.6,,114.6,97.6,Type_C
2000733,13.1,39.6,101.8,114.9,Type_A
2000734,50.0,53.7,136.5,92.5,Type_C
2000735,53.1,58.2,93.3,167.0,Type_B
2000736,52.6,32.4,105.4,131.2,Type_A
2000737,31.1,53.3,126.4,90.4,Type_B
2000738,48.3,39.1,66.6,39.9,Type_A
2000739,36.7,23.4,117.3,118.1,Type_B
2000740,30.0,39.8,78.6,103.5,Type_A
2000741,25.2,38.4,143.0,40.9,Type_A
2000742,45.0,48.6,57.7,132.2,Type_A
2000743,21.3,50.0,87.5,120.2,Type_B
2000744,27.3,28.3,87.8,73.0,Type_B
2000745,51.3,66.8,59.0,114.4,Type_B
2000746,60.3,47.3,76.1,108.1,Type_C
2000747,48.3,63.8,78.1,92.2,Type_B
2000748,45.2,16.4,54.3,114.1,Type_C
2000749,57.0,61.4,85.3,99.9,Type_B
2000750,34.1,32.4,115.9,137.8,Type_B
2000751,51.6,69.1,121.2,96.7,Type_B
2000752,25.0,47.8,83.3,78.7,Type_A
2000753,21.7,70.9,68.6,74.7,Type_B
2000754,63.9,7.8,103.0,84.1,Type_B
2000755,49.9,48.6,110.6,127.0,Type_C
2000756,46.6,35.5,100.4,70.3,Type_C
2000757,35.4,37.7,94.8,114.2,Type_C
2000758,45.6,56.2,56.2,118.0,Type_B
2000759,52.0,,76.1,120.1,Type_A
2000760,29.8,50.2,106.9,70.3,Type_A
2000761,41.4,46.7,99.4,122.2,Type_C
2000762,20.2,24.8,105.8,74.3,Type_C
2000763,61.7,38.9,79.3,86.1,Type_A
2000764,43.1,17.1,65.1,92.5,Type_B
2000765,42.6,45.7,63.9,57.8,Type_A
2000766,44.8,44.1,63.9,91.6,Type_C
2000767,44.5,31.6,96.1,93.4,Type_B
2000768,51.7,62.9,71.8,105.8,Type_B
2000769,57.7,37.7,69.4,133.7,Type_C
2000770,20.2,32.9,87.7,89.7,Type_C
2000771,43.2,64.6,93.7,71.7,Type_A
2000772,32.9,39.0,137.8,110.9,Type_B
2000773,59.7,25.5,103.5,73.9,Type_C
2000774,43.1,41.6,96.2,117.2,Type_A
2000775,18.9,43.2,110.2,98.6,Type_C
2000776,43.1,67.7,98.9,100.8,Type_B
2000777,52.4,41.0,104.1,106.6,Type_C
2000778,47.7,43.9,90.6,137.7,Type_B
2000779,41.3,67.2,64.8,129.2,Type_C
2000780,46.6,34.3,120.1,86.7,Type_A
2000781,31.9,47.1,100.5,98.5,Type_B
2000782,29.6,71.6,132.3,87.0,Type_A
2000783,42.0,46.7,81.6,122.6,Type_B
2000784,38.2,73.3,110.6,95.0,Type_C
2000785,56.8,31.8,81.1,111.5,Type_C
2000786,2.7,45.0,99.4,84.5,Type_B
2000787,54.0,52.3,84.7,135.8,Type_C
2000788,33.3,43.9,99.2,129.0,Type_B
2000789,45.5,44.0,151.3,110.3,Type_C
2000790,11.4,36.6,84.3,78.0,Type_A
2000791,48.2,36.3,75.6,85.1,Type_C
2000792,40.3,59.4,83.5,41.8,Type_B
2000793,57.3,60.3,91.1,107.2,Type_C
2000794,81.8,49.3,97.6,105.1,Type_B
2000795,30.4,45.7,115.7,111.6,Type_A
2000796,68.7,19.3,57.8,134.1,Type_C
2000797,65.1,31.4,99.3,144.7,Type_B
2000798,61.6,28.4,104.7,84.8,Type_C
2000799,51.1,21.1,137.0,61.1,Type_A
2000800,54.1,44.2,121.4,132.3,Type_A
2000801,47.9,33.8,94.4,83.8,Type_B
2000802,53.9,32.3,114.1,103.0,Type_B
2000803,50.5,48.7,111.5,76.9,Type_A
2000804,36.2,45.5,90.4,112.1,Type_C
2000805,37.3,21.0,103.8,129.6,Type_A
2000806,22.0,60.5,102.1,104.8,Type_A
2000807,76.4,39.0,75.7,99.7,Type_A
2000808,48.1,33.3,56.8,85.1,Type_A
2000809,41.9,14.6,129.4,49.4,Type_B
2000810,67.3,28.4,92.8,158.7,Type_B
2000811,50.7,36.3,112.7,130.7,Type_B
2000812,62.6,76.3,123.7,36.9,Type_B
2000813,36.1,47.5,87.8,46.1,Type_A
2000814,63.8,37.5,121.2,139.3,Type_A
2000815,25.7,46.5,82.1,115.6,Type_B
2000816,41.7,53.0,83.8,101.6,Type_B
2000817,38.9,30.0,115.4,94.9,Type_B
2000818,35.0,18.2,109.5,124.8,Type_B
2000819,38.9,80.5,123.7,102.1,Type_A
2000820,45.4,78.3,111.4,95.8,Type_B
2000821,46.1,36.7,41.2,113.7,Type_C
2000822,56.7,48.5,64.1,131.5,Type_B
2000823,57.0,35.0,91.3,139.5,Type_B
2000824,33.5,74.1,126.6,109.2,Type_C
2000825,47.8,16.5,109.5,118.6,Type_C
2000826,32.7,51.8,78.2,106.7,Type_A
2000827,39.2,35.2,82.6,120.3,Type_A
2000828,49.2,35.6,140.5,165.1,Type_B
2000829,43.7,88.7,77.8,70.6,Type_C
2000830,55.2,74.6,94.4,63.2,Type_C
2000831,58.5,35.1,139.5,101.0,Type_A
2000832,67.6,27.9,83.3,83.1,Type_A
2000833,62.5,50.7,159.4,105.7,Type_A
2000834,37.5,41.0,77.6,92.6,Type_B
2000835,64.7,50.5,96.1,74.5,Type_A
2000836,50.6,66.8,84.2,144.5,Type_C
2000837,63.3,14.8,112.3,86.0,Type_C
2000838,35.8,27.5,122.0,104.2,Type_B
2000839,61.6,21.1,112.8,121.7,Type_C
2000840,35.8,50.2,76.0,58.3,Type_C
2000841,27.0,59.6,88.6,97.9,Type_A
2000842,43.6,19.0,77.0,56.9,Type_B
2000843,37.5,31.8,81.9,104.1,Type_C
2000844,24.6,49.7,107.4,102.2,Type_B
2000845,44.1,40.7,73.7,133.5,Type_C
2000846,54.1,65.1,84.9,126.9,Type_B
2000847,38.5,54.5,109.2,86.9,Type_C
2000848,26.6,58.1,58.4,121.1,Type_A
2000849,45.4,38.6,92.6,99.5,Type_B
2000850,34.2,,103.3,89.6,Type_C
2000851,17.6,36.5,112.6,63.1,Type_B
2000852,37.8,46.8,104.9,94.5,Type_C
2000853,59.6,73.2,90.6,83.8,Type_A
2000854,49.6,49.4,116.6,151.1,Type_A
2000855,48.3,44.0,106.4,75.2,Type_B
2000856,60.6,53.3,133.4,110.8,Type_B
2000857,30.3,48.0,93.2,93.2,Type_C
2000858,51.0,39.8,102.1,147.8,Type_B
2000859,42.5,43.1,98.8,102.9,Type_C
2000860,41.6,,105.4,129.3,Type_B
2000861,37.1,27.8,128.7,120.4,Type_B
2000862,41.8,54.5,130.4,89.3,Type_C
2000863,16.5,40.5,75.2,134.5,Type_A
2000864,46.7,38.7,80.4,125.7,Type_A
2000865,21.7,45.5,70.9,82.6,Type_B
2000866,72.7,66.2,45.9,131.2,Type_C
2000867,40.0,44.5,112.2,125.5,Type_C
2000868,69.9,42.1,79.8,74.8,Type_B
2000869,43.1,41.4,120.0,83.1,Type_A
2000870,43.7,49.0,174.2,122.1,Type_A
2000871,61.1,24.5,82.3,123.2,Type_B
2000872,42.4,45.0,158.5,124.5,Type_B
2000873,76.6,49.0,97.5,137.2,Type_C
2000874,40.4,47.5,123.6,84.6,Type_B
2000875,50.7,52.0,87.8,86.6,Type_A
2000876,54.5,33.3,97.7,62.0,Type_A
2000877,44.9,22.3,87.1,103.7,Type_B
2000878,20.4,25.9,119.8,90.9,Type_A
2000879,21.2,44.2,127.6,57.1,Type_C
2000880,32.8,43.6,103.2,71.8,Type_B
2000881,31.2,49.9,24.0,66.5,Type_A
2000882,37.7,58.5,107.4,151.6,Type_B
2000883,40.8,40.0,98.2,104.3,Type_C
2000884,41.1,42.5,62.4,127.3,Type_A
2000885,40.5,24.1,79.0,64.1,Type_A
2000886,35.7,62.3,114.8,44.6,Type_A
2000887,42.7,57.1,146.3,128.1,Type_A
2000888,54.5,43.9,161.7,68.6,Type_C
2000889,45.2,61.5,108.3,100.3,Type_C
2000890,53.1,,83.1,144.0,Type_B
2000891,63.8,45.6,134.7,70.0,Type_B
2000892,21.3,41.4,104.7,124.2,Type_A
2000893,61.6,49.5,104.4,77.1,Type_B
2000894,24.7,25.6,87.5,114.8,Type_C
2000895,34.7,36.5,79.2,133.4,Type_C
2000896,48.9,62.8,141.3,99.5,Type_C
2000897,7.9,63.7,125.5,143.4,Type_A
2000898,48.2,52.4,79.5,94.8,Type_B
2000899,51.9,47.2,80.7,79.3,Type_C
2000900,42.0,56.2,137.3,137.3,Type_B
2000901,64.1,46.1,131.0,94.4,Type_B
2000902,34.0,29.7,86.6,128.7,Type_A
2000903,59.0,27.4,150.3,85.7,Type_B
2000904,46.1,51.5,137.0,100.7,Type_B
2000905,52.1,42.0,122.6,55.1,Type_B
2000906,52.1,51.7,121.6,113.1,Type_A
2000907,28.1,53.8,113.3,112.7,Type_B
2000908,58.2,16.0,82.1,64.8,Type_B
2000909,53.6,29.6,61.3,122.3,Type_B
2000910,36.5,57.9,76.0,70.9,Type_C
2000911,29.8,28.5,134.2,129.1,Type_A
2000912,50.1,48.1,112.0,94.7,Type_B
2000913,21.0,48.4,109.5,87.3,Type_B
2000914,60.8,59.3,102.3,94.8,Type_A
2000915,54.8,50.3,90.3,78.4,Type_C
2000916,44.0,33.6,110.8,134.4,Type_C
2000917,34.8,44.7,78.7,96.2,Type_A
2000918,25.9,56.7,85.9,103.7,Type_A
2000919,47.4,69.9,67.9,81.5,Type_A
2000920,26.6,31.4,139.0,101.0,Type_A
2000921,32.4,39.7,106.0,107.0,Type_A
2000922,54.6,87.6,125.8,113.4,Type_A
2000923,67.8,55.3,116.2,50.5,Type_B
2000924,31.9,49.7,94.8,107.4,Type_A
2000925,37.9,48.7,98.0,132.6,Type_B
2000926,56.0,32.1,93.9,109.6,Type_B
2000927,58.8,50.6,101.4,116.7,Type_C
2000928,52.4,38.8,89.6,90.8,Type_A
2000929,67.0,49.4,79.7,113.1,Type_B
2000930,44.9,24.3,114.6,108.3,Type_C
2000931,37.7,39.5,81.2,99.1,Type_C
2000932,48.6,42.6,62.8,73.7,Type_A
2000933,68.1,34.1,64.8,52.6,Type_C
2000934,32.1,42.0,119.0,133.5,Type_C
2000935,69.5,70.8,90.1,145.0,Type_A
2000936,63.0,51.0,66.6,105.3,Type_C
2000937,44.6,37.8,117.7,96.4,Type_C
2000938,39.5,34.2,93.9,139.1,Type_C
2000939,49.8,44.3,112.1,102.8,Type_B
2000940,25.4,43.5,130.3,112.5,Type_B
2000941,6.8,46.8,70.6,103.6,Type_C
2000942,39.6,54.1,142.0,63.6,Type_C
2000943,64.0,37.1,98.6,99.0,Type_A
2000944,22.7,53.0,81.3,89.3,Type_A
2000945,48.5,5.1,26.6,106.2,Type_A
2000946,38.2,46.8,58.7,106.5,Type_B
2000947,35.1,50.7,160.3,45.8,Type_A
2000948,25.6,29.3,90.8,121.4,Type_B
2000949,19.9,49.9,84.8,126.4,Type_C
2000950,52.5,23.2,103.7,49.0,Type_B
2000951,55.5,50.0,107.8,84.1,Type_A
2000952,28.0,25.9,109.1,110.0,Type_A
2000953,54.0,7.3,85.1,89.2,Type_C
2000954,53.2,61.2,109.2,135.7,Type_A
2000955,36.9,48.6,70.1,86.7,Type_C
2000956,46.3,30.0,112.8,58.0,Type_B
2000957,48.4,69.6,103.1,85.7,Type_B
2000958,21.1,55.2,56.9,149.0,Type_A
2000959,26.2,43.6,77.4,120.7,Type_B
2000960,47.1,50.7,113.3,69.4,Type_B
2000961,66.3,54.7,95.9,101.0,Type_B
2000962,50.0,26.4,95.3,63.2,Type_C
2000963,48.5,46.6,49.5,120.8,Type_B
2000964,37.5,68.2,73.2,114.9,Type_C
2000965,36.2,42.3,87.3,82.3,Type_B
2000966,39.8,36.3,56.9,111.5,Type_B
2000967,33.8,23.6,124.4,51.0,Type_A
2000968,42.2,74.3,128.0,88.5,Type_B
2000969,25.5,49.5,105.5,112.7,Type_C
2000970,37.4,29.0,85.3,70.3,Type_B
2000971,43.0,61.2,65.2,125.4,Type_B
2000972,45.0,38.2,124.3,54.1,Type_C
2000973,29.7,29.1,137.0,84.1,Type_A
2000974,58.0,32.3,44.2,90.8,Type_C
2000975,38.2,27.4,67.6,125.6,Type_C
2000976,53.4,55.3,36.2,97.9,Type_B
2000977,32.5,53.3,87.2,102.0,Type_A
2000978,56.7,67.4,145.8,98.4,Type_C
2000979,37.4,37.1,54.0,68.7,Type_A
2000980,47.7,37.9,97.7,129.6,Type_A
2000981,47.5,40.7,122.4,95.2,Type_B
2000982,55.0,61.4,74.7,151.2,Type_C
2000983,69.3,10.1,83.9,92.6,Type_A
2000984,45.9,39.8,100.7,80.4,Type_B
2000985,46.9,31.6,105.5,88.1,Type_B
2000986,38.7,76.1,113.8,63.1,Type_C
2000987,55.3,43.0,107.7,114.4,Type_C
2000988,45.5,32.2,125.2,115.5,Type_A
2000989,33.4,44.9,66.0,95.6,Type_C
2000990,14.9,35.2,95.3,124.0,Type_C
2000991,38.3,54.6,93.9,104.3,Type_B
2000992,78.4,47.4,91.3,75.1,Type_C
2000993,52.2,35.4,96.9,81.2,Type_A
2000994,56.2,47.1,55.0,98.9,Type_C
2000995,35.5,52.9,66.1,83.9,Type_A
2000996,54.2,53.5,94.5,139.9,Type_C
2000997,27.3,29.0,81.7,90.9,Type_A
2000998,55.2,45.2,74.0,40.4,Type_C
2000999,44.5,30.9,78.2,71.2,Type_C
2001000,59.2,48.1,121.9,101.5,Type_A
