SessionID,Neighborhood,WeatherCondition,SurgeMultiplier,DriverSupply,DemandIndex
960573,Airport,Clear,1.12,43.0,106.4
960574,Downtown,Snowy,1.28,20.0,111.5
960575,Airport,Snowy,1.11,55.0,125.0
960576,Uptown,Rainy,1.07,57.0,74.8
960577,Airport,Clear,1.31,13.0,81.0
960578,Uptown,Clear,1.05,51.0,48.0
960579,Airport,Snowy,1.27,23.0,123.0
960580,Suburbs,Clear,1.3,8.0,48.8
960581,Downtown,Snowy,1.11,51.0,111.2
960582,Uptown,Rainy,1.08,35.0,58.9
960583,Airport,Rainy,1.19,29.0,110.3
960584,Downtown,Rainy,1.1,46.0,91.5
960585,Uptown,Clear,1.05,59.0,53.5
960586,Airport,Clear,1.48,8.0,77.4
960587,Suburbs,Clear,1.07,26.0,34.1
960588,Suburbs,Clear,1.04,49.0,35.8
960589,Suburbs,Rainy,1.05,58.0,59.8
960590,Uptown,Clear,2.23,2.0,49.1
960591,Suburbs,Clear,1.23,12.0,54.4
960592,Airport,Rainy,2.84,3.0,110.7
960593,Suburbs,Clear,1.18,11.0,40.2
960594,Airport,Clear,1.09,52.0,93.2
960595,Airport,Clear,1.46,10.0,91.1
960596,Downtown,Clear,1.27,15.0,80.4
960597,Uptown,Rainy,1.11,29.0,66.1
960598,Uptown,Clear,1.16,13.0,42.3
960599,Downtown,Clear,1.46,7.0,64.1
960600,Uptown,Clear,1.19,13.0,48.9
960601,Downtown,Clear,1.45,7.0,63.6
960602,Suburbs,Clear,1.45,4.0,35.8
960603,Airport,Clear,1.52,8.0,83.5
960604,Suburbs,Clear,1.24,11.0,51.7
960605,Downtown,Rainy,1.1,51.0,105.2
960606,Downtown,Clear,1.05,59.0,62.2
960607,Uptown,Clear,1.24,9.0,42.7
960608,Uptown,Clear,1.11,17.0,35.9
960609,Downtown,Rainy,1.43,12.0,102.5
960610,Uptown,Clear,1.1,20.0,40.5
960611,Downtown,Clear,1.7,6.0,84.0
960612,Uptown,Clear,1.08,26.0,41.5
960613,Uptown,Clear,1.05,52.0,47.1
960614,Suburbs,Rainy,1.07,51.0,73.7
960615,Suburbs,Clear,1.08,30.0,49.0
960616,Uptown,Rainy,1.12,25.0,62.0
960617,Airport,Clear,1.09,48.0,83.6
960618,Suburbs,Clear,1.08,24.0,39.7
960619,Downtown,Clear,1.08,52.0,78.5
960620,Airport,Clear,1.16,31.0,100.4
960621,Downtown,Clear,1.26,14.0,73.7
960622,Uptown,Clear,1.04,56.0,48.0
960623,Downtown,Clear,1.12,38.0,90.8
960624,Airport,Rainy,1.13,44.0,113.3
960625,Downtown,Clear,1.07,57.0,74.4
960626,Downtown,Clear,1.08,44.0,70.1
960627,Uptown,Clear,1.14,13.0,36.4
960628,Airport,Clear,1.47,10.0,93.4
960629,Uptown,Clear,1.08,29.0,44.0
960630,Uptown,Clear,1.06,26.0,30.4
960631,Airport,Clear,1.35,13.0,89.9
960632,Uptown,Clear,1.06,45.0,54.2
960633,Airport,Snowy,1.16,42.0,132.3
960634,Airport,Snowy,1.14,47.0,136.2
960635,Suburbs,Clear,1.16,12.0,38.5
960636,Downtown,Rainy,1.25,16.0,80.6
960637,Suburbs,Clear,1.82,2.0,32.9
960638,Uptown,Clear,1.14,16.0,43.4
960639,Suburbs,Clear,1.06,46.0,51.2
960640,Downtown,Clear,1.9,4.0,71.7
960641,Uptown,Clear,1.04,53.0,40.5
960642,Suburbs,Clear,1.04,49.0,38.1
960643,Uptown,Snowy,1.08,56.0,93.3
960644,Suburbs,Clear,1.09,34.0,59.0
960645,Airport,Clear,1.31,16.0,98.8
960646,Suburbs,Clear,1.06,30.0,34.1
960647,Suburbs,Clear,1.06,25.0,29.8
960648,Downtown,Clear,1.09,46.0,85.0
960649,Suburbs,Clear,1.07,37.0,51.7
960650,Uptown,Clear,1.06,50.0,55.8
960651,Uptown,Clear,1.53,3.0,32.0
960652,Uptown,Clear,1.06,47.0,53.8
960653,Suburbs,Clear,1.12,19.0,44.5
960654,Downtown,Clear,1.16,24.0,74.8
960655,Downtown,Clear,2.35,3.0,81.2
960656,Airport,Rainy,1.13,43.0,109.4
960657,Downtown,Clear,1.22,21.0,93.8
960658,Airport,Snowy,1.36,19.0,137.3
960659,Suburbs,Clear,1.04,52.0,38.1
960660,Downtown,Clear,1.06,59.0,74.4
960661,Uptown,Clear,1.07,30.0,44.8
960662,Uptown,Clear,1.64,4.0,51.2
960663,Uptown,Rainy,1.06,50.0,61.0
960664,Suburbs,Clear,1.06,42.0,50.7
960665,Downtown,Clear,1.15,29.0,89.2
960666,Uptown,Clear,1.39,6.0,46.8
960667,Airport,Clear,1.18,25.0,90.4
960668,Airport,Clear,3.41,2.0,96.5
960669,Uptown,Clear,1.08,36.0,59.6
960670,Airport,Rainy,1.12,42.0,104.3
960671,Suburbs,Clear,1.32,8.0,51.0
960672,Suburbs,Clear,1.08,33.0,52.3
960673,Airport,Clear,1.94,,94.1
960674,Downtown,Clear,1.08,57.0,87.2
960675,Airport,Clear,1.07,59.0,82.2
960676,Uptown,Clear,1.14,16.0,46.2
960677,Downtown,Rainy,1.13,38.0,101.4
960678,Downtown,Clear,1.06,52.0,66.5
960679,Uptown,Snowy,1.18,25.0,90.8
960680,Uptown,Clear,1.11,22.0,49.1
960681,Uptown,Clear,1.21,12.0,49.3
960682,Airport,Clear,1.1,43.0,88.7
960683,Suburbs,Clear,1.16,11.0,34.5
960684,Airport,Clear,1.09,58.0,104.8
960685,Downtown,Clear,2.02,4.0,81.6
960686,Airport,Clear,1.33,13.0,85.2
960687,Downtown,Rainy,1.13,33.0,88.9
960688,Uptown,Clear,1.09,35.0,66.1
960689,Suburbs,Rainy,1.13,25.0,67.4
960690,Suburbs,Clear,1.59,5.0,58.9
960691,Airport,Clear,1.08,51.0,82.6
960692,Downtown,Clear,1.1,39.0,76.1
960693,Suburbs,Clear,1.04,,42.3
960694,Downtown,Rainy,1.47,11.0,103.7
960695,Airport,Snowy,1.36,16.0,116.7
960696,Uptown,Clear,1.06,47.0,54.5
960697,Uptown,Clear,1.04,58.0,51.6
960698,Uptown,Clear,1.2,12.0,49.0
960699,Downtown,Clear,1.07,54.0,73.8
960700,Airport,Clear,1.18,23.0,84.7
960701,Downtown,Clear,2.96,2.0,78.2
960702,Uptown,Clear,1.12,22.0,50.9
960703,Airport,Clear,1.07,56.0,82.2
960704,Uptown,Rainy,1.08,36.0,56.6
960705,Suburbs,Rainy,1.26,13.0,66.8
960706,Uptown,Clear,1.1,25.0,49.1
960707,Downtown,Clear,1.19,25.0,92.7
960708,Uptown,Clear,1.41,6.0,49.1
960709,Suburbs,Snowy,1.09,36.0,64.1
960710,Downtown,Rainy,1.44,11.0,96.3
960711,Suburbs,Snowy,1.1,37.0,77.6
960712,Airport,Rainy,1.16,36.0,117.2
960713,Suburbs,Clear,1.11,27.0,57.4
960714,Downtown,Rainy,1.22,23.0,99.2
960715,Suburbs,Clear,1.07,29.0,41.9
960716,Downtown,Clear,1.15,29.0,87.2
960717,Downtown,Clear,1.06,50.0,64.0
960718,Suburbs,Clear,1.1,20.0,38.2
960719,Uptown,Clear,1.06,25.0,29.7
960720,Airport,Clear,1.09,48.0,88.1
960721,Downtown,Clear,1.2,23.0,94.0
960722,Airport,Clear,1.12,41.0,98.2
960723,Airport,Rainy,1.79,6.0,95.1
960724,Uptown,Clear,1.08,34.0,54.2
960725,Suburbs,Clear,1.1,19.0,39.2
960726,Airport,Clear,1.59,7.0,82.9
960727,Airport,Clear,1.26,17.0,86.9
960728,Airport,Rainy,1.33,17.0,112.8
960729,Downtown,Clear,1.09,35.0,63.1
960730,Uptown,Rainy,2.46,2.0,58.5
960731,Suburbs,Rainy,1.14,27.0,74.3
960732,Airport,Rainy,1.14,39.0,112.2
960733,Suburbs,Rainy,1.08,41.0,65.8
960734,Airport,Clear,1.13,35.0,88.0
960735,Uptown,Clear,1.07,31.0,42.7
960736,Downtown,Clear,1.22,14.0,61.8
960737,Uptown,Clear,1.02,55.0,27.5
960738,Airport,Rainy,1.59,9.0,105.4
960739,Downtown,Snowy,1.15,37.0,107.9
960740,Airport,Clear,1.53,9.0,95.3
960741,Downtown,Snowy,1.4,11.0,89.1
960742,Downtown,Clear,1.2,20.0,81.7
960743,Airport,Rainy,1.14,36.0,103.8
960744,Suburbs,Clear,1.1,18.0,34.3
960745,Suburbs,Clear,1.07,26.0,37.0
960746,Suburbs,Clear,1.07,32.0,46.7
960747,Suburbs,Clear,1.06,36.0,39.8
960748,Airport,Rainy,1.11,52.0,111.7
960749,Airport,Clear,1.08,58.0,97.7
960750,Downtown,Rainy,1.13,35.0,90.9
960751,Uptown,Snowy,1.09,43.0,78.4
960752,Airport,Clear,1.11,45.0,99.2
960753,Downtown,Clear,1.75,5.0,74.6
960754,Suburbs,Clear,1.3,9.0,53.6
960755,Airport,Clear,1.25,20.0,98.9
960756,Uptown,Rainy,1.05,59.0,59.7
960757,Downtown,Clear,1.08,39.0,62.4
960758,Downtown,Clear,1.24,14.0,66.8
960759,Uptown,Clear,1.04,51.0,45.6
960760,Uptown,Clear,1.09,19.0,34.9
960761,Suburbs,Clear,1.33,6.0,40.0
960762,Suburbs,Clear,1.15,15.0,45.3
960763,Airport,Clear,1.17,27.0,91.4
960764,Airport,Clear,1.12,34.0,84.5
960765,Uptown,Clear,1.09,29.0,50.3
960766,Uptown,Clear,1.05,46.0,46.2
960767,Suburbs,Clear,1.1,27.0,55.5
960768,Downtown,Rainy,1.09,54.0,94.8
960769,Downtown,Snowy,2.85,3.0,110.8
960770,Suburbs,Rainy,1.07,57.0,79.3
960771,Uptown,Clear,1.03,44.0,27.2
960772,Suburbs,Clear,1.12,26.0,62.5
960773,Downtown,Clear,1.12,26.0,60.2
960774,Suburbs,Clear,1.03,43.0,29.2
960775,Airport,Snowy,1.21,32.0,133.4
960776,Suburbs,Clear,1.19,11.0,41.8
960777,Uptown,Clear,1.07,35.0,45.8
960778,Downtown,Clear,1.22,20.0,86.5
960779,Downtown,Snowy,1.33,15.0,100.1
960780,Downtown,Clear,1.39,10.0,77.4
960781,Downtown,Clear,1.07,55.0,79.4
960782,Suburbs,Rainy,1.14,21.0,59.0
960783,Airport,Clear,1.18,23.0,84.0
960784,Suburbs,Clear,1.05,44.0,45.0
960785,Uptown,Clear,1.04,55.0,47.4
960786,Suburbs,Clear,1.26,9.0,47.4
960787,Uptown,Clear,1.05,45.0,43.0
960788,Suburbs,Clear,1.08,28.0,45.6
960789,Downtown,Rainy,2.58,3.0,95.0
960790,Downtown,Clear,1.17,21.0,72.0
960791,Suburbs,Clear,1.06,50.0,56.9
960792,Airport,Clear,1.1,50.0,100.0
960793,Uptown,Clear,1.05,38.0,39.5
960794,Suburbs,Clear,1.1,28.0,54.2
960795,Suburbs,Rainy,1.09,36.0,67.3
960796,Downtown,Clear,1.18,20.0,72.0
960797,Suburbs,Rainy,1.08,37.0,59.3
960798,Uptown,Snowy,1.1,40.0,78.8
960799,Downtown,Clear,1.22,12.0,53.0
960800,Downtown,Rainy,1.33,14.0,93.0
960801,Downtown,Clear,1.1,41.0,84.2
960802,Suburbs,Clear,1.22,14.0,62.9
960803,Airport,Clear,1.8,6.0,96.3
960804,Uptown,Clear,1.07,28.0,40.8
960805,Suburbs,Clear,1.05,47.0,45.0
960806,Suburbs,Clear,1.05,53.0,54.7
960807,Uptown,Clear,1.05,38.0,41.0
960808,Uptown,Clear,1.12,12.0,29.3
960809,Uptown,Snowy,1.07,54.0,76.8
960810,Downtown,Rainy,1.13,35.0,94.0
960811,Suburbs,Clear,1.05,46.0,43.2
960812,Airport,Clear,1.08,44.0,71.6
960813,Airport,Clear,1.08,54.0,90.0
960814,Airport,Clear,1.39,11.0,85.9
960815,Downtown,Clear,1.06,59.0,69.5
960816,Downtown,Rainy,1.09,55.0,98.0
960817,Uptown,Clear,1.12,21.0,51.7
960818,Suburbs,Clear,1.16,17.0,53.9
960819,Airport,Clear,1.36,11.0,79.7
960820,Uptown,Clear,1.08,23.0,39.1
960821,Suburbs,Clear,1.31,7.0,42.7
960822,Airport,Clear,2.69,3.0,101.5
960823,Suburbs,Rainy,1.07,45.0,66.9
960824,Airport,Clear,1.1,36.0,74.5
960825,Downtown,Clear,1.11,30.0,65.7
960826,Uptown,Clear,1.05,37.0,36.6
960827,Downtown,Clear,1.16,25.0,82.2
960828,Uptown,Rainy,1.06,51.0,63.3
960829,Suburbs,Clear,1.19,11.0,41.4
960830,Suburbs,Clear,1.08,39.0,63.6
960831,Downtown,Clear,1.08,53.0,84.3
960832,Suburbs,Clear,1.03,50.0,33.4
960833,Airport,Clear,1.37,13.0,96.2
960834,Uptown,Clear,1.12,20.0,46.4
960835,Uptown,Clear,1.05,48.0,50.9
960836,Airport,Clear,1.12,45.0,108.1
960837,Suburbs,Clear,1.05,52.0,50.4
960838,Downtown,Clear,1.15,26.0,78.6
960839,Downtown,Clear,2.03,3.0,61.7
960840,Airport,Rainy,2.92,3.0,115.4
960841,Downtown,Clear,1.08,42.0,67.6
960842,Downtown,Clear,1.14,25.0,71.1
960843,Suburbs,Clear,1.04,59.0,44.4
960844,Airport,Clear,1.12,35.0,86.0
960845,Downtown,Snowy,1.19,32.0,123.6
960846,Airport,Snowy,1.19,31.0,115.4
960847,Uptown,Clear,1.05,48.0,46.8
960848,Uptown,Clear,1.04,52.0,43.2
960849,Airport,Clear,1.09,52.0,89.2
960850,Airport,Snowy,1.25,24.0,121.1
960851,Downtown,Rainy,1.11,44.0,99.0
960852,Suburbs,Clear,1.06,,42.0
960853,Downtown,Clear,1.57,7.0,80.2
960854,Suburbs,Clear,1.04,57.0,46.6
960855,Uptown,Rainy,1.07,45.0,60.2
960856,Airport,Clear,1.14,29.0,82.4
960857,Suburbs,Clear,1.1,25.0,52.4
960858,Suburbs,Clear,1.04,51.0,42.3
960859,Downtown,Clear,1.1,43.0,88.9
960860,Airport,Clear,1.1,44.0,83.9
960861,Suburbs,Snowy,1.07,56.0,83.6
960862,Airport,Clear,1.57,8.0,90.6
960863,Airport,Clear,1.12,40.0,99.0
960864,Suburbs,Clear,1.05,,49.5
960865,Uptown,Clear,1.05,44.0,45.2
960866,Airport,Clear,1.09,53.0,93.6
960867,Downtown,Clear,1.47,8.0,75.4
960868,Airport,Clear,1.1,45.0,90.9
960869,Suburbs,Clear,1.07,46.0,61.3
960870,Uptown,Clear,1.13,14.0,36.9
960871,Suburbs,Snowy,1.06,52.0,63.3
960872,Airport,Rainy,1.29,16.0,93.0
960873,Downtown,Clear,1.07,54.0,78.6
960874,Suburbs,Clear,1.04,50.0,35.3
960875,Suburbs,Clear,1.13,19.0,48.9
960876,Airport,Clear,1.09,51.0,92.9
960877,Downtown,Rainy,1.11,43.0,90.5
960878,Downtown,Rainy,1.95,5.0,95.0
960879,Uptown,Clear,1.05,58.0,60.3
960880,Suburbs,Clear,1.04,57.0,47.3
960881,Downtown,Rainy,1.09,49.0,87.6
960882,Airport,Rainy,1.37,15.0,110.8
960883,Airport,Rainy,1.12,46.0,111.9
960884,Suburbs,Clear,1.09,29.0,52.2
960885,Suburbs,Clear,1.06,36.0,41.3
960886,Airport,Rainy,3.1,3.0,125.7
960887,Uptown,Snowy,1.21,22.0,91.9
960888,Airport,Clear,1.16,29.0,94.1
960889,Suburbs,Clear,1.05,53.0,47.7
960890,Suburbs,Clear,1.07,28.0,38.6
960891,Downtown,Clear,1.13,25.0,67.4
960892,Downtown,Clear,1.11,29.0,63.1
960893,Airport,Rainy,1.16,33.0,105.5
960894,Uptown,Clear,1.05,53.0,48.2
960895,Uptown,Snowy,1.11,30.0,65.8
960896,Suburbs,Clear,1.05,44.0,42.2
960897,Uptown,Clear,1.06,46.0,51.5
960898,Suburbs,Rainy,1.26,14.0,72.0
960899,Downtown,Clear,1.23,16.0,74.4
960900,Downtown,Clear,1.12,35.0,80.7
960901,Suburbs,Snowy,1.54,8.0,86.4
960902,Airport,Clear,1.15,30.0,92.0
960903,Downtown,Clear,1.12,28.0,67.4
960904,Downtown,Clear,1.08,37.0,59.4
960905,Uptown,Clear,1.32,5.0,32.4
960906,Airport,Clear,1.1,49.0,93.4
960907,Uptown,Clear,1.07,28.0,41.2
960908,Suburbs,Rainy,1.35,10.0,70.9
960909,Uptown,Clear,1.09,18.0,33.3
960910,Suburbs,Clear,1.05,56.0,57.5
960911,Uptown,Clear,1.13,19.0,49.4
960912,Airport,Clear,1.16,27.0,86.4
960913,Airport,Clear,1.13,34.0,85.7
960914,Airport,Snowy,1.15,41.0,124.9
960915,Uptown,Clear,1.03,51.0,34.8
960916,Suburbs,Rainy,1.11,31.0,66.9
960917,Uptown,Rainy,1.19,18.0,66.7
960918,Suburbs,Snowy,1.12,33.0,78.6
960919,Downtown,Snowy,1.09,59.0,108.6
960920,Airport,Clear,1.24,20.0,94.4
960921,Downtown,Clear,1.07,48.0,68.4
960922,Downtown,Clear,1.12,33.0,77.5
960923,Uptown,Rainy,1.91,4.0,72.9
960924,Airport,Clear,1.12,33.0,82.2
960925,Downtown,Clear,1.45,8.0,71.3
960926,Airport,Clear,1.41,10.0,81.8
960927,Uptown,Clear,1.05,48.0,49.7
960928,Downtown,Snowy,1.22,26.0,116.5
960929,Suburbs,Clear,1.31,11.0,68.4
960930,Airport,Clear,1.08,53.0,83.1
960931,Airport,Clear,1.13,42.0,107.1
960932,Suburbs,Snowy,1.1,41.0,84.5
960933,Suburbs,Clear,1.09,24.0,45.1
960934,Downtown,Clear,1.07,53.0,77.6
960935,Uptown,Clear,1.08,34.0,55.0
960936,Downtown,Rainy,1.09,51.0,92.8
960937,Uptown,Clear,1.17,14.0,46.6
960938,Downtown,Clear,1.1,33.0,64.8
960939,Uptown,Rainy,1.11,25.0,54.4
960940,Suburbs,Clear,1.04,54.0,44.4
960941,Suburbs,Rainy,1.11,31.0,66.0
960942,Airport,Clear,1.27,18.0,95.8
960943,Suburbs,Clear,1.19,12.0,46.5
960944,Downtown,Clear,1.19,18.0,66.8
960945,Suburbs,Clear,1.05,46.0,46.9
960946,Suburbs,Rainy,1.2,15.0,58.8
960947,Downtown,Clear,2.09,3.0,65.2
960948,Uptown,Clear,1.04,44.0,37.8
960949,Suburbs,Clear,1.28,8.0,44.2
960950,Suburbs,Clear,1.03,45.0,26.7
960951,Airport,Rainy,1.1,56.0,106.8
960952,Uptown,Clear,1.51,4.0,41.1
960953,Airport,Clear,1.12,38.0,91.3
960954,Uptown,Clear,1.15,14.0,40.7
960955,Suburbs,Clear,1.12,20.0,46.0
960956,Suburbs,Rainy,2.8,2.0,72.1
960957,Airport,Clear,1.1,42.0,81.7
960958,Suburbs,Clear,1.07,30.0,40.1
960959,Downtown,Rainy,1.48,11.0,106.5
960960,Suburbs,Clear,1.05,45.0,48.4
960961,Downtown,Clear,1.12,28.0,68.0
960962,Downtown,Rainy,1.31,14.0,85.5
960963,Suburbs,Clear,1.04,58.0,41.4
960964,Suburbs,Clear,1.18,17.0,61.1
960965,Airport,Clear,1.16,,93.9
960966,Uptown,Clear,1.21,11.0,46.2
960967,Airport,Rainy,1.82,7.0,114.1
960968,Suburbs,Clear,1.04,47.0,37.9
960969,Airport,Clear,1.12,34.0,79.3
960970,Suburbs,Clear,1.04,46.0,34.0
960971,Downtown,Clear,1.5,8.0,80.0
960972,Airport,Snowy,2.91,3.0,114.4
960973,Suburbs,Rainy,1.22,14.0,61.7
960974,Downtown,Clear,1.31,,80.6
960975,Uptown,Clear,1.19,16.0,59.4
960976,Downtown,Clear,1.07,44.0,64.2
960977,Uptown,Clear,1.04,43.0,36.1
960978,Airport,Clear,1.14,31.0,88.8
960979,Uptown,Clear,1.75,3.0,45.2
960980,Airport,Clear,1.11,43.0,97.6
960981,Airport,Rainy,1.25,22.0,112.0
960982,Uptown,Clear,1.05,48.0,45.5
960983,Downtown,Clear,1.09,46.0,83.5
960984,Suburbs,Snowy,1.27,14.0,76.3
960985,Suburbs,Clear,1.42,,59.3
960986,Uptown,Clear,1.25,8.0,40.4
960987,Downtown,Clear,1.08,46.0,74.3
960988,Suburbs,Rainy,1.06,54.0,66.3
960989,Suburbs,Rainy,1.21,17.0,72.6
960990,Airport,Rainy,1.3,17.0,101.9
960991,Uptown,Clear,1.05,53.0,52.0
960992,Downtown,Rainy,1.15,31.0,93.8
960993,Suburbs,Clear,1.05,37.0,35.7
960994,Downtown,Clear,1.07,57.0,84.7
960995,Uptown,Clear,1.06,31.0,40.2
960996,Suburbs,Clear,1.08,24.0,40.3
960997,Airport,Clear,1.17,28.0,97.9
960998,Downtown,Clear,1.19,23.0,87.9
960999,Downtown,Clear,1.11,36.0,81.3
961000,Downtown,Clear,1.08,46.0,69.8
