TestID,Capacity_kWh,AmbientTemp,Speed_kmh,Range_km,AC_On
710701,60,-2.3,45.4,204.3,No
710702,75,23.0,53.7,369.7,No
710703,75,-3.0,107.7,319.7,No
710704,100,-5.3,69.7,394.8,Yes
710705,100,-8.2,116.1,274.8,Yes
710706,85,5.6,108.5,363.4,No
710707,75,32.2,97.7,364.6,No
710708,75,14.5,40.8,313.8,No
710709,60,27.1,51.9,264.0,No
710710,75,-9.0,53.8,296.4,No
710711,75,2.1,75.6,378.3,No
710712,75,11.8,72.7,374.4,No
710713,75,10.3,67.1,410.7,No
710714,75,25.9,53.9,345.9,No
710715,75,34.5,114.9,307.5,No
710716,85,-4.2,45.1,304.0,No
710717,75,34.0,39.0,292.8,No
710718,100,7.7,121.4,391.0,No
710719,85,20.0,124.7,348.5,No
710720,85,37.9,115.1,308.8,No
710721,85,12.9,111.8,373.6,No
710722,75,32.0,127.5,278.5,No
710723,75,0.5,58.6,321.9,No
710724,60,1.9,40.8,188.2,Yes
710725,60,27.5,57.1,251.5,Yes
710726,60,-6.1,72.9,226.7,Yes
710727,60,5.5,42.5,191.8,Yes
710728,75,-1.6,48.9,265.5,Yes
710729,60,11.7,116.9,242.4,No
710730,60,18.9,60.0,316.7,No
710731,75,6.2,36.1,237.2,Yes
710732,60,-2.7,92.4,227.2,Yes
710733,85,9.6,83.5,383.4,Yes
710734,75,-3.9,87.5,295.8,Yes
710735,85,23.3,42.8,299.5,Yes
710736,75,-9.6,56.8,244.8,Yes
710737,75,-8.8,53.7,263.6,No
710738,60,-4.6,81.7,236.5,Yes
710739,85,-6.7,55.9,297.9,Yes
710740,85,35.3,85.9,424.8,No
710741,60,32.0,72.2,260.5,Yes
710742,100,-3.2,81.8,441.2,Yes
710743,75,-8.9,32.3,216.8,No
710744,100,12.6,119.2,417.3,No
710745,75,9.7,67.8,354.9,No
710746,75,27.7,124.5,299.7,No
710747,75,16.9,99.6,372.0,No
710748,85,13.3,81.4,490.5,No
710749,85,32.9,69.5,358.0,Yes
710750,60,2.8,96.9,265.7,No
710751,60,12.1,107.5,257.3,No
710752,85,29.9,84.2,454.9,No
710753,75,0.7,94.1,309.2,No
710754,100,24.9,101.7,421.2,Yes
710755,60,9.5,46.0,203.1,Yes
710756,75,-2.2,76.3,297.7,Yes
710757,60,-4.1,127.8,208.4,No
710758,60,7.9,75.2,279.8,Yes
710759,85,-3.1,119.1,302.3,No
710760,60,17.3,71.8,322.6,No
710761,75,16.5,83.6,359.9,Yes
710762,85,-7.9,70.7,396.2,No
710763,100,30.9,115.8,403.5,No
710764,75,35.6,65.1,344.0,No
710765,75,26.5,101.2,300.5,Yes
710766,85,17.8,83.7,414.9,Yes
710767,75,4.6,57.0,283.1,Yes
710768,75,12.8,101.6,355.8,No
710769,60,0.9,61.2,252.9,No
710770,85,24.9,87.6,375.4,Yes
710771,100,27.3,61.3,423.8,Yes
710772,75,24.9,108.1,338.6,No
710773,60,9.9,107.7,256.5,Yes
710774,60,-7.0,80.9,300.9,No
710775,75,16.7,74.4,419.0,No
710776,75,34.8,85.0,361.3,No
710777,85,12.6,100.7,325.0,Yes
710778,60,-7.8,90.4,265.7,No
710779,60,32.3,70.6,264.4,Yes
710780,75,33.1,109.3,329.0,No
710781,75,0.7,34.1,282.2,No
710782,60,9.7,114.4,194.0,Yes
710783,85,13.4,115.1,355.0,No
710784,75,35.2,124.5,228.3,Yes
710785,75,13.0,115.5,334.8,No
710786,100,5.0,67.6,452.3,No
710787,60,16.0,121.1,225.1,No
710788,85,4.5,35.6,252.0,Yes
710789,60,14.8,121.4,244.4,No
710790,75,21.4,56.7,353.0,No
710791,75,22.7,75.0,412.7,No
710792,60,10.3,54.9,268.3,No
710793,100,4.0,74.4,453.2,No
710794,85,1.0,120.1,314.2,No
710795,75,36.2,102.6,325.3,No
710796,60,16.3,109.5,267.3,Yes
710797,60,25.6,63.3,303.2,No
710798,85,-9.3,60.4,344.7,No
710799,75,-1.6,62.5,342.3,No
710800,75,27.7,45.7,295.9,Yes
710801,75,10.3,98.5,350.1,No
710802,75,13.9,38.7,328.4,No
710803,85,-5.4,109.8,329.2,No
710804,75,-4.0,65.8,350.8,No
710805,85,-4.7,36.4,291.7,No
710806,60,8.4,86.5,263.4,Yes
710807,100,-2.1,68.5,378.7,Yes
710808,100,-5.7,31.2,303.3,No
710809,75,26.0,95.6,376.0,No
710810,60,32.2,48.0,211.7,Yes
710811,85,28.3,62.2,395.7,No
710812,60,29.7,127.0,226.6,No
710813,75,20.3,119.2,324.0,No
710814,60,-8.3,67.0,297.5,No
710815,60,32.0,60.1,293.2,No
710816,85,28.2,90.3,385.2,Yes
710817,60,1.4,52.9,222.5,Yes
710818,100,33.8,32.8,381.6,No
710819,75,22.5,101.1,368.3,No
710820,100,32.5,90.6,417.9,Yes
710821,85,16.4,71.0,418.6,Yes
710822,60,29.4,115.4,226.0,Yes
710823,60,9.7,33.2,180.7,Yes
710824,60,-8.3,119.4,164.1,Yes
710825,100,6.2,54.2,383.5,Yes
710826,60,9.6,60.1,233.4,Yes
710827,85,30.5,115.7,300.5,Yes
710828,60,24.7,122.5,253.5,No
710829,85,37.9,116.7,243.7,Yes
710830,85,11.9,46.3,373.2,No
710831,75,-0.2,40.6,263.6,No
710832,60,17.1,128.8,183.1,Yes
710833,75,0.5,82.6,356.4,No
710834,60,-9.4,73.6,246.3,No
710835,75,2.6,87.0,311.3,Yes
710836,85,34.1,117.6,279.2,Yes
710837,60,30.7,106.9,231.4,Yes
710838,75,0.1,122.3,203.1,Yes
710839,75,5.4,122.9,271.6,No
710840,75,-5.8,77.1,301.5,Yes
710841,75,32.1,74.4,323.1,Yes
710842,100,31.9,80.2,541.5,No
710843,60,7.1,57.8,244.3,Yes
710844,60,34.9,35.1,203.3,No
710845,75,15.7,54.9,297.2,Yes
710846,60,7.1,31.7,216.6,No
710847,100,26.9,67.4,458.5,No
710848,60,15.6,120.8,235.0,No
710849,85,28.8,70.9,427.9,No
710850,85,-2.2,105.0,293.6,Yes
710851,75,10.2,45.0,263.7,Yes
710852,100,25.7,77.9,487.0,Yes
710853,75,17.3,84.8,,Yes
710854,75,7.5,68.8,316.2,Yes
710855,60,35.8,68.4,278.9,No
710856,85,20.8,124.8,337.8,No
710857,75,9.9,100.8,360.9,No
710858,75,5.1,32.2,211.0,Yes
710859,85,21.6,85.5,427.2,Yes
710860,75,21.6,116.2,316.4,No
710861,100,23.9,127.3,326.5,Yes
710862,100,23.7,81.8,569.5,No
710863,60,-4.3,88.9,242.4,No
710864,85,13.6,63.4,381.4,Yes
710865,75,25.6,98.1,378.6,No
710866,85,13.7,123.7,308.5,Yes
710867,60,12.9,86.1,327.8,No
710868,75,31.1,60.7,340.6,No
710869,60,12.3,76.6,308.2,Yes
710870,100,7.4,43.1,371.3,Yes
710871,85,21.1,68.4,455.8,No
710872,75,-8.2,65.2,315.5,No
710873,60,35.1,102.3,226.6,Yes
710874,60,10.8,109.5,272.4,No
710875,75,24.7,60.1,330.8,Yes
710876,60,25.3,79.1,340.3,No
710877,85,-7.6,91.1,381.8,No
710878,75,-5.4,55.0,299.2,No
710879,85,14.0,68.5,440.3,No
710880,85,2.1,57.3,364.2,No
710881,85,1.5,78.0,385.0,Yes
710882,85,12.7,74.9,365.1,Yes
710883,60,20.6,82.6,359.8,No
710884,75,25.0,34.1,276.2,Yes
710885,85,10.3,44.4,331.1,No
710886,75,1.0,89.7,345.7,No
710887,60,21.5,59.3,297.9,No
710888,85,18.7,110.0,410.7,No
710889,60,12.9,51.1,270.0,No
710890,100,-2.4,45.7,326.4,Yes
710891,75,21.2,88.1,416.9,No
710892,60,-9.1,53.5,232.0,No
710893,60,-1.4,73.9,279.8,No
710894,60,31.4,98.1,261.9,No
710895,85,37.9,31.4,277.4,No
710896,75,15.0,125.9,305.1,No
710897,75,31.7,125.7,283.5,No
710898,60,-3.0,116.1,221.5,No
710899,75,18.9,74.3,370.7,Yes
710900,75,10.4,55.7,312.7,Yes
710901,75,37.7,115.5,289.1,No
710902,100,-6.7,68.6,433.3,No
710903,75,11.8,82.1,382.2,No
710904,75,2.5,109.5,236.0,Yes
710905,75,11.0,62.8,325.8,Yes
710906,75,14.1,54.8,,No
710907,85,30.6,34.8,335.3,No
710908,75,4.4,85.3,317.8,Yes
710909,60,26.0,114.7,267.7,No
710910,75,31.5,72.5,391.9,No
710911,85,-6.5,123.6,259.7,No
710912,60,34.3,109.9,223.2,Yes
710913,75,31.5,63.2,309.4,Yes
710914,60,-8.0,94.5,192.8,Yes
710915,75,-2.7,55.8,264.5,Yes
710916,85,2.4,85.4,346.7,Yes
710917,85,17.0,92.6,437.9,No
710918,75,9.9,85.1,335.6,Yes
710919,75,-10.0,117.4,217.5,Yes
710920,75,13.1,75.7,418.0,No
710921,75,37.9,91.9,313.6,Yes
710922,60,5.4,66.0,272.4,No
710923,100,28.0,113.8,369.7,Yes
710924,85,-3.9,121.2,309.3,No
710925,60,-4.1,63.8,212.9,Yes
710926,60,36.2,109.5,197.6,Yes
710927,85,28.8,104.6,373.8,No
710928,85,32.5,127.1,319.5,No
710929,60,16.2,45.3,258.3,No
710930,75,20.7,79.8,366.5,Yes
710931,100,37.4,38.3,370.5,No
710932,75,37.8,108.2,334.7,No
710933,85,32.5,66.9,363.7,Yes
710934,60,26.0,123.1,204.3,Yes
710935,60,-6.6,68.5,248.2,No
710936,85,18.0,61.3,382.0,Yes
710937,85,21.1,34.7,340.7,No
710938,60,2.9,108.0,245.4,No
710939,85,33.0,64.1,388.1,No
710940,75,-2.4,55.0,264.6,Yes
710941,75,-4.3,109.3,266.6,No
710942,60,2.2,124.5,231.0,No
710943,60,22.6,60.3,290.4,No
710944,60,28.8,57.0,240.6,Yes
710945,85,-8.4,108.5,316.5,No
710946,85,21.7,124.5,323.2,Yes
710947,85,24.2,38.4,298.5,Yes
710948,75,18.9,61.2,327.6,Yes
710949,100,-3.2,123.5,338.5,No
710950,85,14.1,41.6,366.5,No
710951,100,23.9,37.5,417.6,No
710952,75,0.2,71.3,,No
710953,75,37.7,90.9,361.8,No
710954,60,30.9,86.9,312.4,No
710955,85,2.3,67.6,408.9,No
710956,75,30.6,94.8,353.4,No
710957,60,1.0,99.1,235.5,Yes
710958,75,17.7,123.1,351.4,No
710959,60,29.2,36.6,201.4,Yes
710960,85,21.0,129.5,316.9,No
710961,75,34.0,64.0,367.1,No
710962,85,-1.4,87.9,362.9,Yes
710963,100,19.5,38.4,431.8,No
710964,60,2.0,107.6,253.5,No
710965,60,-9.2,30.8,157.1,Yes
710966,75,30.7,53.2,277.2,Yes
710967,60,29.4,49.6,239.3,Yes
710968,75,4.2,106.1,304.4,No
710969,75,15.1,43.8,340.6,No
710970,85,21.4,76.9,424.8,Yes
710971,75,17.7,104.4,360.0,No
710972,75,14.1,33.4,286.4,No
710973,60,3.7,121.8,205.6,No
710974,75,26.9,82.4,412.7,No
710975,60,-9.7,97.2,223.1,Yes
710976,75,22.8,56.3,368.1,No
710977,60,14.4,115.6,277.8,No
710978,75,3.4,124.8,285.7,No
710979,85,9.0,77.7,412.4,Yes
710980,85,13.5,74.9,465.7,No
710981,75,6.3,70.3,351.6,Yes
710982,75,-7.5,69.6,340.4,No
710983,85,33.2,37.1,271.4,Yes
710984,60,-1.4,65.6,211.5,Yes
710985,75,-5.3,101.5,307.6,No
710986,75,13.7,39.0,326.7,No
710987,100,11.2,64.7,470.6,No
710988,75,-3.9,116.0,267.5,No
710989,100,36.5,35.9,364.8,No
710990,85,-9.2,46.3,247.9,Yes
710991,100,29.6,98.9,428.7,Yes
710992,100,2.6,121.7,343.0,No
710993,100,23.5,51.3,462.9,No
710994,85,-4.4,30.3,216.4,Yes
710995,85,2.8,51.3,360.5,No
710996,60,5.7,115.0,248.3,No
710997,85,8.3,48.2,325.7,No
710998,75,-1.2,44.9,269.7,No
710999,85,20.0,53.5,365.0,Yes
711000,85,2.5,83.6,439.1,No
